0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Espana Op. 165"
1, 0, Title_t, "Malaguena"
1, 0, Copyright_t, "Copyright © 2001 by Bernd Krueger"
1, 0, Text_t, "Isaac Albeniz"
1, 0, Text_t, "Allegretto"
1, 0, Text_t, "Fertiggestellt am 28.01.2001\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 30.8.2010\012"
1, 0, Text_t, "Dauer: 2:56  Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 3, 12, 8
1, 0, Key_signature, 1, "major"
1, 0, Tempo, 504202
1, 480, Tempo, 491803
1, 720, Tempo, 501966
1, 960, Tempo, 495213
1, 1200, Tempo, 518359
1, 1440, Tempo, 504202
1, 2400, Tempo, 499667
1, 2640, Tempo, 513567
1, 2880, Tempo, 504202
1, 3840, Tempo, 497430
1, 4080, Tempo, 518359
1, 4320, Tempo, 504202
1, 5280, Tempo, 511160
1, 5520, Tempo, 518359
1, 5760, Tempo, 504202
1, 6240, Tempo, 508863
1, 6280, Tempo, 511160
1, 6300, Tempo, 513567
1, 6320, Tempo, 515952
1, 6340, Tempo, 518359
1, 6360, Tempo, 520788
1, 6380, Tempo, 523286
1, 6400, Tempo, 525716
1, 6420, Tempo, 528216
1, 6440, Tempo, 530739
1, 6460, Tempo, 533286
1, 6480, Tempo, 504202
1, 6960, Tempo, 518359
1, 7200, Tempo, 504202
1, 8160, Tempo, 499667
1, 8400, Tempo, 518359
1, 8640, Tempo, 504202
1, 9360, Tempo, 504202
1, 9840, Tempo, 511160
1, 10080, Tempo, 504202
1, 10800, Tempo, 508863
1, 10900, Tempo, 511160
1, 10980, Tempo, 513567
1, 11080, Tempo, 515952
1, 11160, Tempo, 518359
1, 11240, Tempo, 520788
1, 11340, Tempo, 523286
1, 11420, Tempo, 525716
1, 11500, Tempo, 528216
1, 11520, Tempo, 526316
1, 11760, Tempo, 508475
1, 12000, Tempo, 491803
1, 12240, Tempo, 502092
1, 12480, Tempo, 497430
1, 12720, Tempo, 518359
1, 12960, Tempo, 538455
1, 13200, Tempo, 504202
1, 13440, Tempo, 493827
1, 13680, Tempo, 502092
1, 13920, Tempo, 497430
1, 14160, Tempo, 518359
1, 14400, Tempo, 497430
1, 14640, Tempo, 511160
1, 14880, Tempo, 499667
1, 15120, Tempo, 508863
1, 15360, Tempo, 504202
1, 15600, Tempo, 513567
1, 15840, Tempo, 493827
1, 16080, Tempo, 502092
1, 16560, Tempo, 495213
1, 17040, Tempo, 504202
1, 17220, Tempo, 554631
1, 17280, Tempo, 504202
1, 18240, Tempo, 497430
1, 18480, Tempo, 518359
1, 18720, Tempo, 504202
1, 19680, Tempo, 511160
1, 19860, Tempo, 513567
1, 19920, Tempo, 518359
1, 20160, Tempo, 504202
1, 20640, Tempo, 508863
1, 20680, Tempo, 511160
1, 20700, Tempo, 513567
1, 20720, Tempo, 515952
1, 20740, Tempo, 518359
1, 20760, Tempo, 520788
1, 20780, Tempo, 523286
1, 20800, Tempo, 525716
1, 20820, Tempo, 528216
1, 20840, Tempo, 530739
1, 20860, Tempo, 533286
1, 20880, Tempo, 504202
1, 21360, Tempo, 518359
1, 21600, Tempo, 504202
1, 22560, Tempo, 499667
1, 22800, Tempo, 518359
1, 23040, Tempo, 504202
1, 23760, Tempo, 504202
1, 24240, Tempo, 511160
1, 24480, Tempo, 504202
1, 25200, Tempo, 508863
1, 25300, Tempo, 511160
1, 25380, Tempo, 513567
1, 25480, Tempo, 515952
1, 25560, Tempo, 518359
1, 25640, Tempo, 520788
1, 25740, Tempo, 523286
1, 25820, Tempo, 525716
1, 25900, Tempo, 528216
1, 25920, Tempo, 519481
1, 26160, Tempo, 510638
1, 26400, Tempo, 504202
1, 26880, Tempo, 497430
1, 27120, Tempo, 518359
1, 27360, Tempo, 538455
1, 27600, Tempo, 504202
1, 28320, Tempo, 497430
1, 28560, Tempo, 518359
1, 28800, Tempo, 538455
1, 29040, Tempo, 504202
1, 29760, Tempo, 497430
1, 30000, Tempo, 518359
1, 30240, Tempo, 538455
1, 30480, Tempo, 504202
1, 31200, Tempo, 497430
1, 31440, Tempo, 518359
1, 31680, Tempo, 497430
