0, 0, Header, 1, 9, 480
1, 0, Start_track
1, 0, Title_t, "Suite espagnole"
1, 0, Title_t, "Granada"
1, 0, Copyright_t, "Copyright © 2001 by Bernd Krueger"
1, 0, Text_t, "Isaac Albeniz"
1, 0, Text_t, "Allegretto"
1, 0, Text_t, "Fertiggestellt am  3.3.2001\012"
1, 0, Text_t, "Update am 18.3.2001\012"
1, 0, Text_t, "Update am 30.3.2001\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 3.9.2010\012"
1, 0, Text_t, "Dauer: 4:01 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 3, 12, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 780742
1, 600, Tempo, 1159644
1, 630, Tempo, 1354402
1, 720, Tempo, 888231
1, 960, Tempo, 912131
1, 1440, Tempo, 900901
1, 1560, Tempo, 929800
1, 1680, Tempo, 907990
1, 1800, Tempo, 929800
1, 1920, Tempo, 847817
1, 2040, Tempo, 940586
1, 2160, Tempo, 867930
1, 2400, Tempo, 912131
1, 2640, Tempo, 924357
1, 2880, Tempo, 900225
1, 3360, Tempo, 912131
1, 3480, Tempo, 1354402
1, 3600, Tempo, 888231
1, 3840, Tempo, 912131
1, 4320, Tempo, 880153
1, 4440, Tempo, 922367
1, 4560, Tempo, 866927
1, 4680, Tempo, 893788
1, 4800, Tempo, 880928
1, 4920, Tempo, 880928
1, 5040, Tempo, 861574
1, 5280, Tempo, 912131
1, 5520, Tempo, 924357
1, 5760, Tempo, 900225
1, 6240, Tempo, 943396
1, 6360, Tempo, 1005868
1, 6480, Tempo, 930665
1, 6840, Tempo, 991408
1, 6960, Tempo, 912131
1, 7200, Tempo, 912131
1, 7440, Tempo, 925783
1, 7560, Tempo, 900901
1, 7680, Tempo, 873490
1, 7800, Tempo, 922651
1, 7920, Tempo, 894188
1, 8160, Tempo, 912131
1, 8640, Tempo, 900225
1, 9120, Tempo, 956785
1, 9240, Tempo, 1005868
1, 9360, Tempo, 930665
1, 9720, Tempo, 950119
1, 9840, Tempo, 912131
1, 10080, Tempo, 901442
1, 10200, Tempo, 945180
1, 10320, Tempo, 880153
1, 10440, Tempo, 907990
1, 10560, Tempo, 922651
1, 10680, Tempo, 1019368
1, 10800, Tempo, 865301
1, 11040, Tempo, 912131
1, 11520, Tempo, 900225
1, 12000, Tempo, 947718
1, 12120, Tempo, 1332741
1, 12240, Tempo, 888231
1, 12480, Tempo, 912131
1, 12960, Tempo, 888231
1, 13080, Tempo, 915332
1, 13200, Tempo, 894454
1, 13320, Tempo, 915332
1, 13560, Tempo, 887574
1, 13680, Tempo, 874508
1, 13920, Tempo, 912131
1, 14160, Tempo, 924357
1, 14400, Tempo, 900225
1, 14880, Tempo, 940586
1, 15000, Tempo, 1290600
1, 15120, Tempo, 888231
1, 15360, Tempo, 912131
1, 15840, Tempo, 888231
1, 15960, Tempo, 907990
1, 16080, Tempo, 880153
1, 16200, Tempo, 922367
1, 16320, Tempo, 866927
1, 16440, Tempo, 887574
1, 16560, Tempo, 874508
1, 16800, Tempo, 912131
1, 17040, Tempo, 924357
1, 17280, Tempo, 900225
1, 17760, Tempo, 912131
1, 17880, Tempo, 1019368
1, 18000, Tempo, 930665
1, 18360, Tempo, 991408
1, 18480, Tempo, 915332
1, 18600, Tempo, 970717
1, 18720, Tempo, 912131
1, 19080, Tempo, 925783
1, 19440, Tempo, 894188
1, 19680, Tempo, 912131
1, 19920, Tempo, 932836
1, 20160, Tempo, 947718
1, 20520, Tempo, 991408
1, 20640, Tempo, 940586
1, 20760, Tempo, 970717
1, 20880, Tempo, 912131
1, 21240, Tempo, 925783
1, 21540, Tempo, 1036448
1, 21600, Tempo, 894188
1, 21840, Tempo, 912131
1, 22080, Tempo, 955110
1, 22260, Tempo, 1083228
1, 22320, Tempo, 894188
1, 22560, Tempo, 912131
1, 23040, Tempo, 893788
1, 23280, Tempo, 873490
1, 23520, Tempo, 947718
1, 23700, Tempo, 1250521
1, 23760, Tempo, 912131
1, 23880, Tempo, 940586
1, 24000, Tempo, 912131
1, 24480, Tempo, 905250
