0, 0, Header, 1, 11, 480
1, 0, Start_track
1, 0, Title_t, "Präludium und Fuge in D-Dur, BWV 850"
1, 0, Copyright_t, "Copyright © 1997  Bernd Krueger."
1, 0, Text_t, "Bach"
1, 0, Text_t, "Fertiggestellt am 12.11.97\012"
1, 0, Text_t, "Pan's auf Standard am 18.1.98\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 29.9.2004\012"
1, 0, Text_t, "Dauer: 2:53 Minuten\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 2, "major"
1, 0, Tempo, 431655
1, 0, Marker_t, "Praeludium"
1, 120, Tempo, 416667
1, 1080, Tempo, 416667
1, 1920, Tempo, 416667
1, 2400, Tempo, 416667
1, 2560, Tempo, 418118
1, 2720, Tempo, 419580
1, 2860, Tempo, 421053
1, 2880, Tempo, 425532
1, 3000, Tempo, 416667
1, 3480, Tempo, 410959
1, 3720, Tempo, 425532
1, 3840, Tempo, 416667
1, 4440, Tempo, 418118
1, 4520, Tempo, 416667
1, 4600, Tempo, 415225
1, 4680, Tempo, 413793
1, 4760, Tempo, 412371
1, 4840, Tempo, 410959
1, 4920, Tempo, 409556
1, 5280, Tempo, 418118
1, 5400, Tempo, 409556
1, 5760, Tempo, 424028
1, 5880, Tempo, 415225
1, 5900, Tempo, 409556
1, 6200, Tempo, 410959
1, 6480, Tempo, 412371
1, 6760, Tempo, 413793
1, 6840, Tempo, 424028
1, 7320, Tempo, 413793
1, 7560, Tempo, 425532
1, 7680, Tempo, 416667
1, 8160, Tempo, 416667
1, 8320, Tempo, 418118
1, 8480, Tempo, 419580
1, 8640, Tempo, 421053
1, 9240, Tempo, 413793
1, 9600, Tempo, 428571
1, 9720, Tempo, 415225
1, 10200, Tempo, 419580
1, 10560, Tempo, 412371
1, 11160, Tempo, 422535
1, 11640, Tempo, 415225
1, 12480, Tempo, 413793
1, 12580, Tempo, 412371
1, 12680, Tempo, 410959
1, 12780, Tempo, 409556
1, 12880, Tempo, 408163
1, 12960, Tempo, 406780
1, 13080, Tempo, 409556
1, 13560, Tempo, 416667
1, 13900, Tempo, 416667
1, 14040, Tempo, 415225
1, 14180, Tempo, 413793
1, 14320, Tempo, 412371
1, 14440, Tempo, 410959
1, 14520, Tempo, 409556
1, 15480, Tempo, 416667
1, 16440, Tempo, 408163
1, 16800, Tempo, 424028
1, 16920, Tempo, 421053
1, 17400, Tempo, 408163
1, 17760, Tempo, 408163
1, 18000, Tempo, 406780
1, 18240, Tempo, 405405
1, 18480, Tempo, 404040
1, 18700, Tempo, 402685
1, 18720, Tempo, 424028
1, 18840, Tempo, 408163
1, 18920, Tempo, 409556
1, 18980, Tempo, 410959
1, 19040, Tempo, 412371
1, 19100, Tempo, 413793
1, 19160, Tempo, 415225
1, 19220, Tempo, 416667
1, 19320, Tempo, 415225
1, 19680, Tempo, 415225
1, 19840, Tempo, 416667
1, 20000, Tempo, 418118
1, 20140, Tempo, 419580
1, 20280, Tempo, 412371
1, 20760, Tempo, 418118
1, 21120, Tempo, 422535
1, 21720, Tempo, 415225
1, 22200, Tempo, 418118
1, 22680, Tempo, 410959
1, 23040, Tempo, 409556
1, 23200, Tempo, 410959
1, 23360, Tempo, 412371
1, 23500, Tempo, 413793
1, 23640, Tempo, 415225
1, 24120, Tempo, 410959
1, 24480, Tempo, 419580
1, 24600, Tempo, 412371
1, 25080, Tempo, 416667
1, 25560, Tempo, 409556
1, 26520, Tempo, 419580
1, 27000, Tempo, 416667
1, 27020, Tempo, 416667
1, 27340, Tempo, 415225
1, 27640, Tempo, 413793
1, 27940, Tempo, 412371
1, 27960, Tempo, 412371
1, 28440, Tempo, 419580
1, 28920, Tempo, 412371
1, 29880, Tempo, 421053
1, 30360, Tempo, 412371
1, 30480, Tempo, 413793
1, 30600, Tempo, 415225
1, 30720, Tempo, 416667
1, 30820, Tempo, 418118
1, 30840, Tempo, 410959
1, 32280, Tempo, 419580
1, 32760, Tempo, 412371
1, 33680, Tempo, 412371
1, 33760, Tempo, 410959
1, 33840, Tempo, 409556
1, 33920, Tempo, 408163
1, 34000, Tempo, 406780
1, 34080, Tempo, 415225
1, 34200, Tempo, 418118
1, 34680, Tempo, 412371
1, 35140, Tempo, 410959
1, 35260, Tempo, 409556
1, 35380, Tempo, 408163
1, 35500, Tempo, 406780
1, 35580, Tempo, 408163
1, 35640, Tempo, 409556
1, 35720, Tempo, 410959
1, 35780, Tempo, 412371
1, 35860, Tempo, 413793
1, 35920, Tempo, 415225
1, 35980, Tempo, 416667
1, 36600, Tempo, 410959
1, 36960, Tempo, 421053
1, 37080, Tempo, 425532
1, 37340, Tempo, 418118
1, 37400, Tempo, 419580
1, 37560, Tempo, 413793
1, 37640, Tempo, 413793
1, 37780, Tempo, 415225
1, 37900, Tempo, 416667
1, 38020, Tempo, 418118
1, 38040, Tempo, 422535
