0, 0, Header, 1, 9, 480
1, 0, Start_track
1, 0, Title_t, "Petite Suite"
1, 0, Title_t, "4. Mazurka"
1, 0, Copyright_t, "Copyright © 2000 by Bernd Krueger"
1, 0, Text_t, "Alexander Borodin"
1, 0, Text_t, "Fertiggestellt am 25.6.2000\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Dauer: 3:12 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -5, "major"
1, 0, Tempo, 478088
1, 0, Marker_t, "Allegretto"
1, 480, Tempo, 480000
1, 960, Tempo, 468750
1, 1200, Tempo, 454545
1, 1440, Tempo, 458015
1, 1920, Tempo, 470588
1, 2400, Tempo, 449438
1, 2640, Tempo, 466926
1, 2880, Tempo, 458015
1, 3240, Tempo, 474308
1, 3360, Tempo, 441176
1, 3600, Tempo, 452830
1, 3840, Tempo, 447761
1, 4080, Tempo, 458015
1, 4320, Tempo, 456274
1, 4680, Tempo, 474308
1, 4800, Tempo, 450417
1, 5040, Tempo, 462036
1, 5520, Tempo, 472441
1, 5760, Tempo, 476190
1, 6240, Tempo, 461538
1, 6720, Tempo, 454545
1, 6960, Tempo, 442804
1, 7200, Tempo, 456274
1, 7680, Tempo, 470588
1, 8160, Tempo, 441176
1, 8400, Tempo, 456274
1, 8640, Tempo, 444444
1, 9120, Tempo, 447761
1, 9360, Tempo, 458015
1, 9600, Tempo, 451128
1, 9840, Tempo, 468970
1, 10080, Tempo, 462036
1, 10560, Tempo, 454545
1, 11040, Tempo, 474308
1, 11520, Tempo, 470588
1, 12000, Tempo, 458015
1, 12480, Tempo, 449438
1, 12720, Tempo, 441176
1, 12960, Tempo, 452830
1, 13440, Tempo, 460158
1, 13920, Tempo, 439560
1, 14160, Tempo, 463320
1, 14400, Tempo, 451128
1, 14760, Tempo, 441112
1, 14880, Tempo, 444444
1, 15120, Tempo, 456274
1, 15360, Tempo, 448464
1, 15600, Tempo, 456274
1, 15840, Tempo, 446163
1, 16200, Tempo, 463786
1, 16320, Tempo, 437956
1, 16560, Tempo, 449573
1, 17040, Tempo, 461965
1, 17280, Tempo, 463786
1, 17760, Tempo, 458365
1, 18240, Tempo, 444444
1, 18480, Tempo, 439560
1, 18720, Tempo, 450113
1, 19200, Tempo, 460158
1, 19680, Tempo, 497183
1, 19980, Tempo, 586682
1, 20160, Tempo, 432994
1, 20520, Tempo, 463786
1, 20640, Tempo, 434594
1, 20880, Tempo, 451773
1, 21120, Tempo, 442804
1, 21360, Tempo, 458575
1, 21600, Tempo, 451773
1, 21960, Tempo, 463786
1, 22080, Tempo, 436205
1, 22320, Tempo, 451773
1, 22560, Tempo, 476190
1, 22860, Tempo, 447861
1, 23040, Tempo, 454787
1, 23400, Tempo, 463786
1, 23520, Tempo, 440432
1, 23760, Tempo, 451773
1, 24000, Tempo, 448464
1, 24240, Tempo, 497183
1, 24480, Tempo, 475059
1, 24840, Tempo, 501463
1, 24960, Tempo, 486894
1, 25200, Tempo, 521512
1, 25440, Tempo, 503609
1, 25920, Tempo, 478088
1, 26400, Tempo, 480000
1, 26880, Tempo, 468750
1, 27120, Tempo, 454545
1, 27360, Tempo, 458015
1, 27840, Tempo, 470588
1, 28320, Tempo, 449438
1, 28560, Tempo, 466926
1, 28800, Tempo, 458015
1, 29160, Tempo, 474308
1, 29280, Tempo, 441176
1, 29520, Tempo, 452830
1, 29760, Tempo, 447761
1, 30000, Tempo, 458015
1, 30240, Tempo, 456274
1, 30600, Tempo, 474308
1, 30720, Tempo, 450417
1, 30960, Tempo, 462036
1, 31440, Tempo, 472441
1, 31680, Tempo, 476190
1, 32160, Tempo, 461538
1, 32640, Tempo, 454545
1, 32880, Tempo, 444444
1, 33120, Tempo, 456274
