0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Intermezzo Opus 117 Nr. 1"
1, 0, Copyright_t, "Copyright © 2010 by Bernd Krueger"
1, 0, Text_t, "Johannes Brahms"
1, 0, Text_t, "Andante moderato"
1, 0, Text_t, "Erstellt: 9.10.2010\012"
1, 0, Text_t, "Dauer: 4:39 Minuten\012"
1, 0, Time_signature, 6, 3, 12, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 845189
1, 1200, Tempo, 1379628
1, 1200, Marker_t, "Andante moderato"
1, 1440, Tempo, 1290600
1, 1680, Tempo, 1348618
1, 2880, Tempo, 1379628
1, 3360, Tempo, 1481847
1, 4080, Tempo, 1348618
1, 4200, Tempo, 1558846
1, 4320, Tempo, 1348618
1, 4800, Tempo, 1363946
1, 5520, Tempo, 1395673
1, 5760, Tempo, 1348618
1, 6000, Tempo, 1428912
1, 6120, Tempo, 1318971
1, 6240, Tempo, 1481847
1, 6480, Tempo, 1428912
1, 6840, Tempo, 1363946
1, 6960, Tempo, 1318971
1, 7080, Tempo, 1446132
1, 7200, Tempo, 1363946
1, 7680, Tempo, 1446132
1, 8280, Tempo, 1363946
1, 8640, Tempo, 1318971
1, 8880, Tempo, 1348618
1, 9120, Tempo, 1446132
1, 9600, Tempo, 1395673
1, 9840, Tempo, 1363946
1, 10560, Tempo, 1428912
1, 11280, Tempo, 1348618
1, 11400, Tempo, 1481847
1, 11520, Tempo, 1379628
1, 12000, Tempo, 1395673
1, 12120, Tempo, 1579363
1, 12240, Tempo, 1412097
1, 12480, Tempo, 1558846
1, 12720, Tempo, 1770434
1, 12840, Tempo, 2190581
1, 12960, Tempo, 1382807
1, 13200, Tempo, 1348618
1, 14400, Tempo, 1379628
1, 14880, Tempo, 1481847
1, 15600, Tempo, 1348618
1, 15720, Tempo, 1558846
1, 15840, Tempo, 1348618
1, 16320, Tempo, 1363946
1, 17040, Tempo, 1395673
1, 17280, Tempo, 1348618
1, 17520, Tempo, 1428912
1, 17640, Tempo, 1318971
1, 17760, Tempo, 1481847
1, 18000, Tempo, 1428912
1, 18360, Tempo, 1363946
1, 18480, Tempo, 1318971
1, 18600, Tempo, 1446132
1, 18720, Tempo, 1290600
1, 18960, Tempo, 1348618
1, 19200, Tempo, 1304631
1, 19920, Tempo, 1304631
1, 20160, Tempo, 1290600
1, 20400, Tempo, 1304631
1, 20520, Tempo, 1290600
1, 20880, Tempo, 1318971
1, 21120, Tempo, 1379628
1, 21360, Tempo, 1428912
1, 21480, Tempo, 1644286
1, 21600, Tempo, 1395673
1, 22080, Tempo, 1428912
1, 22800, Tempo, 1538856
1, 23040, Tempo, 1446132
1, 23280, Tempo, 1644286
1, 23400, Tempo, 1481847
1, 23520, Tempo, 1667130
1, 23760, Tempo, 1714776
1, 24240, Tempo, 1542813
1, 24360, Tempo, 1744693
1, 24480, Tempo, 1583531
1, 24960, Tempo, 1671775
1, 25680, Tempo, 1583531
1, 25800, Tempo, 1796945
1, 25920, Tempo, 1562907
1, 26400, Tempo, 1744693
1, 26640, Tempo, 1648805
1, 27120, Tempo, 1542813
1, 27240, Tempo, 1744693
1, 27360, Tempo, 1583531
1, 27840, Tempo, 1671775
1, 28560, Tempo, 1542813
1, 28680, Tempo, 1744693
1, 28800, Tempo, 1648805
1, 29280, Tempo, 1796945
1, 29520, Tempo, 1942376
1, 29760, Tempo, 2231313
1, 30000, Tempo, 4654771
1, 30240, Key_signature, -6, "major"
1, 30240, Tempo, 1974334
1, 30240, Marker_t, "Piu Adagio"
1, 30360, Tempo, 1796945
1, 30480, Tempo, 1744693
1, 30600, Tempo, 1744693
1, 30720, Tempo, 1648805
1, 30840, Tempo, 2076843
1, 30960, Tempo, 1744693
1, 31200, Tempo, 1626457
1, 31320, Tempo, 1744693
1, 31560, Tempo, 1796945
1, 31680, Tempo, 1770434
1, 31800, Tempo, 1671775
1, 31920, Tempo, 1695394
1, 32040, Tempo, 1648805
1, 32160, Tempo, 1796945
1, 32280, Tempo, 2076843
1, 32400, Tempo, 1770434
1, 32760, Tempo, 1648805
1, 33000, Tempo, 1796945
1, 33120, Tempo, 1796945
1, 33240, Tempo, 1796945
1, 33360, Tempo, 1744693
1, 33480, Tempo, 1744693
1, 33600, Tempo, 1648805
1, 33720, Tempo, 2076843
1, 33840, Tempo, 1744693
1, 34080, Tempo, 1626457
1, 34200, Tempo, 1744693
1, 34440, Tempo, 1796945
1, 34560, Tempo, 1824263
1, 34680, Tempo, 1796945
1, 34800, Tempo, 1744693
1, 34920, Tempo, 1744693
1, 35040, Tempo, 1648805
1, 35160, Tempo, 2076843
1, 35280, Tempo, 1744693
1, 35520, Tempo, 1626457
1, 35640, Tempo, 1744693
1, 35880, Tempo, 1796945
1, 36000, Tempo, 1796945
1, 36120, Tempo, 1796945
1, 36240, Tempo, 1744693
1, 36360, Tempo, 1744693
1, 36480, Tempo, 1648805
1, 36600, Tempo, 2076843
1, 36720, Tempo, 1744693
1, 36960, Tempo, 1626457
1, 37080, Tempo, 1744693
1, 37320, Tempo, 1796945
1, 37680, Tempo, 1695394
1, 38040, Tempo, 1881468
1, 38160, Tempo, 1695394
1, 38760, Tempo, 1852424
1, 38880, Tempo, 1796945
1, 39000, Tempo, 1796945
1, 39120, Tempo, 1744693
1, 39240, Tempo, 1744693
1, 39360, Tempo, 1648805
1, 39480, Tempo, 2076843
1, 39600, Tempo, 1744693
1, 39840, Tempo, 1626457
1, 39960, Tempo, 1744693
1, 40200, Tempo, 1911437
1, 40320, Tempo, 1770434
1, 40560, Tempo, 1695394
1, 40920, Tempo, 2151309
1, 41040, Tempo, 1881468
1, 41280, Tempo, 2007360
1, 41520, Tempo, 2231313
1, 41760, Tempo, 1974334
1, 41880, Tempo, 1796945
1, 42000, Tempo, 1744693
1, 42120, Tempo, 1744693
1, 42240, Tempo, 1648805
1, 42360, Tempo, 2076843
1, 42480, Tempo, 1744693
1, 42720, Tempo, 1626457
1, 42840, Tempo, 1744693
1, 43080, Tempo, 1796945
1, 43200, Tempo, 1770434
1, 43320, Tempo, 1671775
1, 43440, Tempo, 1695394
1, 43560, Tempo, 1648805
1, 43680, Tempo, 1796945
1, 43800, Tempo, 2076843
1, 43920, Tempo, 1770434
1, 44280, Tempo, 1648805
1, 44520, Tempo, 1796945
1, 44640, Tempo, 1796945
1, 44760, Tempo, 1796945
1, 44880, Tempo, 1744693
1, 45000, Tempo, 1744693
1, 45120, Tempo, 1648805
1, 45240, Tempo, 2076843
1, 45360, Tempo, 1744693
1, 45600, Tempo, 1626457
1, 45720, Tempo, 1744693
1, 45960, Tempo, 1796945
1, 46080, Tempo, 1824263
1, 46200, Tempo, 1796945
1, 46320, Tempo, 1744693
1, 46440, Tempo, 1744693
1, 46560, Tempo, 1648805
1, 46680, Tempo, 2076843
1, 46800, Tempo, 1744693
1, 47040, Tempo, 1626457
1, 47160, Tempo, 1744693
1, 47400, Tempo, 1796945
1, 47520, Tempo, 1796945
1, 47640, Tempo, 1796945
1, 47760, Tempo, 1744693
1, 47880, Tempo, 1744693
1, 48000, Tempo, 1648805
