0, 0, Header, 1, 9, 480
1, 0, Start_track
1, 0, Title_t, "Etueden Opus 109"
1, 0, Title_t, "Erwachen im Walde"
1, 0, Copyright_t, "Copyright © 2012 by Bernd Krueger"
1, 0, Text_t, "Friedrich Buergmueller"
1, 0, Text_t, "Allegro"
1, 0, Text_t, "Erstellt am  13.3.2012\012"
1, 0, Text_t, "Dauer: 1:21 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 379747
1, 0, Marker_t, "Teil 1"
1, 1460, Tempo, 380952
1, 1640, Tempo, 379747
1, 1820, Tempo, 378549
1, 1980, Tempo, 377358
1, 2400, Tempo, 379747
1, 2880, Tempo, 387097
1, 3360, Tempo, 392157
1, 3840, Tempo, 378549
1, 4560, Tempo, 400534
1, 4800, Tempo, 387597
1, 5520, Tempo, 401875
1, 5760, Tempo, 387597
1, 6480, Tempo, 401875
1, 6720, Tempo, 387597
1, 7200, Tempo, 393959
1, 7440, Tempo, 419580
1, 7680, Tempo, 389610
1, 7680, Marker_t, "Teil 2"
1, 8160, Tempo, 383387
1, 8640, Tempo, 377358
1, 9120, Tempo, 380952
1, 9360, Tempo, 396040
1, 9600, Tempo, 382166
1, 10560, Tempo, 378549
1, 11040, Tempo, 383387
1, 11280, Tempo, 397351
1, 11520, Tempo, 387097
1, 12000, Tempo, 382166
1, 12480, Tempo, 384615
1, 12960, Tempo, 385852
1, 13200, Tempo, 392157
1, 13440, Tempo, 384615
1, 13920, Tempo, 384615
1, 14160, Tempo, 393443
1, 14400, Tempo, 389610
1, 14880, Tempo, 397351
1, 15120, Tempo, 418118
1, 15360, Tempo, 392157
1, 15840, Tempo, 384615
1, 16080, Tempo, 393443
1, 16320, Tempo, 383387
1, 17040, Tempo, 397351
1, 17280, Tempo, 385852
1, 18000, Tempo, 391134
1, 18240, Tempo, 384615
1, 18960, Tempo, 397351
1, 19200, Tempo, 385852
1, 19920, Tempo, 392157
1, 20160, Tempo, 384615
1, 20640, Tempo, 385852
1, 20880, Tempo, 397351
1, 21120, Tempo, 382166
1, 21360, Tempo, 394737
1, 21600, Tempo, 385852
1, 21840, Tempo, 393443
1, 22080, Tempo, 393443
1, 22560, Tempo, 398671
1, 22800, Tempo, 470588
1, 23040, Tempo, 389610
1, 23040, Marker_t, "Teil 2 Wiederholung"
1, 23520, Tempo, 383387
1, 24000, Tempo, 377358
1, 24480, Tempo, 380952
1, 24720, Tempo, 396040
1, 24960, Tempo, 382166
1, 25920, Tempo, 378549
1, 26400, Tempo, 383387
1, 26640, Tempo, 397351
1, 26880, Tempo, 387097
1, 27360, Tempo, 382166
1, 27840, Tempo, 384615
1, 28320, Tempo, 385852
1, 28560, Tempo, 392157
1, 28800, Tempo, 384615
1, 29280, Tempo, 384615
1, 29520, Tempo, 393443
1, 29760, Tempo, 389610
1, 30240, Tempo, 397351
1, 30480, Tempo, 418118
1, 30720, Tempo, 392157
1, 31200, Tempo, 384615
1, 31440, Tempo, 393443
1, 31680, Tempo, 383387
1, 32400, Tempo, 397351
1, 32640, Tempo, 385852
1, 33360, Tempo, 389864
1, 33600, Tempo, 384615
1, 34320, Tempo, 397351
1, 34560, Tempo, 385852
1, 35280, Tempo, 392157
1, 35520, Tempo, 384615
1, 36000, Tempo, 385852
1, 36240, Tempo, 397351
1, 36480, Tempo, 382166
1, 36720, Tempo, 394737
1, 36960, Tempo, 385852
1, 37200, Tempo, 393443
1, 37440, Tempo, 393443
1, 37920, Tempo, 398671
1, 38160, Tempo, 419580
1, 38400, Tempo, 389610
1, 38400, Marker_t, "Teil 3"
1, 38880, Tempo, 383387
1, 39360, Tempo, 377358
1, 39840, Tempo, 380952
1, 40080, Tempo, 396040
1, 40320, Tempo, 382166
1, 41280, Tempo, 378549
1, 41760, Tempo, 383387
1, 42000, Tempo, 397351
1, 42240, Tempo, 389610
1, 42720, Tempo, 383387
1, 43200, Tempo, 377358
1, 43680, Tempo, 380952
1, 43920, Tempo, 396040
1, 44160, Tempo, 382166
1, 45120, Tempo, 383632
1, 45600, Tempo, 389864
1, 45840, Tempo, 397351
1, 46080, Tempo, 389610
1, 46560, Tempo, 383387
1, 47040, Tempo, 377358
1, 47520, Tempo, 380952
1, 47760, Tempo, 396040
1, 48000, Tempo, 385852
1, 48480, Tempo, 383387
1, 48960, Tempo, 377358
1, 49440, Tempo, 380952
1, 49680, Tempo, 396040
1, 49920, Tempo, 382166
1, 50880, Tempo, 378549
1, 51360, Tempo, 383387
1, 51600, Tempo, 397351
1, 51840, Tempo, 382166
1, 52560, Tempo, 398671
1, 52800, Tempo, 419874
1, 53040, Tempo, 425834
1, 53280, Tempo, 435098
1, 53520, Tempo, 470958
1, 53760, Tempo, 389610
1, 54240, Tempo, 383387
1, 54720, Tempo, 377358
1, 55200, Tempo, 380952
1, 55440, Tempo, 396040
1, 55680, Tempo, 382166
1, 56640, Tempo, 378549
1, 57120, Tempo, 383387
1, 57360, Tempo, 397351
1, 57600, Tempo, 387097
1, 58080, Tempo, 382166
1, 58560, Tempo, 384615
1, 59040, Tempo, 385852
1, 59280, Tempo, 392157
1, 59520, Tempo, 384615
1, 60000, Tempo, 384615
1, 60240, Tempo, 393443
1, 60480, Tempo, 389610
1, 60960, Tempo, 397351
1, 61200, Tempo, 418118
1, 61440, Tempo, 392157
1, 61920, Tempo, 384615
1, 62160, Tempo, 393443
1, 62400, Tempo, 383387
1, 63120, Tempo, 397351
1, 63360, Tempo, 385852
1, 64080, Tempo, 391134
1, 64320, Tempo, 384615
1, 65040, Tempo, 397351
1, 65280, Tempo, 385852
1, 66000, Tempo, 392157
1, 66240, Tempo, 384615
1, 66720, Tempo, 385852
1, 66960, Tempo, 397351
1, 67200, Tempo, 382166
1, 67440, Tempo, 394737
1, 67680, Tempo, 385852
1, 67920, Tempo, 393443
1, 68160, Tempo, 393443
1, 68640, Tempo, 398671
1, 68880, Tempo, 419580
1, 69360, Tempo, 390879
1, 69600, Tempo, 385852
1, 69840, Tempo, 393443
1, 70080, Tempo, 393443
1, 70560, Tempo, 398671
1, 70800, Tempo, 412655
1, 71040, Tempo, 416956
1, 71280, Tempo, 394737
1, 71520, Tempo, 385852
1, 71760, Tempo, 393443
1, 72000, Tempo, 393443
1, 72480, Tempo, 398671
1, 72720, Tempo, 411241
1, 72960, Tempo, 416956
1, 73200, Tempo, 392157
1, 73440, Tempo, 385852
1, 73680, Tempo, 393443
1, 73920, Tempo, 393443
1, 74400, Tempo, 398671
1, 74640, Tempo, 433526
1, 74880, Tempo, 416956
1, 75120, Tempo, 392157
1, 75360, Tempo, 385852
1, 75600, Tempo, 406780
1, 75840, Tempo, 392157
1, 76320, Tempo, 387097
1, 76560, Tempo, 400000
1, 76800, Tempo, 408163
1, 77040, Tempo, 392157
1, 77280, Tempo, 385852
1, 77520, Tempo, 398671
1, 77760, Tempo, 390879
1, 78240, Tempo, 413793
1, 78480, Tempo, 555556
1, 78600, Tempo, 463320
1, 78720, Tempo, 552486
1, 79200, Tempo, 401338
1, 79680, Tempo, 394997
1, 80400, Tempo, 430108
1, 80640, Tempo, 401338
1, 81360, Tempo, 430108
1, 81600, Tempo, 401338
1, 82500, Tempo, 463320
1, 82560, Tempo, 549954
1, 83040, Tempo, 396301
1, 83520, Tempo, 392413
1, 84240, Tempo, 430108
1, 84480, Tempo, 401338
1, 85200, Tempo, 430108
1, 85440, Tempo, 401338
1, 86340, Tempo, 463320
1, 86400, Tempo, 410959
1, 86962, Tempo, 410959
1, 87162, Tempo, 412371
1, 87362, Tempo, 413793
1, 87562, Tempo, 415225
1, 87742, Tempo, 416667
1, 87942, Tempo, 418118
1, 88142, Tempo, 419580
1, 88322, Tempo, 421053
1, 88560, Tempo, 415225
1, 89760, Tempo, 419580
1, 90000, Tempo, 433213
1, 90240, Tempo, 416667
1, 91162, Tempo, 421053
1, 91242, Tempo, 422535
1, 91302, Tempo, 424028
1, 91362, Tempo, 425532
1, 91442, Tempo, 427046
1, 91502, Tempo, 428571
1, 91562, Tempo, 430108
1, 91642, Tempo, 431655
1, 91702, Tempo, 433213
1, 91762, Tempo, 434783
1, 91842, Tempo, 436364
1, 91902, Tempo, 437956
1, 91962, Tempo, 439560
1, 92042, Tempo, 441176
1, 92102, Tempo, 442804
1, 92160, Tempo, 428571
1, 93120, Tempo, 430108
1, 93600, Tempo, 433213
1, 93840, Tempo, 480000
1, 94320, Tempo, 476569
1, 94320, End_track
2, 0, Start_track
2, 0, Title_t, "Piano right"
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 127
2, 0, Control_c, 0, 10, 64
2, 0, Note_on_c, 0, 72, 50
2, 120, Note_on_c, 0, 72, 0
2, 240, Note_on_c, 0, 84, 41
2, 360, Note_on_c, 0, 84, 0
2, 480, Note_on_c, 0, 72, 47
2, 600, Note_on_c, 0, 72, 0
2, 720, Note_on_c, 0, 84, 40
2, 840, Note_on_c, 0, 84, 0
2, 960, Note_on_c, 0, 72, 49
2, 1080, Note_on_c, 0, 72, 0
2, 1200, Note_on_c, 0, 84, 40
2, 1320, Note_on_c, 0, 84, 0
2, 1440, Note_on_c, 0, 72, 56
2, 1560, Note_on_c, 0, 72, 0
2, 1680, Note_on_c, 0, 84, 49
2, 1800, Note_on_c, 0, 84, 0
2, 1920, Note_on_c, 0, 72, 61
