0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Etueden Opus 109"
1, 0, Title_t, "Geschwindigkeit"
1, 0, Copyright_t, "Copyright © 2012 by Bernd Krueger"
1, 0, Text_t, "Friedrich Burgmueller"
1, 0, Text_t, "Vivo"
1, 0, Text_t, "Erstellt:  22.4.2012\012"
1, 0, Text_t, "Dauer: 1:10 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 6, 3, 12, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 478088
1, 0, Marker_t, "Teil 1"
1, 40, Tempo, 476190
1, 80, Tempo, 474308
1, 120, Tempo, 472441
1, 140, Tempo, 470588
1, 180, Tempo, 468750
1, 220, Tempo, 466926
1, 240, Tempo, 465116
1, 280, Tempo, 463320
1, 320, Tempo, 461538
1, 340, Tempo, 459770
1, 380, Tempo, 458015
1, 420, Tempo, 456274
1, 440, Tempo, 454545
1, 560, Tempo, 452830
1, 720, Tempo, 449438
1, 820, Tempo, 451128
1, 900, Tempo, 452830
1, 1000, Tempo, 454545
1, 1080, Tempo, 456274
1, 1180, Tempo, 458015
1, 1260, Tempo, 459770
1, 1340, Tempo, 461538
1, 1420, Tempo, 461538
1, 1560, Tempo, 459770
1, 1680, Tempo, 458015
1, 1820, Tempo, 456274
1, 1940, Tempo, 454545
1, 2080, Tempo, 452830
1, 2200, Tempo, 451128
1, 2320, Tempo, 452830
1, 2420, Tempo, 454545
1, 2520, Tempo, 456274
1, 2640, Tempo, 458015
1, 2740, Tempo, 459770
1, 2760, Tempo, 497925
1, 2840, Tempo, 461538
1, 2860, Tempo, 463320
1, 3020, Tempo, 461538
1, 3180, Tempo, 459770
1, 3340, Tempo, 458015
1, 3500, Tempo, 456274
1, 3660, Tempo, 458015
1, 3820, Tempo, 459770
1, 3980, Tempo, 461538
1, 4140, Tempo, 463320
1, 4280, Tempo, 465116
1, 4320, Tempo, 463320
1, 4520, Tempo, 461538
1, 4720, Tempo, 459770
1, 4920, Tempo, 458015
1, 5120, Tempo, 456274
1, 5180, Tempo, 458015
1, 5220, Tempo, 459770
1, 5260, Tempo, 461538
1, 5300, Tempo, 463320
1, 5340, Tempo, 465116
1, 5400, Tempo, 466926
1, 5440, Tempo, 468750
1, 5480, Tempo, 470588
1, 5520, Tempo, 472441
1, 5560, Tempo, 474308
1, 5600, Tempo, 476190
1, 5640, Tempo, 530973
1, 5740, Tempo, 468750
1, 5860, Tempo, 466926
1, 5980, Tempo, 465116
1, 6080, Tempo, 463320
1, 6200, Tempo, 461538
1, 6300, Tempo, 459770
1, 6420, Tempo, 458015
1, 6520, Tempo, 456274
1, 6660, Tempo, 458015
1, 6800, Tempo, 459770
1, 6920, Tempo, 461538
1, 7060, Tempo, 463320
1, 7180, Tempo, 465116
1, 7200, Tempo, 461538
1, 7220, Tempo, 466926
1, 7340, Tempo, 465116
1, 7460, Tempo, 463320
1, 7580, Tempo, 461538
1, 7700, Tempo, 459770
1, 7820, Tempo, 458015
1, 7900, Tempo, 454545
1, 7980, Tempo, 456274
1, 8060, Tempo, 458015
1, 8140, Tempo, 459770
1, 8200, Tempo, 461538
1, 8280, Tempo, 463320
1, 8360, Tempo, 465116
1, 8440, Tempo, 466926
1, 8500, Tempo, 468750
1, 8520, Tempo, 489796
1, 8620, Tempo, 468750
1, 8720, Tempo, 466926
1, 8820, Tempo, 465116
1, 8920, Tempo, 463320
1, 9020, Tempo, 461538
1, 9120, Tempo, 459770
1, 9300, Tempo, 461538
1, 9680, Tempo, 463320
1, 10040, Tempo, 465116
1, 10280, Tempo, 463320
1, 10520, Tempo, 461538
1, 10700, Tempo, 465116
1, 10780, Tempo, 466926
1, 10840, Tempo, 468750
1, 10900, Tempo, 470588
1, 10920, Tempo, 470588
1, 10940, Tempo, 472441
1, 10960, Tempo, 474308
1, 10980, Tempo, 476190
1, 11000, Tempo, 478088
1, 11020, Tempo, 480000
1, 11040, Tempo, 481928
1, 11060, Tempo, 483871
1, 11080, Tempo, 481928
1, 11100, Tempo, 483871
1, 11120, Tempo, 485830
1, 11140, Tempo, 487805
1, 11160, Tempo, 491803
1, 11180, Tempo, 493827
1, 11200, Tempo, 495868
1, 11220, Tempo, 500000
1, 11240, Tempo, 502092
1, 11260, Tempo, 504202
1, 11280, Tempo, 508475
1, 11320, Tempo, 519481
1, 11360, Tempo, 521739
1, 11380, Tempo, 524017
1, 11400, Tempo, 526316
1, 11500, Tempo, 483871
1, 11520, Tempo, 485830
1, 11520, Marker_t, "Teil 1 Wiederholung"
1, 11560, Tempo, 483871
1, 11600, Tempo, 481928
1, 11620, Tempo, 480000
1, 11660, Tempo, 478088
1, 11680, Tempo, 476190
1, 11720, Tempo, 474308
1, 11740, Tempo, 472441
1, 11780, Tempo, 470588
1, 11820, Tempo, 468750
1, 11840, Tempo, 466926
1, 11880, Tempo, 465116
1, 11900, Tempo, 463320
1, 11940, Tempo, 461538
1, 11960, Tempo, 459770
1, 12080, Tempo, 452830
1, 12240, Tempo, 449438
1, 12340, Tempo, 451128
1, 12420, Tempo, 452830
1, 12520, Tempo, 454545
1, 12600, Tempo, 456274
1, 12700, Tempo, 458015
1, 12780, Tempo, 459770
1, 12860, Tempo, 461538
1, 12940, Tempo, 461538
1, 13080, Tempo, 459770
1, 13200, Tempo, 458015
1, 13340, Tempo, 456274
1, 13460, Tempo, 454545
1, 13600, Tempo, 452830
1, 13720, Tempo, 451128
1, 13840, Tempo, 452830
1, 13940, Tempo, 454545
1, 14040, Tempo, 456274
1, 14160, Tempo, 458015
1, 14260, Tempo, 459770
1, 14280, Tempo, 497925
1, 14360, Tempo, 461538
1, 14380, Tempo, 463320
1, 14540, Tempo, 461538
1, 14700, Tempo, 459770
1, 14860, Tempo, 458015
1, 15020, Tempo, 456274
1, 15180, Tempo, 458015
1, 15340, Tempo, 459770
1, 15500, Tempo, 461538
1, 15660, Tempo, 463320
1, 15800, Tempo, 465116
1, 15840, Tempo, 463320
1, 16040, Tempo, 461538
1, 16240, Tempo, 459770
1, 16440, Tempo, 458015
1, 16640, Tempo, 456274
1, 16700, Tempo, 458015
1, 16740, Tempo, 459770
1, 16780, Tempo, 461538
1, 16820, Tempo, 463320
1, 16860, Tempo, 465116
1, 16920, Tempo, 466926
1, 16960, Tempo, 468750
1, 17000, Tempo, 470588
1, 17040, Tempo, 472441
1, 17080, Tempo, 474308
1, 17120, Tempo, 476190
1, 17160, Tempo, 530973
1, 17260, Tempo, 468750
1, 17380, Tempo, 466926
1, 17500, Tempo, 465116
1, 17600, Tempo, 463320
1, 17720, Tempo, 461538
1, 17820, Tempo, 459770
1, 17940, Tempo, 458015
1, 18040, Tempo, 456274
1, 18180, Tempo, 458015
1, 18320, Tempo, 459770
1, 18440, Tempo, 461538
1, 18580, Tempo, 463320
1, 18700, Tempo, 465116
1, 18720, Tempo, 461538
1, 18740, Tempo, 466926
1, 18860, Tempo, 465116
1, 18980, Tempo, 463320
1, 19100, Tempo, 461538
1, 19220, Tempo, 459770
1, 19340, Tempo, 458015
1, 19420, Tempo, 454545
1, 19500, Tempo, 456274
1, 19580, Tempo, 458015
1, 19660, Tempo, 459770
1, 19720, Tempo, 461538
1, 19800, Tempo, 463320
1, 19880, Tempo, 465116
1, 19960, Tempo, 466926
1, 20020, Tempo, 468750
1, 20040, Tempo, 489796
1, 20140, Tempo, 468750
1, 20240, Tempo, 466926
1, 20340, Tempo, 465116
1, 20440, Tempo, 463320
1, 20540, Tempo, 461538
1, 20640, Tempo, 459770
1, 20820, Tempo, 461538
1, 21200, Tempo, 463320
1, 21560, Tempo, 465116
1, 21800, Tempo, 463320
1, 22040, Tempo, 461538
1, 22220, Tempo, 485830
1, 22360, Tempo, 491803
1, 22400, Tempo, 493827
1, 22440, Tempo, 495868
1, 22480, Tempo, 497925
1, 22520, Tempo, 500000
1, 22540, Tempo, 502092
1, 22580, Tempo, 504202
1, 22620, Tempo, 506329
1, 22660, Tempo, 508475
1, 22700, Tempo, 510638
1, 22720, Tempo, 512821
1, 22760, Tempo, 515021
1, 22800, Tempo, 517241
1, 22840, Tempo, 519481
1, 22880, Tempo, 521739
1, 22900, Tempo, 524017
1, 22920, Tempo, 538117
1, 23012, Tempo, 485830
1, 23032, Tempo, 483871
1, 23040, Marker_t, "Teil 2"
1, 23052, Tempo, 481928
1, 23072, Tempo, 480000
1, 23092, Tempo, 478088
1, 23112, Tempo, 476190
1, 23132, Tempo, 474308
1, 23152, Tempo, 472441
1, 23172, Tempo, 470588
1, 23192, Tempo, 468750
1, 23212, Tempo, 466926
1, 23232, Tempo, 465116
1, 23252, Tempo, 461538
1, 23282, Tempo, 461538
1, 23362, Tempo, 459770
1, 23442, Tempo, 458015
1, 23502, Tempo, 456274
1, 23542, Tempo, 458015
1, 23582, Tempo, 459770
1, 23622, Tempo, 461538
1, 23662, Tempo, 463320
1, 23702, Tempo, 465116
1, 23742, Tempo, 466926
1, 23760, Tempo, 502092
1, 23862, Tempo, 465116
1, 24182, Tempo, 463320
1, 24342, Tempo, 465116
1, 24360, Tempo, 512821
1, 24460, Tempo, 461538
1, 24462, Tempo, 468750
1, 24502, Tempo, 470588
1, 24582, Tempo, 468750
1, 24662, Tempo, 466926
1, 24742, Tempo, 465116
1, 24822, Tempo, 463320
1, 24882, Tempo, 461538
1, 25080, Tempo, 515021
1, 25200, Tempo, 483871
1, 25440, Tempo, 493827
1, 25780, Tempo, 459770
1, 25800, Tempo, 542986
1, 25920, Tempo, 461538
1, 25922, Tempo, 468750
1, 26002, Tempo, 466926
1, 26082, Tempo, 465116
1, 26162, Tempo, 463320
1, 26242, Tempo, 461538
1, 26322, Tempo, 459770
1, 26342, Tempo, 458015
1, 26402, Tempo, 459770
1, 26462, Tempo, 461538
1, 26502, Tempo, 463320
1, 26562, Tempo, 465116
1, 26602, Tempo, 466926
1, 26640, Tempo, 502092
1, 26742, Tempo, 454545
1, 26782, Tempo, 466926
1, 26862, Tempo, 465116
1, 26942, Tempo, 463320
1, 27022, Tempo, 461538
1, 27082, Tempo, 459770
1, 27122, Tempo, 451128
1, 27142, Tempo, 452830
1, 27162, Tempo, 454545
1, 27182, Tempo, 456274
1, 27202, Tempo, 459770
1, 27240, Tempo, 512821
1, 27340, Tempo, 461538
1, 27342, Tempo, 468750
1, 27382, Tempo, 470588
1, 27502, Tempo, 468750
1, 27602, Tempo, 466926
1, 27702, Tempo, 465116
1, 27802, Tempo, 463320
1, 27842, Tempo, 465116
1, 27882, Tempo, 466926
1, 27922, Tempo, 468750
1, 27960, Tempo, 515021
1, 28080, Tempo, 485830
1, 28320, Tempo, 493827
1, 28660, Tempo, 459770
1, 28680, Tempo, 497925
1, 28760, Tempo, 461538
1, 28780, Tempo, 463320
1, 28800, Tempo, 483871
1, 28812, Tempo, 481928
1, 28832, Tempo, 480000
1, 28852, Tempo, 478088
1, 28872, Tempo, 476190
1, 28892, Tempo, 474308
1, 28912, Tempo, 472441
1, 28932, Tempo, 470588
1, 28952, Tempo, 468750
1, 28972, Tempo, 466926
1, 28992, Tempo, 465116
1, 29012, Tempo, 461538
1, 29042, Tempo, 461538
1, 29122, Tempo, 459770
1, 29202, Tempo, 458015
1, 29262, Tempo, 456274
1, 29302, Tempo, 458015
1, 29342, Tempo, 459770
1, 29382, Tempo, 461538
1, 29422, Tempo, 463320
1, 29462, Tempo, 465116
1, 29502, Tempo, 466926
1, 29520, Tempo, 502092
1, 29622, Tempo, 465116
1, 29942, Tempo, 463320
1, 30102, Tempo, 465116
1, 30120, Tempo, 512821
1, 30220, Tempo, 461538
1, 30222, Tempo, 468750
1, 30262, Tempo, 470588
1, 30342, Tempo, 468750
1, 30422, Tempo, 466926
1, 30502, Tempo, 465116
1, 30582, Tempo, 463320
1, 30642, Tempo, 461538
1, 30840, Tempo, 515021
1, 30960, Tempo, 483871
1, 31200, Tempo, 493827
1, 31540, Tempo, 459770
1, 31560, Tempo, 542986
1, 31680, Tempo, 461538
1, 31682, Tempo, 468750
1, 31762, Tempo, 466926
1, 31842, Tempo, 465116
1, 31922, Tempo, 463320
1, 32002, Tempo, 461538
1, 32082, Tempo, 459770
1, 32102, Tempo, 458015
1, 32162, Tempo, 459770
1, 32222, Tempo, 461538
1, 32262, Tempo, 463320
1, 32322, Tempo, 465116
1, 32362, Tempo, 466926
1, 32400, Tempo, 502092
1, 32502, Tempo, 454545
1, 32542, Tempo, 466926
1, 32622, Tempo, 465116
1, 32702, Tempo, 463320
1, 32782, Tempo, 461538
1, 32842, Tempo, 459770
1, 32882, Tempo, 451128
1, 32902, Tempo, 452830
1, 32922, Tempo, 454545
1, 32942, Tempo, 456274
1, 32962, Tempo, 459770
1, 33000, Tempo, 512821
1, 33100, Tempo, 461538
1, 33102, Tempo, 468750
1, 33142, Tempo, 470588
1, 33262, Tempo, 468750
1, 33362, Tempo, 466926
1, 33462, Tempo, 465116
1, 33562, Tempo, 463320
1, 33602, Tempo, 465116
1, 33642, Tempo, 466926
1, 33682, Tempo, 468750
1, 33720, Tempo, 515021
1, 33840, Tempo, 485830
1, 34080, Tempo, 493827
1, 34420, Tempo, 459770
1, 34440, Tempo, 497925
1, 34520, Tempo, 461538
1, 34540, Tempo, 463320
1, 34560, Tempo, 483871
1, 34572, Tempo, 481928
1, 34592, Tempo, 480000
1, 34612, Tempo, 478088
1, 34632, Tempo, 476190
1, 34652, Tempo, 474308
1, 34672, Tempo, 472441
1, 34692, Tempo, 465116
1, 34852, Tempo, 463320
1, 34992, Tempo, 461538
1, 35052, Tempo, 463320
1, 35092, Tempo, 465116
1, 35152, Tempo, 466926
1, 35192, Tempo, 468750
1, 35232, Tempo, 470588
1, 35262, Tempo, 466926
1, 35280, Tempo, 502092
1, 35382, Tempo, 465116
1, 35702, Tempo, 463320
