0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Etueden Opus 109"
1, 0, Title_t, "Gewitter"
1, 0, Copyright_t, "Copyright © 2004 by Bernd Krueger"
1, 0, Text_t, "Friedrich Buergmueller"
1, 0, Text_t, "Allegro"
1, 0, Text_t, "Erstellt am 8.9.2000\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 29.7.2004\012"
1, 0, Text_t, "Update am 5.3.2012\012"
1, 0, Text_t, "Dauer:1:20 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 406780
1, 360, Tempo, 415225
1, 480, Tempo, 402685
1, 840, Tempo, 415225
1, 960, Tempo, 402685
1, 1320, Tempo, 415225
1, 1440, Tempo, 408163
1, 1800, Tempo, 415225
1, 1920, Tempo, 412371
1, 2120, Tempo, 410959
1, 2320, Tempo, 409556
1, 2520, Tempo, 408163
1, 2720, Tempo, 406780
1, 2760, Tempo, 418118
1, 2880, Tempo, 406780
1, 3160, Tempo, 408163
1, 3420, Tempo, 409556
1, 3680, Tempo, 410959
1, 3720, Tempo, 410959
1, 3732, Tempo, 410959
1, 3744, Tempo, 416667
1, 3760, Tempo, 422535
1, 3772, Tempo, 428571
1, 3784, Tempo, 436364
1, 3800, Tempo, 442804
1, 3812, Tempo, 449438
1, 3824, Tempo, 458015
1, 3840, Tempo, 406780
1, 4200, Tempo, 415225
1, 4320, Tempo, 402685
1, 4680, Tempo, 415225
1, 4800, Tempo, 402685
1, 5160, Tempo, 415225
1, 5280, Tempo, 408163
1, 5640, Tempo, 415225
1, 5760, Tempo, 415225
1, 5900, Tempo, 413793
1, 6040, Tempo, 412371
1, 6180, Tempo, 410959
1, 6320, Tempo, 409556
1, 6460, Tempo, 408163
1, 6580, Tempo, 406780
1, 6600, Tempo, 427046
1, 6720, Tempo, 406780
1, 6980, Tempo, 408163
1, 7240, Tempo, 409556
1, 7500, Tempo, 410959
1, 7560, Tempo, 447761
1, 7640, Tempo, 412371
1, 7800, Tempo, 406780
1, 8160, Tempo, 410959
1, 8280, Tempo, 405405
1, 8640, Tempo, 412371
1, 8760, Tempo, 408163
1, 9120, Tempo, 413793
1, 9240, Tempo, 405405
1, 9600, Tempo, 409556
1, 9740, Tempo, 408163
1, 9860, Tempo, 406780
1, 9980, Tempo, 405405
1, 10060, Tempo, 404040
1, 10160, Tempo, 405405
1, 10240, Tempo, 406780
1, 10340, Tempo, 408163
1, 10420, Tempo, 409556
1, 10500, Tempo, 410959
1, 10560, Tempo, 416667
1, 10680, Tempo, 406780
1, 10760, Tempo, 406780
1, 10880, Tempo, 408163
1, 11000, Tempo, 409556
1, 11100, Tempo, 410959
1, 11220, Tempo, 412371
1, 11340, Tempo, 413793
1, 11440, Tempo, 415225
1, 11500, Tempo, 409556
1, 11540, Tempo, 410959
1, 11880, Tempo, 424028
1, 12020, Tempo, 409556
1, 12360, Tempo, 422535
1, 12460, Tempo, 406780
1, 12480, Tempo, 412371
1, 12820, Tempo, 412371
1, 12840, Tempo, 425532
1, 12960, Tempo, 419580
1, 13100, Tempo, 416667
1, 13180, Tempo, 418118
1, 13260, Tempo, 419580
1, 13300, Tempo, 416667
1, 13320, Tempo, 439560
1, 13520, Tempo, 410959
1, 13600, Tempo, 412371
1, 13680, Tempo, 413793
1, 13760, Tempo, 415225
1, 13840, Tempo, 416667
1, 13900, Tempo, 418118
1, 14420, Tempo, 408163
1, 14500, Tempo, 409556
1, 14580, Tempo, 410959
1, 14640, Tempo, 412371
1, 14720, Tempo, 413793
1, 14800, Tempo, 415225
1, 14860, Tempo, 416667
