0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Etueden Opus 109"
1, 0, Title_t, "Die Quelle"
1, 0, Copyright_t, "Copyright © 2004 by Bernd Krueger"
1, 0, Text_t, "Friedrich Buergmueller"
1, 0, Text_t, "Andante grazioso"
1, 0, Text_t, "Erstellt am 8.9.2000\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 28.7.2004\012"
1, 0, Text_t, "Update am 4.3.2012\012"
1, 0, Text_t, "Dauer: 1:53 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, 1, "major"
1, 0, Tempo, 1016949
1, 80, Tempo, 1007557
1, 160, Tempo, 998336
1, 240, Tempo, 989446
1, 320, Tempo, 980552
1, 400, Tempo, 971975
1, 480, Tempo, 963391
1, 520, Tempo, 971975
1, 680, Tempo, 980552
1, 800, Tempo, 989446
1, 920, Tempo, 998336
1, 960, Tempo, 989446
1, 1040, Tempo, 980552
1, 1120, Tempo, 971975
1, 1200, Tempo, 963391
1, 1280, Tempo, 955110
1, 1360, Tempo, 946820
1, 1440, Tempo, 938673
1, 1600, Tempo, 946820
1, 1760, Tempo, 955110
1, 1880, Tempo, 963391
1, 2080, Tempo, 946820
1, 2240, Tempo, 938673
1, 2400, Tempo, 930665
1, 2480, Tempo, 938673
1, 2520, Tempo, 946820
1, 2600, Tempo, 955110
1, 2640, Tempo, 963391
1, 2720, Tempo, 971975
1, 2760, Tempo, 980552
1, 2800, Tempo, 989446
1, 2840, Tempo, 946820
1, 2880, Tempo, 980552
1, 2920, Tempo, 980552
1, 3160, Tempo, 971975
1, 3360, Tempo, 955110
1, 3480, Tempo, 963391
1, 3600, Tempo, 971975
1, 3720, Tempo, 980552
1, 3800, Tempo, 980552
1, 3880, Tempo, 971975
1, 3960, Tempo, 963391
1, 4040, Tempo, 955110
1, 4080, Tempo, 946820
1, 4160, Tempo, 938673
1, 4200, Tempo, 930665
1, 4280, Tempo, 922935
1, 4320, Tempo, 915192
1, 4400, Tempo, 907716
1, 4520, Tempo, 915192
1, 4640, Tempo, 922935
1, 4720, Tempo, 930665
1, 4800, Tempo, 946820
1, 5080, Tempo, 955110
1, 5360, Tempo, 963391
1, 5600, Tempo, 971975
1, 5960, Tempo, 963391
1, 6040, Tempo, 971975
1, 6120, Tempo, 980552
1, 6200, Tempo, 1046025
1, 6240, Tempo, 989446
1, 6280, Tempo, 980552
1, 6320, Tempo, 971975
1, 6360, Tempo, 963391
1, 6400, Tempo, 955110
1, 6440, Tempo, 938673
1, 6480, Tempo, 946820
1, 6500, Tempo, 955110
1, 6520, Tempo, 963391
1, 6560, Tempo, 971975
1, 6580, Tempo, 980552
1, 6600, Tempo, 989446
1, 6640, Tempo, 998336
1, 6660, Tempo, 1007557
1, 6680, Tempo, 1016949
1, 6700, Tempo, 1026518
1, 6720, Tempo, 1076619
1, 6840, Tempo, 1016949
1, 6860, Tempo, 971975
1, 6900, Tempo, 980552
1, 6920, Tempo, 989446
1, 6960, Tempo, 998336
1, 6980, Tempo, 1007557
1, 7000, Tempo, 1016949
1, 7040, Tempo, 1026518
1, 7060, Tempo, 1036090
1, 7080, Tempo, 1046025
1, 7120, Tempo, 1055966
1, 7140, Tempo, 1066288
1, 7160, Tempo, 1076619
1, 7180, Tempo, 1055966
1, 7200, Tempo, 1087548
1, 7240, Tempo, 1076619
1, 7280, Tempo, 1066288
1, 7320, Tempo, 1055966
1, 7360, Tempo, 1046025
1, 7400, Tempo, 1036090
1, 7420, Tempo, 1026518
1, 7500, Tempo, 1036090
1, 7580, Tempo, 1046025
1, 7640, Tempo, 989446
1, 7680, Tempo, 1026518
1, 7760, Tempo, 1016949
1, 7840, Tempo, 1007557
1, 7920, Tempo, 998336
1, 8000, Tempo, 989446
1, 8080, Tempo, 980552
1, 8160, Tempo, 971975
1, 8200, Tempo, 963391
1, 8400, Tempo, 971975
