0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Etueden Opus 109"
1, 0, Title_t, "Spinnerlied"
1, 0, Copyright_t, "Copyright © 2012 by Bernd Krueger"
1, 0, Text_t, "Friedrich Burgmueller"
1, 0, Text_t, "Allegro moderato"
1, 0, Text_t, "Erstellt:  16.4.2012\012"
1, 0, Text_t, "Dauer: 1:45 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 2, "major"
1, 0, Tempo, 544020
1, 1440, Tempo, 639727
1, 1440, Marker_t, "Teil 1"
1, 1800, Tempo, 713182
1, 1920, Tempo, 645925
1, 2400, Tempo, 623830
1, 2800, Tempo, 708634
1, 2880, Tempo, 645925
1, 3360, Tempo, 631048
1, 3760, Tempo, 713182
1, 3840, Tempo, 642123
1, 4320, Tempo, 627418
1, 4800, Tempo, 642123
1, 5280, Tempo, 631048
1, 5680, Tempo, 704060
1, 5760, Tempo, 627418
1, 5811, Tempo, 609942
1, 5887, Tempo, 613371
1, 6038, Tempo, 623830
1, 6089, Tempo, 627418
1, 6139, Tempo, 631048
1, 6190, Tempo, 634719
1, 6316, Tempo, 616840
1, 6392, Tempo, 620347
1, 6468, Tempo, 623830
1, 6518, Tempo, 627418
1, 6594, Tempo, 631048
1, 6670, Tempo, 634719
1, 6720, Tempo, 638366
1, 6796, Tempo, 616840
1, 6872, Tempo, 620347
1, 7150, Tempo, 634719
1, 7200, Tempo, 627418
1, 7352, Tempo, 631048
1, 7503, Tempo, 634719
1, 7600, Tempo, 682128
1, 7680, Tempo, 634719
1, 7706, Tempo, 620347
1, 7807, Tempo, 623830
1, 7882, Tempo, 627418
1, 7983, Tempo, 631048
1, 8059, Tempo, 634719
1, 8135, Tempo, 638366
1, 8160, Tempo, 623830
1, 8337, Tempo, 627418
1, 8514, Tempo, 631048
1, 8666, Tempo, 634719
1, 8716, Tempo, 634719
1, 8741, Tempo, 623830
1, 8792, Tempo, 627418
1, 8842, Tempo, 631048
1, 8868, Tempo, 634719
1, 8918, Tempo, 638366
1, 8943, Tempo, 642123
1, 8994, Tempo, 645925
1, 9019, Tempo, 649773
1, 9070, Tempo, 653666
1, 9095, Tempo, 657534
1, 9120, Tempo, 634719
1, 9196, Tempo, 638366
1, 9247, Tempo, 642123
1, 9297, Tempo, 645925
1, 9373, Tempo, 649773
1, 9423, Tempo, 653666
1, 9474, Tempo, 657534
1, 9520, Tempo, 742207
1, 9600, Tempo, 645925
1, 10080, Tempo, 623830
1, 10480, Tempo, 708634
1, 10560, Tempo, 645925
1, 11040, Tempo, 631048
1, 11440, Tempo, 713182
1, 11520, Tempo, 642123
1, 12000, Tempo, 627418
1, 12480, Tempo, 642123
1, 12960, Tempo, 631048
1, 13360, Tempo, 704060
1, 13440, Tempo, 627418
1, 13491, Tempo, 609942
1, 13516, Tempo, 609942
1, 13617, Tempo, 613371
1, 13794, Tempo, 620347
1, 13819, Tempo, 620347
1, 13870, Tempo, 623830
1, 13996, Tempo, 616840
1, 14072, Tempo, 609942
1, 14173, Tempo, 613371
1, 14274, Tempo, 616840
1, 14350, Tempo, 620347
1, 14400, Tempo, 638366
1, 14476, Tempo, 616840
1, 14779, Tempo, 631048
1, 14830, Tempo, 634719
1, 14880, Tempo, 627418
1, 15032, Tempo, 631048
1, 15183, Tempo, 634719
1, 15280, Tempo, 682128
1, 15360, Tempo, 638366
1, 15436, Tempo, 616840
1, 15487, Tempo, 620347
1, 15613, Tempo, 623830
1, 15739, Tempo, 627418
1, 15866, Tempo, 631048
1, 15916, Tempo, 634719
1, 15941, Tempo, 638366
1, 15967, Tempo, 642123
1, 16017, Tempo, 645925
1, 16042, Tempo, 649773
1, 16068, Tempo, 653666
1, 16118, Tempo, 657534
1, 16143, Tempo, 661521
1, 16169, Tempo, 665557
1, 16240, Tempo, 768246
1, 16320, Tempo, 686420
1, 16800, Tempo, 645925
1, 16800, Marker_t, "Teil 1 Wiederholung"
1, 17160, Tempo, 713182
1, 17280, Tempo, 645925
1, 17760, Tempo, 623830
1, 18160, Tempo, 708634
1, 18240, Tempo, 645925
1, 18720, Tempo, 631048
1, 19120, Tempo, 713182
1, 19200, Tempo, 642123
1, 19680, Tempo, 627418
1, 20160, Tempo, 642123
1, 20640, Tempo, 631048
1, 21040, Tempo, 704060
1, 21120, Tempo, 627418
1, 21171, Tempo, 616713
1, 21474, Tempo, 626370
1, 21499, Tempo, 631048
1, 21550, Tempo, 634719
1, 21676, Tempo, 616840
1, 21701, Tempo, 623118
1, 21954, Tempo, 631048
1, 22030, Tempo, 634719
1, 22080, Tempo, 638366
1, 22156, Tempo, 616840
1, 22232, Tempo, 620347
1, 22459, Tempo, 631048
1, 22510, Tempo, 634719
1, 22560, Tempo, 627418
1, 22712, Tempo, 631048
1, 22863, Tempo, 634719
1, 22960, Tempo, 682128
1, 23040, Tempo, 634719
1, 23066, Tempo, 620347
1, 23167, Tempo, 623830
1, 23242, Tempo, 627418
1, 23343, Tempo, 631048
1, 23419, Tempo, 634719
1, 23495, Tempo, 638366
1, 23520, Tempo, 623830
1, 23697, Tempo, 627418
1, 23874, Tempo, 631048
1, 24026, Tempo, 634719
1, 24076, Tempo, 634719
1, 24101, Tempo, 623830
1, 24152, Tempo, 627418
1, 24202, Tempo, 631048
1, 24228, Tempo, 634719
1, 24278, Tempo, 638366
1, 24303, Tempo, 642123
1, 24354, Tempo, 645925
1, 24379, Tempo, 649773
1, 24430, Tempo, 653666
1, 24455, Tempo, 657534
1, 24480, Tempo, 636335
1, 24531, Tempo, 639727
1, 24556, Tempo, 643156
1, 24607, Tempo, 646621
1, 24632, Tempo, 650125
1, 24657, Tempo, 653666
1, 24708, Tempo, 657246
1, 24733, Tempo, 660866
1, 24758, Tempo, 664525
1, 24809, Tempo, 668226
1, 24834, Tempo, 671968
1, 24859, Tempo, 675752
1, 24880, Tempo, 742207
1, 24960, Tempo, 645925
1, 25440, Tempo, 623830
1, 25840, Tempo, 708634
1, 25920, Tempo, 645925
1, 26400, Tempo, 631048
1, 26800, Tempo, 713182
1, 26880, Tempo, 642123
1, 27360, Tempo, 627418
1, 27840, Tempo, 642123
1, 28320, Tempo, 631048
1, 28720, Tempo, 704060
1, 28800, Tempo, 671968
1, 28851, Tempo, 609942
1, 28876, Tempo, 609942
1, 29230, Tempo, 623830
1, 29356, Tempo, 616840
1, 29421, Tempo, 613560
1, 29522, Tempo, 616713
1, 29623, Tempo, 619899
1, 29724, Tempo, 623118
1, 29760, Tempo, 638366
1, 29836, Tempo, 616840
1, 29840, Tempo, 610438
1, 30240, Tempo, 627418
1, 30392, Tempo, 631048
1, 30543, Tempo, 634719
1, 30640, Tempo, 682128
1, 30720, Tempo, 638366
1, 30796, Tempo, 616840
1, 30847, Tempo, 620347
1, 30973, Tempo, 623830
1, 31099, Tempo, 627418
1, 31226, Tempo, 631048
1, 31276, Tempo, 634719
1, 31301, Tempo, 638366
1, 31327, Tempo, 642123
1, 31377, Tempo, 645925
1, 31402, Tempo, 649773
1, 31428, Tempo, 653666
1, 31478, Tempo, 657534
1, 31503, Tempo, 661521
1, 31529, Tempo, 665557
1, 31600, Tempo, 768246
1, 31680, Tempo, 686420
1, 32160, Tempo, 645925
1, 32160, Marker_t, "Teil 2"
1, 32520, Tempo, 713182
1, 32640, Tempo, 645925
1, 32760, Tempo, 627418
1, 33120, Tempo, 623830
1, 33520, Tempo, 708634
1, 33600, Tempo, 623830
1, 34080, Tempo, 616840
1, 34480, Tempo, 677890
1, 34560, Tempo, 631048
1, 34800, Tempo, 620347
1, 35040, Tempo, 634719
1, 35280, Tempo, 616840
1, 35520, Tempo, 627418
1, 35680, Tempo, 616840
1, 36000, Tempo, 634719
1, 36240, Tempo, 620347
1, 36400, Tempo, 695088
1, 36480, Tempo, 616840
1, 36560, Tempo, 620347
1, 36960, Tempo, 613371
1, 37440, Tempo, 616840
1, 37520, Tempo, 609942
1, 37920, Tempo, 616840
1, 38320, Tempo, 713182
1, 38400, Tempo, 631048
1, 38478, Tempo, 627418
1, 38504, Tempo, 623830
1, 38560, Tempo, 609942
1, 38880, Tempo, 623118
1, 39840, Tempo, 616840
1, 40320, Tempo, 645925
1, 40400, Tempo, 620347
1, 40800, Tempo, 623830
1, 41280, Tempo, 616840
1, 41760, Tempo, 620347
1, 41920, Tempo, 631048
1, 42160, Tempo, 713182
1, 42240, Tempo, 623830
1, 42254, Tempo, 616840
1, 42734, Tempo, 616840
1, 43134, Tempo, 713182
1, 43200, Tempo, 616840
1, 43214, Tempo, 616840
1, 43614, Tempo, 713182
1, 43680, Tempo, 616840
1, 43694, Tempo, 616840
1, 44080, Tempo, 779221
1, 44160, Tempo, 665557
1, 44211, Tempo, 609942
1, 44236, Tempo, 609942
1, 44337, Tempo, 613371
1, 44438, Tempo, 616840
1, 44514, Tempo, 620347
1, 44539, Tempo, 620347
1, 44590, Tempo, 623830
1, 44716, Tempo, 616840
1, 44792, Tempo, 609942
1, 44893, Tempo, 613371
1, 44994, Tempo, 616840
1, 45070, Tempo, 620347
1, 45120, Tempo, 638366
1, 45196, Tempo, 616840
1, 45272, Tempo, 620347
1, 45348, Tempo, 623830
1, 45423, Tempo, 627418
1, 45499, Tempo, 631048
1, 45550, Tempo, 634719
1, 45600, Tempo, 627418
1, 45752, Tempo, 631048
1, 45903, Tempo, 634719
1, 46000, Tempo, 682128
1, 46080, Tempo, 638366
1, 46156, Tempo, 616840
1, 46207, Tempo, 620347
1, 46333, Tempo, 623830
1, 46459, Tempo, 627418
