0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Etueden Opus 109"
1, 0, Title_t, "Die Sylphen"
1, 0, Copyright_t, "Copyright © 2012 by Bernd Krueger"
1, 0, Text_t, "Friedrich Burgmueller"
1, 0, Text_t, "Vivo"
1, 0, Text_t, "Erstellt: 5.4.2012\012"
1, 0, Text_t, "Dauer: 1:30 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 3, 12, 8
1, 0, Key_signature, -2, "major"
1, 0, Tempo, 459453
1, 0, Marker_t, "Einleitung"
1, 240, Tempo, 516396
1, 480, Tempo, 530551
1, 720, Tempo, 464792
1, 960, Tempo, 514183
1, 1200, Tempo, 535284
1, 1440, Tempo, 466599
1, 1680, Tempo, 516396
1, 1920, Tempo, 532907
1, 2160, Tempo, 466599
1, 2400, Tempo, 514183
1, 2640, Tempo, 530551
1, 2880, Tempo, 468750
1, 3120, Tempo, 516396
1, 3360, Tempo, 571157
1, 3480, Tempo, 619515
1, 3600, Tempo, 589565
1, 4320, Tempo, 468421
1, 4560, Tempo, 500793
1, 4680, Tempo, 519796
1, 4800, Tempo, 619515
1, 5040, Tempo, 514889
1, 5760, Tempo, 453241
1, 5760, Marker_t, "Teil 1"
1, 6000, Tempo, 572028
1, 6240, Tempo, 453241
1, 6480, Tempo, 500793
1, 6720, Tempo, 496278
1, 6960, Tempo, 505433
1, 7200, Tempo, 512514
1, 7440, Tempo, 494030
1, 7680, Tempo, 514889
1, 7920, Tempo, 498546
1, 8400, Tempo, 553863
1, 8640, Tempo, 453241
1, 8880, Tempo, 556122
1, 9120, Tempo, 453241
1, 9360, Tempo, 500793
1, 9600, Tempo, 496278
1, 9840, Tempo, 505433
1, 10080, Tempo, 512514
1, 10320, Tempo, 494030
1, 10560, Tempo, 514889
1, 10800, Tempo, 498546
1, 11280, Tempo, 545603
1, 11520, Tempo, 453241
1, 11760, Tempo, 553557
1, 12000, Tempo, 453241
1, 12240, Tempo, 500793
1, 12480, Tempo, 496278
1, 12720, Tempo, 505433
1, 12960, Tempo, 512514
1, 13200, Tempo, 494030
1, 13440, Tempo, 514889
1, 13680, Tempo, 498546
1, 14160, Tempo, 545603
1, 14400, Tempo, 453241
1, 14640, Tempo, 548496
1, 14880, Tempo, 453241
1, 15120, Tempo, 500793
1, 15360, Tempo, 496278
1, 15600, Tempo, 505433
1, 15840, Tempo, 512514
1, 16080, Tempo, 494030
1, 16320, Tempo, 514889
1, 16560, Tempo, 498546
1, 17040, Tempo, 556690
1, 17280, Tempo, 453241
1, 17520, Tempo, 553557
1, 17760, Tempo, 453241
1, 18000, Tempo, 500793
1, 18240, Tempo, 496278
1, 18480, Tempo, 505433
1, 18720, Tempo, 470736
1, 18960, Tempo, 494030
1, 19200, Tempo, 545603
1, 19440, Tempo, 498546
1, 19920, Tempo, 512514
1, 20160, Tempo, 453241
1, 20400, Tempo, 556122
1, 20640, Tempo, 453241
1, 20880, Tempo, 500793
1, 21120, Tempo, 496278
1, 21360, Tempo, 505433
1, 21600, Tempo, 470736
1, 21840, Tempo, 494030
1, 22080, Tempo, 545603
1, 22320, Tempo, 498546
1, 22800, Tempo, 548346
1, 23040, Tempo, 448799
1, 23280, Tempo, 487448
1, 23520, Tempo, 505433
1, 23760, Tempo, 442184
1, 24000, Tempo, 487448
1, 24240, Tempo, 500793
1, 24480, Tempo, 437350
1, 24720, Tempo, 476607
1, 24960, Tempo, 496278
1, 25200, Tempo, 428480
1, 25440, Tempo, 463714
1, 25680, Tempo, 492247
1, 25920, Tempo, 425864
1, 26160, Tempo, 461929
1, 26400, Tempo, 490236
1, 26640, Tempo, 436999
1, 26880, Tempo, 500793
1, 27120, Tempo, 556690
1, 27360, Tempo, 456656
1, 27600, Tempo, 500793
1, 27680, Tempo, 529801
1, 27840, Tempo, 556690
1, 28080, Tempo, 583317
1, 28320, Tempo, 562377
1, 28800, Tempo, 431997
1, 29040, Tempo, 454925
1, 29280, Tempo, 502555
1, 29520, Tempo, 436713
1, 29760, Tempo, 460158
1, 30000, Tempo, 526824
1, 30240, Tempo, 481039
1, 30480, Tempo, 574163
1, 30720, Tempo, 667482
1, 30960, Key_signature, 1, "major"
1, 30960, Tempo, 491441
1, 30960, Marker_t, "Teil 2"
1, 31200, Tempo, 510247
1, 31440, Tempo, 582016
1, 31680, Tempo, 503821
1, 31920, Tempo, 523606
1, 32160, Tempo, 590609
1, 32400, Tempo, 497554
1, 32640, Tempo, 523606
1, 32880, Tempo, 582016
1, 33120, Tempo, 495499
1, 33360, Tempo, 454925
1, 33600, Tempo, 582016
1, 33840, Tempo, 495499
1, 34080, Tempo, 510247
1, 34320, Tempo, 565558
1, 34560, Tempo, 503821
1, 34800, Tempo, 512426
1, 35040, Tempo, 530551
1, 35280, Tempo, 497554
1, 35520, Tempo, 523606
1, 35760, Tempo, 582016
1, 36000, Tempo, 495499
1, 36240, Tempo, 458400
1, 36480, Tempo, 582016
1, 36720, Tempo, 495499
1, 36960, Tempo, 510247
1, 37200, Tempo, 555093
1, 37440, Tempo, 503821
1, 37680, Tempo, 523606
1, 37920, Tempo, 573669
1, 38160, Tempo, 497554
1, 38400, Tempo, 523606
1, 38640, Tempo, 624415
1, 38880, Tempo, 495499
1, 39120, Tempo, 510247
1, 39360, Tempo, 542545
1, 39600, Tempo, 503821
1, 39840, Tempo, 523606
1, 40080, Tempo, 552537
1, 40320, Tempo, 497554
1, 40560, Tempo, 523606
1, 40800, Tempo, 582016
1, 41040, Tempo, 497554
1, 41280, Tempo, 523606
1, 41520, Tempo, 525901
1, 41760, Tempo, 514624
1, 42000, Tempo, 528216
1, 42240, Tempo, 658689
1, 42480, Tempo, 495499
1, 42480, Marker_t, "Teil 2 Wiederholung"
1, 42720, Tempo, 510247
1, 42960, Tempo, 614188
1, 43200, Tempo, 503821
1, 43440, Tempo, 523606
1, 43680, Tempo, 590609
1, 43920, Tempo, 497554
1, 44160, Tempo, 523606
1, 44400, Tempo, 582016
1, 44640, Tempo, 495499
1, 44880, Tempo, 445467
1, 45120, Tempo, 582016
1, 45360, Tempo, 495499
1, 45600, Tempo, 510247
1, 45840, Tempo, 565558
1, 46080, Tempo, 503821
1, 46320, Tempo, 518627
1, 46560, Tempo, 542054
1, 46800, Tempo, 497554
1, 47040, Tempo, 523606
1, 47280, Tempo, 582016
1, 47520, Tempo, 495499
1, 47760, Tempo, 452182
1, 48000, Tempo, 582016
1, 48240, Tempo, 495499
1, 48480, Tempo, 510247
1, 48720, Tempo, 555093
1, 48960, Tempo, 503821
1, 49200, Tempo, 523606
1, 49440, Tempo, 587142
1, 49680, Tempo, 497554
1, 49920, Tempo, 523606
1, 50160, Tempo, 624415
1, 50400, Tempo, 495499
1, 50640, Tempo, 510247
1, 50880, Tempo, 542545
1, 51120, Tempo, 503821
1, 51360, Tempo, 523606
1, 51600, Tempo, 552537
1, 51840, Tempo, 505519
1, 52080, Tempo, 523606
1, 52320, Tempo, 582016
1, 52560, Tempo, 501295
1, 52800, Tempo, 523606
1, 53040, Tempo, 602470
1, 53280, Tempo, 514624
1, 53280, Marker_t, "Teil 3"
1, 53520, Tempo, 528216
1, 53760, Tempo, 568236
1, 54000, Tempo, 514624
1, 54240, Tempo, 528216
1, 54480, Tempo, 550005
1, 54720, Tempo, 514624
1, 54960, Tempo, 528216
1, 55200, Tempo, 550005
1, 55440, Tempo, 514624
1, 55680, Tempo, 528216
1, 55920, Tempo, 555093
1, 56160, Tempo, 514624
1, 56400, Tempo, 528216
1, 56640, Tempo, 568236
1, 56880, Tempo, 519076
1, 57120, Tempo, 540103
1, 57360, Tempo, 587717
1, 57600, Tempo, 568236
1, 57840, Tempo, 599460
1, 58080, Tempo, 648018
1, 58320, Tempo, 579206
1, 58560, Tempo, 630981
1, 58800, Tempo, 716932
1, 59040, Key_signature, -2, "major"
1, 59040, Tempo, 453241
1, 59040, Marker_t, "Teil 1 Wiederholung"
1, 59280, Tempo, 572028
1, 59520, Tempo, 453241
1, 59760, Tempo, 500793
1, 60000, Tempo, 496278
1, 60240, Tempo, 505433
1, 60480, Tempo, 512514
1, 60720, Tempo, 494030
1, 60960, Tempo, 530082
1, 61200, Tempo, 498546
1, 61680, Tempo, 553863
1, 61920, Tempo, 453241
1, 62160, Tempo, 556122
1, 62400, Tempo, 453241
1, 62640, Tempo, 500793
1, 62880, Tempo, 496278
1, 63120, Tempo, 505433
1, 63360, Tempo, 512514
1, 63600, Tempo, 494030
1, 63840, Tempo, 514889
1, 64080, Tempo, 498546
1, 64560, Tempo, 557155
1, 64800, Tempo, 453241
1, 65040, Tempo, 553557
1, 65280, Tempo, 453241
1, 65520, Tempo, 500793
1, 65760, Tempo, 496278
1, 66000, Tempo, 505433
1, 66240, Tempo, 512514
1, 66480, Tempo, 494030
1, 66720, Tempo, 525440
1, 66960, Tempo, 498546
1, 67440, Tempo, 545603
1, 67680, Tempo, 453241
1, 67920, Tempo, 548496
1, 68160, Tempo, 453241
1, 68400, Tempo, 500793
1, 68640, Tempo, 496278
1, 68880, Tempo, 505433
1, 69120, Tempo, 512514
1, 69360, Tempo, 494030
1, 69600, Tempo, 514889
1, 69840, Tempo, 498546
1, 70320, Tempo, 556690
1, 70560, Tempo, 453241
1, 70800, Tempo, 553557
1, 71040, Tempo, 453241
1, 71280, Tempo, 500793
1, 71520, Tempo, 496278
1, 71760, Tempo, 505433
1, 72000, Tempo, 470736
1, 72240, Tempo, 494030
1, 72480, Tempo, 545603
1, 72720, Tempo, 498546
1, 73200, Tempo, 512514
1, 73440, Tempo, 453241
1, 73680, Tempo, 556122
1, 73920, Tempo, 453241
1, 74160, Tempo, 500793
1, 74400, Tempo, 496278
1, 74640, Tempo, 505433
1, 74880, Tempo, 470736
1, 75120, Tempo, 494030
1, 75360, Tempo, 545603
1, 75600, Tempo, 498546
1, 76080, Tempo, 548346
1, 76320, Tempo, 440529
1, 76560, Tempo, 487448
1, 76800, Tempo, 505433
1, 77040, Tempo, 435287
1, 77280, Tempo, 487448
1, 77520, Tempo, 500793
1, 77760, Tempo, 433557
1, 78000, Tempo, 476607
1, 78240, Tempo, 496278
1, 78480, Tempo, 428480
1, 78720, Tempo, 463714
1, 78960, Tempo, 492247
