0, 0, Header, 1, 7, 480
1, 0, Start_track
1, 0, Title_t, "Etueden Opus 109"
1, 0, Title_t, "Trennung"
1, 0, Copyright_t, "Copyright © 2012 by Bernd Krueger"
1, 0, Text_t, "Friedrich Burgmueller"
1, 0, Text_t, "Allegro vivace"
1, 0, Text_t, "Erstellt: 28.3.2012\012"
1, 0, Text_t, "Dauer: 1:19 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 452182
1, 1440, Marker_t, "Teil 1"
1, 1920, Tempo, 445467
1, 2400, Tempo, 443820
1, 2880, Tempo, 442184
1, 3360, Tempo, 457352
1, 3840, Tempo, 442184
1, 5280, Tempo, 452182
1, 5760, Tempo, 447127
1, 6240, Tempo, 442184
1, 6720, Tempo, 440561
1, 7200, Tempo, 464432
1, 7680, Tempo, 443820
1, 8160, Tempo, 447127
1, 8640, Tempo, 455615
1, 9120, Tempo, 487053
1, 9280, Tempo, 516396
1, 9440, Tempo, 554580
1, 9600, Tempo, 462642
1, 10080, Tempo, 455615
1, 10560, Tempo, 448799
1, 11040, Tempo, 462642
1, 11520, Tempo, 448799
1, 12000, Tempo, 455615
1, 12120, Tempo, 453892
1, 12480, Tempo, 447127
1, 12960, Tempo, 460865
1, 13120, Tempo, 485084
1, 13280, Tempo, 511989
1, 13440, Tempo, 570396
1, 13600, Tempo, 518627
1, 13920, Tempo, 493056
1, 14080, Tempo, 479272
1, 14400, Tempo, 460865
1, 14880, Tempo, 469888
1, 15040, Tempo, 485084
1, 15200, Tempo, 499210
1, 15360, Tempo, 466237
1, 15680, Tempo, 495090
1, 15840, Tempo, 477365
1, 16000, Tempo, 511989
1, 16160, Tempo, 592944
1, 16320, Tempo, 540103
1, 16800, Tempo, 452182
1, 16800, Marker_t, "Teil 1 - Wiederholung"
1, 17280, Tempo, 445467
1, 17760, Tempo, 443820
1, 18240, Tempo, 442184
1, 18720, Tempo, 457352
1, 19200, Tempo, 442184
1, 20640, Tempo, 452182
