0, 0, Header, 1, 9, 480
1, 0, Start_track
1, 0, Title_t, "Chopin Prelude  No. 15, Opus 28"
1, 0, Copyright_t, "Copyright © 2002 by Bernd Krueger "
1, 0, Text_t, "Frederic Chopin"
1, 0, Text_t, "Sostenuto"
1, 0, Text_t, "Fertiggestellt am  28.09.2002\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 20.7.2003\012"
1, 0, Text_t, "Update am 20.6.2010\012"
1, 0, Text_t, "Update am 21.2.2014\012"
1, 0, Text_t, "Dauer:4:36 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -5, "major"
1, 0, Tempo, 806235
1, 0, Marker_t, "Thema"
1, 360, Tempo, 838457
1, 720, Tempo, 759494
1, 960, Tempo, 745342
1, 1200, Tempo, 731707
1, 1440, Tempo, 771605
1, 1680, Tempo, 811359
1, 2160, Tempo, 781148
1, 2400, Tempo, 766871
1, 2640, Tempo, 736196
1, 2880, Tempo, 745342
1, 3360, Tempo, 806235
1, 3600, Tempo, 822030
1, 3840, Tempo, 795967
1, 4200, Tempo, 822030
1, 4560, Tempo, 786061
1, 4800, Tempo, 769231
1, 5040, Tempo, 740741
1, 5280, Tempo, 795967
1, 5520, Tempo, 827358
1, 5760, Tempo, 801068
1, 5800, Tempo, 776297
1, 6000, Tempo, 771605
1, 6480, Tempo, 801068
1, 6960, Tempo, 822030
1, 7200, Tempo, 904841
1, 7240, Tempo, 898338
1, 7280, Tempo, 891928
1, 7300, Tempo, 885740
1, 7340, Tempo, 879507
1, 7380, Tempo, 873362
1, 7400, Tempo, 867303
1, 7420, Tempo, 882353
1, 7440, Tempo, 895522
1, 7460, Tempo, 909091
1, 7480, Tempo, 923077
1, 7500, Tempo, 937500
1, 7520, Tempo, 952381
1, 7540, Tempo, 975610
1, 7560, Tempo, 991736
1, 7580, Tempo, 1008403
1, 7600, Tempo, 1025641
1, 7620, Tempo, 1043478
1, 7640, Tempo, 1061947
1, 7660, Tempo, 1090909
1, 7680, Tempo, 827586
1, 8040, Tempo, 838457
1, 8400, Tempo, 771605
1, 8640, Tempo, 757576
1, 8880, Tempo, 744140
1, 9120, Tempo, 771605
1, 9360, Tempo, 811359
1, 9840, Tempo, 766871
1, 10320, Tempo, 748596
1, 10560, Tempo, 762195
1, 11040, Tempo, 806235
1, 11280, Tempo, 822030
1, 11520, Tempo, 795967
1, 11880, Tempo, 822030
1, 12240, Tempo, 750000
1, 12480, Tempo, 740741
1, 12720, Tempo, 781148
1, 12960, Tempo, 795967
1, 13200, Tempo, 827358
1, 13440, Tempo, 776297
1, 13680, Tempo, 771605
1, 14160, Tempo, 801068
1, 14640, Tempo, 790931
1, 14880, Tempo, 801068
1, 15120, Tempo, 838457
1, 15360, Tempo, 801068
1, 15600, Tempo, 776297
1, 15840, Tempo, 738007
1, 16080, Tempo, 776297
1, 16560, Tempo, 801068
1, 16800, Tempo, 790931
1, 17040, Tempo, 795967
1, 17280, Tempo, 730816
1, 17520, Tempo, 771605
1, 17760, Tempo, 786061
1, 18000, Tempo, 821918
1, 18480, Tempo, 784314
1, 18680, Tempo, 776297
1, 18720, Tempo, 805369
1, 18960, Tempo, 833333
1, 19200, Tempo, 789474
1, 19440, Tempo, 736196
1, 19680, Tempo, 748596
1, 20400, Tempo, 776297
1, 20520, Tempo, 849738
1, 20640, Tempo, 781148
1, 20880, Tempo, 816660
1, 21120, Tempo, 786061
1, 21360, Tempo, 806235
1, 21600, Tempo, 771605
1, 21640, Tempo, 753107
1, 21840, Tempo, 776297
1, 22080, Tempo, 766871
1, 22800, Tempo, 806235
1, 23520, Tempo, 806235
1, 23760, Tempo, 757576
1, 24240, Tempo, 730816
1, 24480, Tempo, 795967
1, 24720, Tempo, 832871
1, 24960, Tempo, 730816
1, 25200, Tempo, 766871
1, 25440, Tempo, 801068
1, 25680, Tempo, 838457
1, 25920, Tempo, 811359
1, 26160, Tempo, 771605
1, 26640, Tempo, 795967
1, 26880, Tempo, 753107
1, 27120, Tempo, 766871
1, 27360, Tempo, 786061
1, 27840, Tempo, 786061
1, 28200, Tempo, 867303
1, 28320, Tempo, 801068
1, 28800, Tempo, 786061
1, 29040, Tempo, 811359
1, 29280, Tempo, 762195
1, 29760, Tempo, 771605
1, 30000, Tempo, 790931
1, 30040, Tempo, 806235
1, 30240, Tempo, 790931
1, 30480, Tempo, 827358
1, 30720, Tempo, 744140
1, 30960, Tempo, 762195
1, 31200, Tempo, 766871
1, 31440, Tempo, 811359
1, 31680, Tempo, 771605
1, 31920, Tempo, 790931
1, 32040, Tempo, 867303
1, 32160, Tempo, 790931
1, 32640, Tempo, 776297
1, 32880, Tempo, 806235
1, 33120, Tempo, 776297
1, 33600, Tempo, 790931
1, 33840, Tempo, 816660
1, 34080, Tempo, 795967
1, 34320, Tempo, 822030
1, 34560, Tempo, 801068
1, 35000, Tempo, 800000
1, 35120, Tempo, 805369
1, 35240, Tempo, 810811
1, 35360, Tempo, 816327
1, 35480, Tempo, 821918
1, 35520, Tempo, 839161
1, 35760, Tempo, 888889
1, 36000, Tempo, 923077
1, 36240, Tempo, 1047120
1, 36480, Tempo, 806235
1, 36840, Tempo, 838457
1, 37200, Tempo, 776297
1, 37440, Tempo, 738007
1, 37680, Tempo, 745342
1, 37920, Tempo, 771605
1, 38160, Tempo, 811359
1, 38640, Tempo, 776297
1, 38880, Tempo, 762195
1, 39120, Tempo, 762195
1, 39360, Tempo, 730816
1, 39480, Tempo, 760456
1, 39840, Tempo, 806235
1, 40080, Tempo, 822030
1, 40320, Tempo, 795967
1, 40680, Tempo, 822030
1, 41040, Tempo, 790931
1, 41520, Tempo, 762195
1, 41760, Tempo, 795967
1, 42000, Tempo, 827358
1, 42240, Tempo, 776297
1, 42480, Tempo, 771605
1, 42720, Tempo, 748596
1, 42960, Tempo, 801068
1, 43440, Tempo, 822030
1, 43660, Tempo, 898338
1, 43720, Tempo, 891928
1, 43760, Tempo, 885740
1, 43820, Tempo, 879507
1, 43860, Tempo, 873362
1, 43880, Tempo, 875912
1, 43900, Tempo, 882353
1, 43920, Tempo, 895522
1, 43940, Tempo, 902256
1, 43960, Tempo, 916031
1, 43980, Tempo, 930233
1, 44000, Tempo, 937500
1, 44020, Tempo, 952381
1, 44040, Tempo, 960000
1, 44060, Tempo, 975610
1, 44080, Tempo, 991736
1, 44100, Tempo, 1000000
1, 44120, Tempo, 1016949
1, 44140, Tempo, 1034483
1, 44160, Tempo, 827586
1, 44520, Tempo, 838457
1, 44880, Tempo, 776297
1, 45120, Tempo, 762195
