0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Etüde Opus 10 No. 5"
1, 0, Title_t, "Schwarze-Tasten-Etüde"
1, 0, Copyright_t, "Copyright © 1999 von Bernd Krüger."
1, 0, Text_t, "Chopin"
1, 0, Text_t, "Vivace"
1, 0, Text_t, "Fertiggestellt am 30.3.99\012"
1, 0, Text_t, "Update am 1.4.99\012"
1, 0, Text_t, "Update am 21.4.99\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Dauer: 1:31\012"
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, -6, "major"
1, 0, Tempo, 517241
1, 0, Marker_t, "Vivace"
1, 3360, Tempo, 530973
1, 3840, Tempo, 517241
1, 6480, Tempo, 538117
1, 7200, Tempo, 560748
1, 7680, Tempo, 530973
1, 7920, Tempo, 517241
1, 11040, Tempo, 526316
1, 11520, Tempo, 517241
1, 14160, Tempo, 533333
1, 14880, Tempo, 555556
1, 15360, Tempo, 528634
1, 15600, Tempo, 524017
1, 15840, Tempo, 512821
1, 16080, Tempo, 517241
1, 16320, Tempo, 528634
1, 16560, Tempo, 510638
1, 16800, Tempo, 517241
1, 17520, Tempo, 528634
1, 17760, Tempo, 512821
1, 19200, Tempo, 526316
1, 19680, Tempo, 517241
1, 20880, Tempo, 535714
1, 21120, Tempo, 524017
1, 21600, Tempo, 517241
1, 22080, Tempo, 528634
1, 22320, Tempo, 519481
1, 22800, Tempo, 533333
1, 23040, Tempo, 533333
1, 23280, Tempo, 524017
1, 24960, Tempo, 530973
1, 25440, Tempo, 524017
1, 28800, Tempo, 533333
1, 29760, Tempo, 550459
1, 30480, Tempo, 585366
1, 30720, Tempo, 530973
1, 32160, Tempo, 550459
1, 32640, Tempo, 530973
1, 34080, Tempo, 550459
1, 34560, Tempo, 530973
1, 37440, Tempo, 528634
1, 37560, Tempo, 530973
1, 37680, Tempo, 533333
1, 37800, Tempo, 535714
1, 37920, Tempo, 538117
1, 38000, Tempo, 540541
1, 38040, Tempo, 542986
1, 38080, Tempo, 545455
1, 38120, Tempo, 547945
1, 38200, Tempo, 550459
1, 38240, Tempo, 552995
1, 38280, Tempo, 555556
1, 38320, Tempo, 558140
1, 38400, Tempo, 582016
1, 38880, Tempo, 530035
1, 39840, Tempo, 539714
1, 40320, Tempo, 557414
1, 40800, Tempo, 530035
1, 41760, Tempo, 542152
1, 42240, Tempo, 552995
1, 42480, Tempo, 530973
1, 42720, Tempo, 542986
1, 42960, Tempo, 568128
1, 43200, Tempo, 549702
1, 43680, Tempo, 539714
1, 43920, Tempo, 549702
1, 44160, Tempo, 560067
1, 44400, Tempo, 547146
1, 44640, Tempo, 560067
1, 44880, Tempo, 574163
1, 45120, Tempo, 576369
1, 45840, Tempo, 615195
1, 46041, Tempo, 621762
1, 46080, Tempo, 538117
1, 46320, Tempo, 517241
1, 49440, Tempo, 530973
1, 49920, Tempo, 517241
1, 52320, Tempo, 530973
1, 52800, Tempo, 550459
1, 53280, Tempo, 552995
1, 53320, Tempo, 555556
1, 53360, Tempo, 560748
1, 53400, Tempo, 566038
1, 53440, Tempo, 571429
1, 53480, Tempo, 576923
1, 53520, Tempo, 579710
1, 53560, Tempo, 585366
1, 53600, Tempo, 591133
1, 53640, Tempo, 597015
1, 53680, Tempo, 603015
1, 53720, Tempo, 609137
1, 53760, Tempo, 530973
1, 54000, Tempo, 517241
1, 55680, Tempo, 530973
1, 55920, Tempo, 517241
1, 57600, Tempo, 542986
1, 57840, Tempo, 526316
1, 58560, Tempo, 540541
1, 58800, Tempo, 526316
1, 59280, Tempo, 535714
1, 60000, Tempo, 547945
1, 60480, Tempo, 547945
1, 60960, Tempo, 521739
1, 61000, Tempo, 547945
1, 61040, Tempo, 552995
1, 61080, Tempo, 558140
1, 61120, Tempo, 563380
1, 61160, Tempo, 571429
1, 61200, Tempo, 576923
1, 61240, Tempo, 582524
1, 61280, Tempo, 591133
1, 61320, Tempo, 597015
1, 61360, Tempo, 603015
1, 61400, Tempo, 1481481
1, 61440, Tempo, 1000000
1, 61540, Tempo, 689655
1, 61560, Tempo, 631579
1, 61580, Tempo, 628272
1, 61600, Tempo, 625000
1, 61620, Tempo, 618557
1, 61640, Tempo, 615385
1, 61660, Tempo, 612245
1, 61680, Tempo, 606061
1, 61700, Tempo, 603015
1, 61720, Tempo, 600000
1, 61740, Tempo, 594059
1, 61760, Tempo, 591133
1, 61780, Tempo, 588235
1, 61800, Tempo, 582524
1, 61820, Tempo, 579710
1, 61840, Tempo, 576923
1, 61860, Tempo, 571429
1, 61880, Tempo, 568720
1, 61900, Tempo, 566038
1, 61920, Tempo, 560748
1, 61940, Tempo, 555556
1, 61980, Tempo, 558140
1, 62000, Tempo, 560748
1, 62040, Tempo, 563380
1, 62060, Tempo, 566038
1, 62080, Tempo, 568720
1, 62120, Tempo, 571429
1, 62140, Tempo, 574163
1, 62160, Tempo, 576923
1, 62200, Tempo, 579710
1, 62220, Tempo, 582524
1, 62240, Tempo, 585366
1, 62280, Tempo, 588235
1, 62300, Tempo, 591133
1, 62320, Tempo, 594059
1, 62340, Tempo, 794702
1, 62388, Tempo, 769231
1, 62400, Tempo, 571429
1, 63360, Tempo, 517241
1, 65280, Tempo, 528634
1, 65760, Tempo, 517241
1, 66000, Tempo, 526316
1, 66240, Tempo, 512821
1, 66480, Tempo, 526316
1, 66720, Tempo, 512821
1, 66960, Tempo, 526316
1, 67200, Tempo, 517241
1, 68400, Tempo, 528634
1, 68640, Tempo, 517241
1, 69360, Tempo, 526316
1, 69600, Tempo, 512821
1, 69840, Tempo, 524017
1, 70080, Tempo, 512821
1, 70320, Tempo, 524017
1, 70560, Tempo, 517241
1, 71040, Tempo, 530973
1, 71520, Tempo, 521739
1, 74880, Tempo, 530973
1, 75120, Tempo, 521739
1, 76800, Tempo, 519481
1, 77120, Tempo, 521739
1, 77440, Tempo, 524017
1, 77760, Tempo, 526316
1, 78080, Tempo, 528634
1, 78400, Tempo, 530973
1, 78720, Tempo, 779221
1, 78820, Tempo, 600000
1, 78880, Tempo, 603015
1, 78940, Tempo, 606061
1, 79000, Tempo, 609137
1, 79060, Tempo, 612245
1, 79100, Tempo, 615385
1, 79160, Tempo, 618557
1, 79220, Tempo, 621762
1, 79280, Tempo, 625000
1, 79340, Tempo, 628272
1, 79380, Tempo, 631579
1, 79440, Tempo, 634921
1, 79500, Tempo, 638298
1, 79560, Tempo, 641711
1, 79620, Tempo, 645161
1, 79660, Tempo, 648649
1, 79680, Tempo, 701754
1, 80128, Tempo, 1463415
1, 80160, Tempo, 789474
1, 81600, Marker_t, "Fine"
1, 81600, End_track
2, 0, Start_track
2, 0, MIDI_port, 0
2, 0, Title_t, "Piano right"
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 100
2, 0, Control_c, 0, 91, 127
2, 0, Control_c, 0, 64, 0
2, 1, Note_on_c, 0, 90, 99
2, 80, Note_on_c, 0, 94, 76
2, 81, Note_on_c, 0, 90, 0
2, 160, Note_on_c, 0, 94, 0
2, 160, Note_on_c, 0, 85, 69
2, 240, Note_on_c, 0, 85, 0
2, 240, Note_on_c, 0, 90, 93
2, 320, Note_on_c, 0, 90, 0
2, 320, Note_on_c, 0, 87, 79
2, 400, Note_on_c, 0, 87, 0
2, 400, Note_on_c, 0, 90, 73
2, 480, Note_on_c, 0, 90, 0
2, 480, Note_on_c, 0, 85, 92
2, 560, Note_on_c, 0, 85, 0
2, 560, Note_on_c, 0, 90, 78
2, 640, Note_on_c, 0, 90, 0
2, 640, Note_on_c, 0, 82, 71
2, 720, Note_on_c, 0, 82, 0
2, 720, Note_on_c, 0, 85, 84
2, 800, Note_on_c, 0, 85, 0
2, 800, Note_on_c, 0, 78, 72
2, 880, Note_on_c, 0, 78, 0
2, 880, Note_on_c, 0, 82, 68
2, 960, Note_on_c, 0, 82, 0
2, 960, Note_on_c, 0, 78, 74
2, 1040, Note_on_c, 0, 78, 0
2, 1040, Note_on_c, 0, 82, 64
2, 1120, Note_on_c, 0, 82, 0
2, 1120, Note_on_c, 0, 73, 58
2, 1200, Note_on_c, 0, 73, 0
2, 1200, Note_on_c, 0, 78, 71
2, 1280, Note_on_c, 0, 78, 0
2, 1280, Note_on_c, 0, 75, 63
2, 1360, Note_on_c, 0, 75, 0
2, 1360, Note_on_c, 0, 78, 57
2, 1440, Note_on_c, 0, 78, 0
2, 1440, Note_on_c, 0, 73, 69
