0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Chopin Polonaise in Ab major Opus 53"
1, 0, Copyright_t, "Copyright © 2003 by Bernd Krueger "
1, 0, Text_t, "Frederic Chopin"
1, 0, Text_t, "Maestoso"
1, 0, Text_t, "Fertiggestellt am 12.6.2003\012"
1, 0, Text_t, "Update am 24.5.2010\012"
1, 0, Text_t, "Update am 27.2.2014\012"
1, 0, Text_t, "Dauer: 5:55 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -4, "major"
1, 0, Tempo, 545455
1, 720, Tempo, 439560
1, 800, Tempo, 437956
1, 840, Tempo, 436364
1, 880, Tempo, 434783
1, 920, Tempo, 433213
1, 960, Tempo, 431655
1, 1000, Tempo, 430108
1, 1040, Tempo, 428571
1, 1080, Tempo, 427046
1, 1120, Tempo, 425532
1, 1160, Tempo, 424028
1, 1200, Tempo, 422535
1, 1240, Tempo, 421053
1, 1280, Tempo, 419580
1, 1320, Tempo, 418118
1, 1360, Tempo, 416667
1, 1400, Tempo, 415225
1, 1440, Tempo, 600000
1, 1920, Tempo, 638298
1, 2040, Tempo, 697837
1, 2400, Tempo, 689655
1, 2880, Tempo, 723066
1, 3360, Tempo, 558140
1, 4320, Tempo, 558140
1, 4440, Tempo, 555556
1, 4560, Tempo, 552995
1, 4680, Tempo, 550459
1, 4800, Tempo, 547945
1, 4920, Tempo, 545455
1, 5040, Tempo, 542986
1, 5160, Tempo, 540541
1, 5280, Tempo, 538117
1, 5400, Tempo, 535714
1, 5520, Tempo, 533333
1, 5640, Tempo, 530973
1, 5720, Tempo, 528634
1, 5760, Tempo, 571429
1, 6480, Tempo, 495868
1, 6520, Tempo, 425532
1, 6600, Tempo, 424028
1, 6680, Tempo, 422535
1, 6760, Tempo, 421053
1, 6840, Tempo, 419580
1, 6880, Tempo, 418118
1, 6960, Tempo, 416667
1, 7040, Tempo, 415225
1, 7120, Tempo, 413793
1, 7160, Tempo, 412371
1, 7200, Tempo, 600000
1, 7680, Tempo, 693802
1, 8160, Tempo, 681818
1, 9120, Tempo, 555556
1, 10080, Tempo, 552995
1, 10240, Tempo, 550459
1, 10400, Tempo, 547945
1, 10560, Tempo, 545455
1, 10720, Tempo, 542986
1, 10880, Tempo, 540541
1, 11040, Tempo, 538117
1, 11200, Tempo, 535714
1, 11360, Tempo, 533333
1, 11480, Tempo, 530973
1, 11520, Tempo, 545455
1, 12240, Tempo, 424028
1, 12320, Tempo, 422535
1, 12360, Tempo, 421053
1, 12400, Tempo, 419580
1, 12480, Tempo, 418118
1, 12520, Tempo, 416667
1, 12560, Tempo, 415225
1, 12640, Tempo, 413793
1, 12680, Tempo, 412371
1, 12720, Tempo, 410959
1, 12800, Tempo, 409556
1, 12840, Tempo, 408163
1, 12880, Tempo, 406780
1, 12920, Tempo, 405405
1, 12960, Tempo, 600000
1, 13440, Tempo, 634921
1, 13920, Tempo, 621762
1, 13960, Tempo, 689655
1, 14400, Tempo, 579710
1, 15120, Tempo, 430108
1, 15160, Tempo, 428571
1, 15200, Tempo, 427046
1, 15240, Tempo, 425532
1, 15280, Tempo, 424028
1, 15320, Tempo, 422535
1, 15360, Tempo, 421053
1, 15400, Tempo, 419580
1, 15440, Tempo, 418118
1, 15480, Tempo, 416667
1, 15520, Tempo, 415225
1, 15560, Tempo, 413793
1, 15600, Tempo, 412371
1, 15640, Tempo, 410959
1, 15680, Tempo, 409556
1, 15720, Tempo, 408163
1, 15760, Tempo, 406780
1, 15800, Tempo, 405405
1, 15840, Tempo, 600000
1, 16320, Tempo, 618557
1, 16800, Tempo, 666667
1, 17280, Tempo, 550459
1, 17760, Tempo, 545455
1, 17800, Tempo, 542986
1, 17840, Tempo, 540541
1, 17880, Tempo, 533333
1, 17960, Tempo, 530973
1, 18000, Tempo, 528634
1, 18040, Tempo, 526316
1, 18120, Tempo, 524017
1, 18160, Tempo, 521739
1, 18200, Tempo, 519481
1, 18240, Tempo, 517241
1, 18320, Tempo, 515021
1, 18360, Tempo, 512821
1, 18400, Tempo, 510638
1, 18440, Tempo, 508475
1, 18520, Tempo, 506329
1, 18560, Tempo, 504202
1, 18600, Tempo, 502092
1, 18640, Tempo, 500000
1, 18760, Tempo, 506329
1, 18840, Tempo, 508475
1, 18960, Tempo, 510638
1, 19080, Tempo, 512821
1, 19160, Tempo, 515021
1, 19200, Tempo, 521739
1, 19240, Tempo, 519481
1, 19280, Tempo, 517241
1, 19360, Tempo, 515021
1, 19400, Tempo, 512821
1, 19440, Tempo, 510638
1, 19520, Tempo, 508475
1, 19560, Tempo, 506329
1, 19600, Tempo, 504202
1, 19640, Tempo, 502092
1, 19720, Tempo, 504202
1, 19800, Tempo, 506329
1, 19840, Tempo, 508475
1, 19920, Tempo, 510638
1, 19960, Tempo, 512821
1, 20040, Tempo, 515021
1, 20080, Tempo, 517241
1, 20120, Tempo, 519481
1, 20160, Tempo, 524017
1, 20880, Tempo, 521739
1, 21560, Tempo, 519481
1, 21680, Tempo, 521739
1, 21760, Tempo, 524017
1, 21840, Tempo, 526316
1, 21960, Tempo, 528634
1, 22040, Tempo, 530973
1, 22120, Tempo, 533333
1, 22240, Tempo, 535714
1, 22320, Tempo, 538117
1, 22400, Tempo, 540541
1, 22480, Tempo, 538117
1, 22520, Tempo, 540541
1, 22550, Tempo, 538117
1, 22566, Tempo, 540541
1, 22578, Tempo, 545455
1, 22590, Tempo, 547945
1, 22606, Tempo, 552995
1, 22618, Tempo, 555556
1, 22630, Tempo, 560748
1, 22646, Tempo, 566038
1, 22658, Tempo, 568720
1, 22670, Tempo, 574163
1, 22686, Tempo, 576923
1, 22698, Tempo, 582524
1, 22710, Tempo, 585366
1, 22726, Tempo, 591133
1, 22738, Tempo, 597015
1, 22750, Tempo, 600000
1, 22766, Tempo, 606061
1, 22778, Tempo, 609137
1, 22790, Tempo, 615385
1, 22806, Tempo, 618557
1, 22818, Tempo, 625000
1, 22830, Tempo, 631579
1, 22846, Tempo, 634921
1, 22858, Tempo, 641711
