0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Chopin Mazurka Opus 7 No. 1"
1, 0, Copyright_t, "Copyright © 2003 by Bernd Krueger "
1, 0, Text_t, "Frederic Chopin"
1, 0, Text_t, "Vivace"
1, 0, Text_t, "Fertiggestellt am 3.7.2003\012"
1, 0, Text_t, "Update am 4.7.2010\012"
1, 0, Text_t, "Update am 11.2.2014\012"
1, 0, Text_t, "Dauer: 2:17 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -2, "major"
1, 0, Tempo, 416667
1, 480, Tempo, 401338
1, 1200, Tempo, 413793
1, 1480, Tempo, 400000
1, 2640, Tempo, 419580
1, 2880, Tempo, 406780
1, 3240, Tempo, 459770
1, 3360, Tempo, 421053
1, 3400, Tempo, 419580
1, 3440, Tempo, 416667
1, 3480, Tempo, 413793
1, 3520, Tempo, 410959
1, 3840, Tempo, 412371
1, 3880, Tempo, 413793
1, 3960, Tempo, 415225
1, 4040, Tempo, 416667
1, 4080, Tempo, 443787
1, 4280, Tempo, 422535
1, 4320, Tempo, 528169
1, 4680, Tempo, 324675
1, 4800, Tempo, 421053
1, 5280, Tempo, 419580
1, 5640, Tempo, 413793
1, 5760, Tempo, 493421
1, 6120, Tempo, 340909
1, 6280, Tempo, 424028
1, 6720, Tempo, 421053
1, 7120, Tempo, 413793
1, 7200, Tempo, 434783
1, 7240, Tempo, 434783
1, 7560, Tempo, 364078
1, 7680, Tempo, 422535
1, 8160, Tempo, 419580
1, 8400, Tempo, 428571
1, 8640, Tempo, 416667
1, 8680, Tempo, 418118
1, 8920, Tempo, 416667
1, 9160, Tempo, 415225
1, 9400, Tempo, 413793
1, 9640, Tempo, 412371
1, 9840, Tempo, 517241
1, 10080, Tempo, 431655
1, 10320, Tempo, 418118
1, 11040, Tempo, 431655
1, 11280, Tempo, 468750
1, 11520, Tempo, 559701
1, 11880, Tempo, 345622
1, 12040, Tempo, 424028
1, 12480, Tempo, 421053
1, 12880, Tempo, 413793
1, 12960, Tempo, 483871
1, 13320, Tempo, 362319
1, 13440, Tempo, 422535
1, 13920, Tempo, 419580
1, 14400, Tempo, 416667
1, 14440, Tempo, 418118
1, 14680, Tempo, 416667
1, 14920, Tempo, 415225
1, 15160, Tempo, 413793
1, 15400, Tempo, 412371
1, 15600, Tempo, 425532
1, 15840, Tempo, 419580
1, 16360, Tempo, 434783
1, 16800, Tempo, 442804
1, 17040, Tempo, 461538
1, 17280, Tempo, 425532
1, 17760, Tempo, 405405
1, 18480, Tempo, 413793
1, 18760, Tempo, 400000
1, 19920, Tempo, 419580
1, 20160, Tempo, 406780
1, 20520, Tempo, 459770
1, 20640, Tempo, 421053
1, 20680, Tempo, 419580
1, 20720, Tempo, 416667
1, 20760, Tempo, 413793
1, 20800, Tempo, 410959
1, 21120, Tempo, 412371
1, 21160, Tempo, 413793
1, 21240, Tempo, 415225
1, 21320, Tempo, 416667
1, 21360, Tempo, 563910
1, 21600, Tempo, 520833
1, 21960, Tempo, 352113
1, 22080, Tempo, 421053
1, 22560, Tempo, 419580
1, 22920, Tempo, 413793
1, 23040, Tempo, 490196
1, 23400, Tempo, 355450
1, 23560, Tempo, 424028
1, 24000, Tempo, 421053
1, 24240, Tempo, 442804
1, 24480, Tempo, 471698
1, 24840, Tempo, 358852
1, 24960, Tempo, 422535
1, 25440, Tempo, 419580
1, 25680, Tempo, 428571
1, 25920, Tempo, 416667
1, 25960, Tempo, 418118
1, 26200, Tempo, 416667
1, 26440, Tempo, 415225
1, 26680, Tempo, 413793
1, 26920, Tempo, 412371
1, 27120, Tempo, 530973
1, 27360, Tempo, 439560
1, 27600, Tempo, 419580
1, 27640, Tempo, 424028
1, 28320, Tempo, 431655
1, 28560, Tempo, 500000
1, 28800, Tempo, 524476
1, 29160, Tempo, 373134
1, 29320, Tempo, 424028
1, 29760, Tempo, 421053
1, 30160, Tempo, 413793
1, 30240, Tempo, 517241
1, 30600, Tempo, 373134
1, 30720, Tempo, 422535
1, 31200, Tempo, 419580
1, 31220, Tempo, 430108
1, 31240, Tempo, 442804
1, 31680, Tempo, 439560
1, 31840, Tempo, 437956
1, 32000, Tempo, 436364
1, 32160, Tempo, 434783
1, 32320, Tempo, 433213
1, 32480, Tempo, 431655
1, 32640, Tempo, 433213
1, 32880, Tempo, 465116
1, 33120, Tempo, 437956
1, 33160, Tempo, 447761
1, 34080, Tempo, 431655
