0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Clementi: Sonatine Opus 36 Nr. 5, 3. Satz"
1, 0, Title_t, "Romdo"
1, 0, Copyright_t, "Copyright © 2011 by Bernd Krueger"
1, 0, Text_t, "Muzio Clementi"
1, 0, Text_t, "Allegro di molto"
1, 0, Text_t, "Erstellt:  8.1.2011\012"
1, 0, Text_t, "Dauer: 2:56 Minuten\012"
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, 1, "major"
1, 0, Tempo, 497141
1, 480, Marker_t, "Teil 1"
1, 960, Tempo, 516396
1, 1440, Tempo, 499210
1, 1920, Tempo, 516396
1, 2400, Tempo, 497141
1, 2880, Tempo, 514183
1, 3120, Tempo, 539617
1, 3360, Tempo, 497141
1, 3840, Tempo, 514183
1, 4320, Tempo, 497141
1, 4800, Tempo, 516396
1, 5280, Tempo, 499210
1, 5760, Tempo, 505519
1, 6000, Tempo, 534807
1, 6240, Tempo, 497141
1, 6720, Tempo, 514183
1, 7200, Tempo, 497141
1, 7440, Tempo, 525440
1, 7560, Tempo, 590029
1, 7680, Tempo, 557155
1, 8160, Tempo, 497141
1, 8640, Tempo, 516396
1, 9120, Tempo, 499210
1, 9600, Tempo, 516396
1, 10080, Tempo, 497141
1, 10560, Tempo, 514183
1, 10800, Tempo, 539617
1, 11040, Tempo, 497141
1, 11520, Tempo, 514183
1, 12000, Tempo, 497141
1, 12480, Tempo, 507657
1, 12720, Tempo, 518627
1, 12960, Tempo, 499210
1, 13440, Tempo, 516396
1, 13680, Tempo, 534807
1, 13920, Tempo, 497141
1, 14400, Tempo, 509814
1, 14640, Tempo, 518627
1, 14880, Tempo, 497141
1, 15120, Tempo, 525440
1, 15240, Tempo, 534807
1, 15360, Tempo, 505519
1, 15600, Tempo, 567698
1, 15840, Tempo, 499210
1, 16320, Tempo, 523149
1, 16800, Tempo, 499210
1, 17280, Tempo, 523149
1, 17760, Tempo, 499210
1, 18240, Tempo, 523149
1, 18720, Tempo, 499210
1, 19200, Tempo, 523149
1, 19560, Tempo, 507657
1, 19680, Tempo, 499210
1, 20160, Tempo, 523149
1, 20640, Tempo, 499210
1, 21120, Tempo, 523149
1, 21202, Tempo, 514183
1, 21282, Tempo, 511989
1, 21362, Tempo, 509814
1, 21442, Tempo, 507657
1, 21522, Tempo, 505519
1, 21602, Tempo, 507657
1, 21662, Tempo, 509814
1, 21742, Tempo, 511989
1, 21802, Tempo, 514183
1, 21862, Tempo, 516396
1, 21942, Tempo, 518627
1, 22002, Tempo, 520879
1, 22062, Tempo, 523149
1, 22080, Tempo, 523149
1, 22320, Tempo, 509814
1, 22560, Tempo, 503398
1, 23022, Tempo, 520879
1, 23280, Tempo, 507657
1, 24000, Tempo, 514183
1, 24240, Tempo, 505519
1, 24960, Tempo, 518627
1, 25200, Tempo, 505519
1, 25920, Tempo, 523149
1, 26160, Tempo, 507657
1, 26400, Tempo, 520879
1, 26640, Tempo, 507657
1, 26842, Tempo, 503398
1, 26862, Tempo, 499210
1, 26922, Tempo, 501295
1, 26962, Tempo, 503398
1, 27002, Tempo, 505519
1, 27042, Tempo, 507657
1, 27082, Tempo, 509814
1, 27122, Tempo, 511989
1, 27162, Tempo, 514183
1, 27202, Tempo, 516396
1, 27242, Tempo, 518627
1, 27282, Tempo, 520879
1, 27322, Tempo, 523149
1, 27362, Tempo, 525440
1, 27422, Tempo, 520879
1, 27462, Tempo, 518627
1, 27502, Tempo, 516396
1, 27542, Tempo, 514183
1, 27602, Tempo, 511989
1, 27642, Tempo, 509814
1, 27682, Tempo, 507657
1, 27722, Tempo, 505519
1, 27762, Tempo, 503398
1, 27840, Tempo, 516396
1, 28320, Tempo, 499210
1, 28800, Tempo, 516396
1, 29280, Tempo, 497141
1, 29760, Tempo, 514183
1, 30000, Tempo, 539617
1, 30240, Tempo, 497141
1, 30720, Tempo, 514183
1, 31200, Tempo, 497141
1, 31680, Tempo, 505519
1, 31920, Tempo, 516396
1, 32160, Tempo, 499210
1, 32640, Tempo, 505519
1, 32880, Tempo, 534807
1, 33120, Tempo, 497141
1, 33600, Tempo, 503398
1, 33840, Tempo, 516396
1, 34080, Tempo, 497141
1, 34320, Tempo, 525440
1, 34440, Tempo, 590029
1, 34560, Tempo, 562377
1, 35040, Tempo, 497141
1, 35520, Tempo, 516396
1, 36000, Tempo, 499210
1, 36480, Tempo, 516396
1, 36960, Tempo, 497141
1, 37440, Tempo, 514183
1, 37680, Tempo, 532434
1, 37920, Tempo, 497141
1, 38400, Tempo, 514183
1, 38880, Tempo, 497141
1, 39360, Tempo, 507657
1, 39600, Tempo, 516396
1, 39840, Tempo, 499210
1, 40320, Tempo, 505519
1, 40560, Tempo, 534807
1, 40800, Tempo, 497141
1, 41280, Tempo, 503398
1, 41520, Tempo, 516396
1, 41760, Tempo, 497141
1, 42000, Tempo, 525440
1, 42120, Tempo, 534807
1, 42240, Tempo, 525440
1, 42442, Tempo, 518627
1, 42522, Tempo, 516396
1, 42602, Tempo, 514183
1, 42662, Tempo, 511989
1, 42742, Tempo, 509814
1, 42802, Tempo, 507657
1, 42882, Tempo, 505519
1, 42942, Tempo, 501295
1, 42962, Tempo, 503398
1, 42982, Tempo, 505519
1, 43002, Tempo, 507657
1, 43022, Tempo, 509814
1, 43042, Tempo, 511989
1, 43062, Tempo, 514183
1, 43082, Tempo, 516396
1, 43102, Tempo, 518627
1, 43122, Tempo, 520879
1, 43142, Tempo, 525440
1, 43182, Tempo, 523149
1, 43200, Tempo, 537201
1, 43440, Tempo, 520879
1, 43680, Tempo, 525440
1, 43920, Tempo, 546996
1, 44160, Tempo, 525440
1, 44362, Tempo, 518627
1, 44442, Tempo, 516396
1, 44522, Tempo, 514183
1, 44582, Tempo, 511989
1, 44662, Tempo, 509814
1, 44722, Tempo, 507657
1, 44802, Tempo, 505519
1, 44862, Tempo, 501295
1, 44882, Tempo, 503398
1, 44902, Tempo, 505519
1, 44922, Tempo, 507657
1, 44942, Tempo, 509814
1, 44962, Tempo, 511989
1, 44982, Tempo, 514183
1, 45002, Tempo, 516396
1, 45022, Tempo, 518627
1, 45042, Tempo, 520879
1, 45062, Tempo, 525440
1, 45102, Tempo, 523149
1, 45120, Tempo, 537201
1, 45360, Tempo, 520879
1, 45600, Tempo, 523149
1, 45840, Tempo, 539617
1, 46080, Tempo, 525440
1, 46282, Tempo, 518627
1, 46362, Tempo, 516396
1, 46442, Tempo, 514183
1, 46502, Tempo, 511989
1, 46582, Tempo, 509814
1, 46642, Tempo, 507657
1, 46722, Tempo, 505519
1, 46782, Tempo, 501295
1, 46802, Tempo, 503398
1, 46822, Tempo, 505519
1, 46842, Tempo, 507657
1, 46862, Tempo, 509814
1, 46882, Tempo, 511989
1, 46902, Tempo, 514183
1, 46922, Tempo, 516396
1, 46942, Tempo, 518627
1, 46962, Tempo, 520879
1, 46982, Tempo, 525440
1, 47022, Tempo, 523149
