0, 0, Header, 1, 7, 480
1, 0, Start_track
1, 0, Title_t, "Suite bergamasque"
1, 0, Title_t, "Prelude"
1, 0, Copyright_t, "Copyright © 1998 von Bernd Krüger. http://www.piano-midi.de"
1, 0, Text_t, "Claude Debussy"
1, 0, Text_t, "Moderato tempo rubato"
1, 0, Text_t, "Fertiggestellt am 14.6.98\012"
1, 0, Text_t, "Korrekturen am 20.8.98\012"
1, 0, Text_t, "Beide Tracks auf Kanal 1 am 9.11.98\012"
1, 0, Text_t, "Update am 21.4.99\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 4.8.2011\012"
1, 0, Text_t, "Dauer: 3:57 Minuten\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 655738
1, 0, Marker_t, "Moderato"
1, 480, Tempo, 621762
1, 720, Tempo, 764331
1, 960, Tempo, 839161
1, 1920, Tempo, 606061
1, 2280, Tempo, 579710
1, 2400, Tempo, 558140
1, 2520, Tempo, 540541
1, 2880, Tempo, 550459
1, 3000, Tempo, 538117
1, 3360, Tempo, 550459
1, 3480, Tempo, 538117
1, 3840, Tempo, 568720
1, 3960, Tempo, 576923
1, 4080, Tempo, 571429
1, 4200, Tempo, 566038
1, 4320, Tempo, 576923
1, 4920, Tempo, 568720
1, 5040, Tempo, 574163
1, 5160, Tempo, 560748
1, 5280, Tempo, 574163
1, 5400, Tempo, 566038
1, 5520, Tempo, 566038
1, 5640, Tempo, 555556
1, 5760, Tempo, 585366
1, 5880, Tempo, 594059
1, 6000, Tempo, 585366
1, 6120, Tempo, 571429
1, 6240, Tempo, 594059
1, 6840, Tempo, 585366
1, 7080, Tempo, 571429
1, 7200, Tempo, 609137
1, 7320, Tempo, 597015
1, 7680, Tempo, 638298
1, 7700, Tempo, 590784
1, 7800, Tempo, 624025
1, 7920, Tempo, 606919
1, 8040, Tempo, 661157
1, 8160, Tempo, 648649
1, 8400, Tempo, 612245
1, 8640, Tempo, 652174
1, 8880, Tempo, 638298
1, 9120, Tempo, 625000
1, 9600, Tempo, 638366
1, 9641, Tempo, 689655
1, 9720, Tempo, 648649
1, 9840, Tempo, 631579
1, 10080, Tempo, 685714
1, 10320, Tempo, 645161
1, 10440, Tempo, 634921
1, 10560, Tempo, 652174
1, 10800, Tempo, 677966
1, 11040, Tempo, 693642
1, 11520, Tempo, 655738
1, 12000, Tempo, 621762
1, 12240, Tempo, 764331
1, 12480, Tempo, 839161
1, 13440, Tempo, 606061
1, 13800, Tempo, 579710
1, 13920, Tempo, 558140
1, 14040, Tempo, 540541
1, 14400, Tempo, 550459
1, 14520, Tempo, 538117
1, 14880, Tempo, 550459
1, 15000, Tempo, 538117
1, 15360, Tempo, 585366
1, 15480, Tempo, 579710
1, 15600, Tempo, 576923
1, 15720, Tempo, 571429
1, 15840, Tempo, 576923
1, 16440, Tempo, 566038
1, 16560, Tempo, 574163
1, 16680, Tempo, 566038
1, 16800, Tempo, 576923
1, 16920, Tempo, 568720
1, 17040, Tempo, 568720
1, 17160, Tempo, 560748
1, 17280, Tempo, 585366
1, 17400, Tempo, 594059
1, 17520, Tempo, 585366
1, 17640, Tempo, 579710
1, 17760, Tempo, 594059
1, 18360, Tempo, 585366
1, 18600, Tempo, 571429
1, 18720, Tempo, 609137
1, 18840, Tempo, 597015
1, 19200, Tempo, 681818
1, 19440, Tempo, 727273
1, 20160, Tempo, 600000
1, 20400, Tempo, 588235
1, 20640, Tempo, 600000
1, 20880, Tempo, 588235
1, 21360, Tempo, 597015
1, 21840, Tempo, 612245
1, 22320, Tempo, 625000
1, 22560, Tempo, 634921
1, 22800, Tempo, 645161
1, 23040, Tempo, 701754
1, 23280, Tempo, 727273
1, 24000, Tempo, 600000
1, 24240, Tempo, 588235
1, 24480, Tempo, 600000
1, 24720, Tempo, 588235
1, 25200, Tempo, 606061
1, 25680, Tempo, 625000
1, 26160, Tempo, 655738
1, 26400, Tempo, 674157
1, 26640, Tempo, 784314
1, 26880, Tempo, 810811
1, 27120, Tempo, 662983
1, 27360, Tempo, 631579
1, 27600, Tempo, 648649
1, 27840, Tempo, 641711
1, 27960, Tempo, 631579
1, 28080, Tempo, 618557
1, 28320, Tempo, 645161
1, 28560, Tempo, 659341
1, 28800, Tempo, 685714
1, 29040, Tempo, 652174
1, 29280, Tempo, 631579
1, 29760, Tempo, 615385
1, 29880, Tempo, 681818
1, 30000, Tempo, 641711
1, 30240, Tempo, 652174
1, 30960, Tempo, 693642
1, 31680, Tempo, 638298
1, 32160, Tempo, 628272
1, 32640, Tempo, 677966
1, 32880, Tempo, 701754
1, 33840, Tempo, 727273
1, 34080, Tempo, 774194
1, 34320, Tempo, 833333
1, 34560, Tempo, 816327
1, 35040, Tempo, 800000
1, 35280, Tempo, 895522
1, 35520, Tempo, 851064
1, 36000, Tempo, 944882
1, 36240, Tempo, 1081081
1, 36480, Tempo, 895522
1, 37200, Tempo, 740741
1, 37920, Tempo, 727273
1, 38400, Tempo, 895522
