0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Debussy: Childrens Corner 3"
1, 0, Title_t, "Serenade of the Doll"
1, 0, Copyright_t, "Copyright © 2011 by Bernd Krueger"
1, 0, Text_t, "Bernd Krueger"
1, 0, Text_t, "Erstellt:  11.6.2011\012"
1, 0, Text_t, "Dauer: 2:45 Minuten\012"
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 4, "major"
1, 0, Tempo, 450214
1, 1440, Tempo, 437095
1, 1464, Tempo, 446861
1, 1608, Tempo, 445203
1, 1728, Tempo, 443557
1, 1872, Tempo, 441924
1, 1992, Tempo, 440302
1, 2136, Tempo, 438693
1, 2256, Tempo, 437095
1, 2376, Tempo, 435508
1, 2880, Tempo, 433934
1, 3360, Tempo, 423221
1, 3840, Tempo, 437095
1, 4320, Tempo, 441924
1, 5280, Tempo, 432370
1, 5760, Tempo, 437095
1, 6720, Tempo, 450214
1, 7200, Tempo, 433934
1, 8640, Tempo, 437095
1, 9840, Tempo, 458821
1, 10080, Tempo, 438693
1, 11520, Tempo, 433934
1, 12000, Tempo, 423221
1, 12480, Tempo, 437095
1, 12960, Tempo, 441924
1, 13920, Tempo, 432370
1, 14400, Tempo, 433934
1, 14880, Tempo, 423221
1, 15360, Tempo, 437095
1, 15840, Tempo, 441924
1, 16800, Tempo, 432370
1, 17220, Tempo, 437095
1, 17280, Tempo, 455339
1, 17760, Tempo, 438693
1, 18240, Tempo, 432370
1, 18720, Tempo, 438693
1, 20640, Tempo, 433934
1, 21360, Tempo, 457073
1, 21600, Tempo, 433934
1, 22800, Tempo, 453618
1, 23040, Tempo, 433934
1, 24960, Tempo, 424719
1, 25440, Tempo, 435508
1, 25920, Tempo, 433934
1, 27120, Tempo, 453618
1, 27360, Tempo, 426227
1, 27840, Tempo, 432370
1, 28800, Tempo, 426227
1, 29280, Tempo, 432370
1, 30000, Tempo, 453618
1, 30240, Tempo, 426227
1, 30720, Tempo, 430818
1, 31440, Tempo, 446861
1, 31680, Tempo, 430818
1, 32160, Tempo, 437095
1, 32640, Tempo, 443557
1, 32880, Tempo, 475172
1, 33120, Tempo, 426227
1, 33600, Tempo, 432370
1, 34320, Tempo, 446861
1, 34560, Tempo, 433934
1, 36000, Tempo, 426227
1, 36240, Tempo, 415887
1, 36480, Tempo, 432370
1, 37200, Tempo, 446861
1, 37440, Tempo, 433934
1, 37680, Tempo, 448531
1, 37920, Tempo, 435508
1, 38640, Tempo, 471439
1, 38880, Tempo, 448531
1, 39120, Tempo, 435508
1, 39360, Tempo, 450214
1, 40080, Tempo, 492732
1, 40320, Tempo, 480885
1, 40560, Tempo, 498878
1, 40800, Tempo, 484770
1, 41520, Tempo, 529708
1, 41760, Tempo, 484770
1, 42240, Tempo, 464145
1, 43200, Tempo, 455339
1, 43680, Tempo, 440302
1, 44400, Tempo, 467763
1, 44640, Tempo, 453618
1, 45120, Tempo, 445203
1, 45600, Tempo, 438693
1, 45840, Tempo, 477061
1, 46080, Tempo, 451909
1, 47520, Tempo, 446861
1, 48720, Tempo, 471439
1, 48960, Tempo, 451909
1, 50160, Tempo, 477061
1, 50400, Tempo, 450214
1, 51600, Tempo, 477061
1, 51840, Tempo, 453618
1, 53040, Tempo, 477061
1, 53280, Tempo, 453618
1, 54480, Tempo, 478965
1, 54720, Tempo, 455339
1, 55200, Tempo, 440302
1, 55440, Tempo, 473298
1, 55680, Tempo, 455339
1, 56160, Tempo, 455339
1, 56640, Tempo, 440302
1, 56880, Tempo, 475172
1, 57120, Tempo, 455339
1, 58080, Tempo, 441924
1, 58320, Tempo, 475172
1, 58560, Tempo, 455339
1, 59040, Tempo, 478965
1, 59520, Tempo, 465947
1, 60000, Tempo, 503060
1, 60459, Tempo, 450214
1, 60651, Tempo, 448531
1, 60819, Tempo, 446861
1, 60987, Tempo, 445203
1, 61179, Tempo, 443557
1, 61347, Tempo, 441924
1, 61515, Tempo, 440302
1, 62400, Tempo, 433934
1, 63120, Tempo, 457073
1, 63360, Tempo, 450214
1, 63840, Tempo, 437095
1, 64080, Tempo, 450214
1, 64320, Tempo, 450214
1, 65280, Tempo, 424719
1, 65760, Tempo, 435508
1, 66000, Tempo, 498878
1, 66240, Tempo, 450214
1, 66480, Tempo, 443557
1, 67200, Tempo, 450214
1, 68160, Tempo, 424719
1, 68640, Tempo, 435508
1, 68880, Tempo, 465947
1, 69120, Tempo, 450214
1, 69600, Tempo, 437095
1, 69840, Tempo, 450214
1, 70080, Tempo, 450214
1, 71040, Tempo, 424719
1, 71520, Tempo, 435508
1, 71760, Tempo, 498878
1, 72000, Tempo, 450214
1, 72240, Tempo, 443557
1, 72960, Tempo, 450214
1, 73920, Tempo, 424719
1, 74400, Tempo, 435508
1, 74640, Tempo, 465947
1, 74880, Key_signature, 0, "major"
1, 74880, Tempo, 450214
1, 75360, Tempo, 437095
1, 75600, Tempo, 450214
1, 75840, Tempo, 450214
1, 76800, Tempo, 424719
1, 77280, Tempo, 435508
1, 77520, Tempo, 498878
1, 77760, Tempo, 450214
1, 78240, Tempo, 437095
1, 78480, Tempo, 450214
1, 78720, Tempo, 450214
1, 79680, Tempo, 424719
1, 80160, Tempo, 435508
1, 80400, Tempo, 498878
1, 80640, Tempo, 450214
1, 81120, Tempo, 437095
1, 81360, Tempo, 450214
1, 81600, Tempo, 450214
1, 82560, Tempo, 424719
1, 83040, Tempo, 435508
1, 83280, Tempo, 498878
1, 83520, Tempo, 450214
1, 84000, Tempo, 437095
1, 84240, Tempo, 450214
1, 84480, Tempo, 450214
1, 85440, Tempo, 424719
1, 85920, Tempo, 435508
1, 86160, Tempo, 498878
1, 86400, Tempo, 455339
1, 86880, Tempo, 448531
1, 87120, Tempo, 438693
1, 87840, Tempo, 441924
1, 88320, Tempo, 445203
1, 89040, Tempo, 484770
1, 89280, Tempo, 448531
1, 89760, Tempo, 460582
1, 90480, Tempo, 488719
1, 90720, Tempo, 462356
1, 90960, Tempo, 492732
1, 91200, Tempo, 529708
1, 91680, Tempo, 518269
1, 92160, Tempo, 450214
1, 93600, Tempo, 446861
1, 94080, Tempo, 441924
1, 95520, Tempo, 437095
1, 96480, Tempo, 437095
1, 97440, Tempo, 440302
1, 97920, Tempo, 435508
1, 98160, Tempo, 455339
1, 98400, Tempo, 440302
1, 99360, Tempo, 435508
1, 99600, Tempo, 455339
1, 99840, Tempo, 440302
1, 100800, Tempo, 435508
1, 101520, Tempo, 430818
1, 101760, Tempo, 421733
1, 102000, Tempo, 453618
1, 102240, Tempo, 424719
1, 102480, Tempo, 435508
1, 102720, Tempo, 440302
1, 102960, Tempo, 469594
1, 103200, Tempo, 440302
1, 103680, Tempo, 437095
1, 104160, Tempo, 432370
1, 104400, Tempo, 450214
1, 104640, Tempo, 440302
1, 105120, Tempo, 437095
1, 105600, Tempo, 432370
1, 105840, Tempo, 450214
1, 106080, Tempo, 440302
1, 106320, Tempo, 458821
1, 106560, Tempo, 437095
1, 107040, Tempo, 430818
1, 107280, Tempo, 423221
1, 107760, Tempo, 453618
1, 108000, Tempo, 435508
1, 108240, Tempo, 435508
1, 108480, Tempo, 440302
1, 108720, Tempo, 469594
1, 108960, Tempo, 440302
1, 109440, Tempo, 435508
1, 109680, Tempo, 435508
1, 109920, Tempo, 427746
1, 110400, Tempo, 467763
1, 110880, Tempo, 424719
1, 111360, Tempo, 435508
1, 112320, Tempo, 437095
1, 112800, Tempo, 430818
1, 113040, Tempo, 421733
1, 113520, Tempo, 451909
1, 113760, Tempo, 424719
1, 114240, Tempo, 435508
1, 115140, Tempo, 430818
1, 115200, Tempo, 424719
1, 115680, Tempo, 435508
1, 116580, Tempo, 430818
1, 116640, Tempo, 424719
1, 117120, Tempo, 435508
1, 117840, Tempo, 482820
1, 118080, Tempo, 458821
1, 118560, Tempo, 494764
1, 119040, Tempo, 482820
1, 119520, Key_signature, 4, "major"
1, 119520, Tempo, 455339
1, 120480, Tempo, 443557
1, 120960, Tempo, 455339
1, 121440, Tempo, 448531
1, 121920, Tempo, 453618
1, 122400, Tempo, 446861
1, 122880, Tempo, 441924
1, 123360, Tempo, 446861
1, 123840, Tempo, 438693
1, 124320, Tempo, 455339
1, 124800, Tempo, 465947
1, 125280, Tempo, 453618
1, 126720, Tempo, 462356
1, 127200, Tempo, 492732
1, 127680, Tempo, 516040
1, 128160, Tempo, 443557
1, 129600, Tempo, 445203
1, 130080, Tempo, 450214
