0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Frühlingsrauschen"
1, 0, Title_t, "Agitato"
1, 0, Copyright_t, "Copyright © 2010 by Bernd Krueger"
1, 0, Text_t, "Christian Sinding"
1, 0, Text_t, "Erstellt: 13.5.2010\012"
1, 0, Text_t, "Dauer: 2:29 Minuten\012"
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, -5, "major"
1, 0, Tempo, 717875
1, 19, Tempo, 714031
1, 28, Tempo, 710311
1, 38, Tempo, 706547
1, 48, Tempo, 702905
1, 57, Tempo, 699138
1, 67, Tempo, 695572
1, 86, Tempo, 691962
1, 96, Tempo, 688468
1, 105, Tempo, 684853
1, 115, Tempo, 681431
1, 124, Tempo, 677966
1, 134, Tempo, 674612
1, 153, Tempo, 671216
1, 163, Tempo, 667854
1, 172, Tempo, 664599
1, 182, Tempo, 661303
1, 192, Tempo, 658039
1, 201, Tempo, 654807
1, 211, Tempo, 651678
1, 249, Tempo, 658039
1, 326, Tempo, 661303
1, 403, Tempo, 664599
1, 460, Tempo, 667854
1, 499, Tempo, 664599
1, 537, Tempo, 661303
1, 576, Tempo, 658039
1, 614, Tempo, 654807
1, 652, Tempo, 651678
1, 672, Tempo, 648508
1, 710, Tempo, 651678
1, 748, Tempo, 654807
1, 787, Tempo, 658039
1, 825, Tempo, 661303
1, 864, Tempo, 664599
1, 900, Tempo, 945477
1, 960, Tempo, 667854
1, 1017, Tempo, 664599
1, 1075, Tempo, 661303
1, 1113, Tempo, 658039
1, 1171, Tempo, 654807
1, 1209, Tempo, 651678
1, 1248, Tempo, 654807
1, 1286, Tempo, 658039
1, 1324, Tempo, 661303
1, 1363, Tempo, 664599
1, 1401, Tempo, 667854
1, 1440, Tempo, 664599
1, 1478, Tempo, 661303
1, 1516, Tempo, 658039
1, 1555, Tempo, 654807
1, 1593, Tempo, 651678
1, 1632, Tempo, 654807
1, 1670, Tempo, 658039
1, 1708, Tempo, 661303
1, 1747, Tempo, 664599
1, 1785, Tempo, 667854
1, 1824, Tempo, 671216
1, 1860, Tempo, 952079
1, 1920, Tempo, 664599
1, 1977, Tempo, 661303
1, 2016, Tempo, 658039
1, 2073, Tempo, 654807
1, 2112, Tempo, 651678
1, 2150, Tempo, 645369
1, 2188, Tempo, 648508
1, 2227, Tempo, 651678
1, 2265, Tempo, 654807
1, 2304, Tempo, 658039
1, 2342, Tempo, 661303
1, 2380, Tempo, 664599
1, 2400, Tempo, 667854
1, 2457, Tempo, 664599
1, 2496, Tempo, 661303
1, 2534, Tempo, 658039
1, 2572, Tempo, 654807
1, 2592, Tempo, 651678
1, 2630, Tempo, 654807
1, 2668, Tempo, 658039
1, 2707, Tempo, 661303
1, 2745, Tempo, 664599
1, 2764, Tempo, 667854
1, 2820, Tempo, 945477
1, 2880, Tempo, 695572
1, 3110, Tempo, 688468
1, 3187, Tempo, 684853
1, 3244, Tempo, 681431
1, 3302, Tempo, 677966
1, 3360, Tempo, 674612
1, 3417, Tempo, 671216
1, 3456, Tempo, 661303
1, 3475, Tempo, 664599
1, 3494, Tempo, 667854
1, 3513, Tempo, 674612
1, 3532, Tempo, 677966
1, 3552, Tempo, 684853
1, 3571, Tempo, 688468
1, 3590, Tempo, 691962
1, 3609, Tempo, 699138
1, 3628, Tempo, 702905
1, 3648, Tempo, 710311
1, 3667, Tempo, 714031
1, 3686, Tempo, 717875
1, 3705, Tempo, 725602
1, 3724, Tempo, 729572
1, 3744, Tempo, 737644
1, 3780, Tempo, 938820
1, 3835, Tempo, 717875
1, 3854, Tempo, 714031
1, 3863, Tempo, 710311
1, 3873, Tempo, 706547
1, 3883, Tempo, 702905
1, 3892, Tempo, 699138
1, 3902, Tempo, 695572
1, 3921, Tempo, 691962
1, 3931, Tempo, 688468
1, 3940, Tempo, 684853
1, 3950, Tempo, 681431
1, 3959, Tempo, 677966
1, 3969, Tempo, 674612
1, 3979, Tempo, 671216
1, 3998, Tempo, 667854
1, 4007, Tempo, 664599
1, 4017, Tempo, 661303
1, 4027, Tempo, 658039
1, 4036, Tempo, 654807
1, 4046, Tempo, 651678
1, 4055, Tempo, 648508
1, 4089, Tempo, 658039
1, 4166, Tempo, 661303
1, 4243, Tempo, 664599
1, 4300, Tempo, 667854
1, 4339, Tempo, 664599
1, 4377, Tempo, 661303
1, 4416, Tempo, 658039
1, 4454, Tempo, 654807
1, 4492, Tempo, 651678
1, 4512, Tempo, 648508
1, 4550, Tempo, 651678
1, 4588, Tempo, 654807
1, 4627, Tempo, 658039
1, 4665, Tempo, 661303
1, 4704, Tempo, 664599
1, 4740, Tempo, 945477
1, 4800, Tempo, 667854
1, 4857, Tempo, 664599
1, 4915, Tempo, 661303
1, 4953, Tempo, 658039
1, 5011, Tempo, 654807
1, 5049, Tempo, 651678
1, 5088, Tempo, 654807
1, 5126, Tempo, 658039
1, 5164, Tempo, 661303
1, 5203, Tempo, 664599
1, 5241, Tempo, 667854
1, 5280, Tempo, 664599
1, 5318, Tempo, 661303
1, 5356, Tempo, 658039
1, 5395, Tempo, 654807
1, 5433, Tempo, 651678
1, 5472, Tempo, 654807
1, 5510, Tempo, 658039
1, 5548, Tempo, 661303
1, 5587, Tempo, 664599
1, 5625, Tempo, 667854
1, 5664, Tempo, 671216
1, 5700, Tempo, 952079
1, 5760, Tempo, 664599
1, 5817, Tempo, 661303
1, 5856, Tempo, 658039
1, 5913, Tempo, 654807
1, 5952, Tempo, 651678
1, 5990, Tempo, 645369
1, 6028, Tempo, 648508
1, 6067, Tempo, 651678
1, 6105, Tempo, 654807
1, 6144, Tempo, 658039
1, 6182, Tempo, 661303
1, 6220, Tempo, 664599
1, 6240, Tempo, 667854
1, 6297, Tempo, 664599
1, 6336, Tempo, 661303
1, 6374, Tempo, 658039
1, 6412, Tempo, 654807
1, 6432, Tempo, 651678
1, 6470, Tempo, 654807
1, 6508, Tempo, 658039
1, 6547, Tempo, 661303
1, 6585, Tempo, 664599
1, 6604, Tempo, 667854
1, 6660, Tempo, 945477
1, 6720, Tempo, 695572
1, 6950, Tempo, 688468
1, 7027, Tempo, 684853
1, 7084, Tempo, 681431
1, 7142, Tempo, 677966
1, 7200, Tempo, 674612
1, 7257, Tempo, 671216
1, 7315, Tempo, 667854
1, 7620, Tempo, 938820
1, 7680, Tempo, 717875
1, 7694, Tempo, 714031
1, 7703, Tempo, 710311
1, 7713, Tempo, 706547
1, 7723, Tempo, 702905
1, 7732, Tempo, 699138
1, 7742, Tempo, 695572
1, 7761, Tempo, 691962
1, 7771, Tempo, 688468
1, 7780, Tempo, 684853
1, 7790, Tempo, 681431
1, 7799, Tempo, 677966
1, 7809, Tempo, 674612
1, 7819, Tempo, 671216
1, 7838, Tempo, 667854
1, 7847, Tempo, 664599
1, 7857, Tempo, 661303
1, 7867, Tempo, 658039
1, 7876, Tempo, 654807
1, 7886, Tempo, 651678
1, 7895, Tempo, 648508
1, 7929, Tempo, 658039
1, 8006, Tempo, 661303
1, 8083, Tempo, 664599
1, 8140, Tempo, 667854
1, 8179, Tempo, 664599
1, 8217, Tempo, 661303
1, 8256, Tempo, 658039
1, 8294, Tempo, 654807
1, 8332, Tempo, 651678
1, 8352, Tempo, 648508
1, 8390, Tempo, 651678
1, 8428, Tempo, 654807
1, 8467, Tempo, 658039
1, 8505, Tempo, 661303
1, 8544, Tempo, 664599
1, 8580, Tempo, 945477
1, 8640, Tempo, 667854
1, 8697, Tempo, 664599
1, 8755, Tempo, 661303
1, 8793, Tempo, 658039
1, 8851, Tempo, 654807
1, 8889, Tempo, 651678
1, 8928, Tempo, 654807
1, 8966, Tempo, 658039
1, 9004, Tempo, 661303
1, 9043, Tempo, 664599
1, 9081, Tempo, 667854
1, 9103, Tempo, 656958
