0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Espana Op. 165"
1, 0, Title_t, "Tango"
1, 0, Copyright_t, "Copyright © 2010 by Bernd Krueger"
1, 0, Text_t, "Leopold Godowsky"
1, 0, Text_t, "Andantino grazioso"
1, 0, Text_t, "Fertiggestellt 26.8.2010\012"
1, 0, Text_t, "Dauer: 2:38 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 2, "major"
1, 0, Tempo, 1054667
1, 360, Tempo, 1026518
1, 720, Tempo, 1176471
1, 960, Tempo, 1054667
1, 1320, Tempo, 1026518
1, 1680, Tempo, 1116487
1, 1920, Tempo, 921234
1, 2240, Tempo, 1100312
1, 2340, Tempo, 985383
1, 2400, Tempo, 1062135
1, 2420, Tempo, 1108443
1, 2640, Tempo, 1149866
1, 2880, Tempo, 1008065
1, 3240, Tempo, 970874
1, 3360, Tempo, 1108443
1, 3600, Tempo, 1124649
1, 3720, Tempo, 1263956
1, 3840, Tempo, 1006205
1, 4212, Tempo, 961847
1, 4320, Tempo, 1069519
1, 4340, Tempo, 1039681
1, 4560, Tempo, 1213838
1, 4680, Tempo, 1274697
1, 4800, Tempo, 1040402
1, 5160, Tempo, 963855
1, 5280, Tempo, 1069519
1, 5520, Tempo, 1213838
1, 5760, Tempo, 1040402
1, 6120, Tempo, 1069519
1, 6480, Tempo, 1054667
1, 6720, Tempo, 765404
1, 6880, Tempo, 927357
1, 6960, Tempo, 1253918
1, 7080, Tempo, 978155
1, 7200, Tempo, 1108443
1, 7440, Tempo, 1179014
1, 7560, Tempo, 1200480
1, 7680, Tempo, 1124649
1, 8040, Tempo, 992884
1, 8160, Tempo, 1100312
1, 8400, Tempo, 1158301
1, 8640, Tempo, 1148325
1, 8880, Tempo, 1092498
1, 9000, Tempo, 1026518
1, 9120, Tempo, 1132931
1, 9360, Tempo, 1192843
1, 9480, Tempo, 1418440
1, 9600, Tempo, 921234
1, 9920, Tempo, 1100312
1, 10020, Tempo, 985383
1, 10080, Tempo, 1062135
1, 10100, Tempo, 1108443
1, 10320, Tempo, 1149866
1, 10560, Tempo, 1008065
1, 10920, Tempo, 970874
1, 11040, Tempo, 1108443
1, 11280, Tempo, 1124649
1, 11400, Tempo, 1263956
1, 11520, Tempo, 1006205
1, 11892, Tempo, 961847
1, 12000, Tempo, 1069519
1, 12020, Tempo, 1039681
1, 12240, Tempo, 1213838
1, 12360, Tempo, 1274697
1, 12480, Tempo, 1040402
1, 12840, Tempo, 963855
1, 12960, Tempo, 1069519
1, 13200, Tempo, 1213838
1, 13440, Tempo, 1040402
1, 13800, Tempo, 1069519
1, 14160, Tempo, 1054667
1, 14400, Tempo, 757671
1, 14560, Tempo, 963082
1, 14640, Tempo, 1253918
1, 14760, Tempo, 978155
1, 14880, Tempo, 1108443
1, 15120, Tempo, 1179014
1, 15240, Tempo, 1200480
1, 15360, Tempo, 1124649
1, 15720, Tempo, 992884
1, 15840, Tempo, 1100312
1, 16080, Tempo, 1158301
1, 16320, Tempo, 1148325
1, 16560, Tempo, 1092498
1, 16680, Tempo, 1026518
1, 16800, Tempo, 1132931
1, 17040, Tempo, 1082446
1, 17440, Tempo, 1048035
1, 17600, Tempo, 1008065
1, 17760, Tempo, 1064963
1, 18000, Tempo, 1138304
1, 18240, Tempo, 1040402
1, 18480, Tempo, 1124649
1, 18720, Tempo, 1040402
1, 19040, Tempo, 1100312
1, 19200, Tempo, 1026518
1, 19360, Tempo, 999667
1, 19520, Tempo, 1033414
1, 19920, Tempo, 1062135
1, 20160, Tempo, 1026518
1, 20480, Tempo, 1069519
1, 20880, Tempo, 1132931
1, 21120, Tempo, 1012829
1, 21280, Tempo, 1054667
1, 21440, Tempo, 1015744
1, 21600, Tempo, 1100312
1, 21840, Tempo, 1176471
1, 22080, Tempo, 1040402
1, 22320, Tempo, 1124649
1, 22560, Tempo, 1040402
1, 22880, Tempo, 1077006
1, 23040, Tempo, 986680
1, 23200, Tempo, 1039681
1, 23360, Tempo, 1073537
1, 23520, Tempo, 1100312
1, 23760, Tempo, 1132931
1, 24320, Tempo, 1069519
1, 24360, Tempo, 1000333
1, 24480, Tempo, 1138304
1, 24720, Tempo, 1342282
1, 24840, Tempo, 1749271
1, 24960, Tempo, 921234
1, 25280, Tempo, 1100312
1, 25380, Tempo, 985383
1, 25440, Tempo, 1062135
1, 25460, Tempo, 1108443
1, 25680, Tempo, 1149866
1, 25920, Tempo, 1008065
1, 26280, Tempo, 970874
1, 26400, Tempo, 1108443
1, 26640, Tempo, 1124649
1, 26760, Tempo, 1263956
1, 26880, Tempo, 1006205
1, 27252, Tempo, 961847
1, 27360, Tempo, 1048035
1, 27600, Tempo, 1213838
1, 27720, Tempo, 1274697
1, 27840, Tempo, 1040402
1, 28200, Tempo, 963855
1, 28320, Tempo, 1069519
1, 28560, Tempo, 1168679
1, 28680, Tempo, 1211387
1, 28800, Tempo, 1040402
1, 29160, Tempo, 1069519
1, 29520, Tempo, 1158301
1, 29760, Tempo, 1118985
1, 30000, Tempo, 1253918
1, 30120, Tempo, 978155
1, 30240, Tempo, 1039681
1, 30480, Tempo, 1213838
1, 30720, Tempo, 1040402
1, 31080, Tempo, 1069519
1, 31200, Tempo, 1100312
1, 31440, Tempo, 1109673
1, 31680, Tempo, 1082446
1, 31920, Tempo, 1253918
1, 32040, Tempo, 978155
1, 32160, Tempo, 1023541
1, 32400, Tempo, 1073537
1, 32640, Tempo, 986680
1, 32800, Tempo, 1039681
1, 32960, Tempo, 1073537
1, 33120, Tempo, 1100312
1, 33360, Tempo, 1132931
1, 33600, Tempo, 1082446
1, 33920, Tempo, 1069519
1, 33960, Tempo, 1000333
1, 34080, Tempo, 1108443
1, 34320, Tempo, 1073537
1, 34560, Tempo, 988468
1, 34680, Tempo, 938967
1, 34800, Tempo, 916031
1, 34920, Tempo, 1015228
1, 35040, Tempo, 1100312
1, 35280, Tempo, 1132931
1, 35520, Tempo, 1082446
1, 35840, Tempo, 1069519
1, 35880, Tempo, 1000333
1, 36000, Tempo, 1108443
1, 36240, Tempo, 1073537
1, 36480, Tempo, 986680
1, 36640, Tempo, 1039681
1, 36800, Tempo, 1073537
1, 36960, Tempo, 1100312
1, 37200, Tempo, 1132931
1, 37440, Tempo, 1082446
1, 37760, Tempo, 1069519
1, 37800, Tempo, 1000333
1, 37920, Tempo, 1108443
1, 38160, Tempo, 1073537
1, 38400, Tempo, 986680
1, 38560, Tempo, 1451028
1, 38640, Tempo, 1023541
1, 38720, Tempo, 1073537
1, 38880, Tempo, 1109673
1, 39120, Tempo, 1132931
1, 39360, Tempo, 1082446
1, 39680, Tempo, 1069519
1, 39720, Tempo, 1000333
1, 39840, Tempo, 1108443
1, 40080, Tempo, 1073537
1, 40320, Tempo, 986680
1, 40480, Tempo, 1245847
1, 40560, Tempo, 1023541
1, 40640, Tempo, 1073537
1, 40800, Tempo, 1100312
1, 41040, Tempo, 1132931
1, 41280, Tempo, 986680
1, 41440, Tempo, 1245847
1, 41520, Tempo, 1023541
1, 41600, Tempo, 1073537
1, 41760, Tempo, 1245847
1, 41920, Tempo, 1189532
1, 42080, Tempo, 1128668
1, 42240, Tempo, 986680
1, 42400, Tempo, 1245847
1, 42480, Tempo, 1023541
1, 42560, Tempo, 1073537
1, 42720, Tempo, 1245847
1, 42880, Tempo, 1100312
1, 42960, Tempo, 1132931
1, 43200, Tempo, 986680
1, 43520, Tempo, 1056338
1, 43680, Tempo, 1158301
1, 43800, Tempo, 1158301
1, 43840, Tempo, 1307474
1, 43920, Tempo, 1138304
1, 44160, Tempo, 986680
1, 44320, Tempo, 1245847
1, 44400, Tempo, 1023541
1, 44480, Tempo, 1073537
1, 44640, Tempo, 1100312
1, 44760, Tempo, 1407460
1, 44880, Tempo, 1120867
1, 45600, Tempo, 1015744
1, 45920, Tempo, 1082446
