0, 0, Header, 1, 7, 480
1, 0, Start_track
1, 0, Title_t, "Etüde Opus 10 No. 5"
1, 0, Copyright_t, "Copyright © 2006 von Bernd Krüger. "
1, 0, Text_t, "Frediric Chopin in der Bearbeitung von Godowsky"
1, 0, Text_t, "Allegro maestoso"
1, 0, Text_t, "Dauer: 1:31 Minuten\012"
1, 0, Text_t, "Fertiggestellt am 9.6.2006\012"
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 437956
1, 0, Marker_t, "Allegro maestoso"
1, 120, Tempo, 382166
1, 480, Tempo, 368098
1, 528, Tempo, 368098
1, 888, Tempo, 369231
1, 1224, Tempo, 370370
1, 1584, Tempo, 371517
1, 1920, Tempo, 372671
1, 2256, Tempo, 373832
1, 2280, Tempo, 377358
1, 2400, Tempo, 378549
1, 2760, Tempo, 458015
1, 2880, Tempo, 424028
1, 3000, Tempo, 379747
1, 3360, Tempo, 368098
1, 4056, Tempo, 369231
1, 4752, Tempo, 370370
1, 4800, Tempo, 373832
1, 5160, Tempo, 441176
1, 5280, Tempo, 392157
1, 5640, Tempo, 447761
1, 5760, Tempo, 405405
1, 5880, Tempo, 382166
1, 6000, Tempo, 366972
1, 6216, Tempo, 365854
1, 6480, Tempo, 366972
1, 6744, Tempo, 368098
1, 7008, Tempo, 369231
1, 7248, Tempo, 370370
1, 7512, Tempo, 371517
1, 7776, Tempo, 372671
1, 8016, Tempo, 373832
1, 8040, Tempo, 409556
1, 8160, Tempo, 387097
1, 8520, Tempo, 485830
1, 8640, Tempo, 415225
1, 8760, Tempo, 380952
1, 8880, Tempo, 372671
1, 9120, Tempo, 368098
1, 9576, Tempo, 369231
1, 10032, Tempo, 370370
1, 10488, Tempo, 371517
1, 10560, Tempo, 371517
1, 10920, Tempo, 447761
1, 11040, Tempo, 397351
1, 11400, Tempo, 459770
1, 11520, Tempo, 412371
1, 11640, Tempo, 380952
1, 12000, Tempo, 368098
1, 12456, Tempo, 369231
1, 12888, Tempo, 370370
1, 13344, Tempo, 371517
1, 13776, Tempo, 372671
1, 13800, Tempo, 377358
1, 13920, Tempo, 388350
1, 14280, Tempo, 458015
1, 14400, Tempo, 397351
1, 14520, Tempo, 379747
1, 14880, Tempo, 366972
1, 14904, Tempo, 366972
1, 15144, Tempo, 368098
1, 15384, Tempo, 369231
1, 15624, Tempo, 370370
1, 15864, Tempo, 371517
1, 16104, Tempo, 372671
1, 16344, Tempo, 373832
1, 16680, Tempo, 441176
1, 16800, Tempo, 392157
1, 17160, Tempo, 447761
1, 17280, Tempo, 405405
1, 17400, Tempo, 380952
1, 17520, Tempo, 366972
1, 17736, Tempo, 366972
1, 18216, Tempo, 368098
1, 18696, Tempo, 369231
1, 19176, Tempo, 370370
1, 19200, Tempo, 370370
1, 19560, Tempo, 409556
1, 19680, Tempo, 387097
1, 20040, Tempo, 472441
1, 20160, Tempo, 412371
1, 20280, Tempo, 380952
1, 20400, Tempo, 372671
1, 20601, Tempo, 365854
1, 20889, Tempo, 366972
1, 21177, Tempo, 368098
1, 21441, Tempo, 369231
1, 21729, Tempo, 370370
1, 21993, Tempo, 371517
1, 22080, Tempo, 382166
1, 22440, Tempo, 447761
1, 22560, Tempo, 397351
1, 22920, Tempo, 449438
1, 23040, Tempo, 405405
1, 23160, Tempo, 382166
1, 23280, Tempo, 366972
1, 23289, Tempo, 366972
1, 23769, Tempo, 368098
1, 24225, Tempo, 369231
1, 24681, Tempo, 370370
1, 25137, Tempo, 371517
1, 25320, Tempo, 409556
1, 25440, Tempo, 387097
1, 25800, Tempo, 485830
1, 25920, Tempo, 405405
1, 26040, Tempo, 382166
1, 26160, Tempo, 366972
1, 26400, Tempo, 366972
1, 26409, Tempo, 366972
1, 26841, Tempo, 368098
1, 27273, Tempo, 369231
1, 27705, Tempo, 370370
1, 28113, Tempo, 371517
1, 28200, Tempo, 409556
1, 28320, Tempo, 387097
1, 28680, Tempo, 485830
1, 28800, Tempo, 405405
1, 28920, Tempo, 382166
1, 29040, Tempo, 366972
1, 29265, Tempo, 366972
1, 29625, Tempo, 368098
1, 29961, Tempo, 369231
1, 30321, Tempo, 370370
1, 30657, Tempo, 371517
1, 30993, Tempo, 372671
1, 31080, Tempo, 409556
1, 31200, Tempo, 387097
1, 31560, Tempo, 485830
1, 31700, Tempo, 405405
1, 31820, Tempo, 382166
1, 31940, Tempo, 366972
1, 32097, Tempo, 365854
1, 32481, Tempo, 366972
1, 32841, Tempo, 368098
1, 33201, Tempo, 369231
1, 33561, Tempo, 370370
1, 33921, Tempo, 371517
1, 33980, Tempo, 409556
1, 34100, Tempo, 387097
1, 34460, Tempo, 485830
1, 34560, Tempo, 405405
1, 34680, Tempo, 382166
1, 34800, Tempo, 366972
1, 35025, Tempo, 366972
1, 35337, Tempo, 368098
1, 35625, Tempo, 369231
1, 35913, Tempo, 370370
1, 36201, Tempo, 371517
