0, 0, Header, 1, 10, 480
1, 0, Start_track
1, 0, Title_t, "Danza Espanola No. 3"
1, 0, Copyright_t, "Copyright © 2001 by Bernd Krueger"
1, 0, Text_t, "E. Granados"
1, 0, Text_t, "Energico"
1, 0, Text_t, "Fertiggestellt am 27.7.2001\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Dauer: 3:11 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 2, "major"
1, 0, Tempo, 300000
1, 480, Tempo, 296296
1, 960, Tempo, 293399
1, 1440, Tempo, 309278
1, 1960, Tempo, 304569
1, 2400, Tempo, 308483
1, 2880, Tempo, 300000
1, 3360, Tempo, 294840
1, 3840, Tempo, 292683
1, 4320, Tempo, 309278
1, 4800, Tempo, 304569
1, 5280, Tempo, 306905
1, 5760, Tempo, 300000
1, 6240, Tempo, 295567
1, 6720, Tempo, 292683
1, 7200, Tempo, 296296
1, 8160, Tempo, 304569
1, 8640, Tempo, 297767
1, 9120, Tempo, 297030
1, 9600, Tempo, 300000
1, 10080, Tempo, 302267
1, 10560, Tempo, 296296
1, 11040, Tempo, 300000
1, 11520, Tempo, 305344
1, 12000, Tempo, 296296
1, 12480, Tempo, 294118
1, 12960, Tempo, 311688
1, 13440, Tempo, 304569
1, 13920, Tempo, 307692
1, 14400, Tempo, 300000
1, 14880, Tempo, 294840
1, 15360, Tempo, 292683
1, 15840, Tempo, 310881
1, 16320, Tempo, 305344
1, 16800, Tempo, 303797
1, 17280, Tempo, 300000
1, 17760, Tempo, 294840
1, 18240, Tempo, 291262
1, 18720, Tempo, 296296
1, 19680, Tempo, 304569
1, 20160, Tempo, 297767
1, 20640, Tempo, 297030
1, 21120, Tempo, 300000
1, 21600, Tempo, 302267
1, 22080, Tempo, 296296
1, 22560, Tempo, 300000
1, 23040, Tempo, 304569
1, 23520, Tempo, 296296
1, 24000, Tempo, 296296
1, 24480, Tempo, 300000
1, 24960, Tempo, 296296
1, 25440, Tempo, 300000
1, 26400, Tempo, 302267
1, 26880, Tempo, 300000
1, 28320, Tempo, 308483
1, 28800, Tempo, 303797
1, 29040, Tempo, 307692
1, 29280, Tempo, 297767
1, 29760, Tempo, 302267
1, 30240, Tempo, 307692
1, 30720, Tempo, 301508
1, 31200, Tempo, 306122
1, 32160, Tempo, 302267
1, 32640, Tempo, 305344
1, 34080, Tempo, 313316
1, 34560, Tempo, 304569
1, 35040, Tempo, 296296
1, 35520, Tempo, 296296
1, 36000, Tempo, 300000
1, 36480, Tempo, 296296
1, 36960, Tempo, 300000
1, 37920, Tempo, 302267
1, 38400, Tempo, 300000
1, 39840, Tempo, 308483
1, 40320, Tempo, 303797
1, 40560, Tempo, 307692
1, 40800, Tempo, 297030
1, 41280, Tempo, 301508
1, 41760, Tempo, 307692
1, 42240, Tempo, 301508
1, 42720, Tempo, 306122
1, 43680, Tempo, 302267
1, 44160, Tempo, 305344
1, 45120, Tempo, 303797
1, 45600, Tempo, 309278
1, 46560, Tempo, 304569
1, 47040, Tempo, 307692
1, 48000, Tempo, 304569
1, 48480, Tempo, 307692
1, 49440, Tempo, 308483
1, 49920, Tempo, 306122
1, 50400, Tempo, 323450
1, 51360, Tempo, 344828
1, 51840, Tempo, 300000
1, 52320, Tempo, 296296
1, 52800, Tempo, 293399
1, 53040, Tempo, 352941
1, 53280, Tempo, 312500
1, 53760, Tempo, 304569
1, 54240, Tempo, 316623
1, 54720, Tempo, 313316
1, 55200, Tempo, 303797
1, 55680, Tempo, 307692
1, 56160, Tempo, 300000
1, 56640, Tempo, 296296
1, 57120, Tempo, 293399
1, 57360, Tempo, 352941
1, 57584, Tempo, 300000
1, 58064, Tempo, 296296
1, 58544, Tempo, 293399
1, 58784, Tempo, 352941
1, 59024, Tempo, 312500
1, 59504, Tempo, 304569
1, 59984, Tempo, 311688
1, 60000, Tempo, 315789
1, 60464, Tempo, 306905
1, 60480, Tempo, 312500
1, 60960, Tempo, 318302
1, 61440, Tempo, 325203
1, 61920, Tempo, 330579
1, 63360, Tempo, 300000
1, 63840, Tempo, 296296
1, 64320, Tempo, 293399
1, 64560, Tempo, 352941
1, 64800, Tempo, 312500
1, 65280, Tempo, 304569
1, 65760, Tempo, 319149
1, 66240, Tempo, 310078
1, 66720, Tempo, 303797
1, 67200, Tempo, 307692
1, 67680, Tempo, 300000
