0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Grieg: Berceuse Opus 38 Nr. 1"
1, 0, Copyright_t, "Copyright © 2010 by Bernd Krueger"
1, 0, Text_t, "Allegretto tranquillo"
1, 0, Text_t, "Erstellt: 12.9.2012\012"
1, 0, Text_t, "Dauer: 2:38 Minuten\012"
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, 1, "major"
1, 0, Tempo, 936037
1, 1920, Tempo, 887574
1, 2240, Tempo, 974026
1, 2400, Tempo, 881057
1, 2720, Tempo, 1069519
1, 2880, Tempo, 936037
1, 3520, Tempo, 1041667
1, 3680, Tempo, 990099
1, 3840, Tempo, 928793
1, 4640, Tempo, 1088929
1, 4800, Tempo, 928793
1, 5600, Tempo, 1041667
1, 5760, Tempo, 928793
1, 5920, Tempo, 874636
1, 6080, Tempo, 928793
1, 6240, Tempo, 862069
1, 6400, Tempo, 887574
1, 6560, Tempo, 990099
1, 6720, Tempo, 936037
1, 7360, Tempo, 1050788
1, 7560, Tempo, 928793
1, 7680, Tempo, 928793
1, 8400, Tempo, 1050788
1, 8520, Tempo, 921659
1, 8640, Tempo, 921659
1, 9360, Tempo, 1060071
1, 9480, Tempo, 907716
1, 9600, Tempo, 887574
1, 9920, Tempo, 914634
1, 10080, Tempo, 881057
1, 10320, Tempo, 990099
1, 10440, Tempo, 981997
1, 10560, Tempo, 921659
1, 11280, Tempo, 1041667
1, 11400, Tempo, 914634
1, 11520, Tempo, 921659
1, 12240, Tempo, 1050788
1, 12360, Tempo, 958466
1, 12480, Tempo, 966184
1, 13200, Tempo, 1119403
1, 13320, Tempo, 1006711
1, 13760, Tempo, 1032702
1, 13920, Tempo, 1071620
1, 14160, Tempo, 1154068
1, 14240, Tempo, 1287554
1, 14280, Tempo, 1348618
1, 14400, Tempo, 1188354
1, 14880, Tempo, 1412097
1, 14940, Tempo, 1446132
1, 15360, Tempo, 936037
1, 17280, Tempo, 887574
1, 17600, Tempo, 974026
1, 17760, Tempo, 881057
1, 18080, Tempo, 1069519
1, 18240, Tempo, 936037
1, 18880, Tempo, 1041667
1, 19040, Tempo, 990099
1, 19200, Tempo, 928793
1, 20000, Tempo, 1088929
1, 20160, Tempo, 928793
1, 20960, Tempo, 1041667
1, 21120, Tempo, 928793
1, 21280, Tempo, 874636
1, 21440, Tempo, 928793
1, 21600, Tempo, 862069
1, 21760, Tempo, 887574
1, 21920, Tempo, 990099
1, 22080, Tempo, 936037
1, 22720, Tempo, 1050788
1, 22920, Tempo, 928793
1, 23040, Tempo, 928793
1, 23760, Tempo, 1050788
1, 23880, Tempo, 921659
1, 24000, Tempo, 921659
1, 24720, Tempo, 1060071
1, 24840, Tempo, 907716
1, 24960, Tempo, 887574
1, 25280, Tempo, 914634
1, 25440, Tempo, 881057
1, 25680, Tempo, 990099
1, 25800, Tempo, 981997
1, 25920, Tempo, 921659
1, 26640, Tempo, 1041667
1, 26760, Tempo, 914634
1, 26880, Tempo, 921659
1, 27600, Tempo, 1050788
1, 27720, Tempo, 958466
1, 27840, Tempo, 966184
1, 28560, Tempo, 1197605
1, 28680, Tempo, 1041667
1, 29120, Tempo, 1032702
1, 29160, Tempo, 1088929
1, 29280, Tempo, 1132289
1, 29520, Tempo, 1119403
1, 29600, Tempo, 1287554
1, 29640, Tempo, 1463772
1, 29760, Tempo, 1224740
1, 30240, Tempo, 1600427
1, 30720, Key_signature, -2, "major"
1, 30720, Tempo, 593296
1, 30720, Marker_t, "Con moto"
1, 30960, Tempo, 563275
1, 31080, Tempo, 621891
1, 31200, Tempo, 580327
1, 31440, Tempo, 613874
1, 31680, Tempo, 587487
1, 31920, Tempo, 556690
1, 32040, Tempo, 617856
1, 32160, Tempo, 580327
1, 32400, Tempo, 609942
1, 32520, Tempo, 617856
1, 32640, Tempo, 563275
1, 32880, Tempo, 537924
1, 33000, Tempo, 613874
1, 33120, Tempo, 563275
1, 33360, Tempo, 531915
1, 33480, Tempo, 594766
1, 33600, Tempo, 566572
1, 33840, Tempo, 534902
1, 33960, Tempo, 587487
1, 34080, Tempo, 609942
1, 34320, Tempo, 630054
1, 34440, Tempo, 679271
1, 34560, Tempo, 588293
1, 35280, Tempo, 659413
1, 35520, Tempo, 606122
1, 36000, Tempo, 705965
1, 36240, Tempo, 851185
1, 36480, Tempo, 789578
1, 38400, Tempo, 593296
1, 38640, Tempo, 563275
1, 38760, Tempo, 621891
1, 38880, Tempo, 580327
1, 39120, Tempo, 613874
1, 39360, Tempo, 587487
1, 39600, Tempo, 556690
1, 39720, Tempo, 617856
1, 39840, Tempo, 580327
1, 40080, Tempo, 609942
1, 40200, Tempo, 617856
1, 40320, Tempo, 563275
1, 40560, Tempo, 537924
1, 40680, Tempo, 613874
1, 40800, Tempo, 563275
1, 41040, Tempo, 531915
1, 41160, Tempo, 594766
1, 41280, Tempo, 566572
1, 41520, Tempo, 534902
1, 41640, Tempo, 587487
1, 41760, Tempo, 609942
1, 42000, Tempo, 630054
1, 42120, Tempo, 679271
1, 42240, Tempo, 609199
1, 42720, Tempo, 631645
1, 42960, Tempo, 678043
1, 43200, Tempo, 638366
1, 43680, Tempo, 722979
1, 43920, Tempo, 889021
1, 44160, Tempo, 805477
1, 46076, Tempo, 991899
1, 46080, Time_signature, 4, 2, 24, 8
1, 46115, Tempo, 983768
1, 46153, Tempo, 975768
1, 46192, Tempo, 967898
1, 46230, Tempo, 960154
1, 46268, Tempo, 952532
1, 46307, Tempo, 945031
1, 46345, Tempo, 937647
1, 46364, Tempo, 930377
1, 46403, Tempo, 923219
1, 46441, Tempo, 916170
1, 46480, Tempo, 909229
1, 46518, Tempo, 902391
1, 46556, Tempo, 895656
1, 46595, Tempo, 889021
1, 46614, Tempo, 882483
1, 46880, Tempo, 1025816
1, 47040, Tempo, 916170
1, 48000, Time_signature, 2, 2, 24, 8
1, 48960, Tempo, 936037
1, 50880, Tempo, 887574
1, 51200, Tempo, 974026
1, 51360, Tempo, 881057
1, 51680, Tempo, 1069519
1, 51840, Tempo, 936037
1, 52480, Tempo, 1041667
1, 52640, Tempo, 990099
1, 52800, Tempo, 928793
1, 53600, Tempo, 1088929
1, 53760, Tempo, 928793
1, 54560, Tempo, 1041667
1, 54720, Tempo, 928793
1, 54880, Tempo, 874636
1, 55040, Tempo, 928793
1, 55200, Tempo, 862069
1, 55360, Tempo, 887574
1, 55520, Tempo, 990099
1, 55680, Tempo, 936037
1, 56320, Tempo, 1050788
1, 56520, Tempo, 928793
1, 56640, Tempo, 928793
1, 56800, Tempo, 874636
1, 56960, Tempo, 928793
1, 57120, Tempo, 862069
1, 57280, Tempo, 887574
1, 57440, Tempo, 990099
1, 57600, Tempo, 936037
1, 58240, Tempo, 1050788
1, 58440, Tempo, 928793
1, 58560, Tempo, 889021
1, 58720, Tempo, 833449
1, 58880, Tempo, 882483
1, 59040, Tempo, 822030
1, 59200, Tempo, 845189
1, 59360, Tempo, 990099
1, 59520, Tempo, 876040
1, 60160, Tempo, 960154
1, 60360, Tempo, 928793
1, 60420, Tempo, 928793
1, 60480, Tempo, 851185
1, 61320, Tempo, 921659
1, 61380, Tempo, 928793
1, 61440, Tempo, 857265
1, 61680, Tempo, 810920
1, 61920, Tempo, 857265
1, 62280, Tempo, 921659
1, 62340, Tempo, 928793
