0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Grieg: Lyrische Stücke Book II Opus 38 Nr. 4 - Halling"
1, 0, Title_t, "Norwegischer Tanz"
1, 0, Copyright_t, "Copyright © 2007 by Bernd Krueger"
1, 0, Text_t, "Edvard Grieg"
1, 0, Text_t, "Allegro marcato"
1, 0, Text_t, "Erstellt: 9.5.2007\012"
1, 0, Text_t, "Update: 3.11.2012\012"
1, 0, Text_t, "Dauer: 0:51 Minuten\012"
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, -2, "major"
1, 0, Tempo, 600000
1, 960, Tempo, 647948
1, 1200, Tempo, 627615
1, 1440, Tempo, 637620
1, 1680, Tempo, 658617
1, 1800, Tempo, 641026
1, 1920, Tempo, 641026
1, 2160, Tempo, 624350
1, 2400, Tempo, 644468
1, 2640, Tempo, 627615
1, 2760, Tempo, 608519
1, 2880, Tempo, 627615
1, 3000, Tempo, 634249
1, 3120, Tempo, 634249
1, 3240, Tempo, 651466
1, 3360, Tempo, 634249
1, 3720, Tempo, 673401
1, 3840, Tempo, 693722
1, 3960, Tempo, 731797
1, 4080, Tempo, 731797
1, 4200, Tempo, 805477
1, 4320, Tempo, 714371
1, 4740, Tempo, 600000
1, 4800, Tempo, 647948
1, 5040, Tempo, 627615
1, 5280, Tempo, 637620
1, 5520, Tempo, 658617
1, 5640, Tempo, 641026
1, 5760, Tempo, 641026
1, 6000, Tempo, 624350
1, 6240, Tempo, 644468
1, 6480, Tempo, 627615
1, 6600, Tempo, 608519
1, 6720, Tempo, 627615
1, 6840, Tempo, 634249
1, 6960, Tempo, 634249
1, 7080, Tempo, 651466
1, 7200, Tempo, 634249
1, 7560, Tempo, 673401
1, 7680, Tempo, 693722
1, 7800, Tempo, 759590
1, 7920, Tempo, 805477
1, 8040, Tempo, 833449
1, 8160, Tempo, 722979
1, 8580, Tempo, 600000
1, 8640, Tempo, 647948
1, 8880, Tempo, 627615
1, 9240, Tempo, 643087
1, 9360, Tempo, 626305
1, 9600, Tempo, 626305
1, 9720, Tempo, 657174
1, 9840, Tempo, 626305
1, 10200, Tempo, 643087
1, 10320, Tempo, 657174
1, 10440, Tempo, 687285
1, 10560, Tempo, 810920
1, 10800, Tempo, 664452
1, 11040, Tempo, 683371
1, 11280, Tempo, 664452
1, 11520, Tempo, 679502
1, 11760, Tempo, 761421
1, 11880, Tempo, 818554
1, 12000, Tempo, 745434
1, 12420, Tempo, 600000
1, 12480, Tempo, 647948
1, 12720, Tempo, 627615
1, 13080, Tempo, 643087
1, 13200, Tempo, 626305
1, 13440, Tempo, 626305
1, 13560, Tempo, 657174
1, 13680, Tempo, 626305
1, 14040, Tempo, 643087
1, 14160, Tempo, 657174
