0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Grieg: Lyrische Stücke, Es war einmal, Opus 71 Nr. 1"
1, 0, Copyright_t, "Copyright © 2012 by Bernd Krueger"
1, 0, Text_t, "Bernd Krueger"
1, 0, Text_t, "Andante con moto"
1, 0, Text_t, "Erstellt:    23.10.2012\012"
1, 0, Text_t, "Dauer: 4:17 Minuten\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 1, "major"
1, 0, Tempo, 593472
1, 1440, Tempo, 952381
1, 4680, Tempo, 1100917
1, 4800, Tempo, 1061947
1, 5280, Tempo, 1008403
1, 5760, Tempo, 975610
1, 6720, Tempo, 1034483
1, 7560, Tempo, 1142857
1, 7680, Tempo, 1034483
1, 8640, Tempo, 967742
1, 9600, Tempo, 952381
1, 12360, Tempo, 1071429
1, 12480, Tempo, 1025641
1, 12720, Tempo, 1100917
1, 12960, Tempo, 1071429
1, 13440, Tempo, 944882
1, 13680, Tempo, 1008403
1, 13920, Tempo, 975610
1, 14160, Tempo, 1043478
1, 14400, Tempo, 975610
1, 14640, Tempo, 1052632
1, 14880, Tempo, 1008403
1, 15240, Tempo, 1188119
1, 16800, Tempo, 937500
1, 16800, Marker_t, "Animato"
1, 17280, Tempo, 888889
1, 18240, Tempo, 851064
1, 18480, Tempo, 888889
1, 19200, Tempo, 888889
1, 20160, Tempo, 952381
1, 21000, Tempo, 1250000
1, 21120, Tempo, 888889
1, 23040, Tempo, 944882
1, 23520, Tempo, 1016949
1, 24000, Tempo, 1100917
1, 24480, Tempo, 1176471
1, 24720, Tempo, 1463415
1, 24960, Tempo, 1025641
1, 25440, Tempo, 952381
1, 26880, Tempo, 937500
1, 27720, Tempo, 1100917
1, 27840, Tempo, 1071429
1, 28320, Tempo, 1008403
1, 28800, Tempo, 975610
1, 29760, Tempo, 1034483
1, 30600, Tempo, 1142857
1, 30720, Tempo, 1090909
1, 32160, Tempo, 937500
1, 32160, Marker_t, "Animato Wiederholung"
1, 32640, Tempo, 888889
1, 33600, Tempo, 851064
1, 33840, Tempo, 888889
1, 34560, Tempo, 888889
1, 35520, Tempo, 952381
1, 36360, Tempo, 1250000
1, 36480, Tempo, 888889
1, 38400, Tempo, 944882
1, 38880, Tempo, 1016949
1, 39360, Tempo, 1100917
1, 39840, Tempo, 1176471
1, 40080, Tempo, 1463415
1, 40320, Tempo, 1025641
1, 40800, Tempo, 952381
1, 42240, Tempo, 937500
1, 43080, Tempo, 1100917
1, 43200, Tempo, 1071429
1, 43680, Tempo, 1008403
1, 44160, Tempo, 975610
1, 45120, Tempo, 1034483
1, 45960, Tempo, 1142857
1, 46080, Tempo, 1090909
1, 48000, Time_signature, 3, 2, 24, 8
1, 48000, Key_signature, 4, "major"
1, 48000, Tempo, 262697
1, 48007, Marker_t, "Allegro brioso"
1, 51840, Tempo, 258732
1, 52320, Tempo, 253807
1, 53280, Tempo, 274098
1, 53760, Tempo, 262123
1, 54720, Tempo, 267977
1, 55200, Tempo, 287219
1, 55680, Tempo, 297915
1, 56640, Tempo, 262697
1, 57600, Tempo, 258176
1, 58080, Tempo, 253807
1, 59040, Tempo, 285171
1, 59520, Tempo, 262123
1, 60480, Tempo, 267977
1, 60960, Tempo, 288600
1, 61440, Tempo, 299401
1, 61920, Tempo, 299401
1, 62400, Tempo, 262697
1, 62400, Marker_t, "Wiederholung Beginn1"
1, 63360, Tempo, 258732
1, 63840, Tempo, 253807
1, 64800, Tempo, 274098
1, 65280, Tempo, 262123
1, 66240, Tempo, 267977
1, 66720, Tempo, 286533
1, 67200, Tempo, 292826
1, 68160, Tempo, 262697
1, 69120, Tempo, 258732
1, 69600, Tempo, 253807
1, 70560, Tempo, 283152
1, 71040, Tempo, 262123
1, 72000, Tempo, 267977
1, 72480, Tempo, 289995
1, 72960, Tempo, 301659
1, 73440, Tempo, 303183
1, 73920, Key_signature, -5, "major"
1, 73920, Tempo, 262697
1, 74880, Tempo, 258732
1, 75360, Tempo, 253807
1, 76320, Tempo, 274098
1, 76800, Tempo, 262123
1, 77760, Tempo, 267977
1, 78240, Tempo, 287219
1, 78720, Tempo, 297915
1, 79680, Tempo, 262697
1, 80640, Tempo, 258176
1, 81120, Tempo, 253807
1, 82080, Tempo, 285171
1, 82560, Tempo, 262123
1, 83520, Tempo, 267977
1, 84000, Tempo, 288600
1, 84480, Tempo, 299401
1, 84960, Tempo, 299401
1, 85440, Tempo, 262697
1, 86400, Tempo, 258732
1, 86880, Tempo, 253807
1, 87840, Tempo, 274098
1, 88320, Tempo, 262123
1, 89280, Tempo, 267977
1, 89760, Tempo, 287219
1, 90240, Tempo, 297915
1, 91200, Tempo, 262697
1, 92160, Tempo, 258176
1, 92640, Tempo, 253807
1, 93600, Tempo, 285171
1, 94080, Tempo, 262697
1, 95040, Tempo, 258176
1, 95520, Tempo, 253807
1, 96480, Tempo, 285171
1, 96960, Tempo, 254248
1, 97440, Tempo, 284374
1, 98400, Tempo, 254248
1, 98880, Tempo, 284374
