0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Grieg: Lyrische Stücke Op. 43 Nr. 6 Book III - An den Frühling"
1, 0, Copyright_t, "Copyright © 2007 by Bernd Krueger"
1, 0, Text_t, "Bernd Krueger"
1, 0, Text_t, "Allegro appassionato"
1, 0, Text_t, "Erstfassung,  nicht veröffentlicht: 24.5.2007\012"
1, 0, Text_t, "Erstellt: 14.9.2012\012"
1, 0, Text_t, "Dauer: 2:34 Minuten\012"
1, 0, Time_signature, 6, 2, 24, 8
1, 0, Key_signature, 6, "major"
1, 0, Tempo, 260926
1, 1440, Tempo, 258866
1, 2400, Tempo, 261974
1, 2880, Tempo, 260926
1, 4320, Tempo, 258866
1, 5280, Tempo, 261974
1, 5760, Tempo, 275229
1, 6240, Tempo, 260926
1, 7200, Tempo, 257843
1, 7680, Tempo, 259898
1, 8160, Tempo, 270673
1, 8640, Tempo, 258866
1, 9120, Tempo, 255831
1, 9600, Tempo, 258866
1, 10080, Tempo, 255831
1, 11040, Tempo, 266241
1, 11520, Tempo, 257843
1, 12000, Tempo, 255831
1, 12480, Tempo, 257843
1, 13440, Tempo, 255831
1, 13920, Tempo, 267833
1, 14400, Tempo, 255831
1, 14880, Tempo, 256827
1, 15840, Tempo, 252855
1, 16320, Tempo, 255831
1, 16800, Tempo, 268432
1, 17280, Tempo, 258866
1, 17760, Tempo, 255831
1, 18240, Tempo, 284225
1, 18720, Tempo, 256827
1, 19200, Tempo, 256717
1, 19680, Tempo, 263043
1, 20160, Tempo, 258866
1, 20640, Tempo, 254831
1, 21120, Tempo, 260926
1, 21600, Tempo, 258866
1, 22080, Tempo, 261974
1, 23040, Tempo, 261974
1, 23520, Tempo, 257843
1, 24000, Tempo, 275786
1, 24480, Tempo, 257843
1, 25440, Tempo, 264096
1, 25920, Tempo, 260926
1, 26880, Tempo, 258866
1, 27360, Tempo, 253829
1, 27840, Tempo, 256827
1, 28320, Tempo, 284954
1, 28800, Tempo, 260926
1, 29760, Tempo, 252855
1, 30240, Tempo, 260926
1, 30480, Tempo, 258866
1, 31200, Tempo, 265170
1, 31680, Tempo, 260926
1, 32160, Tempo, 258866
1, 32640, Tempo, 265170
1, 33120, Tempo, 260926
1, 33600, Tempo, 257843
1, 34080, Tempo, 266241
1, 34560, Tempo, 260926
1, 35520, Tempo, 252855
1, 36000, Tempo, 260926
1, 36240, Tempo, 258866
1, 36960, Tempo, 265170
1, 37440, Tempo, 260926
1, 37920, Tempo, 255831
1, 38400, Tempo, 265170
1, 38880, Tempo, 260926
1, 39360, Tempo, 257843
1, 39840, Tempo, 295537
1, 40320, Tempo, 268432
1, 41280, Tempo, 263043
1, 41760, Tempo, 271788
1, 42240, Tempo, 275875
1, 42720, Tempo, 292697
1, 42840, Tempo, 294855
1, 43200, Tempo, 261974
1, 43680, Tempo, 257843
1, 44160, Tempo, 265170
1, 44640, Tempo, 263043
1, 45120, Tempo, 259898
1, 45600, Tempo, 267344
1, 46080, Tempo, 261974
1, 46560, Tempo, 258866
1, 47520, Tempo, 253829
1, 48000, Tempo, 261974
1, 48480, Tempo, 268432
1, 48960, Tempo, 259898
1, 50400, Tempo, 266241
1, 50880, Tempo, 264096
1, 51360, Tempo, 266241
1, 51840, Tempo, 260926
1, 53280, Tempo, 256827
1, 53760, Tempo, 260926
1, 54240, Tempo, 282074
1, 54720, Tempo, 260926
1, 55200, Tempo, 257843
1, 55680, Tempo, 260926
1, 56160, Tempo, 259898
1, 56640, Tempo, 256827
1, 57120, Tempo, 264096
1, 57600, Tempo, 259898
1, 58080, Tempo, 256827
1, 58560, Tempo, 295537
1, 59040, Tempo, 270893
1, 59400, Tempo, 279083
1, 60000, Tempo, 298522
1, 60480, Tempo, 274060
1, 60960, Tempo, 264096
1, 61920, Tempo, 267344
1, 62880, Tempo, 317427
1, 63360, Tempo, 275229
1, 63840, Tempo, 260926
1, 64800, Tempo, 257843
1, 65280, Tempo, 266679
1, 65760, Tempo, 303813
1, 66240, Tempo, 258866
1, 66720, Tempo, 255831
1, 67200, Tempo, 258866
1, 67680, Tempo, 255831
1, 68640, Tempo, 266241
1, 69120, Tempo, 257843
1, 69600, Tempo, 255831
1, 70080, Tempo, 257843
1, 71040, Tempo, 255831
1, 71520, Tempo, 258866
1, 72000, Tempo, 255831
1, 72480, Tempo, 256827
1, 73440, Tempo, 252855
1, 73920, Tempo, 255831
1, 74400, Tempo, 268432
1, 74880, Tempo, 258866
1, 75360, Tempo, 255831
1, 75840, Tempo, 281360
1, 76320, Tempo, 256827
1, 77280, Tempo, 263043
1, 77760, Tempo, 258866
1, 78240, Tempo, 254831
1, 78720, Tempo, 260926
1, 79200, Tempo, 258866
1, 79680, Tempo, 261974
1, 80640, Tempo, 261974
1, 81120, Tempo, 257843
1, 81600, Tempo, 266548
1, 82080, Tempo, 257843
1, 83040, Tempo, 264096
1, 83520, Tempo, 260926
1, 84480, Tempo, 258866
1, 84960, Tempo, 253829
1, 85440, Tempo, 256827
1, 85920, Tempo, 295537
1, 86400, Tempo, 260926
1, 87360, Tempo, 252855
1, 87840, Tempo, 260926
1, 88080, Tempo, 258866
1, 88800, Tempo, 281360
1, 89280, Tempo, 260926
1, 89760, Tempo, 258866
1, 90240, Tempo, 265170
1, 90720, Tempo, 260926
1, 91200, Tempo, 257843
1, 91680, Tempo, 266241
1, 92160, Tempo, 260926
1, 93120, Tempo, 252855
1, 93600, Tempo, 260926
1, 93840, Tempo, 258866
1, 94560, Tempo, 265170
1, 95040, Tempo, 260926
1, 95520, Tempo, 255831
1, 96000, Tempo, 265170
1, 96480, Tempo, 260926
1, 96960, Tempo, 257843
1, 97440, Tempo, 289394
1, 97920, Tempo, 268432
1, 98880, Tempo, 263043
1, 99360, Tempo, 275242
1, 99960, Tempo, 279733
1, 100320, Tempo, 291163
1, 100800, Tempo, 261974
1, 101280, Tempo, 257843
1, 101760, Tempo, 265170
1, 102240, Tempo, 263043
1, 102720, Tempo, 259898
1, 103200, Tempo, 267344
1, 103680, Tempo, 261974
1, 104160, Tempo, 258866
1, 105120, Tempo, 253829
1, 105600, Tempo, 261974
1, 106080, Tempo, 268432
1, 106560, Tempo, 259898
1, 107520, Tempo, 287894
1, 108000, Tempo, 266241
1, 108480, Tempo, 264096
1, 108960, Tempo, 297915
1, 109440, Tempo, 260926
1, 110880, Tempo, 256827
1, 111360, Tempo, 260926
1, 111840, Tempo, 272926
1, 112320, Tempo, 260926
1, 112800, Tempo, 257843
1, 113280, Tempo, 260926
1, 113760, Tempo, 259898
1, 114240, Tempo, 256827
1, 114720, Tempo, 264096
1, 115200, Tempo, 259898
1, 115680, Tempo, 256827
1, 116160, Tempo, 281783
1, 116640, Tempo, 272121
1, 117240, Tempo, 278435
1, 117600, Tempo, 291985
1, 118080, Tempo, 274060
1, 118560, Tempo, 264096
1, 119520, Tempo, 267344
1, 120000, Tempo, 278966
1, 120960, Tempo, 290599
1, 121440, Tempo, 261301
1, 122400, Tempo, 254140
1, 122880, Tempo, 260688
1, 123360, Tempo, 330615
1, 123840, Tempo, 266288
1, 124320, Tempo, 258264
1, 124800, Tempo, 258264
1, 125280, Tempo, 254140
1, 125760, Tempo, 260688
1, 126240, Tempo, 278966
1, 126720, Tempo, 270173
1, 127200, Tempo, 255308
1, 128160, Tempo, 251847
1, 128640, Tempo, 256487
1, 129120, Tempo, 261906
1, 130080, Tempo, 265663
1, 130560, Tempo, 257080
1, 131040, Tempo, 252419
1, 131520, Tempo, 260078
1, 132000, Tempo, 297915
1, 132480, Tempo, 273486
1, 132960, Tempo, 257677
1, 133200, Tempo, 259471
1, 133440, Tempo, 258866
1, 133920, Tempo, 254140
1, 134160, Tempo, 255896
1, 134400, Tempo, 284954
1, 134880, Tempo, 268865
1, 135360, Tempo, 274160
1, 135840, Tempo, 256487
1, 136800, Tempo, 252994
1, 137280, Tempo, 261301
1, 137760, Tempo, 264399
1, 138240, Tempo, 262525
1, 138720, Tempo, 252994
1, 139200, Tempo, 280649
1, 139680, Tempo, 256487
1, 140160, Tempo, 259471
1, 140400, Tempo, 260688
1, 140640, Tempo, 268216
1, 141120, Tempo, 266288
1, 141600, Tempo, 252994
1, 142080, Tempo, 255308
1, 142560, Tempo, 256487
1, 143040, Tempo, 266928
1, 143520, Tempo, 263771
1, 144000, Tempo, 251847
1, 144480, Tempo, 256487
1, 144960, Tempo, 265029
1, 145440, Tempo, 258264
1, 145920, Tempo, 263146
1, 146160, Tempo, 260688
1, 146400, Tempo, 266288
1, 146880, Tempo, 249252
1, 147360, Tempo, 254723
1, 147840, Tempo, 258264
1, 148320, Tempo, 259471
1, 148800, Tempo, 258264
1, 149040, Tempo, 258264
1, 149280, Tempo, 263146
1, 149760, Tempo, 248149
1, 150240, Tempo, 255896
1, 150720, Tempo, 263146
1, 151200, Tempo, 259471
1, 151680, Tempo, 254140
1, 152160, Tempo, 260078
1, 152640, Tempo, 248149
1, 153120, Tempo, 254723
1, 153600, Tempo, 256487
1, 154080, Tempo, 258866
1, 154560, Tempo, 252994
1, 155040, Tempo, 259471
1, 155520, Tempo, 240125
1, 156000, Tempo, 247596
1, 156480, Tempo, 238067
1, 156960, Tempo, 243803
1, 157440, Tempo, 236053
1, 157920, Tempo, 242209
1, 158400, Tempo, 232603
1, 158880, Tempo, 237060
1, 159360, Tempo, 229727
1, 159840, Tempo, 234558
1, 160320, Tempo, 227842
1, 160800, Tempo, 297915
1, 161280, Tempo, 263146
1, 161760, Tempo, 252419
1, 162773, Tempo, 251425
1, 162800, Tempo, 249594
1, 162838, Tempo, 245198
1, 163104, Tempo, 244658
1, 163318, Tempo, 244121
1, 163531, Tempo, 243586
1, 163798, Tempo, 243053
1, 164011, Tempo, 242522
1, 164224, Tempo, 242004
1, 164491, Tempo, 241478
1, 164704, Tempo, 240954
1, 164918, Tempo, 240433
1, 165184, Tempo, 239914
1, 165398, Tempo, 239397
1, 165611, Tempo, 238892
1, 165824, Tempo, 238379
1, 166080, Tempo, 269518
1, 166560, Tempo, 242522
1, 167040, Tempo, 261301
1, 167520, Tempo, 252419
1, 168331, Tempo, 243053
1, 168598, Tempo, 242522
1, 168864, Tempo, 242004
1, 169131, Tempo, 241478
1, 169398, Tempo, 240954
1, 169664, Tempo, 240433
1, 169931, Tempo, 239914
1, 170198, Tempo, 239397
1, 170464, Tempo, 238892
1, 170731, Tempo, 238379
1, 170998, Tempo, 237869
1, 171264, Tempo, 237361
1, 171531, Tempo, 236855
1, 171798, Tempo, 236351
1, 171811, Tempo, 241293
1, 171840, Tempo, 266928
1, 172320, Tempo, 244658
1, 172560, Tempo, 244121
1, 172800, Tempo, 262525
1, 173280, Tempo, 253571
1, 174240, Tempo, 248643
1, 174251, Tempo, 245198
1, 174411, Tempo, 244658
1, 174571, Tempo, 244121
1, 174731, Tempo, 243586
1, 174838, Tempo, 243053
1, 174998, Tempo, 242522
1, 175158, Tempo, 242004
1, 175264, Tempo, 241478
1, 175424, Tempo, 240954
1, 175584, Tempo, 240433
1, 175691, Tempo, 239914
1, 175704, Tempo, 243932
1, 175707, Tempo, 242522
1, 175744, Tempo, 238892
1, 177200, Tempo, 242004
1, 177546, Tempo, 243932
1, 177600, Tempo, 272146
1, 178080, Tempo, 247372
1, 178320, Tempo, 247270
1, 178560, Tempo, 257080
1, 179040, Tempo, 249813
1, 179920, Tempo, 243803
1, 180048, Tempo, 243270
1, 180176, Tempo, 242738
1, 180272, Tempo, 242209
1, 180400, Tempo, 241682
1, 180496, Tempo, 241158
1, 180624, Tempo, 240645
1, 180720, Tempo, 240125
1, 180848, Tempo, 239607
1, 180944, Tempo, 239091
1, 180960, Tempo, 253571
1, 181440, Tempo, 251277
1, 181894, Tempo, 265498
1, 181926, Tempo, 266087
1, 181958, Tempo, 266679
1, 181990, Tempo, 267272
1, 182022, Tempo, 267869
1, 182054, Tempo, 268468
1, 182086, Tempo, 269070
1, 182118, Tempo, 269675
1, 182150, Tempo, 270282
1, 182182, Tempo, 270893
1, 182214, Tempo, 271505
1, 182246, Tempo, 272121
1, 182278, Tempo, 272740
1, 182310, Tempo, 273361
1, 182342, Tempo, 273985
1, 182374, Tempo, 274612
1, 182406, Tempo, 275242
1, 182438, Tempo, 275875
1, 182470, Tempo, 276510
1, 182502, Tempo, 277149
1, 182534, Tempo, 277791
1, 182566, Tempo, 278435
1, 182598, Tempo, 279083
1, 182630, Tempo, 279733
1, 182662, Tempo, 280387
