0, 0, Header, 1, 7, 480
1, 0, Start_track
1, 0, Title_t, "Wächterlied Op12, No. 3"
1, 0, Copyright_t, "Copyright Bernd Krüger http://www.piano-midi.de"
1, 0, Text_t, "Edvard Grieg"
1, 0, Text_t, "Molto andante e simplice"
1, 0, Text_t, "Pan's auf Normal am 18.1.98\012"
1, 0, Text_t, "Korrekturen am 4.9.98\012"
1, 0, Text_t, "Anpassungen an Digitalpiano am 28.12.98\012"
1, 0, Text_t, "Update am 19.8.99\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update : 28.4.2007 Umstellung auf SONAR und höheres Tempo\012"
1, 0, Text_t, "Update: 28.10.2012\012"
1, 0, Text_t, "Dauer: 2:26 Minuten\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 4, "major"
1, 0, Tempo, 659921
1, 0, Marker_t, "Molto andante e semplice"
1, 3360, Tempo, 678426
1, 3600, Tempo, 697999
1, 3840, Tempo, 678426
1, 4800, Tempo, 659921
1, 5760, Tempo, 666001
1, 6240, Tempo, 656886
1, 6720, Tempo, 659921
1, 7200, Tempo, 684853
1, 7680, Tempo, 659921
1, 9120, Tempo, 639522
1, 9600, Tempo, 648158
1, 11040, Tempo, 669045
1, 11280, Tempo, 656886
1, 11520, Tempo, 656886
1, 12000, Tempo, 672043
1, 12480, Tempo, 666001
1, 13440, Tempo, 684853
1, 14400, Tempo, 684853
1, 14480, Tempo, 688073
1, 14560, Tempo, 691324
1, 14640, Tempo, 694605
1, 14720, Tempo, 697999
1, 14800, Tempo, 701426
1, 14880, Tempo, 704722
1, 14960, Tempo, 708215
1, 15040, Tempo, 711659
1, 15120, Tempo, 715137
1, 15200, Tempo, 718735
1, 15240, Tempo, 776498
1, 15360, Tempo, 659921
1, 16800, Tempo, 639727
1, 17280, Tempo, 621955
1, 17520, Tempo, 601624
1, 17760, Tempo, 606673
1, 18240, Tempo, 625913
1, 18720, Tempo, 604169
1, 19200, Tempo, 606673
1, 19680, Tempo, 594354
1, 20160, Tempo, 657823
1, 20640, Tempo, 606673
1, 21360, Tempo, 592066
1, 21600, Tempo, 596777
1, 22080, Tempo, 614188
1, 22560, Tempo, 589623
1, 22800, Tempo, 578202
1, 23040, Tempo, 601624
1, 23520, Tempo, 609137
1, 24000, Tempo, 678580
1, 24041, Tempo, 665557
1, 24121, Tempo, 678426
1, 24480, Tempo, 666001
1, 26400, Tempo, 691324
1, 26640, Tempo, 718735
1, 26880, Tempo, 691324
1, 27840, Tempo, 659921
1, 28800, Tempo, 688073
1, 29760, Tempo, 684853
1, 29840, Tempo, 688073
1, 29880, Tempo, 691324
1, 29920, Tempo, 694605
1, 30000, Tempo, 697999
1, 30040, Tempo, 701426
1, 30080, Tempo, 704722
1, 30160, Tempo, 708215
1, 30200, Tempo, 711659
1, 30240, Tempo, 715137
1, 30320, Tempo, 718735
1, 30360, Tempo, 722369
1, 30400, Tempo, 725953
1, 30480, Tempo, 729483
1, 30520, Tempo, 733317
1, 30560, Tempo, 737010
1, 30580, Tempo, 764137
1, 30600, Tempo, 859230
1, 31200, Tempo, 659921
1, 32160, Tempo, 628470
1, 32640, Tempo, 612557
1, 32880, Tempo, 595002
1, 33120, Tempo, 609942
1, 33600, Tempo, 625717
1, 34080, Tempo, 592534
1, 34560, Tempo, 599940
1, 35040, Tempo, 590203
1, 35520, Tempo, 653951
1, 36000, Tempo, 609942
1, 36720, Tempo, 583034
1, 36960, Tempo, 595002
1, 37200, Tempo, 585366
1, 37440, Tempo, 597431
1, 37920, Tempo, 583034
1, 38160, Tempo, 567108
1, 38400, Tempo, 587774
1, 38880, Tempo, 597431
1, 39360, Tempo, 678426
1, 39840, Tempo, 666001
1, 41760, Tempo, 691324
1, 42000, Tempo, 725953
1, 42240, Tempo, 691324
1, 43200, Tempo, 659921
1, 44160, Tempo, 704722
1, 44640, Tempo, 718735
1, 45120, Tempo, 711659
1, 45160, Tempo, 715137
1, 45200, Tempo, 722369
1, 45240, Tempo, 725953
1, 45280, Tempo, 733317
