0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Grieg: Lyrische Stücke Op. 43 Nr. 2 - Einsamer Wanderer"
1, 0, Copyright_t, "Copyright © 2007 by Bernd Krueger"
1, 0, Text_t, "Edvard Grieg"
1, 0, Text_t, "Allegretto semplice"
1, 0, Text_t, "Erstellt: 16.5.2007\012"
1, 0, Text_t, "Update: 5.11.2012\012"
1, 0, Text_t, "Dauer: 1:41 Minuten\012"
1, 0, Time_signature, 6, 3, 12, 8
1, 0, Key_signature, 2, "major"
1, 0, Tempo, 600000
1, 1200, Tempo, 1100917
1, 1440, Tempo, 1071429
1, 1680, Tempo, 1016949
1, 1920, Tempo, 1142857
1, 2160, Tempo, 1043478
1, 2640, Tempo, 1348315
1, 2760, Tempo, 902256
1, 2880, Tempo, 1061947
1, 3120, Tempo, 991736
1, 3360, Tempo, 1153846
1, 3600, Tempo, 1034483
1, 4080, Tempo, 1061947
1, 4200, Tempo, 1200000
1, 4320, Tempo, 1034483
1, 4560, Tempo, 1071429
1, 4800, Tempo, 1100917
1, 5040, Tempo, 1043478
1, 5400, Tempo, 1090909
1, 5640, Tempo, 1142857
1, 5760, Tempo, 1081081
1, 6120, Tempo, 1224490
1, 6240, Tempo, 1348315
1, 6960, Tempo, 1034483
1, 7200, Tempo, 1071429
1, 7440, Tempo, 1016949
1, 7680, Tempo, 1142857
1, 7920, Tempo, 1043478
1, 8400, Tempo, 1348315
1, 8520, Tempo, 902256
1, 8640, Tempo, 1061947
1, 8880, Tempo, 991736
1, 9120, Tempo, 1153846
1, 9360, Tempo, 1034483
1, 9840, Tempo, 1061947
1, 9960, Tempo, 1200000
1, 10080, Tempo, 1034483
1, 10320, Tempo, 1071429
1, 10560, Tempo, 1100917
1, 10800, Tempo, 1043478
1, 11160, Tempo, 1090909
1, 11400, Tempo, 1142857
1, 11520, Tempo, 1081081
1, 11880, Tempo, 1224490
1, 12000, Tempo, 1348315
1, 12240, Tempo, 1263158
1, 12720, Tempo, 1061947
1, 13320, Tempo, 1034483
1, 13560, Tempo, 1132075
1, 13680, Tempo, 1061947
1, 14040, Tempo, 1052632
1, 14280, Tempo, 1176471
1, 14400, Tempo, 1111111
1, 14880, Tempo, 1237113
1, 15600, Tempo, 1061947
1, 16200, Tempo, 1034483
1, 16440, Tempo, 1132075
1, 16560, Tempo, 1061947
1, 16920, Tempo, 1052632
1, 17160, Tempo, 1176471
1, 17280, Tempo, 1111111
1, 17760, Tempo, 1237113
1, 18000, Tempo, 1132075
1, 18480, Tempo, 1111111
1, 18720, Tempo, 1111111
1, 19200, Tempo, 1237113
1, 19440, Tempo, 1165049
1, 19920, Tempo, 1090909
1, 20160, Tempo, 1061947
1, 20400, Tempo, 1034483
1, 20640, Tempo, 1111111
1, 20880, Tempo, 1061947
1, 21120, Tempo, 1043478
1, 21360, Tempo, 1111111
1, 21600, Tempo, 1071429
1, 21840, Tempo, 1121495
1, 22080, Tempo, 1061947
1, 22320, Tempo, 1121495
1, 22560, Tempo, 1043478
1, 22800, Tempo, 1111111
1, 23040, Tempo, 1061947
1, 23400, Tempo, 1034483
1, 23640, Tempo, 1132075
1, 23760, Tempo, 1061947
1, 24240, Tempo, 1111111
1, 24480, Tempo, 1061947
1, 24840, Tempo, 1034483
1, 25080, Tempo, 1132075
1, 25200, Tempo, 1224490
1, 25680, Tempo, 1061947
1, 25800, Tempo, 1200000
1, 25920, Tempo, 1034483
1, 26160, Tempo, 1071429
1, 26400, Tempo, 1100917
1, 26640, Tempo, 1043478
1, 27000, Tempo, 1090909
1, 27240, Tempo, 1142857
1, 27360, Tempo, 1081081
1, 27720, Tempo, 1224490
1, 27840, Tempo, 1348315
1, 28080, Tempo, 1212121
1, 28560, Tempo, 1061947
1, 29160, Tempo, 1034483
1, 29400, Tempo, 1132075
1, 29520, Tempo, 1061947
1, 29880, Tempo, 1052632
1, 30120, Tempo, 1176471
1, 30240, Tempo, 1111111
1, 30720, Tempo, 1200000
1, 31440, Tempo, 1061947
1, 32040, Tempo, 1034483
1, 32280, Tempo, 1132075
1, 32400, Tempo, 1061947
1, 32760, Tempo, 1052632
