0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Hochzeitstag auf Troldhaugen Op 65, No. 6"
1, 0, Copyright_t, "Copyright © 1998 by Bernd Krüger http://www.piano-midi.de"
1, 0, Text_t, "Edvard Grieg"
1, 0, Text_t, "Tempo di Marcia un poco vivace"
1, 0, Text_t, "Fertiggestellt am 21.2.98\012"
1, 0, Text_t, "Korrekturen am 5.9.98\012"
1, 0, Text_t, "Anpassungen an Digitalpiano am 28.12.98\012"
1, 0, Text_t, "Update am 19.8.99\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update: 30.4.2007 (Umstieg auf SONAR, Lautstärkenänderungen)\012"
1, 0, Text_t, "Update: 18.11.2012\012"
1, 0, Text_t, "Dauer: 5:33 Minuten \012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 2, "major"
1, 0, Tempo, 525026
1, 0, Marker_t, "Hochzeitstag auf Troldhaugen"
1, 480, Tempo, 508130
1, 1440, Tempo, 475511
1, 2880, Tempo, 479118
1, 3600, Tempo, 475511
1, 4320, Tempo, 468457
1, 4560, Tempo, 477327
1, 4800, Tempo, 475511
1, 5040, Tempo, 475511
1, 5280, Tempo, 475511
1, 6720, Tempo, 468457
1, 6960, Tempo, 482820
1, 7200, Tempo, 464972
1, 7680, Tempo, 471958
1, 7920, Tempo, 453275
1, 8160, Tempo, 464972
1, 8640, Tempo, 468457
1, 8880, Tempo, 453275
1, 9120, Tempo, 456552
1, 9600, Tempo, 459911
1, 10080, Tempo, 466708
1, 11040, Tempo, 459911
1, 12000, Tempo, 470183
1, 12240, Tempo, 470183
1, 12480, Tempo, 470183
1, 12720, Tempo, 470183
1, 12960, Tempo, 461574
1, 13440, Tempo, 468457
1, 13680, Tempo, 466708
1, 13920, Tempo, 468457
1, 14640, Tempo, 488400
1, 14880, Tempo, 470183
1, 15360, Tempo, 471958
1, 15600, Tempo, 454925
1, 15840, Tempo, 470183
1, 16320, Tempo, 446861
1, 16560, Tempo, 461574
1, 16800, Tempo, 454925
1, 17280, Tempo, 461574
1, 18720, Tempo, 516440
1, 19680, Tempo, 496114
1, 20640, Tempo, 475511
1, 22080, Tempo, 479118
1, 22800, Tempo, 475511
1, 23040, Tempo, 464972
1, 23520, Tempo, 470183
1, 23760, Tempo, 471958
1, 24000, Tempo, 466708
1, 24240, Tempo, 475511
1, 24480, Tempo, 475511
1, 25920, Tempo, 468457
1, 26160, Tempo, 482820
1, 26400, Tempo, 464972
1, 26880, Tempo, 471958
1, 27120, Tempo, 453275
1, 27360, Tempo, 464972
1, 27840, Tempo, 468457
1, 28080, Tempo, 453275
1, 28320, Tempo, 456552
1, 28800, Tempo, 459911
1, 29280, Tempo, 466708
1, 30240, Tempo, 459911
1, 31200, Tempo, 468457
1, 31440, Tempo, 470183
1, 31680, Tempo, 466708
1, 31920, Tempo, 470183
1, 32160, Tempo, 461574
1, 32640, Tempo, 468457
1, 32880, Tempo, 466708
1, 33120, Tempo, 468457
1, 33840, Tempo, 486539
1, 34080, Tempo, 470183
1, 34560, Tempo, 471958
1, 34800, Tempo, 454925
1, 35040, Tempo, 470183
1, 35520, Tempo, 446861
1, 35760, Tempo, 461574
1, 36000, Tempo, 454925
1, 36480, Tempo, 461574
1, 37920, Tempo, 477327
1, 38400, Tempo, 466708
1, 38880, Tempo, 461574
1, 39120, Tempo, 498049
1, 39360, Tempo, 466708
1, 39840, Tempo, 461574
1, 40080, Tempo, 494153
1, 40320, Tempo, 458225
1, 40800, Tempo, 461574
1, 41040, Tempo, 492247
1, 41280, Tempo, 458225
1, 41760, Tempo, 461574
1, 42240, Tempo, 458225
1, 42480, Tempo, 448430
1, 42720, Tempo, 463285
1, 45120, Tempo, 455927
1, 45600, Tempo, 460759
1, 45840, Tempo, 470773
1, 46080, Tempo, 457526
1, 46320, Tempo, 470773
1, 46560, Tempo, 457526
1, 46800, Tempo, 470773
1, 47040, Tempo, 441956
1, 47280, Tempo, 460759
1, 47520, Tempo, 446495
1, 47760, Tempo, 455927
1, 47880, Tempo, 480962
1, 48000, Tempo, 454339
1, 48480, Tempo, 464037
1, 48720, Tempo, 475964
1, 48960, Tempo, 444972
1, 49301, Tempo, 431530
1, 49440, Tempo, 488400
1, 49680, Tempo, 494153
1, 49940, Tempo, 458225
1, 50400, Tempo, 461574
1, 50640, Tempo, 490316
1, 50880, Tempo, 458225
1, 51360, Tempo, 461574
1, 51840, Tempo, 458225
1, 52080, Tempo, 448430
1, 52320, Tempo, 463285
1, 54720, Tempo, 455927
1, 55200, Tempo, 460759
1, 55440, Tempo, 470773
1, 55680, Tempo, 457526
1, 55920, Tempo, 470773
1, 56160, Tempo, 457526
1, 56400, Tempo, 470773
1, 56640, Tempo, 441956
1, 56880, Tempo, 460759
1, 57120, Tempo, 446495
1, 57360, Tempo, 455927
1, 57480, Tempo, 492247
1, 57600, Tempo, 454339
1, 58080, Tempo, 464037
1, 58320, Tempo, 475964
1, 59040, Tempo, 458225
1, 59520, Tempo, 466708
1, 59760, Tempo, 479118
1, 60000, Tempo, 453275
1, 60480, Tempo, 463285
1, 60720, Tempo, 479118
1, 60960, Tempo, 445269
1, 61440, Tempo, 456552
1, 61680, Tempo, 475511
1, 61920, Tempo, 448430
1, 62400, Tempo, 463285
1, 62880, Tempo, 458225
1, 63360, Tempo, 466708
1, 63600, Tempo, 479118
1, 63840, Tempo, 453275
1, 64320, Tempo, 463285
1, 64560, Tempo, 479118
1, 64800, Tempo, 445269
1, 65280, Tempo, 456552
1, 65520, Tempo, 475511
1, 65760, Tempo, 448430
1, 66240, Tempo, 466708
1, 66720, Tempo, 466708
1, 67200, Tempo, 466708
1, 67440, Tempo, 479118
1, 67680, Tempo, 454925
1, 68160, Tempo, 463285
1, 68400, Tempo, 479118
1, 68640, Tempo, 456552
1, 69120, Tempo, 466708
1, 69360, Tempo, 475511
1, 69600, Tempo, 458225
1, 70080, Tempo, 463285
1, 70560, Tempo, 458225
1, 71040, Tempo, 466708
1, 71280, Tempo, 479118
1, 71520, Tempo, 451637
1, 72000, Tempo, 463285
1, 72240, Tempo, 479118
1, 72480, Tempo, 446861
1, 72960, Tempo, 456552
1, 73200, Tempo, 450045
1, 73440, Tempo, 448430
1, 73920, Tempo, 463285
1, 74400, Tempo, 446861
1, 74880, Tempo, 456552
1, 75120, Tempo, 463285
1, 75360, Tempo, 443689
1, 75840, Tempo, 458225
1, 76320, Tempo, 445269
1, 76800, Tempo, 458225
1, 77040, Tempo, 463285
1, 77280, Tempo, 445269
1, 77760, Tempo, 461574
1, 78000, Tempo, 450045
1, 78240, Tempo, 445269
1, 78720, Tempo, 436015
1, 78960, Tempo, 425713
1, 79200, Tempo, 424268
1, 79440, Tempo, 422863
1, 79660, Tempo, 421437
1, 79680, Tempo, 433025
1, 79920, Tempo, 418644
1, 80640, Tempo, 427168
1, 80880, Tempo, 415887
1, 81600, Tempo, 427168
1, 81840, Tempo, 415887
1, 82560, Tempo, 436015
1, 82800, Tempo, 420021
1, 83520, Tempo, 442152
1, 83760, Tempo, 428602
1, 83780, Tempo, 430077
1, 83800, Tempo, 431530
1, 83820, Tempo, 433025
1, 83840, Tempo, 434531
1, 83860, Tempo, 437541
1, 83880, Tempo, 439078
1, 83900, Tempo, 440593
1, 83920, Tempo, 442152
1, 83940, Tempo, 445269
1, 83960, Tempo, 446861
1, 83980, Tempo, 448430
1, 84000, Tempo, 450045
1, 84020, Tempo, 453275
1, 84040, Tempo, 454925
1, 84060, Tempo, 456552
1, 84080, Tempo, 458225
1, 84100, Tempo, 461574
1, 84120, Tempo, 463285
1, 84140, Tempo, 464972
1, 84160, Tempo, 466708
1, 84180, Tempo, 470183
1, 84200, Tempo, 471958
1, 84220, Tempo, 473709
1, 84240, Tempo, 475511
1, 84260, Tempo, 479118
1, 84280, Tempo, 480962
1, 84300, Tempo, 482820
1, 84320, Tempo, 484653
1, 84340, Tempo, 488400
1, 84360, Tempo, 490316
1, 84480, Tempo, 448430
1, 85920, Tempo, 461574
1, 86400, Tempo, 448430
1, 88320, Tempo, 463285
1, 88800, Tempo, 450045
1, 90240, Tempo, 475511
1, 90720, Tempo, 508130
1, 91200, Tempo, 520698
1, 91680, Tempo, 684853
1, 91920, Tempo, 741290
1, 92160, Tempo, 479118
1, 92400, Tempo, 468457
1, 92640, Tempo, 464972
1, 92880, Tempo, 458225
1, 93120, Tempo, 464972
1, 93360, Tempo, 458225
1, 93600, Tempo, 446861
1, 93840, Tempo, 454925
1, 94080, Tempo, 442152
1, 95040, Tempo, 450045
1, 95520, Tempo, 439078
1, 95760, Tempo, 443689
1, 96000, Tempo, 450045
1, 96240, Tempo, 439078
1, 96480, Tempo, 439078
1, 96720, Tempo, 448430
1, 96960, Tempo, 459911
1, 97200, Tempo, 445269
1, 97440, Tempo, 456552
1, 97680, Tempo, 470183
1, 97920, Tempo, 459911
1, 98400, Tempo, 466708
1, 99360, Tempo, 459911
1, 99840, Tempo, 453275
1, 100320, Tempo, 466708
1, 100560, Tempo, 454925
1, 100800, Tempo, 445269
1, 101040, Tempo, 459911
1, 101280, Tempo, 442152
1, 101520, Tempo, 458225
1, 101760, Tempo, 461574
1, 102240, Tempo, 439078
1, 102720, Tempo, 431530
1, 102960, Tempo, 463285
1, 103200, Tempo, 440593
1, 103680, Tempo, 453275
1, 103920, Tempo, 434531
1, 104160, Tempo, 446861
1, 104400, Tempo, 446861
1, 104640, Tempo, 440593
1, 104880, Tempo, 461574
1, 105120, Tempo, 461574
1, 105600, Tempo, 470183
1, 106560, Tempo, 498049
1, 107520, Time_signature, 2, 2, 24, 8
1, 107520, Key_signature, 1, "major"
1, 107520, Tempo, 639182
1, 107520, Marker_t, "Poco tranquillo"
1, 108480, Tempo, 615448
1, 109420, Tempo, 559858
1, 109440, Tempo, 578202
1, 109680, Tempo, 551268
1, 110160, Tempo, 563063
1, 110400, Tempo, 580327
