0, 0, Header, 1, 7, 480
1, 0, Start_track
1, 0, Title_t, "Zug der Zwerge Op 54, No. 3"
1, 0, Copyright_t, "Copyright © 1998 von Bernd Krüger."
1, 0, Text_t, "Edvard Grieg\012"
1, 0, Text_t, "Allegro moderato\012"
1, 0, Text_t, "Fertiggestellt am 7.3.98\012"
1, 0, Text_t, "Korrekturen am 4.9.98\012"
1, 0, Text_t, "Anpassungen an Digitalpiano am 28.12.98\012"
1, 0, Text_t, "Update am 19.8.99\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update; 29.4.2007 (Übertragung inach SONAR, Mittelteil langsamer\012"
1, 0, Text_t, "Update: 8.11.2012\012"
1, 0, Text_t, "Dauer: 2:36 Minuten\012"
1, 0, Text_t, "bdca426d104a26ac9dcb070447587523\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 370370
1, 0, Marker_t, "March of the Dwarfs"
1, 960, Tempo, 365854
1, 1660, Tempo, 356083
1, 1920, Tempo, 366972
1, 2160, Tempo, 363636
1, 2400, Tempo, 365854
1, 2640, Tempo, 360360
1, 2880, Tempo, 364742
1, 3120, Tempo, 357143
1, 3360, Tempo, 360360
1, 3600, Tempo, 350877
1, 3840, Tempo, 360360
1, 4080, Tempo, 355030
1, 4320, Tempo, 360360
1, 4560, Tempo, 353982
1, 4800, Tempo, 358209
1, 5280, Tempo, 363636
1, 5520, Tempo, 355030
1, 5760, Tempo, 363636
1, 6000, Tempo, 359281
1, 6240, Tempo, 363636
1, 6480, Tempo, 355030
1, 6720, Tempo, 361446
1, 6960, Tempo, 352941
1, 7200, Tempo, 356083
1, 7440, Tempo, 349854
1, 7680, Tempo, 360360
1, 7920, Tempo, 350877
1, 8160, Tempo, 355030
1, 8400, Tempo, 350877
1, 8640, Tempo, 358209
1, 8880, Tempo, 344828
1, 9360, Tempo, 338983
1, 9600, Tempo, 346821
1, 9840, Tempo, 357143
1, 10080, Tempo, 346821
1, 10320, Tempo, 357143
1, 10560, Tempo, 346821
1, 10800, Tempo, 357143
1, 11040, Tempo, 346821
1, 11280, Tempo, 357143
1, 11520, Tempo, 346821
1, 11760, Tempo, 357143
1, 12000, Tempo, 346821
1, 12240, Tempo, 356083
1, 12720, Tempo, 340909
1, 13440, Tempo, 346821
1, 13680, Tempo, 356083
1, 13920, Tempo, 346821
1, 14160, Tempo, 356083
1, 14400, Tempo, 356083
1, 14640, Tempo, 341880
1, 15360, Tempo, 346821
1, 15600, Tempo, 356083
1, 15840, Tempo, 346821
1, 16080, Tempo, 356083
1, 16320, Tempo, 346821
1, 16800, Tempo, 338983
1, 17280, Tempo, 341880
1, 17760, Tempo, 337079
1, 18240, Tempo, 331492
1, 18700, Tempo, 337079
1, 18720, Tempo, 335196
1, 19200, Tempo, 330579
