0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Klaviersonate in G-Dur Hoboken XVI:40"
1, 0, Title_t, "2. Satz"
1, 0, Copyright_t, "Copyright © 1998 von Bernd Krüger. http://www.piano-midi.de"
1, 0, Text_t, "Joseph Haydn"
1, 0, Text_t, "Presto"
1, 0, Text_t, "Fertiggestellt am 1.2.98\012"
1, 0, Text_t, "Update am 5.10.99\012"
1, 0, Text_t, "Update am 21.6.2002\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 29.11.2011\012"
1, 0, Text_t, "Dauer: 2:59 Minuten\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 1, "major"
1, 0, Tempo, 375000
1, 0, Marker_t, "Presto - Teil 1"
1, 1920, Tempo, 368098
1, 2640, Tempo, 357143
1, 3600, Tempo, 348837
1, 3840, Tempo, 358209
1, 4800, Tempo, 369231
1, 5040, Tempo, 361446
1, 5760, Tempo, 358209
1, 6240, Tempo, 366972
1, 6480, Tempo, 358209
1, 7680, Tempo, 375000
1, 8880, Tempo, 368098
1, 9600, Tempo, 368098
1, 10320, Tempo, 357143
1, 11280, Tempo, 348837
1, 11520, Tempo, 357143
1, 12360, Tempo, 348837
1, 12480, Tempo, 363636
1, 12960, Tempo, 358209
1, 17280, Tempo, 382166
1, 19200, Tempo, 375000
1, 19200, Marker_t, "Teil 1 Wiederholung"
1, 21120, Tempo, 368098
1, 21840, Tempo, 357143
1, 22800, Tempo, 348837
1, 23040, Tempo, 358209
1, 24000, Tempo, 369231
1, 24240, Tempo, 361446
1, 24960, Tempo, 358209
1, 25440, Tempo, 366972
1, 25680, Tempo, 358209
1, 26880, Tempo, 375000
1, 28080, Tempo, 368098
1, 28800, Tempo, 368098
1, 29520, Tempo, 357143
1, 30480, Tempo, 348837
1, 30720, Tempo, 357143
1, 31560, Tempo, 348837
1, 31680, Tempo, 363636
1, 32160, Tempo, 358209
1, 36480, Tempo, 382166
1, 38400, Tempo, 361446
1, 38400, Marker_t, "Teil 2"
1, 39120, Tempo, 405405
1, 39360, Tempo, 400000
1, 39600, Tempo, 379747
1, 40320, Tempo, 361446
1, 41040, Tempo, 405405
1, 41280, Tempo, 400000
1, 41520, Tempo, 385852
1, 42240, Tempo, 361446
1, 42960, Tempo, 405405
1, 43200, Tempo, 400000
1, 44160, Tempo, 361446
1, 44640, Tempo, 410959
1, 44880, Tempo, 422535
1, 46080, Tempo, 375000
1, 47280, Tempo, 368098
1, 48000, Tempo, 368098
1, 48720, Tempo, 360360
1, 49680, Tempo, 355030
1, 49920, Tempo, 366972
1, 50280, Tempo, 352941
1, 50400, Tempo, 365854
1, 50760, Tempo, 372671
1, 51840, Tempo, 364742
1, 52200, Tempo, 353982
1, 52320, Tempo, 362538
1, 54600, Tempo, 378549
1, 54720, Tempo, 378549
1, 55200, Tempo, 378549
1, 55680, Tempo, 378549
1, 56640, Tempo, 382166
1, 57600, Tempo, 363636
1, 57960, Tempo, 348837
1, 58080, Tempo, 363636
1, 58560, Tempo, 373832
1, 58800, Tempo, 380952
1, 59520, Tempo, 358209
1, 63360, Tempo, 382166
1, 65280, Tempo, 361446
1, 65280, Marker_t, "Teil 2 Wiederholung"
1, 66000, Tempo, 405405
1, 66240, Tempo, 400000
1, 66480, Tempo, 379747
1, 67200, Tempo, 361446
1, 67920, Tempo, 405405
1, 68160, Tempo, 400000
1, 68400, Tempo, 385852
1, 69120, Tempo, 361446
1, 69840, Tempo, 405405
1, 70080, Tempo, 400000
1, 71040, Tempo, 361446
1, 71520, Tempo, 410959
1, 71760, Tempo, 422535
1, 72960, Tempo, 375000
1, 74160, Tempo, 368098
1, 74880, Tempo, 368098
1, 75600, Tempo, 360360
1, 76560, Tempo, 355030
1, 76800, Tempo, 366972
1, 77160, Tempo, 352941
1, 77280, Tempo, 365854
1, 77640, Tempo, 372671
1, 78720, Tempo, 364742
1, 79080, Tempo, 353982
1, 79200, Tempo, 362538
1, 81480, Tempo, 378549
1, 81600, Tempo, 378549
1, 82080, Tempo, 378549
1, 82560, Tempo, 378549
1, 83520, Tempo, 382166
1, 84480, Tempo, 363636
1, 84840, Tempo, 348837
1, 84960, Tempo, 363636
1, 85440, Tempo, 373832
1, 85680, Tempo, 380952
1, 86400, Tempo, 358209
1, 90240, Tempo, 382166
1, 92160, Tempo, 410959
1, 92160, Marker_t, "Teil 3"
1, 92400, Tempo, 419580
1, 92640, Tempo, 401338
1, 92880, Tempo, 387097
1, 93120, Tempo, 397351
1, 93360, Tempo, 404040
1, 93600, Tempo, 398671
1, 93840, Tempo, 383387
1, 94080, Tempo, 397351
1, 94320, Tempo, 409556
1, 94560, Tempo, 405405
1, 94800, Tempo, 389610
1, 95040, Tempo, 401338
1, 95280, Tempo, 408163
1, 95520, Tempo, 401338
1, 95760, Tempo, 392157
1, 96000, Tempo, 401338
1, 96240, Tempo, 388350
1, 96480, Tempo, 401338
1, 97200, Tempo, 405405
1, 98400, Tempo, 400000
1, 99120, Tempo, 393443
1, 99840, Tempo, 410959
1, 100080, Tempo, 416667
1, 100320, Tempo, 401338
1, 100560, Tempo, 390879
1, 100800, Tempo, 401338
1, 101040, Tempo, 410959
1, 101280, Tempo, 401338
1, 101520, Tempo, 388350
1, 101760, Tempo, 401338
1, 102000, Tempo, 408163
1, 102240, Tempo, 405405
1, 102480, Tempo, 389610
1, 102720, Tempo, 401338
1, 102960, Tempo, 408163
1, 103200, Tempo, 401338
1, 103440, Tempo, 392157
1, 103680, Tempo, 401338
1, 103920, Tempo, 408163
1, 104160, Tempo, 398671
1, 104880, Tempo, 406780
1, 105360, Tempo, 397351
1, 106800, Tempo, 393443
1, 107760, Tempo, 419580
1, 108000, Tempo, 401338
1, 108240, Tempo, 390879
