0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Sonate XVI:35 2. Satz"
1, 0, Copyright_t, "Copyright © 2009 by Bernd Krueger"
1, 0, Text_t, "Joseph Haydn"
1, 0, Text_t, "Adagio"
1, 0, Text_t, "Erstellt: 18.1.2009\012"
1, 0, Text_t, "Update: 5.12.2011\012"
1, 0, Text_t, "Dauer: 6:35 Minuten\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 500000
1, 1440, Tempo, 1212121
1, 1680, Marker_t, "Teil 1"
1, 1920, Tempo, 1200000
1, 2400, Tempo, 1188119
1, 2580, Tempo, 1176471
1, 2760, Tempo, 1250000
1, 2880, Tempo, 1200000
1, 3600, Tempo, 1263158
1, 3840, Tempo, 1212121
1, 4320, Tempo, 1188119
1, 4500, Tempo, 1200000
1, 4680, Tempo, 1250000
1, 4800, Tempo, 1212121
1, 5520, Tempo, 1250000
1, 5760, Tempo, 1200000
1, 6720, Tempo, 1250000
1, 6960, Tempo, 1200000
1, 7440, Tempo, 1263158
1, 7680, Tempo, 1200000
1, 8400, Tempo, 1263158
1, 8640, Tempo, 1212121
1, 9360, Tempo, 1290323
1, 9600, Tempo, 1224490
1, 10080, Tempo, 1188119
1, 10440, Tempo, 1263158
1, 10560, Tempo, 1176471
1, 10740, Tempo, 1263158
1, 10800, Tempo, 1176471
1, 10980, Tempo, 1276596
1, 11040, Tempo, 1176471
1, 11220, Tempo, 1263158
1, 11280, Tempo, 1176471
1, 11400, Tempo, 1212121
1, 11460, Tempo, 1318681
1, 11520, Tempo, 1188119
1, 12000, Tempo, 1188119
1, 12240, Tempo, 1153846
1, 12360, Tempo, 1250000
1, 12480, Tempo, 1200000
1, 13200, Tempo, 1250000
1, 13440, Tempo, 1200000
1, 14400, Tempo, 1188119
1, 14496, Tempo, 1176471
1, 14573, Tempo, 1165049
1, 14650, Tempo, 1153846
1, 14765, Tempo, 1250000
1, 14880, Tempo, 1153846
1, 15240, Tempo, 1395349
1, 15360, Tempo, 1224490
1, 16080, Tempo, 1237113
1, 16200, Tempo, 1518987
1, 16320, Tempo, 1263158
1, 16800, Tempo, 1200000
1, 17280, Tempo, 1188119
1, 17760, Tempo, 1176471
1, 18120, Tempo, 1276596
1, 18240, Tempo, 1176471
1, 18720, Tempo, 1111111
1, 18840, Tempo, 1176471
1, 19200, Tempo, 1165049
1, 19680, Tempo, 1153846
1, 20040, Tempo, 1237113
1, 20160, Tempo, 1153846
1, 20400, Tempo, 1132075
1, 21000, Tempo, 1276596
1, 21120, Tempo, 1153846
1, 21600, Tempo, 1142857
1, 21960, Tempo, 1250000
1, 22080, Tempo, 1153846
1, 22560, Tempo, 1081081
1, 22680, Tempo, 1132075
1, 23040, Tempo, 1121495
1, 23160, Tempo, 1121495
1, 23280, Tempo, 1132075
1, 23400, Tempo, 1121495
1, 23520, Tempo, 1111111
1, 23640, Tempo, 1121495
1, 23760, Tempo, 1132075
1, 23880, Tempo, 1200000
1, 24000, Tempo, 1142857
1, 24840, Tempo, 1224490
1, 24960, Tempo, 1142857
1, 25080, Tempo, 1153846
1, 25200, Tempo, 1153846
