0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Islamei"
1, 0, Title_t, "Orientalische Fantasie"
1, 0, Copyright_t, "Copyright © 2000 by Bernd Krueger"
1, 0, Text_t, "Mili Balakirew"
1, 0, Text_t, "Presto con fuoco"
1, 0, Text_t, "Fertiggestellt am 3.5.2000\012"
1, 0, Text_t, "Update am 7.5.2000\012"
1, 0, Text_t, "Update am 23.8.2000\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 11.3.2014\012"
1, 0, Text_t, "Dauer: 8:18 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 12, 4, 6, 8
1, 0, Key_signature, -5, "major"
1, 0, Tempo, 465694
1, 0, Marker_t, "Presto con fuoco"
1, 960, Tempo, 518135
1, 1080, Tempo, 465694
1, 1440, Tempo, 469153
1, 2160, Tempo, 486066
1, 2184, Tempo, 487845
1, 2212, Tempo, 489636
1, 2224, Tempo, 491360
1, 2252, Tempo, 493178
1, 2264, Tempo, 495009
1, 2292, Tempo, 496853
1, 2304, Tempo, 498670
1, 2332, Tempo, 500542
1, 2360, Tempo, 502428
1, 2372, Tempo, 504286
1, 2400, Tempo, 506201
1, 2412, Tempo, 508087
1, 2440, Tempo, 509987
1, 2452, Tempo, 511902
1, 2480, Tempo, 513875
1, 2492, Tempo, 515863
1, 2510, Tempo, 475737
1, 2520, Tempo, 556328
1, 2880, Tempo, 465694
1, 3840, Tempo, 508001
1, 3960, Tempo, 465694
1, 4320, Tempo, 474083
1, 5040, Tempo, 491360
1, 5064, Tempo, 493178
1, 5092, Tempo, 495009
1, 5104, Tempo, 496853
1, 5132, Tempo, 498670
1, 5160, Tempo, 500542
1, 5172, Tempo, 502428
1, 5200, Tempo, 504286
1, 5224, Tempo, 506201
1, 5240, Tempo, 508087
1, 5264, Tempo, 509987
1, 5292, Tempo, 511902
1, 5304, Tempo, 513875
1, 5332, Tempo, 515863
1, 5360, Tempo, 517822
1, 5372, Tempo, 519841
1, 5400, Tempo, 561010
1, 5760, Tempo, 465694
1, 6720, Tempo, 518135
1, 6840, Tempo, 465694
1, 7920, Tempo, 484301
1, 7960, Tempo, 486066
1, 7984, Tempo, 487845
1, 8012, Tempo, 489636
1, 8052, Tempo, 491360
1, 8080, Tempo, 493178
1, 8104, Tempo, 495009
1, 8132, Tempo, 496853
1, 8172, Tempo, 498670
1, 8200, Tempo, 500542
1, 8224, Tempo, 502428
1, 8252, Tempo, 504286
1, 8280, Tempo, 556586
1, 8640, Tempo, 465694
1, 9600, Tempo, 518135
1, 9720, Tempo, 465694
1, 10800, Tempo, 479118
1, 10824, Tempo, 480846
1, 10852, Tempo, 482587
1, 10864, Tempo, 484301
1, 10892, Tempo, 486066
1, 10904, Tempo, 487845
1, 10932, Tempo, 489636
1, 10944, Tempo, 491360
1, 10972, Tempo, 493178
1, 11000, Tempo, 495009
1, 11012, Tempo, 496853
1, 11040, Tempo, 498670
1, 11052, Tempo, 500542
1, 11080, Tempo, 502428
1, 11092, Tempo, 504286
1, 11120, Tempo, 506201
1, 11132, Tempo, 508087
1, 11160, Tempo, 572956
1, 11520, Tempo, 524292
1, 11760, Tempo, 521875
1, 11874, Tempo, 484301
1, 11930, Tempo, 482587
1, 11982, Tempo, 480846
1, 12034, Tempo, 479118
1, 12090, Tempo, 477441
1, 12142, Tempo, 475737
1, 12194, Tempo, 474083
1, 12234, Tempo, 472404
1, 12480, Tempo, 489636
1, 12600, Tempo, 477631
1, 12960, Tempo, 489636
1, 13200, Tempo, 513875
1, 13320, Tempo, 470810
1, 13412, Tempo, 472404
1, 13504, Tempo, 474083
1, 13600, Tempo, 475737
1, 13680, Tempo, 482587
1, 13720, Tempo, 484301
1, 13744, Tempo, 486066
1, 13772, Tempo, 487845
1, 13812, Tempo, 489636
1, 13840, Tempo, 491360
1, 13864, Tempo, 493178
1, 13892, Tempo, 495009
1, 13932, Tempo, 496853
1, 13960, Tempo, 498670
1, 13984, Tempo, 500542
1, 14012, Tempo, 502428
1, 14040, Tempo, 549501
1, 14400, Tempo, 515110
1, 14640, Tempo, 521875
1, 14754, Tempo, 480846
1, 14770, Tempo, 484301
1, 14794, Tempo, 482587
1, 14822, Tempo, 480846
1, 14850, Tempo, 479118
1, 14862, Tempo, 477441
1, 14890, Tempo, 475737
1, 14914, Tempo, 474083
1, 14930, Tempo, 472404
1, 14954, Tempo, 470810
1, 14982, Tempo, 469153
1, 14994, Tempo, 467508
1, 15360, Tempo, 489636
1, 15480, Tempo, 477631
1, 15840, Tempo, 489636
1, 16080, Tempo, 513875
1, 16200, Tempo, 470810
1, 16292, Tempo, 472404
1, 16384, Tempo, 474083
1, 16480, Tempo, 475737
1, 16560, Tempo, 486066
1, 16584, Tempo, 487845
1, 16612, Tempo, 489636
1, 16640, Tempo, 491360
1, 16664, Tempo, 493178
1, 16692, Tempo, 495009
1, 16720, Tempo, 496853
1, 16744, Tempo, 498670
1, 16772, Tempo, 500542
1, 16800, Tempo, 502428
1, 16824, Tempo, 504286
1, 16852, Tempo, 506201
1, 16880, Tempo, 508087
1, 16892, Tempo, 509987
1, 16920, Tempo, 572956
