0, 0, Header, 1, 11, 480
1, 0, Start_track
1, 0, Title_t, "Reminiscnenes do Don Juan"
1, 0, Copyright_t, "Copyright © 2005 von Bernd Krüger. "
1, 0, Text_t, "Franz Liszt"
1, 0, Text_t, "Fertiggestellt am  23.4.2005\012"
1, 0, Text_t, "Update am 13.9.2011\012"
1, 0, Text_t, "Dauer:  16:51 Minuten\012"
1, 0, Text_t, "Update am 1.3.2014\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 369914
1, 0, Marker_t, "Grave"
1, 1315, Tempo, 1195219
1, 1325, Tempo, 1171875
1, 1334, Tempo, 1127820
1, 1344, Tempo, 1107011
1, 1354, Tempo, 1067616
1, 1363, Tempo, 1048951
1, 1373, Tempo, 1013514
1, 1382, Tempo, 996678
1, 1392, Tempo, 964630
1, 1402, Tempo, 949367
1, 1411, Tempo, 920245
1, 1421, Tempo, 892857
1, 1440, Tempo, 934579
1, 1824, Tempo, 1171875
1, 1825, Tempo, 1153846
1, 1833, Tempo, 1132075
1, 1840, Tempo, 1111111
1, 1848, Tempo, 1090909
1, 1856, Tempo, 1071429
1, 1863, Tempo, 1052632
1, 1871, Tempo, 1034483
1, 1879, Tempo, 1016949
1, 1886, Tempo, 1000000
1, 1894, Tempo, 983607
1, 1901, Tempo, 967742
1, 1909, Tempo, 952381
1, 1917, Tempo, 923077
1, 1920, Tempo, 879765
1, 2400, Tempo, 819672
1, 2880, Tempo, 920245
1, 3360, Tempo, 1025816
1, 3840, Tempo, 952381
1, 4320, Tempo, 1132075
1, 4440, Tempo, 1071429
1, 4560, Tempo, 1000000
1, 4680, Tempo, 952381
1, 4770, Tempo, 879765
1, 4800, Tempo, 869565
1, 4920, Tempo, 895522
1, 5040, Tempo, 937500
1, 5160, Tempo, 895522
1, 5272, Tempo, 983607
1, 5280, Tempo, 967742
1, 5400, Tempo, 857143
1, 5520, Tempo, 923077
1, 5640, Tempo, 1200000
1, 5760, Tempo, 909091
1, 5880, Tempo, 967742
1, 5984, Tempo, 908953
1, 6032, Tempo, 895389
1, 6080, Tempo, 882223
1, 6128, Tempo, 869439
1, 6176, Tempo, 857020
1, 6224, Tempo, 844951
1, 6336, Tempo, 844951
1, 6360, Tempo, 833333
1, 6480, Tempo, 909091
1, 6600, Tempo, 821918
1, 6720, Tempo, 810811
1, 6840, Tempo, 909091
1, 6960, Tempo, 895522
1, 7080, Tempo, 923077
1, 7120, Tempo, 521739
1, 7140, Tempo, 755668
1, 7200, Tempo, 759494
1, 7368, Tempo, 1428231
1, 7392, Tempo, 1395024
1, 7404, Tempo, 1363327
1, 7416, Tempo, 1333037
1, 7428, Tempo, 1304064
1, 7440, Tempo, 1276324
1, 7452, Tempo, 1249740
1, 7476, Tempo, 1224240
1, 7488, Tempo, 1199760
1, 7500, Tempo, 1176240
1, 7512, Tempo, 1153624
1, 7524, Tempo, 1131862
1, 7536, Tempo, 1110905
1, 7548, Tempo, 1090711
1, 7560, Tempo, 1224240
1, 7572, Tempo, 1199760
1, 7584, Tempo, 1249740
1, 7608, Tempo, 1276324
1, 7632, Tempo, 1304064
1, 7656, Tempo, 1333037
1, 7668, Tempo, 1363327
1, 7676, Tempo, 1333037
1, 7685, Tempo, 1304064
1, 7695, Tempo, 1249740
1, 7704, Tempo, 1199760
1, 7714, Tempo, 1153624
1, 7724, Tempo, 1110905
1, 7733, Tempo, 1071237
1, 7743, Tempo, 1034304
1, 7752, Tempo, 999833
1, 7762, Tempo, 967586
1, 7800, Tempo, 952230
1, 7815, Tempo, 980392
1, 7830, Tempo, 949367
1, 7838, Tempo, 1612903
1, 7853, Tempo, 1530612
1, 7868, Tempo, 1456311
1, 8160, Tempo, 1016777
1, 9120, Tempo, 1428231
1, 9480, Tempo, 1200000
1, 9600, Time_signature, 3, 2, 24, 8
1, 9600, Tempo, 952381
1, 10560, Tempo, 789474
1, 11040, Tempo, 1000000
1, 12480, Tempo, 952381
1, 12489, Tempo, 1132075
1, 12609, Tempo, 1071429
1, 12729, Tempo, 1000000
1, 12849, Tempo, 952381
1, 12939, Tempo, 879765
1, 12969, Tempo, 869565
1, 13089, Tempo, 895522
1, 13209, Tempo, 937500
1, 13329, Tempo, 895522
1, 13440, Tempo, 983607
1, 13449, Tempo, 967742
1, 13569, Tempo, 857143
1, 13689, Tempo, 923077
1, 13809, Tempo, 1200000
1, 13920, Tempo, 909091
1, 14040, Tempo, 833333
1, 14160, Tempo, 909091
1, 14280, Tempo, 821918
1, 14400, Tempo, 810811
1, 14520, Tempo, 909091
1, 14640, Tempo, 895522
1, 14760, Tempo, 923077
1, 14880, Tempo, 1034304
1, 14940, Tempo, 1666204
1, 15006, Tempo, 1304064
1, 15018, Tempo, 1276324
1, 15030, Tempo, 1249740
1, 15042, Tempo, 1224240
1, 15054, Tempo, 1199760
1, 15066, Tempo, 1176240
1, 15078, Tempo, 1153624
1, 15090, Tempo, 1131862
1, 15102, Tempo, 1110905
1, 15114, Tempo, 1090711
1, 15126, Tempo, 1071237
1, 15138, Tempo, 1052447
1, 15150, Tempo, 1034304
1, 15162, Tempo, 1016777
1, 15174, Tempo, 999833
1, 15186, Tempo, 983445
1, 15198, Tempo, 967586
1, 15210, Tempo, 952230
1, 15217, Tempo, 952381
1, 15232, Tempo, 967742
1, 15247, Tempo, 983607
1, 15262, Tempo, 1000000
1, 15277, Tempo, 1016949
1, 15292, Tempo, 1034483
1, 15307, Tempo, 1052632
