0, 0, Header, 1, 7, 480
1, 0, Start_track
1, 0, Title_t, "Etude No. 3  aus Grandes Etudes de Paganini"
1, 0, Title_t, "La Campanella"
1, 0, Copyright_t, "Copyright © 1998 von Bernd Krüger. http://www.piano-midi.de"
1, 0, Text_t, "Frans Liszt"
1, 0, Text_t, "Allegretto"
1, 0, Text_t, "Fertiggestellt am 10.4.98\012"
1, 0, Text_t, "Korrekturen am 21.8.98\012"
1, 0, Text_t, "Anpassungen an Digitalpiano am 29.12.98\012"
1, 0, Text_t, "Update am 24.4.99\012"
1, 0, Text_t, "Update am 17.7.99\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 3.2.2011\012"
1, 0, Text_t, "Update am 3.3.2014\012"
1, 0, Text_t, "Dauer: 4:07 Minuten\012"
1, 0, Time_signature, 6, 3, 12, 8
1, 0, Key_signature, 5, "major"
1, 0, Tempo, 750000
1, 0, Marker_t, "Allegretto"
1, 960, Tempo, 774194
1, 1680, Tempo, 731707
1, 3360, Tempo, 745342
1, 3600, Tempo, 774194
1, 3840, Tempo, 916031
1, 4080, Tempo, 1153846
1, 4310, Tempo, 2264151
1, 4800, Tempo, 618557
1, 5040, Tempo, 603015
1, 5760, Tempo, 558140
1, 5880, Tempo, 576923
1, 6000, Tempo, 600000
1, 6120, Tempo, 603015
1, 6240, Tempo, 615385
1, 6360, Tempo, 566038
1, 6480, Tempo, 579710
1, 6720, Tempo, 603015
1, 7200, Tempo, 571429
1, 7320, Tempo, 603015
1, 7680, Tempo, 618557
1, 7920, Tempo, 571429
1, 8160, Tempo, 603015
1, 8640, Tempo, 574163
1, 8880, Tempo, 594059
1, 9000, Tempo, 606061
1, 9120, Tempo, 615385
1, 9360, Tempo, 603015
1, 9370, Tempo, 606061
1, 9520, Tempo, 609137
1, 9570, Tempo, 606061
1, 9620, Tempo, 609137
1, 9671, Tempo, 612245
1, 9721, Tempo, 615385
1, 9747, Tempo, 618557
1, 9797, Tempo, 621762
1, 9848, Tempo, 625000
1, 9898, Tempo, 628272
1, 9923, Tempo, 631579
1, 9974, Tempo, 634921
1, 10080, Tempo, 655738
1, 10320, Tempo, 681818
1, 10560, Tempo, 618557
1, 10800, Tempo, 615385
1, 10920, Tempo, 612245
1, 11040, Tempo, 609137
1, 11160, Tempo, 606061
1, 11280, Tempo, 603015
1, 11520, Tempo, 566038
1, 11760, Tempo, 600000
1, 12000, Tempo, 615385
1, 12120, Tempo, 574163
1, 12240, Tempo, 606061
1, 12960, Tempo, 568720
1, 13080, Tempo, 606061
1, 13440, Tempo, 628272
1, 13680, Tempo, 609137
1, 14280, Tempo, 628272
1, 14400, Tempo, 566038
1, 14760, Tempo, 588235
1, 15000, Tempo, 621762
1, 15120, Tempo, 609137
1, 15240, Tempo, 568720
1, 15360, Tempo, 576923
1, 15480, Tempo, 597015
1, 15600, Tempo, 609137
1, 15835, Tempo, 615385
1, 15911, Tempo, 618557
1, 15987, Tempo, 621762
1, 16062, Tempo, 625000
1, 16113, Tempo, 628272
1, 16189, Tempo, 631579
1, 16265, Tempo, 634921
1, 16340, Tempo, 638298
1, 16391, Tempo, 641711
1, 16441, Tempo, 634921
1, 16560, Tempo, 615385
1, 16680, Tempo, 612245
1, 16800, Tempo, 609137
1, 16920, Tempo, 606061
1, 17040, Tempo, 603015
1, 17280, Tempo, 552995
1, 17400, Tempo, 571429
1, 17520, Tempo, 594059
1, 17760, Tempo, 615385
1, 18000, Tempo, 558140
1, 18120, Tempo, 574163
1, 18240, Tempo, 606061
1, 18720, Tempo, 560748
1, 18840, Tempo, 603015
1, 19200, Tempo, 618557
1, 19440, Tempo, 568720
1, 19560, Tempo, 588235
1, 19680, Tempo, 603015
1, 20160, Tempo, 574163
1, 20280, Tempo, 600000
1, 20640, Tempo, 615385
1, 20880, Tempo, 603015
1, 20890, Tempo, 606061
1, 21040, Tempo, 609137
1, 21120, Tempo, 618557
1, 21180, Tempo, 612245
1, 21320, Tempo, 615385
1, 21360, Tempo, 625000
1, 21460, Tempo, 618557
1, 21480, Tempo, 621762
1, 21600, Tempo, 631579
1, 21840, Tempo, 648649
1, 22080, Tempo, 618557
1, 22310, Tempo, 612245
1, 22480, Tempo, 609137
1, 22640, Tempo, 606061
1, 22800, Tempo, 603015
1, 23040, Tempo, 560748
1, 23280, Tempo, 600000
1, 23520, Tempo, 615385
1, 23760, Tempo, 563380
1, 24000, Tempo, 609137
1, 24480, Tempo, 568720
1, 24720, Tempo, 603015
1, 24960, Tempo, 628272
1, 25080, Tempo, 576923
1, 25200, Tempo, 609137
1, 25800, Tempo, 628272
1, 25920, Tempo, 571429
1, 26160, Tempo, 582524
1, 26280, Tempo, 585366
1, 26400, Tempo, 606061
1, 26520, Tempo, 621762
1, 26640, Tempo, 576923
1, 26880, Tempo, 591133
1, 27000, Tempo, 606061
1, 27240, Tempo, 659341
1, 27360, Tempo, 609137
1, 28080, Tempo, 615385
1, 28140, Tempo, 618557
