0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Etudes d'execution transcendante No. 8"
1, 0, Title_t, "Wilde Jagd"
1, 0, Copyright_t, "Copyright © 2007 by Bernd Krueger"
1, 0, Text_t, "Franz Liszt"
1, 0, Text_t, "Presto furioso"
1, 0, Text_t, "Erstellt: 3.3.2007\012"
1, 0, Text_t, "Update am 13.3.2011\012"
1, 0, Text_t, "Update am 6.3.2014\012"
1, 0, Text_t, "Dauer: 5:06 Minuten\012"
1, 0, Text_t, "Takt29: Die Bewegung entspricht den Bewegungen in Takt 27-28, wo jeweils 9/32 auf 2/8 kommen. Dementsprechend mußte dieser Takt auf 4/8 gekürzt werden.\012"
1, 0, Text_t, "Takt 116-133: Nicht auf 2/4 umgestellt, sondern 6/8 gelassen. Stattdessen so notiert, dass die Takte erhalten bleiben. Auf diese Weise ist das Tempo konsistent mit dem Thema vorher. Ebenfalls in den Takten 202-215 so verfahren.\012"
1, 0, Time_signature, 6, 3, 12, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 418118
1, 442, Tempo, 413793
1, 480, Tempo, 412371
1, 518, Tempo, 410959
1, 538, Tempo, 409556
1, 576, Tempo, 408163
1, 614, Tempo, 406780
1, 634, Tempo, 405405
1, 672, Tempo, 404040
1, 691, Tempo, 402685
1, 730, Tempo, 401338
1, 768, Tempo, 400000
1, 787, Tempo, 398671
1, 826, Tempo, 397351
1, 864, Tempo, 396040
1, 883, Tempo, 394737
1, 922, Tempo, 393443
1, 941, Tempo, 392157
1, 979, Tempo, 390879
1, 1018, Tempo, 389610
1, 1037, Tempo, 388350
1, 1075, Tempo, 387097
1, 1114, Tempo, 385852
1, 1133, Tempo, 384615
1, 1171, Tempo, 383387
1, 1190, Tempo, 382166
1, 1200, Tempo, 474308
1, 1320, Tempo, 1250000
1, 1440, Tempo, 415225
1, 1800, Tempo, 387097
1, 1920, Tempo, 433213
1, 2520, Tempo, 390879
1, 2640, Tempo, 433213
1, 2880, Tempo, 421053
1, 3240, Tempo, 401338
1, 3360, Tempo, 454545
1, 4320, Tempo, 418118
1, 4781, Tempo, 413793
1, 4819, Tempo, 412371
1, 4858, Tempo, 410959
1, 4896, Tempo, 409556
1, 4915, Tempo, 408163
1, 4954, Tempo, 406780
1, 4992, Tempo, 405405
1, 5030, Tempo, 404040
1, 5050, Tempo, 402685
1, 5088, Tempo, 401338
1, 5126, Tempo, 400000
1, 5146, Tempo, 398671
1, 5184, Tempo, 397351
1, 5222, Tempo, 396040
1, 5261, Tempo, 394737
1, 5280, Tempo, 393443
1, 5318, Tempo, 392157
1, 5357, Tempo, 390879
1, 5395, Tempo, 389610
1, 5414, Tempo, 388350
1, 5453, Tempo, 387097
1, 5491, Tempo, 385852
1, 5510, Tempo, 384615
1, 5520, Tempo, 474308
1, 5640, Tempo, 1967213
1, 5700, Tempo, 722892
1, 5760, Tempo, 415225
1, 6000, Tempo, 388350
1, 6120, Tempo, 433213
1, 6840, Tempo, 390879
1, 6960, Tempo, 434783
1, 7200, Tempo, 421053
1, 7560, Tempo, 456274
1, 8640, Tempo, 421053
1, 8880, Tempo, 446761
1, 9101, Tempo, 401338
1, 9139, Tempo, 402685
1, 9178, Tempo, 404040
1, 9216, Tempo, 405405
1, 9254, Tempo, 406780
1, 9293, Tempo, 408163
1, 9331, Tempo, 409556
1, 9360, Tempo, 420168
1, 9600, Tempo, 372671
1, 9840, Tempo, 385852
1, 10080, Tempo, 393443
1, 10291, Tempo, 392157
1, 10310, Tempo, 379747
1, 10330, Tempo, 378549
1, 10368, Tempo, 379747
1, 10406, Tempo, 380952
1, 10426, Tempo, 382166
1, 10464, Tempo, 383387
1, 10483, Tempo, 384615
1, 10522, Tempo, 385852
1, 10541, Tempo, 387097
1, 10560, Tempo, 408719
1, 10800, Tempo, 373832
1, 11040, Tempo, 385852
1, 11280, Tempo, 382166
1, 11501, Tempo, 375000
1, 11539, Tempo, 376176
1, 11578, Tempo, 377358
1, 11616, Tempo, 378549
1, 11635, Tempo, 379747
1, 11674, Tempo, 380952
1, 11712, Tempo, 382166
1, 11731, Tempo, 383387
1, 11760, Tempo, 410116
1, 12000, Tempo, 380952
1, 12240, Tempo, 404040
1, 12480, Tempo, 392157
1, 12720, Tempo, 377358
1, 12730, Tempo, 372671
1, 12768, Tempo, 373832
1, 12787, Tempo, 375000
1, 12806, Tempo, 376176
1, 12826, Tempo, 377358
1, 12864, Tempo, 378549
1, 12883, Tempo, 379747
1, 12902, Tempo, 380952
1, 12922, Tempo, 382166
1, 12941, Tempo, 383387
1, 12960, Tempo, 387097
1, 13200, Tempo, 415225
1, 13440, Tempo, 422535
1, 13670, Tempo, 390879
1, 13690, Tempo, 390879
1, 13920, Tempo, 377358
1, 13939, Tempo, 376176
1, 13958, Tempo, 377358
1, 13978, Tempo, 378549
1, 13997, Tempo, 379747
1, 14016, Tempo, 382166
1, 14035, Tempo, 383387
1, 14054, Tempo, 384615
1, 14074, Tempo, 387097
1, 14093, Tempo, 388350
1, 14112, Tempo, 389610
1, 14131, Tempo, 392157
1, 14160, Tempo, 468750
1, 14400, Tempo, 524934
1, 14640, Tempo, 377358
1, 14659, Tempo, 376176
1, 14678, Tempo, 377358
1, 14698, Tempo, 378549
1, 14717, Tempo, 379747
1, 14736, Tempo, 382166
1, 14755, Tempo, 383387
1, 14774, Tempo, 384615
1, 14794, Tempo, 387097
1, 14813, Tempo, 388350
1, 14832, Tempo, 389610
1, 14851, Tempo, 392157
1, 14880, Tempo, 454545
1, 15120, Tempo, 377358
1, 15139, Tempo, 376176
1, 15158, Tempo, 377358
1, 15178, Tempo, 378549
1, 15197, Tempo, 379747
1, 15216, Tempo, 382166
1, 15235, Tempo, 383387
1, 15254, Tempo, 384615
1, 15274, Tempo, 387097
1, 15293, Tempo, 388350
1, 15312, Tempo, 389610
1, 15331, Tempo, 392157
1, 15360, Tempo, 452830
1, 15576, Tempo, 396040
1, 15595, Tempo, 397351
1, 15615, Tempo, 398671
1, 15634, Tempo, 401338
1, 15653, Tempo, 402685
1, 15672, Tempo, 404040
1, 15691, Tempo, 406780
1, 15711, Tempo, 408163
1, 15730, Tempo, 409556
1, 15749, Tempo, 412371
1, 15768, Tempo, 413793
1, 15787, Tempo, 415225
1, 15807, Tempo, 418118
1, 15810, Tempo, 415225
1, 15816, Tempo, 416667
1, 15822, Tempo, 418118
1, 15828, Tempo, 421053
1, 15840, Tempo, 515021
1, 16200, Tempo, 405405
1, 16320, Tempo, 433213
1, 16920, Tempo, 406780
1, 17040, Tempo, 436364
1, 17280, Tempo, 421053
1, 17640, Tempo, 401338
1, 17760, Tempo, 454545
1, 18720, Tempo, 436364
1, 19080, Tempo, 405405
1, 19200, Tempo, 433213
1, 19800, Tempo, 406780
1, 19920, Tempo, 436364
1, 20160, Tempo, 404040
1, 20400, Tempo, 418118
1, 20602, Tempo, 413793
1, 20640, Tempo, 412371
1, 20678, Tempo, 410959
1, 20698, Tempo, 409556
1, 20736, Tempo, 408163
1, 20774, Tempo, 406780
1, 20794, Tempo, 405405
1, 20832, Tempo, 404040
1, 20851, Tempo, 402685
1, 20890, Tempo, 401338
1, 20928, Tempo, 400000
1, 20947, Tempo, 398671
1, 20986, Tempo, 397351
1, 21024, Tempo, 396040
1, 21043, Tempo, 394737
1, 21082, Tempo, 393443
1, 21101, Tempo, 392157
1, 21139, Tempo, 390879
1, 21178, Tempo, 389610
1, 21197, Tempo, 388350
