0, 0, Header, 1, 11, 480
1, 0, Start_track
1, 0, Title_t, "Liebestraum Nr. 3"
1, 0, Copyright_t, "Copyright © 2005 von Bernd Krüger. "
1, 0, Text_t, "Franz Liszt"
1, 0, Text_t, "Fertiggestellt am  30.10.2005\012"
1, 0, Text_t, "Update am 20.9.2011\012"
1, 0, Text_t, "Update am 2.3.2014\012"
1, 0, Text_t, "Dauer:  4:09 Minuten\012"
1, 0, Time_signature, 6, 2, 24, 8
1, 0, Key_signature, -4, "major"
1, 0, Tempo, 369572
1, 2400, Tempo, 468494
1, 2400, Marker_t, "Poco Allegro con affetto"
1, 2880, Tempo, 499127
1, 3120, Tempo, 432339
1, 3360, Tempo, 370393
1, 3600, Tempo, 377881
1, 3840, Tempo, 392003
1, 4080, Tempo, 401365
1, 4320, Tempo, 479195
1, 4560, Tempo, 403280
1, 4800, Tempo, 373855
1, 5040, Tempo, 381316
1, 5280, Tempo, 392003
1, 5520, Tempo, 472441
1, 5760, Tempo, 487527
1, 6000, Tempo, 413195
1, 6240, Tempo, 374508
1, 6480, Tempo, 384813
1, 6960, Tempo, 392182
1, 7200, Tempo, 421082
1, 7440, Tempo, 390168
1, 7680, Tempo, 379171
1, 8160, Tempo, 407194
1, 8400, Tempo, 436840
1, 8640, Tempo, 465911
1, 8880, Tempo, 399441
1, 9120, Tempo, 363658
1, 9360, Tempo, 374508
1, 9600, Tempo, 384813
1, 9840, Tempo, 496936
1, 10080, Tempo, 443754
1, 10320, Tempo, 384813
1, 10560, Tempo, 366995
1, 10800, Tempo, 376199
1, 11040, Tempo, 384813
1, 11280, Tempo, 432339
1, 11400, Tempo, 754812
1, 11520, Tempo, 465911
1, 11760, Tempo, 405241
1, 12000, Tempo, 373855
1, 12240, Tempo, 384813
1, 12720, Tempo, 421496
1, 12960, Tempo, 463320
1, 13200, Tempo, 405241
1, 13440, Tempo, 383068
1, 13920, Tempo, 415254
1, 14160, Tempo, 476455
1, 14400, Tempo, 417304
1, 14640, Tempo, 386573
1, 15360, Tempo, 401365
1, 15600, Tempo, 441436
1, 15840, Tempo, 417304
1, 16080, Tempo, 405241
1, 16320, Tempo, 390168
1, 16800, Tempo, 441436
1, 17280, Tempo, 409165
1, 17760, Tempo, 401365
1, 18240, Tempo, 421496
1, 18480, Tempo, 446097
1, 18720, Tempo, 419375
1, 19200, Tempo, 434562
1, 19440, Tempo, 439110
1, 19680, Tempo, 473784
1, 20160, Tempo, 496155
1, 20400, Tempo, 419375
1, 20640, Tempo, 370393
1, 20880, Tempo, 384813
1, 21120, Tempo, 395674
1, 21360, Tempo, 407194
1, 21600, Tempo, 479195
1, 21840, Tempo, 390269
1, 22080, Tempo, 363658
1, 22320, Tempo, 372116
1, 22560, Tempo, 405241
1, 22800, Tempo, 551775
1, 23040, Tempo, 436840
1, 23280, Tempo, 405241
1, 23520, Tempo, 384813
1, 24240, Tempo, 399441
1, 24480, Tempo, 450891
1, 24720, Tempo, 411184
1, 24960, Tempo, 369572
1, 25200, Tempo, 386573
1, 25680, Tempo, 403280
1, 25920, Tempo, 439110
1, 26160, Tempo, 399441
1, 26400, Tempo, 363658
1, 26640, Tempo, 377881
1, 26880, Tempo, 390168
1, 27120, Tempo, 409165
1, 27360, Tempo, 427930
1, 27600, Tempo, 388375
1, 27840, Tempo, 366995
1, 28080, Tempo, 377881
1, 28320, Tempo, 409165
1, 28560, Tempo, 544267
1, 28800, Tempo, 421496
1, 29040, Tempo, 399441
1, 29280, Tempo, 374508
1, 29520, Tempo, 381316
1, 30000, Tempo, 441436
1, 30240, Tempo, 421496
1, 30480, Tempo, 399441
1, 30720, Tempo, 379603
1, 31200, Tempo, 405241
1, 31440, Tempo, 434562
1, 31680, Tempo, 423609
1, 31920, Tempo, 397562
1, 32160, Tempo, 386573
1, 32880, Tempo, 405241
1, 33120, Tempo, 441436
1, 33360, Tempo, 390168
1, 34080, Tempo, 448498
1, 34560, Tempo, 423609
1, 34800, Tempo, 407194
1, 35040, Tempo, 377881
1, 35280, Tempo, 392003
1, 36000, Tempo, 401365
1, 36480, Tempo, 393830
1, 36720, Tempo, 392003
1, 37200, Tempo, 509597
1, 37440, Tempo, 427930
1, 37680, Tempo, 403280
1, 37920, Tempo, 388375
1, 38640, Tempo, 390168
1, 38880, Tempo, 427930
1, 39120, Tempo, 390168
1, 40080, Tempo, 411184
1, 40320, Tempo, 439110
1, 40560, Tempo, 393830
1, 40800, Tempo, 381316
