0, 0, Header, 1, 10, 480
1, 0, Start_track
1, 0, Title_t, "Rhapsodie Nr. 9 - Pesther Karneval"
1, 0, Copyright_t, "Copyright © 2005 von Bernd Krüger. "
1, 0, Text_t, "Franz Liszt"
1, 0, Text_t, "Fertiggestellt am  8.10.2005\012"
1, 0, Text_t, "Update am 30.3.2011\012"
1, 0, Text_t, "Update am 7.3.2014\012"
1, 0, Text_t, "Dauer: 10:31 Minuten\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 351906
1, 1440, Tempo, 511727
1, 1440, Marker_t, "Moderato"
1, 1500, Tempo, 532151
1, 1920, Tempo, 532151
1, 2880, Tempo, 539326
1, 3420, Tempo, 566038
1, 3840, Tempo, 508475
1, 3900, Tempo, 518359
1, 5640, Tempo, 511727
1, 5700, Tempo, 521739
1, 5760, Tempo, 528634
1, 6660, Tempo, 542986
1, 7200, Tempo, 554273
1, 7680, Tempo, 518359
1, 9480, Tempo, 511727
1, 9600, Tempo, 511727
1, 9660, Tempo, 525164
1, 10500, Tempo, 532151
1, 10560, Tempo, 521739
1, 10640, Tempo, 525164
1, 10680, Tempo, 528634
1, 10760, Tempo, 532151
1, 10800, Tempo, 535714
1, 10840, Tempo, 539326
1, 10920, Tempo, 542986
1, 10960, Tempo, 546697
1, 11000, Tempo, 550459
1, 11040, Tempo, 554273
1, 11100, Tempo, 604534
1, 11520, Tempo, 508475
1, 11580, Tempo, 521739
1, 13320, Tempo, 511727
1, 13380, Tempo, 518359
1, 13440, Tempo, 511727
1, 14440, Tempo, 511727
1, 14480, Tempo, 515021
1, 14520, Tempo, 518359
1, 14560, Tempo, 521739
1, 14600, Tempo, 525164
1, 14640, Tempo, 532151
1, 14680, Tempo, 535714
1, 14720, Tempo, 539326
1, 14760, Tempo, 542986
1, 14800, Tempo, 546697
1, 14840, Tempo, 554273
1, 14880, Tempo, 554273
1, 14940, Tempo, 600000
1, 15360, Tempo, 525164
1, 16320, Tempo, 609137
1, 17280, Tempo, 945031
1, 17570, Tempo, 869565
1, 17585, Tempo, 952532
1, 17625, Tempo, 937647
1, 17665, Tempo, 916170
1, 17705, Tempo, 895656
1, 17745, Tempo, 882483
1, 17785, Tempo, 863434
1, 17825, Tempo, 845189
1, 17865, Tempo, 833449
1, 17905, Tempo, 816438
1, 17945, Tempo, 800107
1, 17985, Tempo, 789578
