0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Mendelssohn: Lieder ohne Worte Opus 30 Nr. 4"
1, 0, Copyright_t, "Copyright © 2015 by Bernd Krueger"
1, 0, Text_t, "Bernd Krueger"
1, 0, Text_t, "Agitato con fuoco"
1, 0, Text_t, "Erstellt: 8.2.2015\012"
1, 0, Text_t, "Dauer: 2:40 Minuten\012"
1, 0, Time_signature, 3, 3, 12, 8
1, 0, Key_signature, 2, "major"
1, 0, Tempo, 585995
1, 0, Marker_t, "Agitato e con fuoco"
1, 150, Tempo, 583034
1, 225, Tempo, 580102
1, 300, Tempo, 577201
1, 375, Tempo, 574328
1, 435, Tempo, 571483
1, 495, Tempo, 574328
1, 540, Tempo, 577201
1, 585, Tempo, 580102
1, 630, Tempo, 583034
1, 675, Tempo, 585995
1, 720, Tempo, 585995
1, 750, Tempo, 585995
1, 840, Tempo, 583034
1, 915, Tempo, 580102
1, 990, Tempo, 577201
1, 1065, Tempo, 574328
1, 1140, Tempo, 571483
1, 1200, Tempo, 610749
1, 1320, Tempo, 667111
1, 1440, Tempo, 588986
1, 1440, Marker_t, "Part 1"
1, 1665, Tempo, 568720
1, 1695, Tempo, 547196
1, 1740, Tempo, 544613
1, 1785, Tempo, 542054
1, 1830, Tempo, 539520
1, 1875, Tempo, 537009
1, 1920, Tempo, 534521
1, 1965, Tempo, 532056
1, 2010, Tempo, 529614
1, 2040, Tempo, 634182
1, 2160, Tempo, 588986
1, 2400, Tempo, 565931
1, 2880, Tempo, 583034
1, 3480, Tempo, 641231
1, 3600, Tempo, 585995
1, 3645, Tempo, 583034
1, 3705, Tempo, 580102
1, 3765, Tempo, 577201
1, 3810, Tempo, 574328
1, 3870, Tempo, 571483
1, 3915, Tempo, 568720
1, 4080, Tempo, 613999
1, 4200, Tempo, 670991
1, 4320, Tempo, 585995
1, 4410, Tempo, 577201
1, 4470, Tempo, 574328
1, 4530, Tempo, 571483
1, 4590, Tempo, 568720
1, 4650, Tempo, 565931
1, 4680, Tempo, 527751
1, 4800, Tempo, 559754
1, 4920, Tempo, 659486
1, 5040, Tempo, 588986
1, 5145, Tempo, 577201
1, 5265, Tempo, 574328
1, 5385, Tempo, 571483
1, 5490, Tempo, 568720
1, 5520, Tempo, 604351
1, 5640, Tempo, 630716
1, 5760, Tempo, 588986
1, 6240, Tempo, 610749
1, 6360, Tempo, 655738
1, 6480, Tempo, 607533
1, 6720, Tempo, 592008
1, 7200, Tempo, 588986
1, 7425, Tempo, 568720
1, 7455, Tempo, 547196
1, 7500, Tempo, 544613
1, 7545, Tempo, 542054
1, 7590, Tempo, 539520
1, 7635, Tempo, 537009
1, 7680, Tempo, 534521
1, 7725, Tempo, 532056
1, 7770, Tempo, 529614
1, 7800, Tempo, 634182
1, 7920, Tempo, 588986
1, 8160, Tempo, 565931
1, 8640, Tempo, 583034
1, 9240, Tempo, 641231
1, 9360, Tempo, 585995
1, 9405, Tempo, 583034
1, 9465, Tempo, 580102
1, 9525, Tempo, 577201
1, 9570, Tempo, 574328
1, 9630, Tempo, 571483
1, 9675, Tempo, 568720
1, 9735, Tempo, 565931
1, 9780, Tempo, 563169
1, 9840, Tempo, 613999
1, 9960, Tempo, 670991
1, 10080, Tempo, 585995
1, 10170, Tempo, 577201
1, 10230, Tempo, 574328
1, 10290, Tempo, 571483
1, 10350, Tempo, 568720
1, 10440, Tempo, 542054
1, 10560, Tempo, 567698
1, 10680, Tempo, 641231
1, 10800, Tempo, 585995
1, 10845, Tempo, 583034
1, 10905, Tempo, 580102
1, 10965, Tempo, 577201
1, 11010, Tempo, 574328
1, 11070, Tempo, 571483
1, 11115, Tempo, 568720
1, 11175, Tempo, 565931
1, 11220, Tempo, 563169
1, 11280, Tempo, 613999
1, 11400, Tempo, 670991
1, 11520, Tempo, 585995
1, 11610, Tempo, 577201
1, 11670, Tempo, 574328
1, 11730, Tempo, 571483
1, 11790, Tempo, 568720
1, 11850, Tempo, 565931
1, 11880, Tempo, 534807
1, 11955, Tempo, 560433
1, 12000, Tempo, 570396
1, 12120, Tempo, 659486
1, 12240, Tempo, 617284
1, 12600, Tempo, 592008
1, 12840, Tempo, 641231
1, 12960, Tempo, 588986
1, 13320, Tempo, 607533
1, 13560, Tempo, 641231
1, 13680, Tempo, 592008
1, 14040, Tempo, 607533
1, 14280, Tempo, 634182
1, 14400, Tempo, 592008
1, 14760, Tempo, 610749
1, 15000, Tempo, 637687
1, 15120, Tempo, 592008
1, 15480, Tempo, 604351
1, 15720, Tempo, 641231
1, 15840, Tempo, 592008
1, 16200, Tempo, 623895
1, 16320, Tempo, 663277
1, 16440, Tempo, 744417
1, 16560, Tempo, 637687
1, 16680, Tempo, 607533
1, 16800, Tempo, 583034
1, 17040, Tempo, 601202
1, 17160, Tempo, 623895
1, 17280, Tempo, 614188
1, 17520, Tempo, 637687
1, 17760, Tempo, 682827
1, 17880, Tempo, 754148
1, 18000, Tempo, 630716
1, 18240, Tempo, 598086
1, 18480, Tempo, 592008
1, 18600, Tempo, 641231
1, 18720, Tempo, 598086
1, 19320, Tempo, 630716
1, 19440, Tempo, 595061
1, 19560, Tempo, 583034
1, 19800, Tempo, 604351
1, 19920, Tempo, 634182
1, 20040, Tempo, 674916
1, 20160, Tempo, 580102
1, 20400, Tempo, 585995
1, 20640, Tempo, 607533
1, 20760, Tempo, 655738
1, 20880, Tempo, 577201
1, 21120, Tempo, 598086
1, 21360, Tempo, 592008
1, 21480, Tempo, 641231
1, 21600, Tempo, 598086
1, 21720, Tempo, 585995
1, 22080, Tempo, 595061
1, 22320, Tempo, 598086
1, 22560, Tempo, 585995
1, 22800, Tempo, 604351
1, 23040, Tempo, 598086
1, 23160, Tempo, 585995
1, 23520, Tempo, 604351
1, 23760, Tempo, 595061
1, 23880, Tempo, 585995
1, 24240, Tempo, 595061
1, 24360, Tempo, 607533
1, 24480, Tempo, 601202
1, 24557, Tempo, 592008
1, 24662, Tempo, 588986
1, 24752, Tempo, 585995
1, 24842, Tempo, 583034
1, 24960, Tempo, 637687
1, 25080, Tempo, 686892
1, 25200, Tempo, 588986
1, 25200, Marker_t, "Part 1 repeat"
1, 25425, Tempo, 568720
1, 25455, Tempo, 547196
1, 25500, Tempo, 544613
1, 25545, Tempo, 542054
1, 25590, Tempo, 539520
1, 25635, Tempo, 537009
1, 25680, Tempo, 534521
1, 25725, Tempo, 532056
1, 25770, Tempo, 529614
1, 25800, Tempo, 634182
1, 25920, Tempo, 588986
1, 26160, Tempo, 565931
1, 26640, Tempo, 557724
1, 26880, Tempo, 583034
1, 27240, Tempo, 641231
1, 27360, Tempo, 585995
1, 27405, Tempo, 583034
1, 27465, Tempo, 580102
1, 27525, Tempo, 577201
1, 27570, Tempo, 574328
1, 27630, Tempo, 571483
1, 27675, Tempo, 568720
1, 27735, Tempo, 565931
1, 27780, Tempo, 563169
1, 27840, Tempo, 613999
1, 27960, Tempo, 670991
1, 28080, Tempo, 585995
1, 28170, Tempo, 577201
1, 28230, Tempo, 574328
1, 28290, Tempo, 571483
1, 28350, Tempo, 568720
1, 28410, Tempo, 565931
1, 28470, Tempo, 563169
1, 28515, Tempo, 560433
1, 28560, Tempo, 544514
1, 28680, Tempo, 659486
1, 28800, Tempo, 588986
1, 28905, Tempo, 577201
1, 29025, Tempo, 574328
1, 29145, Tempo, 571483
1, 29250, Tempo, 568720
1, 29280, Tempo, 604351
1, 29400, Tempo, 630716
1, 29520, Tempo, 588986
1, 30000, Tempo, 610749
1, 30120, Tempo, 655738
1, 30240, Tempo, 607533
1, 30480, Tempo, 592008
1, 30960, Tempo, 588986
1, 31185, Tempo, 568720
1, 31215, Tempo, 547196
1, 31260, Tempo, 544613
1, 31305, Tempo, 542054
1, 31350, Tempo, 539520
1, 31395, Tempo, 537009
1, 31440, Tempo, 534521
1, 31485, Tempo, 532056
1, 31530, Tempo, 529614
1, 31560, Tempo, 634182
1, 31680, Tempo, 588986
1, 31920, Tempo, 565931
1, 32400, Tempo, 544613
1, 32520, Tempo, 585995
1, 33000, Tempo, 641231
1, 33120, Tempo, 585995
1, 33165, Tempo, 583034
1, 33225, Tempo, 580102
1, 33285, Tempo, 577201
1, 33330, Tempo, 574328
1, 33390, Tempo, 571483
1, 33435, Tempo, 568720
1, 33495, Tempo, 565931
1, 33540, Tempo, 563169
1, 33600, Tempo, 613999
1, 33720, Tempo, 670991
1, 33840, Tempo, 585995
1, 33930, Tempo, 577201
1, 33990, Tempo, 574328
1, 34050, Tempo, 571483
1, 34110, Tempo, 568720
1, 34170, Tempo, 565931
1, 34230, Tempo, 563169
1, 34275, Tempo, 560433
1, 34320, Tempo, 546996
1, 34440, Tempo, 659486
1, 34560, Tempo, 585995
1, 34605, Tempo, 583034
1, 34665, Tempo, 580102
1, 34725, Tempo, 577201
1, 34770, Tempo, 574328
1, 34830, Tempo, 571483
1, 34875, Tempo, 568720
1, 34935, Tempo, 565931
1, 34980, Tempo, 563169
1, 35040, Tempo, 613999
1, 35160, Tempo, 670991
1, 35280, Tempo, 585995
1, 35370, Tempo, 577201
1, 35430, Tempo, 574328
1, 35490, Tempo, 571483
1, 35550, Tempo, 568720
1, 35610, Tempo, 565931
1, 35670, Tempo, 563169
1, 35715, Tempo, 560433
1, 35760, Tempo, 554580
1, 35880, Tempo, 659486
1, 36000, Tempo, 617284
1, 36360, Tempo, 592008
1, 36600, Tempo, 641231
1, 36720, Tempo, 588986
1, 37080, Tempo, 607533
1, 37320, Tempo, 641231
1, 37440, Tempo, 592008
1, 37800, Tempo, 607533
1, 38040, Tempo, 634182
1, 38160, Tempo, 592008
1, 38520, Tempo, 610749
1, 38760, Tempo, 637687
1, 38880, Tempo, 592008
1, 39240, Tempo, 604351
1, 39480, Tempo, 641231
1, 39600, Tempo, 592008
1, 39960, Tempo, 623895
1, 40080, Tempo, 663277
1, 40200, Tempo, 744417
1, 40320, Tempo, 637687
1, 40440, Tempo, 607533
1, 40560, Tempo, 583034
1, 40800, Tempo, 601202
1, 40920, Tempo, 623895
1, 41040, Tempo, 647319
1, 41280, Tempo, 637687
1, 41520, Tempo, 682827
1, 41640, Tempo, 754148
1, 41760, Tempo, 630716
1, 42000, Tempo, 598086
1, 42240, Tempo, 592008
1, 42360, Tempo, 641231
1, 42480, Tempo, 598086
1, 43080, Tempo, 630716
1, 43200, Tempo, 595061
1, 43320, Tempo, 583034
1, 43560, Tempo, 604351
1, 43680, Tempo, 634182
1, 43800, Tempo, 674916
1, 43920, Tempo, 565931
1, 44160, Tempo, 585995
1, 44400, Tempo, 607533
1, 44520, Tempo, 655738
1, 44640, Tempo, 577201
1, 44880, Tempo, 598086
1, 45120, Tempo, 592008
1, 45240, Tempo, 641231
1, 45360, Tempo, 598086
1, 45480, Tempo, 583034
1, 45840, Tempo, 613999
1, 46080, Tempo, 598086
1, 46200, Tempo, 583034
1, 46560, Tempo, 598086
1, 46800, Tempo, 598086
1, 46920, Tempo, 583034
1, 47280, Tempo, 601202
1, 47520, Tempo, 598086
1, 47520, Marker_t, "Part 2"
1, 47640, Tempo, 585995
1, 48000, Tempo, 607533
1, 48120, Tempo, 641231
1, 48240, Tempo, 595061
1, 48360, Tempo, 583034
1, 48720, Tempo, 601202
1, 48960, Tempo, 598086
1, 49080, Tempo, 588986
1, 49440, Tempo, 601202
1, 49560, Tempo, 620604
1, 49680, Tempo, 595061
1, 49800, Tempo, 585995
1, 50280, Tempo, 623895
1, 50400, Tempo, 598086
1, 50520, Tempo, 588986
1, 51000, Tempo, 617284
1, 51120, Tempo, 598086
1, 51240, Tempo, 585995
1, 51720, Tempo, 617284
1, 51840, Tempo, 595061
1, 51960, Tempo, 580102
1, 52440, Tempo, 617284
1, 52560, Tempo, 583034
1, 52680, Tempo, 585995
1, 53040, Tempo, 592008
1, 53160, Tempo, 620604
1, 53280, Tempo, 595061
1, 53400, Tempo, 585995
1, 53880, Tempo, 617284
1, 54000, Tempo, 595061
1, 54120, Tempo, 585995
1, 54212, Tempo, 577201
1, 54347, Tempo, 574328
1, 54467, Tempo, 571483
1, 54600, Tempo, 617284
1, 54720, Tempo, 568720
1, 54917, Tempo, 568720
1, 54992, Tempo, 565931
1, 55067, Tempo, 563169
1, 55142, Tempo, 560433
1, 55217, Tempo, 557724
1, 55292, Tempo, 555042
1, 55337, Tempo, 617284
1, 55440, Tempo, 592008
1, 56160, Tempo, 592008
1, 56520, Tempo, 585995
1, 56760, Tempo, 617284
1, 56880, Tempo, 595061
1, 57000, Tempo, 585995
1, 57092, Tempo, 577201
1, 57227, Tempo, 574328
1, 57347, Tempo, 571483
1, 57480, Tempo, 617284
1, 57600, Tempo, 568720
1, 57797, Tempo, 568720
1, 57872, Tempo, 565931
1, 57947, Tempo, 563169
1, 58022, Tempo, 560433
1, 58097, Tempo, 557724
1, 58172, Tempo, 555042
1, 58217, Tempo, 617284
1, 58320, Tempo, 592008
1, 59040, Tempo, 592008
1, 59520, Tempo, 571483
1, 59640, Tempo, 617284
1, 59760, Tempo, 568720
