0, 0, Header, 1, 9, 480
1, 0, Start_track
1, 0, Title_t, "Bilder einer Ausstellung"
1, 0, Title_t, "Promenade - Ballett der Küchlein  in ihren Eierschalen"
1, 0, Copyright_t, "Copyright © 2000 by Bernd Krueger"
1, 0, Text_t, "Modest Mussorgski"
1, 0, Text_t, "Fertiggestellt am 29.1.2000\012"
1, 0, Text_t, "Update am 1.7.2000\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 22.8.2008\012"
1, 0, Text_t, "Update am 22.11.2013\012"
1, 0, Text_t, "Dauer: 1:42 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 5, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 695169
1, 0, Marker_t, "Tranquillo"
1, 480, Tempo, 695169
1, 960, Tempo, 681586
1, 1440, Tempo, 672118
1, 1920, Tempo, 681586
1, 2400, Time_signature, 6, 2, 24, 8
1, 2400, Tempo, 672118
1, 2880, Tempo, 686420
1, 3360, Tempo, 679117
1, 3840, Tempo, 701754
1, 4320, Tempo, 722892
1, 4800, Tempo, 745342
1, 5280, Time_signature, 7, 2, 24, 8
1, 5280, Tempo, 677966
1, 6240, Tempo, 681818
1, 7200, Tempo, 681586
1, 7680, Tempo, 672118
1, 8160, Tempo, 681586
1, 8640, Time_signature, 6, 2, 24, 8
1, 8640, Tempo, 672118
1, 9120, Tempo, 686420
1, 9600, Tempo, 679117
1, 10080, Tempo, 701754
1, 10560, Tempo, 722892
1, 11040, Tempo, 774194
1, 11520, Time_signature, 5, 2, 24, 8
1, 11520, Tempo, 681973
1, 12000, Tempo, 677966
1, 12480, Tempo, 670391
1, 12960, Tempo, 659341
1, 13440, Tempo, 663203
1, 13920, Time_signature, 7, 2, 24, 8
1, 13920, Tempo, 656024
1, 14400, Tempo, 674309
1, 14880, Tempo, 659558
1, 15360, Tempo, 663203
1, 15840, Tempo, 666889
1, 16080, Tempo, 689734
1, 16320, Tempo, 678119
1, 17280, Time_signature, 5, 2, 24, 8
1, 17280, Tempo, 666889
1, 17760, Tempo, 666889
1, 18240, Tempo, 659558
1, 18720, Tempo, 652458
1, 19200, Tempo, 663203
1, 19680, Time_signature, 6, 2, 24, 8
1, 19680, Tempo, 656024
1, 20160, Tempo, 674309
1, 20640, Tempo, 681818
1, 21120, Tempo, 685793
1, 21600, Tempo, 701754
1, 22080, Tempo, 678119
1, 22560, Time_signature, 5, 2, 24, 8
1, 22560, Tempo, 701754
1, 23040, Tempo, 697674
1, 23520, Tempo, 736196
1, 24000, Tempo, 600000
1, 24120, Tempo, 621762
1, 24240, Tempo, 600000
1, 24360, Tempo, 615385
1, 24480, Tempo, 718563
1, 24960, Time_signature, 3, 2, 24, 8
1, 24960, Tempo, 693642
1, 25920, Tempo, 1016949
1, 26340, Tempo, 311688
1, 26400, Time_signature, 2, 2, 24, 8
1, 26400, Key_signature, -1, "major"
1, 26400, Tempo, 300210
1, 26400, Marker_t, "Scherzino"
1, 26640, Tempo, 309310
1, 26880, Tempo, 300210
1, 27120, Tempo, 305935
1, 27360, Tempo, 300210
1, 27600, Tempo, 303459
1, 27840, Tempo, 304260
1, 28080, Tempo, 314515
1, 28320, Tempo, 300210
1, 28560, Tempo, 309310
1, 28800, Tempo, 300210
