0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Prelude Opus 32 No. 13"
1, 0, Copyright_t, "Copyright © 2008 by Bernd Krueger"
1, 0, Text_t, "Serge Rachmaninoff"
1, 0, Text_t, "Erstellt: 9.1.2008\012"
1, 0, Text_t, "Update: 23.12.2012\012"
1, 0, Text_t, "Dauer: 4:18 Minuten\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -5, "major"
1, 0, Tempo, 1448576
1, 0, Marker_t, "Grave"
1, 480, Tempo, 1448576
1, 720, Tempo, 1278772
1, 960, Tempo, 1431298
1, 1800, Tempo, 1278772
1, 1920, Tempo, 1414427
1, 2640, Tempo, 1306620
1, 2880, Tempo, 1414427
1, 3720, Tempo, 1252087
1, 3840, Tempo, 1414427
1, 4200, Tempo, 1822600
1, 4320, Tempo, 1397950
1, 4560, Tempo, 1239157
1, 4800, Tempo, 1381852
1, 5640, Tempo, 1265289
1, 5760, Tempo, 1431298
1, 6120, Tempo, 1226492
1, 6240, Tempo, 1397950
1, 6480, Tempo, 1321004
1, 6720, Tempo, 1381852
1, 7520, Tempo, 1603421
1, 7680, Tempo, 1448576
1, 8000, Tempo, 1366120
1, 8160, Tempo, 1431298
1, 8480, Tempo, 1541624
1, 8640, Tempo, 1350743
1, 8960, Tempo, 1448576
1, 9120, Tempo, 1414427
1, 9178, Tempo, 1431298
1, 9216, Tempo, 1448576
1, 9274, Tempo, 1466276
1, 9312, Tempo, 1484414
1, 9370, Tempo, 1503006
1, 9408, Tempo, 1522070
1, 9466, Tempo, 1541624
1, 9504, Tempo, 1561687
1, 9562, Tempo, 1582278
1, 9600, Tempo, 1448576
1, 10080, Tempo, 1448576
1, 10320, Tempo, 1278772
1, 10560, Tempo, 1431298
1, 11400, Tempo, 1278772
1, 11520, Tempo, 1414427
1, 12240, Tempo, 1306620
1, 12480, Tempo, 1414427
1, 13320, Tempo, 1252087
1, 13440, Tempo, 1414427
1, 13800, Tempo, 1670379
1, 13920, Tempo, 1397950
1, 14160, Tempo, 1239157
1, 14400, Tempo, 1381852
1, 15240, Tempo, 1265289
1, 15360, Tempo, 1103144
1, 15840, Tempo, 1414427
1, 16200, Tempo, 1582278
1, 16320, Tempo, 1397950
1, 16560, Tempo, 1239157
1, 16800, Tempo, 1381852
1, 17120, Tempo, 1582278
1, 17280, Tempo, 1381852
1, 17600, Tempo, 1381852
1, 17760, Tempo, 1431298
1, 18080, Tempo, 1541624
1, 19104, Tempo, 1561687
1, 19162, Tempo, 1582278
1, 19200, Tempo, 1001335
1, 19680, Tempo, 1001335
1, 19920, Tempo, 938673
1, 20040, Tempo, 1054111
1, 20160, Tempo, 1009761
1, 20400, Tempo, 938673
1, 20520, Tempo, 1044932
1, 20640, Tempo, 1009761
1, 20880, Tempo, 946074
1, 21000, Tempo, 1072961
1, 21120, Tempo, 1018330
1, 21360, Tempo, 946074
1, 21480, Tempo, 1082642
1, 21600, Tempo, 1009761
1, 22320, Tempo, 946074
1, 22440, Tempo, 1063453
1, 22560, Tempo, 1018330
1, 22800, Tempo, 946074
1, 22920, Tempo, 1082642
1, 23040, Tempo, 968992
1, 23280, Tempo, 910194
1, 23400, Tempo, 1044932
1, 23520, Tempo, 976880
1, 23760, Tempo, 910194
1, 23880, Tempo, 1018330
1, 24000, Tempo, 961230
1, 24240, Tempo, 883392
1, 24360, Tempo, 984898
1, 24480, Tempo, 938673
1, 24720, Tempo, 883392
1, 24840, Tempo, 993049
1, 24960, Tempo, 946074
1, 25200, Tempo, 896593
1, 25320, Tempo, 1001335
1, 25440, Tempo, 931388
1, 25680, Tempo, 883392
1, 25800, Tempo, 1018330
1, 25920, Tempo, 953592
1, 26160, Tempo, 910194
1, 26280, Tempo, 1009761
1, 26400, Tempo, 961230
1, 26640, Tempo, 883392
1, 26760, Tempo, 1009761
1, 26880, Tempo, 961230
1, 27120, Tempo, 883392
1, 27240, Tempo, 1027046
1, 27360, Tempo, 946074
1, 27600, Tempo, 876937
1, 27720, Tempo, 1001335
1, 27840, Tempo, 953592
1, 28080, Tempo, 883392
1, 28200, Tempo, 993049
1, 28320, Tempo, 946074
1, 28560, Tempo, 896593
1, 28680, Tempo, 1044932
1, 28800, Tempo, 1092498
1, 29520, Tempo, 984898
1, 29640, Tempo, 1155624
1, 30720, Time_signature, 2, 2, 24, 8
1, 31040, Tempo, 1035912
1, 31080, Tempo, 1144601
1, 31200, Tempo, 1112760
1, 31440, Tempo, 1054111
1, 31560, Tempo, 1190004
1, 31680, Time_signature, 4, 2, 24, 8
1, 31680, Tempo, 1448576
1, 32160, Tempo, 1448576
1, 32400, Tempo, 1278772
1, 32640, Tempo, 1431298
1, 33480, Tempo, 1278772
1, 33600, Tempo, 1414427
1, 34320, Tempo, 1306620
1, 34560, Tempo, 1414427
1, 35400, Tempo, 1252087
1, 35520, Tempo, 1414427
1, 35880, Tempo, 1822600
1, 36000, Tempo, 1397950
1, 36240, Tempo, 1306620
1, 36480, Tempo, 1503006
1, 36491, Tempo, 1522070
1, 36548, Tempo, 1541624
1, 36587, Tempo, 1561687
1, 36644, Tempo, 1582278
1, 36683, Tempo, 1603421
1, 36721, Tempo, 1625135
1, 36779, Tempo, 1647446
1, 36817, Tempo, 1670379
1, 36875, Tempo, 1693958
1, 36913, Tempo, 1718213
1, 36952, Tempo, 1743173
1, 37421, Tempo, 1001335
1, 37440, Key_signature, 3, "major"
1, 37440, Marker_t, "Meno mosso"
1, 37555, Tempo, 993049
1, 37690, Tempo, 984898
1, 37824, Tempo, 976880
1, 37959, Tempo, 968992
1, 38093, Tempo, 961230
1, 38227, Tempo, 953592
1, 38280, Tempo, 1112760
1, 38381, Tempo, 993049
1, 38477, Tempo, 984898
1, 38573, Tempo, 976880
1, 38650, Tempo, 968992
1, 38746, Tempo, 961230
1, 38823, Tempo, 953592
1, 38861, Tempo, 961230
1, 39015, Tempo, 968992
1, 39168, Tempo, 976880
1, 39303, Tempo, 984898
1, 40320, Tempo, 993049
1, 40359, Tempo, 984898
1, 40397, Tempo, 976880
1, 40416, Tempo, 968992
1, 40455, Tempo, 961230
1, 40474, Tempo, 953592
1, 40512, Tempo, 946074
1, 40531, Tempo, 931388
1, 40570, Tempo, 938673
1, 40608, Tempo, 946074
1, 40647, Tempo, 953592
1, 40685, Tempo, 961230
1, 40723, Tempo, 968992
1, 40781, Tempo, 1018330
1, 41280, Tempo, 1001335
1, 41520, Tempo, 1054111
1, 41760, Tempo, 1001335
1, 41779, Tempo, 993049
1, 41818, Tempo, 984898
1, 41856, Tempo, 976880
1, 41895, Tempo, 968992
1, 41914, Tempo, 961230
1, 42029, Tempo, 953592
1, 42048, Tempo, 961230
1, 42067, Tempo, 976880
1, 42087, Tempo, 993049
1, 42106, Tempo, 1009761
1, 42125, Tempo, 1027046
1, 42144, Tempo, 1044932
1, 42163, Tempo, 1063453
1, 42240, Tempo, 993049
1, 42259, Tempo, 1001335
1, 42336, Tempo, 993049
1, 42394, Tempo, 984898
1, 42451, Tempo, 976880
1, 42509, Tempo, 968992
1, 42567, Tempo, 961230
1, 42624, Tempo, 953592
1, 42720, Tempo, 984898
1, 42739, Tempo, 946074
1, 42816, Tempo, 953592
1, 42874, Tempo, 961230
1, 42951, Tempo, 968992
1, 43008, Tempo, 976880
1, 43085, Tempo, 984898
1, 43143, Tempo, 993049
1, 43162, Tempo, 984898
1, 43219, Tempo, 976880
1, 43277, Tempo, 968992
1, 43335, Tempo, 961230
1, 43392, Tempo, 953592
1, 43431, Tempo, 946074
1, 43560, Tempo, 1035912
1, 43680, Tempo, 993049
1, 44160, Tempo, 984898
1, 44280, Tempo, 1044932
1, 44520, Tempo, 924214
1, 44621, Tempo, 976880
1, 44775, Tempo, 968992
1, 44928, Tempo, 961230
1, 45063, Tempo, 946074
1, 45139, Tempo, 953592
1, 45216, Tempo, 961230
1, 45293, Tempo, 968992
1, 45351, Tempo, 976880
1, 45427, Tempo, 984898
1, 45504, Tempo, 993049
1, 45562, Tempo, 1001335
1, 45600, Tempo, 968992
1, 46080, Tempo, 953592
1, 46733, Tempo, 931388
1, 46771, Tempo, 938673
1, 46791, Tempo, 946074
1, 46810, Tempo, 953592
1, 46829, Tempo, 961230
1, 46848, Tempo, 968992
1, 46867, Tempo, 976880
1, 46887, Tempo, 984898
1, 46906, Tempo, 993049
1, 46925, Tempo, 1001335
1, 46944, Tempo, 1009761
1, 46963, Tempo, 1018330
1, 47040, Tempo, 968992
1, 47520, Tempo, 961230
1, 48000, Tempo, 946074
1, 48440, Tempo, 953592
1, 48482, Tempo, 1190004
1, 48489, Tempo, 1178319
1, 48495, Tempo, 1166861
1, 48501, Tempo, 1155624
1, 48507, Tempo, 1144601
1, 48513, Tempo, 1123175
1, 48519, Tempo, 1112760
1, 48525, Tempo, 1102536
1, 48531, Tempo, 1092498
1, 48537, Tempo, 1082642
1, 48543, Tempo, 1063453
1, 48549, Tempo, 1054111
1, 48555, Tempo, 1044932
1, 48561, Tempo, 1035912
1, 48567, Tempo, 1027046
1, 48574, Tempo, 1009761
1, 48580, Tempo, 1001335
1, 48586, Tempo, 993049
1, 48592, Tempo, 961230
1, 48604, Tempo, 953592
1, 48610, Tempo, 946074
1, 48622, Tempo, 938673
1, 48628, Tempo, 931388
1, 48777, Tempo, 931388
1, 48796, Tempo, 938673
1, 48815, Tempo, 953592
1, 48835, Tempo, 961230
1, 48854, Tempo, 976880
1, 48873, Tempo, 984898
1, 48892, Tempo, 1001335
1, 48911, Tempo, 1009761
1, 48931, Tempo, 1027046
1, 48960, Key_signature, -5, "major"
1, 49200, Tempo, 931388
1, 49440, Tempo, 902256
1, 50640, Tempo, 765111
1, 50760, Tempo, 946074
1, 50880, Tempo, 968992
1, 51120, Tempo, 869565
1, 51360, Tempo, 851064
1, 51840, Tempo, 833333
1, 52320, Tempo, 816327
1, 52560, Tempo, 755477
1, 52680, Tempo, 858124
1, 52800, Tempo, 805369
1, 53760, Tempo, 876937
1, 54000, Tempo, 794702
1, 54720, Tempo, 845070
1, 54960, Tempo, 779221
1, 55680, Tempo, 851064
1, 55920, Tempo, 779221
1, 56400, Tempo, 852031
1, 56520, Tempo, 984898
1, 56640, Tempo, 723589
1, 56640, Marker_t, "piu vivo"
1, 56760, Tempo, 1350743
1, 56877, Tempo, 662983
1, 56922, Tempo, 659341
1, 56952, Tempo, 655738
1, 56982, Tempo, 652174
1, 57012, Tempo, 648649
1, 57042, Tempo, 645161
1, 57072, Tempo, 641711
1, 57102, Tempo, 638298
1, 57147, Tempo, 641711
1, 57177, Tempo, 645161
1, 57222, Tempo, 648649
1, 57252, Tempo, 652174
1, 57297, Tempo, 655738
1, 57327, Tempo, 659341
1, 57357, Tempo, 662983
1, 57360, Tempo, 662983
1, 57807, Tempo, 655738
1, 57867, Tempo, 652174
1, 57927, Tempo, 648649
1, 57987, Tempo, 645161
1, 58047, Tempo, 641711
1, 58092, Tempo, 634921
1, 58137, Tempo, 638298
1, 58167, Tempo, 641711
1, 58212, Tempo, 645161
1, 58242, Tempo, 648649
1, 58272, Tempo, 652174
1, 58317, Tempo, 655738
1, 58347, Tempo, 659341
1, 58377, Tempo, 662983
1, 58797, Tempo, 659341
1, 58842, Tempo, 655738
1, 58887, Tempo, 652174
1, 58932, Tempo, 648649
