0, 0, Header, 1, 10, 480
1, 0, Start_track
1, 0, Title_t, "Jeux d'eau"
1, 0, Copyright_t, "Copyright © 2004 by Bernd Krueger"
1, 0, Text_t, "Maurice Ravel"
1, 0, Text_t, "Tres doux"
1, 0, Text_t, "Fertiggestellt am 15.7.2004\012"
1, 0, Text_t, "Dauer:  5:04 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 8, 2, 24, 8
1, 0, Key_signature, 4, "major"
1, 0, Tempo, 434783
1, 1440, Tempo, 408163
1, 1920, Tempo, 434783
1, 3360, Tempo, 412371
1, 3840, Time_signature, 4, 2, 24, 8
1, 3840, Tempo, 436364
1, 5520, Tempo, 500000
1, 5760, Time_signature, 8, 2, 24, 8
1, 5760, Tempo, 436364
1, 7200, Tempo, 413793
1, 7680, Tempo, 436364
1, 9120, Tempo, 416667
1, 9600, Tempo, 436364
1, 11480, Tempo, 419580
1, 11600, Tempo, 418118
1, 11680, Tempo, 416667
1, 11800, Tempo, 415225
1, 11880, Tempo, 413793
1, 11960, Tempo, 412371
1, 12160, Tempo, 410959
1, 12360, Tempo, 409556
1, 12520, Tempo, 408163
1, 12800, Tempo, 409556
1, 13080, Tempo, 410959
1, 13320, Tempo, 412371
1, 13440, Tempo, 436364
1, 14880, Tempo, 415225
1, 15360, Tempo, 436364
1, 16800, Tempo, 418118
1, 17280, Tempo, 434783
1, 18960, Tempo, 447761
1, 19200, Tempo, 431655
1, 21120, Tempo, 434783
1, 22560, Tempo, 408163
1, 23040, Tempo, 434783
1, 24480, Tempo, 412371
1, 24960, Time_signature, 4, 2, 24, 8
1, 24960, Tempo, 436364
1, 26640, Tempo, 422535
1, 26880, Time_signature, 8, 2, 24, 8
1, 26880, Tempo, 418118
1, 28320, Tempo, 402685
1, 28800, Tempo, 418118
1, 30240, Tempo, 404040
1, 30720, Tempo, 418118
1, 32160, Tempo, 402685
1, 34560, Tempo, 418118
1, 35520, Tempo, 394737
1, 36480, Tempo, 418118
1, 37440, Tempo, 404040
1, 37920, Tempo, 394737
1, 38400, Time_signature, 2, 2, 24, 8
1, 38400, Tempo, 418118
1, 39360, Time_signature, 8, 2, 24, 8
1, 39360, Tempo, 392157
1, 40320, Tempo, 408163
1, 41280, Tempo, 393443
1, 42240, Tempo, 405405
1, 43200, Tempo, 370370
1, 44040, Tempo, 397351
1, 44160, Tempo, 370370
1, 45000, Tempo, 393443
1, 45120, Tempo, 373832
1, 46080, Tempo, 383387
1, 46200, Tempo, 384615
1, 46320, Tempo, 385852
1, 46440, Tempo, 387097
1, 46560, Tempo, 388350
1, 46680, Tempo, 389610
1, 46800, Tempo, 390879
1, 46920, Tempo, 392157
1, 47040, Tempo, 404040
1, 47520, Tempo, 385852
1, 48960, Tempo, 394737
1, 49440, Tempo, 385852
1, 50880, Tempo, 409556
1, 51360, Tempo, 387097
1, 52800, Tempo, 394737
1, 53280, Tempo, 387097
1, 54480, Tempo, 409556
1, 54720, Time_signature, 4, 2, 24, 8
1, 54720, Tempo, 394737
1, 56400, Tempo, 421053
1, 56640, Time_signature, 9, 2, 24, 8
1, 56640, Tempo, 398671
1, 56880, Tempo, 400000
