0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Gaspard de la Nuit"
1, 0, Title_t, "Scarbo"
1, 0, Copyright_t, "Copyright © 2004 von Bernd Krüger."
1, 0, Text_t, "Maurice Ravel"
1, 0, Text_t, "Modere"
1, 0, Text_t, "Fertiggestellt am 28.2.2004\012"
1, 0, Text_t, "Dauer: 8:27 Minuten\012"
1, 0, Time_signature, 3, 3, 12, 8
1, 0, Key_signature, 5, "major"
1, 0, Tempo, 1904762
1, 480, Tempo, 1875000
1, 960, Tempo, 1008403
1, 1000, Tempo, 1000000
1, 1040, Tempo, 983607
1, 1080, Tempo, 967742
1, 1120, Tempo, 952381
1, 1160, Tempo, 944882
1, 1200, Tempo, 930233
1, 1240, Tempo, 916031
1, 1280, Tempo, 902256
1, 1320, Tempo, 895522
1, 1360, Tempo, 882353
1, 1400, Tempo, 869565
1, 1440, Tempo, 851064
1, 1452, Tempo, 845070
1, 1464, Tempo, 839161
1, 1480, Tempo, 833333
1, 1504, Tempo, 827586
1, 1544, Tempo, 845070
1, 1560, Tempo, 863309
1, 1612, Tempo, 857143
1, 1640, Tempo, 851064
1, 1652, Tempo, 845070
1, 1664, Tempo, 839161
1, 1680, Tempo, 833333
1, 1692, Tempo, 827586
1, 1704, Tempo, 821918
1, 1732, Tempo, 827586
1, 1744, Tempo, 839161
1, 1760, Tempo, 845070
1, 1824, Tempo, 839161
1, 1840, Tempo, 833333
1, 1852, Tempo, 821918
1, 1864, Tempo, 816327
1, 1892, Tempo, 810811
1, 1904, Tempo, 805369
1, 1920, Tempo, 821918
1, 1932, Tempo, 827586
1, 1944, Tempo, 833333
1, 1984, Tempo, 827586
1, 2000, Tempo, 821918
1, 2012, Tempo, 816327
1, 2024, Tempo, 810811
1, 2040, Tempo, 805369
1, 2080, Tempo, 816327
1, 2092, Tempo, 821918
1, 2104, Tempo, 827586
1, 2120, Tempo, 833333
1, 2160, Tempo, 827586
1, 2172, Tempo, 816327
1, 2184, Tempo, 810811
1, 2200, Tempo, 805369
1, 2212, Tempo, 800000
1, 2264, Tempo, 805369
1, 2280, Tempo, 810811
1, 2292, Tempo, 827586
1, 2304, Tempo, 833333
1, 2320, Tempo, 839161
1, 2344, Tempo, 833333
1, 2360, Tempo, 827586
1, 2372, Tempo, 821918
1, 2400, Tempo, 816327
1, 2424, Tempo, 810811
1, 2452, Tempo, 816327
1, 2464, Tempo, 833333
1, 2480, Tempo, 839161
1, 2492, Tempo, 851064
1, 2504, Tempo, 863309
1, 2560, Tempo, 857143
1, 2572, Tempo, 845070
1, 2624, Tempo, 839161
1, 2720, Tempo, 833333
1, 2732, Tempo, 827586
1, 2744, Tempo, 845070
1, 2760, Tempo, 851064
1, 2772, Tempo, 857143
1, 2824, Tempo, 863309
1, 2840, Tempo, 869565
1, 2852, Tempo, 857143
1, 2864, Tempo, 845070
1, 2892, Tempo, 839161
1, 2920, Tempo, 833333
1, 2960, Tempo, 839161
1, 2972, Tempo, 857143
1, 2984, Tempo, 863309
1, 3040, Tempo, 857143
1, 3064, Tempo, 851064
1, 3080, Tempo, 845070
1, 3120, Tempo, 839161
1, 3184, Tempo, 857143
1, 3200, Tempo, 863309
1, 3212, Tempo, 875912
1, 3240, Tempo, 857143
1, 3264, Tempo, 851064
1, 3280, Tempo, 845070
1, 3292, Tempo, 839161
1, 3304, Tempo, 833333
1, 3344, Tempo, 827586
1, 3372, Tempo, 833333
1, 3384, Tempo, 839161
1, 3412, Tempo, 845070
1, 3440, Tempo, 851064
1, 3452, Tempo, 857143
1, 3464, Tempo, 863309
1, 3480, Tempo, 875912
1, 3520, Tempo, 869565
1, 3532, Tempo, 863309
1, 3572, Tempo, 857143
1, 3624, Tempo, 863309
1, 3652, Tempo, 869565
1, 3820, Tempo, 869565
1, 3860, Tempo, 875912
1, 3880, Tempo, 882353
1, 3900, Tempo, 888889
1, 3920, Tempo, 895522
1, 3940, Tempo, 902256
1, 3960, Tempo, 909091
1, 3980, Tempo, 916031
1, 4000, Tempo, 923077
1, 4020, Tempo, 930233
1, 4040, Tempo, 937500
1, 4060, Tempo, 944882
1, 4080, Tempo, 952381
1, 4100, Tempo, 960000
1, 4120, Tempo, 967742
1, 4140, Tempo, 975610
1, 4160, Tempo, 983607
1, 4180, Tempo, 991736
1, 4200, Tempo, 1000000
1, 4220, Tempo, 1008403
1, 4240, Tempo, 1016949
1, 4260, Tempo, 1025641
1, 4280, Tempo, 1034483
1, 4300, Tempo, 1043478
1, 4320, Tempo, 2033898
1, 5040, Tempo, 1904762
1, 5520, Tempo, 1875000
1, 6000, Tempo, 1008403
1, 6040, Tempo, 1000000
1, 6080, Tempo, 983607
1, 6120, Tempo, 967742
1, 6160, Tempo, 952381
1, 6200, Tempo, 944882
1, 6240, Tempo, 930233
1, 6280, Tempo, 916031
1, 6320, Tempo, 902256
1, 6360, Tempo, 895522
1, 6400, Tempo, 882353
1, 6440, Tempo, 869565
1, 6480, Tempo, 851064
1, 6492, Tempo, 845070
1, 6504, Tempo, 839161
1, 6520, Tempo, 833333
1, 6544, Tempo, 827586
1, 6584, Tempo, 845070
1, 6600, Tempo, 863309
1, 6652, Tempo, 857143
1, 6680, Tempo, 851064
1, 6692, Tempo, 845070
1, 6704, Tempo, 839161
1, 6720, Tempo, 833333
1, 6732, Tempo, 827586
1, 6744, Tempo, 821918
1, 6772, Tempo, 827586
1, 6784, Tempo, 839161
1, 6800, Tempo, 845070
1, 6864, Tempo, 839161
1, 6880, Tempo, 833333
1, 6892, Tempo, 821918
1, 6904, Tempo, 816327
1, 6932, Tempo, 810811
1, 6944, Tempo, 805369
1, 6960, Tempo, 821918
1, 6972, Tempo, 827586
1, 6984, Tempo, 833333
1, 7024, Tempo, 827586
1, 7040, Tempo, 821918
1, 7052, Tempo, 816327
1, 7064, Tempo, 810811
1, 7080, Tempo, 805369
1, 7120, Tempo, 816327
1, 7132, Tempo, 821918
1, 7144, Tempo, 827586
1, 7160, Tempo, 833333
1, 7200, Tempo, 827586
1, 7212, Tempo, 816327
1, 7224, Tempo, 810811
1, 7240, Tempo, 805369
