0, 0, Header, 1, 7, 480
1, 0, Start_track
1, 0, Title_t, "Klaviersonate a-Moll, Opus 143"
1, 0, Copyright_t, "Copyright © 2004 by Bernd Krueger"
1, 0, Text_t, "Franz Schubert"
1, 0, Text_t, "Fertiggestellt am 3.11.1999\012"
1, 0, Text_t, "Update am 1.7.2000\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 17.9.2004\012"
1, 0, Text_t, "Update am 17.3.2014\012"
1, 0, Text_t, "Dauer:12:30 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 501295
1, 0, Marker_t, "Part 1"
1, 960, Tempo, 499210
1, 1920, Tempo, 485123
1, 2880, Tempo, 493056
1, 3600, Tempo, 516351
1, 3840, Tempo, 483170
1, 4800, Tempo, 501295
1, 5760, Tempo, 491240
1, 6720, Tempo, 506457
1, 7680, Tempo, 501295
1, 8640, Tempo, 485123
1, 9600, Tempo, 463392
1, 10560, Tempo, 501295
1, 10800, Tempo, 491079
1, 11280, Tempo, 507614
1, 11520, Tempo, 493056
1, 12480, Tempo, 501295
1, 13440, Tempo, 491240
1, 14400, Tempo, 510986
1, 15360, Tempo, 491079
1, 16320, Tempo, 501295
1, 17280, Tempo, 483170
1, 18240, Tempo, 497141
1, 18720, Tempo, 485123
1, 19200, Tempo, 468128
1, 19680, Tempo, 476190
1, 20160, Tempo, 471032
1, 20640, Tempo, 478889
1, 21120, Tempo, 459207
1, 22080, Tempo, 487092
1, 22560, Tempo, 473672
1, 23040, Tempo, 448934
1, 24000, Tempo, 493056
1, 24480, Tempo, 461538
1, 24960, Tempo, 448934
1, 25920, Tempo, 483170
1, 26400, Tempo, 457422
1, 26880, Tempo, 468128
1, 27360, Tempo, 455719
1, 27840, Tempo, 469080
1, 28320, Tempo, 472962
1, 28800, Tempo, 447227
1, 29760, Tempo, 473672
1, 30240, Tempo, 455719
1, 30720, Tempo, 462713
1, 31200, Tempo, 448934
1, 31680, Tempo, 466309
1, 32160, Tempo, 477441
1, 32640, Tempo, 487092
1, 33600, Tempo, 473672
1, 34560, Tempo, 463392
1, 35520, Tempo, 487092
1, 36480, Tempo, 485123
1, 37440, Tempo, 475511
1, 38400, Tempo, 469080
1, 39360, Tempo, 483170
1, 40320, Tempo, 431189
1, 41280, Tempo, 440690
1, 41281, Tempo, 441924
1, 41309, Tempo, 440238
1, 41321, Tempo, 436872
1, 41333, Tempo, 435193
1, 41349, Tempo, 433557
1, 41361, Tempo, 431903
1, 41389, Tempo, 430293
1, 41401, Tempo, 435193
1, 41413, Tempo, 440238
1, 41429, Tempo, 441924
1, 41493, Tempo, 435193
1, 41509, Tempo, 433557
1, 41521, Tempo, 431903
1, 41533, Tempo, 430293
1, 41549, Tempo, 427077
1, 41561, Tempo, 425502
1, 41589, Tempo, 430293
1, 41601, Tempo, 435193
1, 41613, Tempo, 436872
1, 41629, Tempo, 438532
1, 41641, Tempo, 441924
1, 41709, Tempo, 440238
1, 41721, Tempo, 436872
1, 41733, Tempo, 433557
1, 41761, Tempo, 430293
1, 41789, Tempo, 431903
1, 41801, Tempo, 435193
1, 41813, Tempo, 436872
1, 41829, Tempo, 441924
1, 41853, Tempo, 445368
1, 41869, Tempo, 447094
1, 41933, Tempo, 443623
1, 41949, Tempo, 440238
1, 41961, Tempo, 435193
1, 41973, Tempo, 431903
1, 41989, Tempo, 430293
1, 42081, Tempo, 431903
1, 42093, Tempo, 433557
1, 42109, Tempo, 435193
1, 42121, Tempo, 438532
1, 42133, Tempo, 440238
1, 42149, Tempo, 441924
1, 42161, Tempo, 443623
1, 42229, Tempo, 430293
1, 42241, Tempo, 428694
1, 42253, Tempo, 427077
1, 42269, Tempo, 422357
1, 42281, Tempo, 420787
1, 42309, Tempo, 423908
1, 42321, Tempo, 431903
1, 42333, Tempo, 433557
1, 42361, Tempo, 435193
1, 42401, Tempo, 430293
1, 42413, Tempo, 423908
1, 42429, Tempo, 422357
1, 42453, Tempo, 420787
1, 42481, Tempo, 425502
