0, 0, Header, 1, 11, 480
1, 0, Start_track
1, 0, Title_t, "Sonate D960, 1. Satz"
1, 0, Copyright_t, "Copyright © 2002 by Bernd Krueger"
1, 0, Text_t, "Franz Schubert"
1, 0, Text_t, "Molto moderato"
1, 0, Text_t, "Fertiggestellt am 21.5.2002\012"
1, 0, Text_t, "Update am 11.6.2002\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 23.3.2014\012"
1, 0, Text_t, "Dauer: 22:06 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -2, "major"
1, 0, Tempo, 284522
1, 1440, Tempo, 765404
1, 1440, Marker_t, "Teil 1"
1, 1920, Tempo, 743863
1, 2200, Tempo, 765404
1, 2400, Tempo, 743863
1, 2640, Tempo, 771010
1, 2800, Tempo, 749157
1, 3120, Tempo, 776699
1, 3360, Tempo, 749157
1, 3600, Tempo, 776699
1, 3840, Tempo, 743863
1, 4080, Tempo, 728332
1, 4320, Tempo, 728332
1, 5280, Tempo, 733407
1, 5520, Tempo, 789474
1, 5760, Tempo, 743863
1, 6000, Tempo, 754527
1, 6240, Tempo, 743863
1, 6480, Tempo, 754527
1, 6760, Tempo, 743863
1, 6960, Tempo, 771010
1, 7200, Tempo, 743863
1, 7420, Tempo, 827586
1, 7640, Tempo, 754527
1, 8160, Tempo, 754527
1, 8440, Tempo, 782371
1, 8640, Tempo, 759878
1, 8880, Tempo, 782371
1, 9360, Tempo, 789474
1, 9600, Tempo, 743863
1, 9840, Tempo, 738643
1, 10080, Tempo, 728332
1, 11280, Tempo, 776699
1, 11520, Tempo, 743863
1, 12000, Tempo, 754527
1, 12240, Tempo, 771010
1, 12480, Tempo, 759878
1, 12960, Tempo, 749157
1, 13240, Tempo, 782371
1, 13440, Tempo, 771010
1, 13680, Tempo, 794176
1, 13920, Tempo, 821918
1, 14160, Tempo, 888889
1, 14400, Tempo, 789474
1, 14880, Tempo, 865801
1, 15120, Tempo, 771010
1, 15360, Tempo, 825196
1, 15424, Tempo, 818777
1, 15480, Tempo, 812458
1, 15544, Tempo, 806235
1, 15600, Tempo, 800213
1, 15664, Tempo, 794176
1, 15720, Tempo, 788229
1, 15732, Tempo, 765404
1, 15744, Tempo, 759878
1, 15800, Tempo, 765404
1, 15812, Tempo, 776699
1, 15852, Tempo, 765404
1, 15880, Tempo, 759878
1, 15892, Tempo, 749157
1, 15904, Tempo, 743863
1, 15920, Tempo, 754527
