0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Sonata D850, 1. movement"
1, 0, Copyright_t, "Copyright © 2009 by Bernd Krueger"
1, 0, Text_t, "Franz Schubert"
1, 0, Text_t, "Allegro vivace"
1, 0, Text_t, "Erstellt: 22.12.2009\012"
1, 0, Text_t, "Update am 13.3.2014\012"
1, 0, Text_t, "Dauer: 8:47 Minuten\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 2, "major"
1, 0, Tempo, 414938
1, 0, Marker_t, "Teil 1"
1, 960, Tempo, 342857
1, 1440, Tempo, 333333
1, 1680, Tempo, 413508
1, 1920, Tempo, 367872
1, 2880, Tempo, 340909
1, 3360, Tempo, 333333
1, 3600, Tempo, 416378
1, 3840, Tempo, 377121
1, 4560, Tempo, 355872
1, 4800, Tempo, 344630
1, 4920, Tempo, 343643
1, 5280, Tempo, 337838
1, 5600, Tempo, 394477
1, 5760, Tempo, 352734
1, 6240, Tempo, 346620
1, 6720, Tempo, 341686
1, 7520, Tempo, 464756
1, 7680, Tempo, 409277
1, 8640, Tempo, 341880
1, 9120, Tempo, 334262
1, 9360, Tempo, 413508
1, 9600, Tempo, 371287
1, 9720, Tempo, 370142
1, 10560, Tempo, 345821
1, 11040, Tempo, 338028
1, 11280, Tempo, 413508
1, 11520, Tempo, 374766
1, 12480, Tempo, 352734
1, 12960, Tempo, 344828
1, 13200, Tempo, 452830
1, 13440, Tempo, 375940
1, 13920, Tempo, 344630
1, 14400, Tempo, 340716
1, 14880, Tempo, 336134
1, 15360, Tempo, 338983
1, 15680, Tempo, 432900
1, 15840, Tempo, 344630
1, 16320, Tempo, 339751
1, 16800, Tempo, 335196
1, 17280, Tempo, 339943
1, 17600, Tempo, 370142
1, 17760, Tempo, 363416
1, 18720, Tempo, 357995
1, 19200, Tempo, 355872
1, 19680, Tempo, 349854
1, 20160, Tempo, 343840
1, 20640, Tempo, 337079
1, 20960, Tempo, 454545
1, 21120, Tempo, 362319
1, 22080, Tempo, 357995
1, 22800, Tempo, 377121
1, 22880, Tempo, 369004
1, 23040, Tempo, 355872
1, 24000, Tempo, 348635
1, 24720, Tempo, 377121
1, 24960, Tempo, 352734
