0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Vier Impromptus Opus 90 D 899"
1, 0, Title_t, "Impromptu Nr. 1 c-Moll"
1, 0, Copyright_t, "Copyright © 2007 von Bernd Krüger."
1, 0, Text_t, "Schubert"
1, 0, Text_t, "Allegro molto moderato"
1, 0, Text_t, "Erstellt am 21.7.2007\012"
1, 0, Text_t, "Update am 18.3.2014\012"
1, 0, Text_t, "Dauer: 7:44 Minuten\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 759494
1, 0, Marker_t, "Teil 1"
1, 1440, Tempo, 551673
1, 1920, Tempo, 564334
1, 2400, Tempo, 546349
1, 2880, Tempo, 545901
1, 3360, Tempo, 551673
1, 3840, Tempo, 551673
1, 5280, Tempo, 543085
1, 5640, Tempo, 569638
1, 5760, Tempo, 551673
1, 6720, Tempo, 563539
1, 7040, Tempo, 577923
1, 7200, Tempo, 559076
1, 7560, Tempo, 592183
1, 9120, Tempo, 551673
1, 9600, Tempo, 541419
1, 10080, Tempo, 548847
1, 10560, Tempo, 545901
1, 11040, Tempo, 551673
1, 11520, Tempo, 551673
1, 11760, Tempo, 517241
1, 12000, Tempo, 547945
1, 12960, Tempo, 543085
1, 13320, Tempo, 569638
1, 13440, Tempo, 551673
1, 14400, Tempo, 563539
1, 14640, Tempo, 603015
1, 14880, Tempo, 566038
1, 15240, Tempo, 592183
1, 15840, Tempo, 592183
1, 16800, Tempo, 551673
1, 17280, Tempo, 559076
1, 17760, Tempo, 551369
1, 18240, Tempo, 545901
1, 18720, Tempo, 551673
1, 19200, Tempo, 551673
1, 20160, Tempo, 559076
1, 20640, Tempo, 543085
1, 21000, Tempo, 569638
1, 21120, Tempo, 551673
1, 22080, Tempo, 575153
1, 22560, Tempo, 559076
1, 22920, Tempo, 592183
1, 24480, Tempo, 551673
1, 25920, Tempo, 545901
1, 26400, Tempo, 551673
1, 26880, Tempo, 551673
1, 27120, Tempo, 517241
1, 27360, Tempo, 547945
1, 28320, Tempo, 543085
1, 28680, Tempo, 569638
1, 28800, Tempo, 551673
1, 29760, Tempo, 563539
1, 30080, Tempo, 646412
1, 30240, Tempo, 566038
1, 30600, Tempo, 592183
1, 31200, Tempo, 592183
1, 32160, Tempo, 551673
1, 33600, Tempo, 545901
1, 34080, Tempo, 551673
1, 34560, Tempo, 524843
1, 34720, Tempo, 548847
1, 36000, Tempo, 543085
1, 36360, Tempo, 569638
1, 36480, Tempo, 551673
1, 37440, Tempo, 563539
1, 37920, Tempo, 563539
1, 38280, Tempo, 592183
1, 39840, Tempo, 551673
1, 41280, Tempo, 545901
1, 41760, Tempo, 551673
1, 42240, Tempo, 551673
1, 42480, Tempo, 517241
1, 42720, Tempo, 547945
1, 43680, Tempo, 543085
1, 44040, Tempo, 569638
1, 44160, Tempo, 551673
1, 45120, Tempo, 563539
1, 45360, Tempo, 603015
1, 45600, Tempo, 566038
1, 45960, Tempo, 592183
1, 46560, Tempo, 592183
1, 47520, Tempo, 551673
1, 48960, Tempo, 515818
1, 49440, Tempo, 486539
1, 49560, Tempo, 628272
1, 49800, Tempo, 668003
1, 49920, Tempo, 564334
1, 50160, Tempo, 524843
1, 50400, Tempo, 551369
1, 51360, Tempo, 543085
1, 51720, Tempo, 569638
1, 51840, Tempo, 551673
1, 52800, Tempo, 563539
