0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Abegg-Variationen"
1, 0, Copyright_t, "Copyright © 2004 by Bernd Krueger"
1, 0, Text_t, "Robert Schumann"
1, 0, Text_t, "Fertiggestellt am 23.6.2004\012"
1, 0, Text_t, "Update am 2.11.2008 (Konvertierung nach cwp)\012"
1, 0, Text_t, "Update am 25.3.2014\012"
1, 0, Text_t, "Dauer:  6:14 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 375000
1, 0, Marker_t, "Thema"
1, 960, Tempo, 517241
1, 1440, Tempo, 491803
1, 1680, Tempo, 380952
1, 1920, Tempo, 389610
1, 2400, Tempo, 408163
1, 2640, Tempo, 422535
1, 2880, Tempo, 435667
1, 3120, Tempo, 389610
1, 3360, Tempo, 404040
1, 3840, Tempo, 422535
1, 4080, Tempo, 437956
1, 4320, Tempo, 451128
1, 4560, Tempo, 380952
1, 4800, Tempo, 387097
1, 5280, Tempo, 402685
1, 5520, Tempo, 431934
1, 5760, Tempo, 415945
1, 6000, Tempo, 388350
1, 6240, Tempo, 404040
1, 6680, Tempo, 412541
1, 6720, Tempo, 422535
1, 6960, Tempo, 437956
1, 7200, Tempo, 436364
1, 7440, Tempo, 387097
1, 7680, Tempo, 392157
1, 8160, Tempo, 419375
1, 8640, Tempo, 435667
1, 8880, Tempo, 389610
1, 9120, Tempo, 402685
1, 9600, Tempo, 419375
1, 9840, Tempo, 437956
1, 10080, Tempo, 449438
1, 10320, Tempo, 388350
1, 10560, Tempo, 394737
1, 11040, Tempo, 415945
1, 11280, Tempo, 444444
1, 11520, Tempo, 415945
1, 11760, Tempo, 406780
1, 12000, Tempo, 413793
1, 12420, Tempo, 422893
1, 12480, Tempo, 510638
1, 12960, Tempo, 481928
1, 13200, Tempo, 418118
1, 13440, Tempo, 389610
1, 13920, Tempo, 413793
1, 14160, Tempo, 431655
1, 14400, Tempo, 444444
