0, 0, Header, 1, 7, 480
1, 0, Start_track
1, 0, Title_t, "Sechs Moments Musicaux Opus 94 D 780"
1, 0, Title_t, "Nr. 4 cis-moll"
1, 0, Copyright_t, "Copyright © 1997 by Bernd Krüger"
1, 0, Text_t, "Franz Schubert"
1, 0, Text_t, "Moderato"
1, 0, Text_t, "Korrekturen am 6.9.98\012"
1, 0, Text_t, "Update am 14.5.99\012"
1, 0, Text_t, "Update am 22.5.99\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 25.06.2007\012"
1, 0, Text_t, "Update am 16.3.2014\012"
1, 0, Text_t, "Dauer: 5:09 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, 4, "major"
1, 0, Tempo, 585366
1, 716, Tempo, 591599
1, 1080, Tempo, 580271
1, 1120, Tempo, 580889
1, 1140, Tempo, 581395
1, 1160, Tempo, 581959
1, 1180, Tempo, 582524
1, 1200, Tempo, 583090
1, 1220, Tempo, 583658
1, 1260, Tempo, 584226
1, 1280, Tempo, 584738
1, 1300, Tempo, 585309
1, 1320, Tempo, 585880
1, 1340, Tempo, 586396
1, 1360, Tempo, 587027
1, 1380, Tempo, 587544
1, 1420, Tempo, 588178
1, 1440, Tempo, 588697
1, 1460, Tempo, 589275
1, 1480, Tempo, 589855
1, 1500, Tempo, 590435
1, 1520, Tempo, 590958
1, 1540, Tempo, 591599
1, 1560, Tempo, 588697
1, 1580, Tempo, 577534
1, 1680, Tempo, 580271
1, 1780, Tempo, 583090
1, 1860, Tempo, 585880
1, 1960, Tempo, 588697
1, 2040, Tempo, 580271
1, 2080, Tempo, 580889
1, 2100, Tempo, 581395
1, 2120, Tempo, 581959
1, 2140, Tempo, 582524
1, 2160, Tempo, 583090
1, 2180, Tempo, 583658
1, 2220, Tempo, 584226
1, 2240, Tempo, 584738
1, 2260, Tempo, 585309
1, 2280, Tempo, 585880
1, 2300, Tempo, 586396
1, 2320, Tempo, 587027
1, 2360, Tempo, 587544
1, 2380, Tempo, 588178
1, 2400, Tempo, 588697
1, 2420, Tempo, 589275
1, 2440, Tempo, 589855
1, 2460, Tempo, 590435
1, 2480, Tempo, 590958
1, 2520, Tempo, 580271
1, 2680, Tempo, 583090
1, 2840, Tempo, 585880
1, 2980, Tempo, 588697
1, 3000, Tempo, 577534
1, 3020, Tempo, 578090
1, 3040, Tempo, 578648
1, 3060, Tempo, 579206
1, 3080, Tempo, 579766
1, 3100, Tempo, 580271
1, 3120, Tempo, 580889
1, 3140, Tempo, 581395
1, 3160, Tempo, 581959
1, 3180, Tempo, 582524
1, 3200, Tempo, 583090
1, 3220, Tempo, 583658
1, 3240, Tempo, 584226
1, 3260, Tempo, 584738
1, 3280, Tempo, 585309
1, 3300, Tempo, 585880
1, 3320, Tempo, 586396
1, 3340, Tempo, 587027
1, 3360, Tempo, 587544
1, 3380, Tempo, 588178
1, 3400, Tempo, 588697
1, 3420, Tempo, 589275
1, 3440, Tempo, 590435
1, 3480, Tempo, 580271
1, 3640, Tempo, 583090
1, 3780, Tempo, 585880
1, 3920, Tempo, 588697
1, 3960, Tempo, 577534
1, 4080, Tempo, 580271
1, 4200, Tempo, 583090
1, 4320, Tempo, 585880
1, 4440, Tempo, 588697
1, 4540, Tempo, 582581
1, 4640, Tempo, 585480
1, 4740, Tempo, 588466
1, 4840, Tempo, 591541
1, 4920, Tempo, 579654
1, 5040, Tempo, 582581
1, 5160, Tempo, 585480
1, 5280, Tempo, 588466
1, 5400, Tempo, 579654
1, 5440, Tempo, 576757
1, 5520, Tempo, 579654
1, 5600, Tempo, 582581
1, 5680, Tempo, 585480
1, 5760, Tempo, 593120
1, 5840, Tempo, 596244
1, 5880, Tempo, 584226
1, 6720, Tempo, 579654
1, 6840, Tempo, 582355
1, 6940, Tempo, 584966
1, 7040, Tempo, 587659
1, 7140, Tempo, 590377
1, 7240, Tempo, 593061
1, 7340, Tempo, 595829
1, 7440, Tempo, 598623
1, 7540, Tempo, 601383
1, 7560, Tempo, 621697
1, 7640, Tempo, 604230
1, 7680, Tempo, 582355
1, 7700, Tempo, 584966
1, 7780, Tempo, 587659
1, 7860, Tempo, 590377
1, 7920, Tempo, 593061
1, 8000, Tempo, 595829
1, 8080, Tempo, 598623
1, 8140, Tempo, 601383
1, 8220, Tempo, 604230
1, 8280, Tempo, 607042
1, 8360, Tempo, 609880
1, 8440, Tempo, 612870
1, 8500, Tempo, 615700
1, 8580, Tempo, 618748
1, 8640, Tempo, 628009
1, 8760, Tempo, 593648
1, 8920, Tempo, 596540
1, 9080, Tempo, 599401
1, 9220, Tempo, 590842
1, 9340, Tempo, 593648
1, 9460, Tempo, 596540
1, 9720, Tempo, 590842
1, 9820, Tempo, 593648
1, 9920, Tempo, 596540
1, 10020, Tempo, 599401
1, 10120, Tempo, 602228
1, 10200, Tempo, 593648
1, 10360, Tempo, 596540
1, 10500, Tempo, 599401
1, 10640, Tempo, 602228
1, 10680, Tempo, 590842
1, 10800, Tempo, 593648
1, 10920, Tempo, 596540
1, 11040, Tempo, 599401
1, 11140, Tempo, 602228
1, 11160, Tempo, 593648
1, 11320, Tempo, 596540
1, 11480, Tempo, 599401
1, 11620, Tempo, 602228
1, 11640, Tempo, 588062
1, 11740, Tempo, 590842
1, 11840, Tempo, 593648
1, 11920, Tempo, 596540
1, 12000, Tempo, 590842
1, 12140, Tempo, 593648
1, 12280, Tempo, 596540
1, 12420, Tempo, 599401
1, 12540, Tempo, 602228
1, 12600, Tempo, 593003
