0, 0, Header, 1, 7, 480
1, 0, Start_track
1, 0, Title_t, "Kinderszenen Opus 15"
1, 0, Title_t, "Fast zu ernst"
1, 0, Copyright_t, "Copyright © 1997 von Bernd Krüger."
1, 0, Text_t, "Robert Schumann"
1, 0, Text_t, "Fertiggestellt am 23.12.97\012"
1, 0, Text_t, "Korrekturen am 4.9.98\012"
1, 0, Text_t, "Anpassungen an Digitalpiano am 1.1.99\012"
1, 0, Text_t, "Update am 16.6.99\012"
1, 0, Text_t, "Update am 9.7.99\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 16.10.2008\012"
1, 0, Text_t, "Update am 26.3.2014\012"
1, 0, Text_t, "Dauer: 1:12 Minuten\012"
1, 0, Time_signature, 2, 3, 12, 8
1, 0, Key_signature, 5, "major"
1, 0, Tempo, 2307692
1, 0, Marker_t, "Almost too Serious"
1, 360, Tempo, 1165049
1, 600, Tempo, 1111111
1, 830, Tempo, 1090909
1, 840, Tempo, 1052632
1, 1080, Tempo, 1100917
1, 1320, Tempo, 1052632
1, 1560, Tempo, 1111111
1, 1570, Tempo, 1111111
1, 1800, Tempo, 1061947
1, 2040, Tempo, 1121495
1, 2280, Tempo, 1081081
1, 2520, Tempo, 1142857
1, 2760, Tempo, 1121495
1, 3000, Tempo, 1250000
1, 3240, Tempo, 1333333
1, 3480, Tempo, 1395349
1, 3600, Tempo, 1666667
1, 3960, Tempo, 1304348
1, 4200, Tempo, 1111111
1, 4440, Tempo, 1052632
1, 4680, Tempo, 1025641
1, 4920, Tempo, 1061947
1, 5160, Tempo, 1052632
1, 5400, Tempo, 1081081
1, 5640, Tempo, 1061947
1, 5880, Tempo, 1121495
1, 6120, Tempo, 1061947
1, 6360, Tempo, 1142857
1, 6600, Tempo, 1121495
1, 6840, Tempo, 1250000
1, 7080, Tempo, 1411765
1, 7320, Tempo, 1558442
1, 7440, Tempo, 1666667
1, 7800, Tempo, 1333333
1, 8040, Tempo, 1111111
1, 8280, Tempo, 1052632
1, 8520, Tempo, 1043478
1, 8760, Tempo, 1081081
1, 9000, Tempo, 1081081
1, 9240, Tempo, 1142857
1, 9480, Tempo, 1200000
1, 9720, Tempo, 1318681
1, 9840, Tempo, 1445783
1, 10440, Tempo, 1132075
1, 10680, Tempo, 1071429
1, 10920, Tempo, 1043478
1, 11400, Tempo, 1043478
1, 11640, Tempo, 1052632
1, 11880, Tempo, 1000000
1, 12120, Tempo, 1111111
1, 12360, Tempo, 1061947
1, 12600, Tempo, 1224490
1, 12720, Tempo, 1165049
1, 12840, Tempo, 1237113
1, 13080, Tempo, 1153846
1, 13320, Tempo, 1081081
1, 13560, Tempo, 1111111
1, 13800, Tempo, 1043478
1, 14040, Tempo, 1090909
1, 14280, Tempo, 1025641
1, 14520, Tempo, 1121495
1, 14760, Tempo, 1081081
1, 15000, Tempo, 1176471
1, 15240, Tempo, 1121495
1, 15480, Tempo, 1290323
1, 15720, Tempo, 1363636
1, 15960, Tempo, 1558442
1, 16080, Tempo, 1764706
1, 16680, Tempo, 1111111
1, 16920, Tempo, 1052632
1, 17160, Tempo, 1025641
1, 17400, Tempo, 1061947
1, 17640, Tempo, 1052632
1, 17880, Tempo, 1081081
1, 18120, Tempo, 1061947
1, 18360, Tempo, 1121495
1, 18600, Tempo, 1061947
1, 18840, Tempo, 1142857
1, 19080, Tempo, 1121495
1, 19320, Tempo, 1250000
1, 19560, Tempo, 1411765
1, 19800, Tempo, 1558442
1, 19920, Tempo, 1666667
1, 20280, Tempo, 1333333
1, 20520, Tempo, 1111111
1, 20760, Tempo, 1052632
1, 21000, Tempo, 1043478
1, 21240, Tempo, 1081081
1, 21480, Tempo, 1081081
1, 21720, Tempo, 1142857
1, 21960, Tempo, 1200000
1, 22200, Tempo, 1318681
1, 22320, Tempo, 1445783
1, 22920, Tempo, 1132075
1, 23160, Tempo, 1071429
1, 23400, Tempo, 1043478
1, 23880, Tempo, 1043478
1, 24120, Tempo, 1052632
1, 24360, Tempo, 1000000
1, 24600, Tempo, 1111111
1, 24840, Tempo, 1061947
1, 25080, Tempo, 1224490
1, 25200, Tempo, 1165049
1, 25320, Tempo, 1304348
1, 25380, Tempo, 1333333
1, 25440, Tempo, 1237113
1, 25560, Tempo, 1153846
1, 25800, Tempo, 1071429
1, 26040, Tempo, 1121495
1, 26280, Tempo, 1153846
1, 26520, Tempo, 1212121
1, 26760, Tempo, 1348315
1, 27000, Tempo, 1481481
1, 27240, Tempo, 3428571
1, 27840, Marker_t, "Fine"
1, 27840, End_track
2, 0, Start_track
2, 0, Title_t, "Piano right"
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 100
2, 0, Control_c, 0, 10, 64
2, 0, Text_t, "bdca426d104a26ac9dcb070447587523"
2, 359, Control_c, 0, 91, 127
2, 360, Note_on_c, 0, 63, 47
2, 600, Note_on_c, 0, 63, 0
2, 600, Note_on_c, 0, 68, 53
2, 720, Note_on_c, 0, 59, 26
2, 840, Note_on_c, 0, 68, 0
2, 840, Note_on_c, 0, 71, 45
2, 960, Note_on_c, 0, 59, 0
2, 1080, Note_on_c, 0, 71, 0
2, 1080, Note_on_c, 0, 70, 50
2, 1200, Note_on_c, 0, 61, 27
2, 1320, Note_on_c, 0, 70, 0
2, 1320, Note_on_c, 0, 67, 46
2, 1440, Note_on_c, 0, 61, 0
2, 1560, Note_on_c, 0, 67, 0
2, 1560, Note_on_c, 0, 68, 50
2, 1680, Note_on_c, 0, 59, 28
2, 1800, Note_on_c, 0, 68, 0
2, 1800, Note_on_c, 0, 70, 51
2, 1920, Note_on_c, 0, 59, 0
2, 2040, Note_on_c, 0, 70, 0
2, 2040, Note_on_c, 0, 71, 53
2, 2160, Note_on_c, 0, 59, 30
2, 2280, Note_on_c, 0, 71, 0
2, 2280, Note_on_c, 0, 73, 51
2, 2400, Note_on_c, 0, 59, 0
2, 2520, Note_on_c, 0, 73, 0
2, 2520, Note_on_c, 0, 75, 44
2, 2640, Note_on_c, 0, 63, 28
2, 2760, Note_on_c, 0, 75, 0
2, 2760, Note_on_c, 0, 76, 38
2, 2880, Note_on_c, 0, 63, 0
2, 3000, Note_on_c, 0, 76, 0
2, 3000, Note_on_c, 0, 73, 41
2, 3120, Note_on_c, 0, 64, 26
2, 3240, Note_on_c, 0, 73, 0
2, 3240, Note_on_c, 0, 75, 37
2, 3360, Note_on_c, 0, 64, 0
2, 3480, Note_on_c, 0, 75, 0
2, 3480, Note_on_c, 0, 71, 36
2, 3600, Note_on_c, 0, 63, 29
2, 3720, Note_on_c, 0, 71, 0
2, 4080, Note_on_c, 0, 63, 0
2, 4200, Note_on_c, 0, 66, 47
2, 4440, Note_on_c, 0, 66, 0
2, 4440, Note_on_c, 0, 71, 53
2, 4560, Note_on_c, 0, 63, 26
2, 4680, Note_on_c, 0, 71, 0
2, 4680, Note_on_c, 0, 75, 45
2, 4800, Note_on_c, 0, 63, 0
2, 4920, Note_on_c, 0, 75, 0
2, 4920, Note_on_c, 0, 73, 50
2, 5040, Note_on_c, 0, 64, 27
2, 5160, Note_on_c, 0, 73, 0
2, 5160, Note_on_c, 0, 70, 46
2, 5280, Note_on_c, 0, 64, 0
2, 5400, Note_on_c, 0, 70, 0
2, 5400, Note_on_c, 0, 71, 50
2, 5520, Note_on_c, 0, 63, 28
2, 5640, Note_on_c, 0, 71, 0
2, 5640, Note_on_c, 0, 73, 51
2, 5760, Note_on_c, 0, 63, 0
2, 5880, Note_on_c, 0, 73, 0
2, 5880, Note_on_c, 0, 75, 53
2, 6000, Note_on_c, 0, 63, 30
2, 6120, Note_on_c, 0, 75, 0
2, 6120, Note_on_c, 0, 77, 57
2, 6240, Note_on_c, 0, 63, 0
2, 6360, Note_on_c, 0, 77, 0
2, 6360, Note_on_c, 0, 78, 61
2, 6480, Note_on_c, 0, 66, 35
2, 6600, Note_on_c, 0, 78, 0
2, 6600, Note_on_c, 0, 80, 52
2, 6720, Note_on_c, 0, 66, 0
2, 6840, Note_on_c, 0, 80, 0
2, 6840, Note_on_c, 0, 77, 55
2, 6960, Note_on_c, 0, 68, 26
2, 7080, Note_on_c, 0, 77, 0
2, 7080, Note_on_c, 0, 78, 44
2, 7200, Note_on_c, 0, 68, 0
2, 7320, Note_on_c, 0, 78, 0
2, 7320, Note_on_c, 0, 75, 34
2, 7440, Note_on_c, 0, 66, 26
2, 7920, Note_on_c, 0, 66, 0
2, 7920, Note_on_c, 0, 75, 0
2, 8040, Note_on_c, 0, 75, 48
2, 8280, Note_on_c, 0, 75, 0
2, 8280, Note_on_c, 0, 76, 51
2, 8400, Note_on_c, 0, 67, 27
2, 8520, Note_on_c, 0, 76, 0
2, 8520, Note_on_c, 0, 73, 45
2, 8640, Note_on_c, 0, 67, 0
2, 8760, Note_on_c, 0, 73, 0
2, 8760, Note_on_c, 0, 75, 48
2, 8880, Note_on_c, 0, 68, 28
2, 9000, Note_on_c, 0, 75, 0
2, 9000, Note_on_c, 0, 71, 45
2, 9120, Note_on_c, 0, 68, 0
2, 9240, Note_on_c, 0, 71, 0
2, 9240, Note_on_c, 0, 71, 44
2, 9360, Note_on_c, 0, 62, 27
2, 9480, Note_on_c, 0, 71, 0
2, 9480, Note_on_c, 0, 68, 39
2, 9600, Note_on_c, 0, 62, 0
2, 9720, Note_on_c, 0, 68, 0
2, 9720, Note_on_c, 0, 67, 35
2, 9840, Note_on_c, 0, 63, 26
2, 9960, Note_on_c, 0, 67, 0
2, 9960, Note_on_c, 0, 70, 25
2, 10320, Note_on_c, 0, 70, 0
2, 10320, Note_on_c, 0, 63, 0
2, 10440, Note_on_c, 0, 63, 45
2, 10677, Note_on_c, 0, 63, 0
2, 10680, Note_on_c, 0, 68, 51
2, 10800, Note_on_c, 0, 59, 28
2, 10920, Note_on_c, 0, 68, 0
2, 10920, Note_on_c, 0, 70, 53
2, 11040, Note_on_c, 0, 59, 0
2, 11160, Note_on_c, 0, 70, 0
2, 11160, Note_on_c, 0, 71, 55
2, 11280, Note_on_c, 0, 61, 28
2, 11400, Note_on_c, 0, 71, 0
2, 11400, Note_on_c, 0, 73, 52
2, 11520, Note_on_c, 0, 61, 0
2, 11640, Note_on_c, 0, 73, 0
2, 11640, Note_on_c, 0, 75, 55
2, 11760, Note_on_c, 0, 61, 33
2, 11880, Note_on_c, 0, 75, 0
2, 11880, Note_on_c, 0, 73, 53
2, 12000, Note_on_c, 0, 61, 0
2, 12120, Note_on_c, 0, 73, 0
2, 12120, Note_on_c, 0, 71, 50
2, 12240, Note_on_c, 0, 71, 0
2, 12240, Note_on_c, 0, 59, 27
2, 12360, Note_on_c, 0, 71, 46
2, 12480, Note_on_c, 0, 59, 0
2, 12600, Note_on_c, 0, 71, 0
2, 12600, Note_on_c, 0, 71, 49
2, 12720, Note_on_c, 0, 61, 42
2, 12840, Note_on_c, 0, 71, 0
2, 12840, Note_on_c, 0, 70, 46
2, 12900, Note_on_c, 0, 61, 0
2, 12900, Note_on_c, 0, 63, 37
2, 13080, Note_on_c, 0, 63, 0
2, 13080, Note_on_c, 0, 70, 0
2, 13080, Note_on_c, 0, 68, 46
2, 13200, Note_on_c, 0, 59, 26
2, 13320, Note_on_c, 0, 68, 0
2, 13320, Note_on_c, 0, 71, 44
2, 13440, Note_on_c, 0, 59, 0
2, 13560, Note_on_c, 0, 71, 0
2, 13560, Note_on_c, 0, 70, 46
2, 13680, Note_on_c, 0, 61, 27
2, 13800, Note_on_c, 0, 70, 0
2, 13800, Note_on_c, 0, 67, 46
2, 13920, Note_on_c, 0, 61, 0
2, 14040, Note_on_c, 0, 67, 0
2, 14040, Note_on_c, 0, 68, 50
2, 14160, Note_on_c, 0, 59, 28
2, 14280, Note_on_c, 0, 68, 0
2, 14280, Note_on_c, 0, 70, 51
2, 14400, Note_on_c, 0, 59, 0
2, 14520, Note_on_c, 0, 70, 0
2, 14520, Note_on_c, 0, 71, 53
2, 14640, Note_on_c, 0, 59, 30
2, 14760, Note_on_c, 0, 71, 0
2, 14760, Note_on_c, 0, 73, 51
2, 14880, Note_on_c, 0, 59, 0
2, 15000, Note_on_c, 0, 73, 0
2, 15000, Note_on_c, 0, 75, 44
2, 15120, Note_on_c, 0, 63, 28
2, 15240, Note_on_c, 0, 75, 0
2, 15240, Note_on_c, 0, 76, 38
2, 15360, Note_on_c, 0, 63, 0
2, 15480, Note_on_c, 0, 76, 0
2, 15480, Note_on_c, 0, 73, 41
2, 15600, Note_on_c, 0, 64, 26
2, 15720, Note_on_c, 0, 73, 0
2, 15720, Note_on_c, 0, 75, 37
2, 15840, Note_on_c, 0, 64, 0
2, 15960, Note_on_c, 0, 75, 0
2, 15960, Note_on_c, 0, 71, 36
2, 16080, Note_on_c, 0, 63, 29
2, 16560, Note_on_c, 0, 63, 0
2, 16560, Note_on_c, 0, 71, 0
2, 16680, Note_on_c, 0, 66, 51
2, 16920, Note_on_c, 0, 66, 0
2, 16920, Note_on_c, 0, 71, 53
2, 17040, Note_on_c, 0, 63, 26
2, 17160, Note_on_c, 0, 71, 0
2, 17160, Note_on_c, 0, 75, 45
2, 17280, Note_on_c, 0, 63, 0
2, 17400, Note_on_c, 0, 75, 0
2, 17400, Note_on_c, 0, 73, 50
2, 17520, Note_on_c, 0, 64, 27
2, 17640, Note_on_c, 0, 73, 0
2, 17640, Note_on_c, 0, 70, 46
2, 17760, Note_on_c, 0, 64, 0
2, 17880, Note_on_c, 0, 70, 0
2, 17880, Note_on_c, 0, 71, 50
2, 18000, Note_on_c, 0, 63, 28
2, 18120, Note_on_c, 0, 71, 0
2, 18120, Note_on_c, 0, 73, 51
2, 18240, Note_on_c, 0, 63, 0
2, 18360, Note_on_c, 0, 73, 0
2, 18360, Note_on_c, 0, 75, 53
2, 18480, Note_on_c, 0, 63, 30
2, 18600, Note_on_c, 0, 75, 0
2, 18600, Note_on_c, 0, 77, 57
2, 18720, Note_on_c, 0, 63, 0
2, 18840, Note_on_c, 0, 77, 0
2, 18840, Note_on_c, 0, 78, 61
2, 18960, Note_on_c, 0, 66, 35
2, 19080, Note_on_c, 0, 78, 0
2, 19080, Note_on_c, 0, 80, 52
2, 19200, Note_on_c, 0, 66, 0
2, 19320, Note_on_c, 0, 80, 0
2, 19320, Note_on_c, 0, 77, 55
2, 19440, Note_on_c, 0, 68, 26
2, 19560, Note_on_c, 0, 77, 0
2, 19560, Note_on_c, 0, 78, 44
2, 19680, Note_on_c, 0, 68, 0
2, 19800, Note_on_c, 0, 78, 0
2, 19800, Note_on_c, 0, 75, 34
2, 19920, Note_on_c, 0, 66, 26
2, 20400, Note_on_c, 0, 66, 0
2, 20400, Note_on_c, 0, 75, 0
2, 20520, Note_on_c, 0, 75, 48
2, 20760, Note_on_c, 0, 75, 0
2, 20760, Note_on_c, 0, 76, 51
2, 20880, Note_on_c, 0, 67, 27
2, 21000, Note_on_c, 0, 76, 0
2, 21000, Note_on_c, 0, 73, 45
2, 21120, Note_on_c, 0, 67, 0
2, 21240, Note_on_c, 0, 73, 0
2, 21240, Note_on_c, 0, 75, 48
2, 21360, Note_on_c, 0, 68, 28
2, 21480, Note_on_c, 0, 75, 0
2, 21480, Note_on_c, 0, 71, 45
2, 21600, Note_on_c, 0, 68, 0
2, 21720, Note_on_c, 0, 71, 0
2, 21720, Note_on_c, 0, 71, 44
2, 21840, Note_on_c, 0, 62, 27
2, 21960, Note_on_c, 0, 71, 0
2, 21960, Note_on_c, 0, 68, 39
2, 22080, Note_on_c, 0, 62, 0
2, 22200, Note_on_c, 0, 68, 0
2, 22200, Note_on_c, 0, 67, 38
2, 22320, Note_on_c, 0, 63, 26
2, 22440, Note_on_c, 0, 67, 0
2, 22440, Note_on_c, 0, 70, 25
2, 22800, Note_on_c, 0, 70, 0
2, 22800, Note_on_c, 0, 63, 0
2, 22920, Note_on_c, 0, 63, 45
2, 23157, Note_on_c, 0, 63, 0
2, 23160, Note_on_c, 0, 68, 51
2, 23280, Note_on_c, 0, 59, 28
2, 23400, Note_on_c, 0, 68, 0
2, 23400, Note_on_c, 0, 70, 53
2, 23520, Note_on_c, 0, 59, 0
2, 23640, Note_on_c, 0, 70, 0
2, 23640, Note_on_c, 0, 71, 55
2, 23760, Note_on_c, 0, 61, 28
2, 23880, Note_on_c, 0, 71, 0
2, 23880, Note_on_c, 0, 73, 52
2, 24000, Note_on_c, 0, 61, 0
2, 24120, Note_on_c, 0, 73, 0
2, 24120, Note_on_c, 0, 75, 55
2, 24240, Note_on_c, 0, 61, 33
2, 24360, Note_on_c, 0, 75, 0
2, 24360, Note_on_c, 0, 73, 53
2, 24480, Note_on_c, 0, 61, 0
2, 24600, Note_on_c, 0, 73, 0
2, 24600, Note_on_c, 0, 71, 50
2, 24720, Note_on_c, 0, 71, 0
2, 24720, Note_on_c, 0, 59, 27
2, 24840, Note_on_c, 0, 71, 46
2, 24960, Note_on_c, 0, 59, 0
2, 25080, Note_on_c, 0, 71, 0
2, 25080, Note_on_c, 0, 71, 49
2, 25200, Note_on_c, 0, 61, 42
2, 25320, Note_on_c, 0, 71, 0
2, 25320, Note_on_c, 0, 70, 46
2, 25380, Note_on_c, 0, 61, 0
2, 25380, Note_on_c, 0, 63, 41
2, 25560, Note_on_c, 0, 63, 0
2, 25560, Note_on_c, 0, 70, 0
2, 25560, Note_on_c, 0, 68, 46
2, 25680, Note_on_c, 0, 59, 29
2, 25800, Note_on_c, 0, 68, 0
2, 25800, Note_on_c, 0, 70, 50
2, 25920, Note_on_c, 0, 59, 0
2, 26040, Note_on_c, 0, 70, 0
2, 26040, Note_on_c, 0, 71, 52
2, 26160, Note_on_c, 0, 59, 34
2, 26280, Note_on_c, 0, 71, 0
2, 26280, Note_on_c, 0, 75, 56
2, 26400, Note_on_c, 0, 59, 0
2, 26520, Note_on_c, 0, 75, 0
