0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Die Jahreszeiten"
1, 0, Title_t, "August"
1, 0, Copyright_t, "Copyright © 2004 by Bernd Krueger"
1, 0, Text_t, "Peter Tschaikowsky"
1, 0, Text_t, "Allegro vivace"
1, 0, Text_t, "Fertiggestellt am 22.10.2000\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 2.9.2004\012"
1, 0, Text_t, "Update am 21.9.2008\012"
1, 0, Text_t, "Dauer: 3:13 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 6, 3, 12, 8
1, 0, Key_signature, 2, "major"
1, 0, Tempo, 322702
1, 0, Marker_t, "Allegro vivace"
1, 960, Tempo, 298507
1, 1440, Tempo, 299252
1, 1920, Tempo, 305312
1, 2360, Tempo, 298507
1, 2400, Tempo, 299252
1, 2880, Tempo, 300752
1, 3360, Tempo, 306905
1, 3840, Tempo, 299252
1, 4320, Tempo, 301508
1, 4800, Tempo, 299835
1, 5280, Tempo, 302160
1, 6480, Tempo, 303721
1, 6720, Tempo, 299835
1, 6960, Tempo, 308515
1, 7200, Tempo, 302160
1, 7440, Tempo, 302160
1, 7920, Tempo, 303721
1, 8160, Tempo, 302160
1, 8880, Tempo, 303721
1, 9360, Tempo, 304507
1, 9600, Tempo, 299835
1, 10080, Tempo, 303721
1, 10320, Tempo, 302160
1, 10800, Tempo, 305312
1, 11040, Tempo, 302160
1, 11760, Tempo, 303721
1, 12240, Tempo, 497925
1, 12480, Tempo, 298507
1, 12960, Tempo, 299252
1, 13440, Tempo, 305312
1, 13920, Tempo, 298507
1, 14400, Tempo, 300000
1, 14880, Tempo, 306905
1, 15360, Tempo, 299252
1, 15840, Tempo, 301508
1, 16320, Tempo, 299835
1, 16800, Tempo, 302160
1, 18000, Tempo, 303721
1, 18240, Tempo, 299835
1, 18480, Tempo, 308515
1, 18720, Tempo, 302160
1, 18960, Tempo, 302160
1, 19440, Tempo, 303721
1, 19680, Tempo, 302160
1, 20400, Tempo, 303721
1, 20880, Tempo, 304507
1, 21120, Tempo, 299835
1, 21600, Tempo, 303721
1, 21840, Tempo, 302160
1, 22320, Tempo, 305312
1, 22560, Tempo, 304507
