0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Die Jahreszeiten"
1, 0, Title_t, "Dezember"
1, 0, Copyright_t, "Copyright © 2004 by Bernd Krueger"
1, 0, Text_t, "Peter Tschaikowsky"
1, 0, Text_t, "Tempo di valse"
1, 0, Text_t, "Fertiggestellt am 23.12.2000\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 12.9.2004\012"
1, 0, Text_t, "Update am 28.9.2008\012"
1, 0, Text_t, "Dauer: 4:00 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -4, "major"
1, 0, Tempo, 304383
1, 480, Tempo, 298983
1, 960, Tempo, 302572
1, 1440, Tempo, 298983
1, 1920, Tempo, 302633
1, 2400, Tempo, 296765
1, 2880, Tempo, 301644
1, 3360, Tempo, 298716
1, 3840, Tempo, 303628
1, 4320, Tempo, 303628
1, 5760, Tempo, 309757
1, 6240, Tempo, 302633
1, 6720, Tempo, 310816
1, 7200, Tempo, 303628
1, 7680, Tempo, 302633
1, 8160, Tempo, 296765
1, 8640, Tempo, 322581
1, 8960, Tempo, 349854
1, 9120, Tempo, 326087
1, 9440, Tempo, 349854
1, 9600, Tempo, 323450
1, 10080, Tempo, 310881
1, 11040, Tempo, 311883
1, 11520, Tempo, 305655
1, 12000, Tempo, 292683
1, 12480, Tempo, 310816
1, 12960, Tempo, 305655
1, 13440, Tempo, 302633
1, 13920, Tempo, 310816
1, 14400, Tempo, 305655
1, 14880, Tempo, 292683
1, 15360, Tempo, 310816
1, 15840, Tempo, 305655
1, 16320, Tempo, 302633
1, 16800, Tempo, 310816
1, 17280, Tempo, 309757
1, 17760, Tempo, 302633
1, 18240, Tempo, 310816
1, 18720, Tempo, 303628
1, 19200, Tempo, 302633
1, 19680, Tempo, 296765
1, 20160, Tempo, 305655
1, 20640, Tempo, 302633
1, 21120, Tempo, 310816
1, 21600, Tempo, 311688
1, 22080, Tempo, 302633
1, 22560, Tempo, 314828
1, 23040, Tempo, 309757
1, 23520, Tempo, 298983
1, 24000, Tempo, 303475
1, 24480, Tempo, 303628
1, 24960, Tempo, 302633
1, 25440, Tempo, 296765
1, 25920, Tempo, 301644
1, 26400, Tempo, 298716
1, 26880, Tempo, 303628
1, 27360, Tempo, 303628
1, 28800, Tempo, 309757
1, 29280, Tempo, 302633
1, 29760, Tempo, 310816
1, 30240, Tempo, 303628
1, 30720, Tempo, 302633
1, 31200, Tempo, 296765
1, 31680, Tempo, 331492
1, 32000, Tempo, 350877
1, 32160, Tempo, 332410
1, 32480, Tempo, 350877
1, 32640, Tempo, 329670
1, 33120, Tempo, 310881
1, 34080, Tempo, 311883
1, 34560, Tempo, 305655
1, 35040, Tempo, 285036
1, 35520, Tempo, 297030
1, 35760, Tempo, 310078
1, 36000, Tempo, 305655
1, 36480, Tempo, 302633
1, 36960, Tempo, 310816
1, 37440, Tempo, 305655
1, 37920, Tempo, 290557
1, 38400, Tempo, 303030
1, 38640, Tempo, 309278
1, 38880, Tempo, 305655
1, 39360, Tempo, 302633
1, 39840, Tempo, 310816
1, 40320, Tempo, 301235
1, 40800, Tempo, 297133
1, 41280, Tempo, 304244
1, 41320, Tempo, 301235
1, 41760, Tempo, 298018
1, 42240, Tempo, 304321
1, 42720, Tempo, 298433
1, 43200, Tempo, 299760
1, 43680, Tempo, 298018
1, 44160, Tempo, 302450
1, 44640, Tempo, 298879
1, 45120, Tempo, 298018
1, 45600, Tempo, 303337
1, 46080, Tempo, 300646
1, 46560, Tempo, 298018
1, 47040, Tempo, 303337
1, 47520, Tempo, 301553
1, 48000, Tempo, 297133
1, 48480, Tempo, 302054
1, 48960, Tempo, 305530
1, 49440, Tempo, 301235
1, 49920, Tempo, 308151
1, 50400, Tempo, 305530
1, 50880, Tempo, 301235
1, 51360, Tempo, 308151
1, 51840, Tempo, 305530
1, 52320, Tempo, 301235
1, 52560, Tempo, 306122
1, 52800, Tempo, 310881
1, 53280, Tempo, 306122
1, 53520, Tempo, 301508
1, 53760, Tempo, 305344
1, 54240, Tempo, 302923
1, 54480, Tempo, 299536
1, 54720, Tempo, 300375
1, 54960, Tempo, 302923
1, 55200, Tempo, 301235
1, 55440, Tempo, 298701
1, 55680, Tempo, 302923
1, 56160, Tempo, 297030
1, 56400, Tempo, 300752
1, 56600, Tempo, 298507
1, 56640, Tempo, 297767
1, 56880, Tempo, 294840
1, 57120, Tempo, 299252
1, 57600, Tempo, 296296
1, 57840, Tempo, 300000
1, 58080, Tempo, 297767
1, 58320, Tempo, 294840
1, 58560, Tempo, 300000
1, 59040, Tempo, 297767
1, 59280, Tempo, 302923
1, 59520, Tempo, 301235
1, 59760, Tempo, 298701
1, 60000, Tempo, 302923
1, 60240, Tempo, 305530
1, 60480, Tempo, 302069
