0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Die Jahreszeiten"
1, 0, Title_t, "Juli"
1, 0, Copyright_t, "Copyright © 2000 by Bernd Krueger"
1, 0, Text_t, "Peter Tschaikowsky"
1, 0, Text_t, "Allegro moderato con moto"
1, 0, Text_t, "Fertiggestellt am 22.10.2000\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update: 30.8.2004\012"
1, 0, Text_t, "Update: 19.9.2008\012"
1, 0, Text_t, "Dauer: 1:54 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 506971
1, 40, Tempo, 504371
1, 720, Tempo, 494153
1, 960, Tempo, 504371
1, 1440, Tempo, 494153
1, 1680, Tempo, 515066
1, 1920, Tempo, 506971
1, 2880, Tempo, 483871
1, 3120, Tempo, 491521
1, 3360, Tempo, 483871
1, 3600, Tempo, 499168
1, 3840, Tempo, 504371
1, 6480, Tempo, 496648
1, 6720, Tempo, 504371
1, 7200, Tempo, 491602
1, 7440, Tempo, 509641
1, 7680, Tempo, 504371
1, 8640, Tempo, 487805
1, 8880, Tempo, 499917
1, 9120, Tempo, 493583
1, 9360, Tempo, 515066
1, 9600, Tempo, 504371
1, 10560, Tempo, 495663
1, 10800, Tempo, 502050
1, 11040, Tempo, 497760
1, 11280, Tempo, 504202
1, 11520, Tempo, 504371
1, 12480, Tempo, 497760
1, 12720, Tempo, 504202
1, 12960, Tempo, 497760
1, 13200, Tempo, 522102
1, 13440, Tempo, 506971
1, 13480, Tempo, 504371
1, 14160, Tempo, 494153
1, 14400, Tempo, 504371
1, 14880, Tempo, 494153
1, 15120, Tempo, 515066
1, 15360, Tempo, 506971
1, 16320, Tempo, 483871
1, 16560, Tempo, 491521
1, 16800, Tempo, 483871
1, 17040, Tempo, 499168
1, 17280, Tempo, 504371
1, 19920, Tempo, 496648
1, 20160, Tempo, 504371
1, 20640, Tempo, 491602
1, 20880, Tempo, 509641
1, 21120, Tempo, 504371
1, 22080, Tempo, 493583
1, 22320, Tempo, 499917
1, 22560, Tempo, 493583
1, 22800, Tempo, 515066
1, 23040, Tempo, 504371
1, 24000, Tempo, 495663
1, 24240, Tempo, 502050
1, 24480, Tempo, 497760
1, 24720, Tempo, 504202
1, 24960, Tempo, 510769
1, 25920, Tempo, 487013
1, 26160, Tempo, 480769
1, 26400, Tempo, 470588
1, 27120, Tempo, 454545
1, 27360, Tempo, 458015
1, 27600, Tempo, 462000
1, 27840, Tempo, 454545
1, 28080, Tempo, 449438
1, 28320, Tempo, 452830
1, 28560, Tempo, 455858
1, 28800, Tempo, 460087
1, 29040, Tempo, 452830
1, 29280, Tempo, 447761
1, 29520, Tempo, 458120
1, 30240, Tempo, 452250
1, 30720, Tempo, 459524
1, 30960, Tempo, 446961
1, 31200, Tempo, 452455
1, 31440, Tempo, 462000
1, 31680, Tempo, 452455
1, 31920, Tempo, 452455
1, 32160, Tempo, 450586
1, 32400, Tempo, 455858
1, 32640, Tempo, 462000
1, 32880, Tempo, 448699
1, 33120, Tempo, 452455
1, 33360, Tempo, 457666
1, 33600, Tempo, 452455
1, 33840, Tempo, 452455
1, 34080, Tempo, 450586
1, 34320, Tempo, 458015
1, 34560, Tempo, 456274
1, 34800, Tempo, 447761
1, 35040, Tempo, 452455
1, 35280, Tempo, 458015
1, 35520, Tempo, 447761
1, 35760, Tempo, 447761
1, 36000, Tempo, 450586
1, 36240, Tempo, 456274
1, 36480, Tempo, 452830
1, 36720, Tempo, 449438
1, 36960, Tempo, 444444
1, 37200, Tempo, 442804
1, 37440, Tempo, 449438
1, 37680, Tempo, 447761
1, 37920, Tempo, 450586
1, 38160, Tempo, 458015
1, 38400, Tempo, 456274
1, 38640, Tempo, 446097
1, 38880, Tempo, 447761
1, 39120, Tempo, 445071
1, 39360, Tempo, 452455
1, 39600, Tempo, 452455
1, 39840, Tempo, 450586
1, 40080, Tempo, 462000
1, 40081, Tempo, 484535
1, 40320, Tempo, 472553
1, 40560, Tempo, 484535
1, 41280, Tempo, 489796
1, 41760, Tempo, 483871
1, 42240, Tempo, 474533
1, 42480, Tempo, 484535
1, 43200, Tempo, 489796
1, 43680, Tempo, 490838
1, 44457, Tempo, 501379
1, 44584, Tempo, 515021
1, 44640, Tempo, 450450
1, 45600, Tempo, 454064
1, 46320, Tempo, 467253
1, 46560, Tempo, 454064
1, 46880, Tempo, 455892
1, 47160, Tempo, 457771
1, 47480, Tempo, 459629
1, 47760, Tempo, 461538
1, 48000, Tempo, 472553
1, 48240, Tempo, 484535
1, 48960, Tempo, 489796
1, 49440, Tempo, 483871
1, 49920, Tempo, 474533
1, 50160, Tempo, 484535
1, 50880, Tempo, 489796
1, 51360, Tempo, 490838
1, 52137, Tempo, 501379
1, 52320, Tempo, 452386
1, 52680, Tempo, 450586
1, 53040, Tempo, 448799
1, 53400, Tempo, 447061
1, 53720, Tempo, 445302
1, 53760, Tempo, 447061
1, 54000, Tempo, 454201
1, 54240, Tempo, 450586
1, 55440, Tempo, 463535
1, 55680, Tempo, 472553
1, 55920, Tempo, 484535
1, 56640, Tempo, 489796
1, 56680, Tempo, 485830
1, 57120, Tempo, 483871
1, 57600, Tempo, 474533
1, 57840, Tempo, 484535
1, 58560, Tempo, 485830
1, 59040, Tempo, 490838
1, 59520, Tempo, 448766
1, 59760, Tempo, 454133
1, 60000, Tempo, 452318
1, 61200, Tempo, 465333
1, 61440, Tempo, 448766
1, 61680, Tempo, 454133
1, 61920, Tempo, 452318
1, 63120, Tempo, 465333
1, 63360, Tempo, 448766
1, 63600, Tempo, 454133
1, 63840, Tempo, 452318
1, 65040, Tempo, 465333
1, 65280, Tempo, 448766
1, 65520, Tempo, 454133
1, 65760, Tempo, 452318
1, 66960, Tempo, 465333
1, 67200, Tempo, 480000
1, 68160, Tempo, 478088
1, 68280, Tempo, 480000
1, 68400, Tempo, 481928
1, 68520, Tempo, 483871
1, 68600, Tempo, 485830
1, 68720, Tempo, 487805
1, 68840, Tempo, 489796
1, 68960, Tempo, 491803
1, 69040, Tempo, 493827
1, 69120, Tempo, 506971
1, 69160, Tempo, 504371
1, 69840, Tempo, 494153
1, 70080, Tempo, 504371
1, 70560, Tempo, 494153
1, 70800, Tempo, 515066
1, 71040, Tempo, 506971
1, 72000, Tempo, 483871
1, 72240, Tempo, 491521
1, 72480, Tempo, 483871
1, 72720, Tempo, 499168
1, 72960, Tempo, 504371
1, 73920, Tempo, 495868
1, 74080, Tempo, 493827
1, 74240, Tempo, 491803
1, 74400, Tempo, 489796
1, 74520, Tempo, 487805
1, 74640, Tempo, 504202
1, 74880, Tempo, 504202
1, 75600, Tempo, 496648
1, 75840, Tempo, 504371
1, 76320, Tempo, 491602
1, 76560, Tempo, 509641
1, 76800, Tempo, 504371
1, 77760, Tempo, 487805
1, 78000, Tempo, 499917
1, 78240, Tempo, 493583
1, 78480, Tempo, 515066
1, 78720, Tempo, 504371
1, 79680, Tempo, 495663
1, 79920, Tempo, 502050
1, 80160, Tempo, 497760
1, 80400, Tempo, 504202
1, 80640, Tempo, 510638
1, 81120, Tempo, 502092
1, 81600, Tempo, 495868
1, 81800, Tempo, 493827
1, 81960, Tempo, 491803
1, 82120, Tempo, 489796
1, 82280, Tempo, 487805
1, 82320, Tempo, 515021
1, 82560, Tempo, 506971
1, 82600, Tempo, 504371
1, 83280, Tempo, 494153
1, 83520, Tempo, 504371
1, 84000, Tempo, 494153
1, 84240, Tempo, 515066
1, 84480, Tempo, 506971
1, 85440, Tempo, 483871
1, 85680, Tempo, 491521
1, 85920, Tempo, 483871
1, 86160, Tempo, 499168
1, 86400, Tempo, 504371
1, 87360, Tempo, 495868
1, 87520, Tempo, 493827
1, 87680, Tempo, 491803
1, 87840, Tempo, 489796
1, 87960, Tempo, 487805
1, 88080, Tempo, 504202
1, 88320, Tempo, 495868
1, 88560, Tempo, 502092
1, 89040, Tempo, 496648
1, 89280, Tempo, 504371
1, 89760, Tempo, 491602
1, 90000, Tempo, 509641
1, 90240, Tempo, 495868
1, 90480, Tempo, 502092
1, 90520, Tempo, 502092
1, 91200, Tempo, 487805
1, 91440, Tempo, 499917
1, 91680, Tempo, 493583
1, 91920, Tempo, 515066
1, 92160, Tempo, 497925
1, 92400, Tempo, 502092
1, 93120, Tempo, 495663
1, 93360, Tempo, 502050
1, 93600, Tempo, 497760
1, 93840, Tempo, 504202
1, 94080, Tempo, 495868
1, 94320, Tempo, 502092
1, 95040, Tempo, 495663
1, 95280, Tempo, 502050
1, 95520, Tempo, 497760
1, 95760, Tempo, 504202
1, 96000, Tempo, 493827
1, 96480, Tempo, 500000
1, 96720, Tempo, 504202
1, 97920, Tempo, 495868
1, 98400, Tempo, 502092
1, 98640, Tempo, 504202
1, 99600, Tempo, 504202
1, 99840, Tempo, 495868
1, 100080, Tempo, 502092
1, 100320, Tempo, 495868
1, 100560, Tempo, 502092
1, 100800, Tempo, 495663
1, 101040, Tempo, 502050
1, 101280, Tempo, 497760
1, 101520, Tempo, 504202
1, 101760, Tempo, 495868
1, 102000, Tempo, 504202
1, 102240, Tempo, 495868
1, 102480, Tempo, 504202
1, 102720, Tempo, 495663
1, 102960, Tempo, 502050
1, 103200, Tempo, 497760
1, 103440, Tempo, 504202
1, 103680, Tempo, 504371
1, 103920, Tempo, 510638
1, 104160, Tempo, 502092
1, 104400, Tempo, 510638
1, 104640, Tempo, 510638
1, 104880, Tempo, 521739
1, 105120, Tempo, 510638
1, 105360, Tempo, 519481
1, 105600, Tempo, 1071429
1, 106080, Tempo, 1200000
