0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Die Jahreszeiten"
1, 0, Title_t, "Juni"
1, 0, Copyright_t, "Copyright © 2004 by Bernd Krueger"
1, 0, Text_t, "Peter Tschaikowsky"
1, 0, Text_t, "Andante cantabile"
1, 0, Text_t, "Fertiggestellt am  5.9.2000\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 17.8.2004\012"
1, 0, Text_t, "Update am 16.9.2008\012"
1, 0, Text_t, "Dauer: 3:54 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -2, "major"
1, 0, Tempo, 626566
1, 3120, Tempo, 612182
1, 3360, Tempo, 591133
1, 3600, Tempo, 609137
1, 3840, Tempo, 621762
1, 4080, Tempo, 597015
1, 4800, Tempo, 641711
1, 5040, Tempo, 579710
1, 5280, Tempo, 597015
1, 5520, Tempo, 655738
1, 5760, Tempo, 594059
1, 6240, Tempo, 609137
1, 6720, Tempo, 608704
1, 6960, Tempo, 615700
1, 7160, Tempo, 630252
1, 7440, Tempo, 641711
1, 7680, Tempo, 605205
1, 7920, Tempo, 616270
1, 8160, Tempo, 625652
1, 8640, Tempo, 619323
1, 8880, Tempo, 626566
1, 8920, Tempo, 626566
1, 9120, Tempo, 630252
1, 9600, Tempo, 604169
1, 9840, Tempo, 619451
1, 10080, Tempo, 632111
1, 10800, Tempo, 612182
1, 11040, Tempo, 597015
1, 11280, Tempo, 609137
1, 11520, Tempo, 618557
1, 11760, Tempo, 603015
1, 12480, Tempo, 628272
1, 12720, Tempo, 585366
1, 12960, Tempo, 597015
1, 13200, Tempo, 626566
1, 13440, Tempo, 612182
1, 13680, Tempo, 588235
1, 13920, Tempo, 612182
1, 14400, Tempo, 608704
1, 14640, Tempo, 615700
1, 14840, Tempo, 630252
1, 15120, Tempo, 641711
1, 15360, Tempo, 612182
1, 15840, Tempo, 612182
1, 16320, Tempo, 608704
1, 16560, Tempo, 615700
1, 16760, Tempo, 630252
1, 17040, Tempo, 641711
1, 17280, Tempo, 626566
1, 18240, Tempo, 615700
1, 18480, Tempo, 630252
1, 19200, Tempo, 641711
1, 19920, Tempo, 662983
1, 20160, Tempo, 659341
1, 20640, Tempo, 670391
1, 20880, Tempo, 685714
1, 21120, Tempo, 652174
1, 21600, Tempo, 662983
1, 21840, Tempo, 677966
1, 22080, Tempo, 645161
1, 22320, Tempo, 618557
1, 22560, Tempo, 603015
1, 22760, Tempo, 618557
1, 23040, Tempo, 594059
1, 23280, Tempo, 609137
1, 23520, Tempo, 594059
1, 23760, Tempo, 609137
1, 24000, Tempo, 595061
1, 24240, Tempo, 582524
1, 24480, Tempo, 594059
1, 24720, Tempo, 634048
1, 24960, Tempo, 588235
1, 25200, Tempo, 606061
1, 26160, Tempo, 615385
1, 26400, Tempo, 582524
1, 26680, Tempo, 626566
1, 26880, Tempo, 600000
1, 27360, Tempo, 609137
1, 28080, Tempo, 601805
1, 28560, Tempo, 622924
1, 30000, Tempo, 612182
1, 30240, Tempo, 591133
1, 30480, Tempo, 609137
1, 30720, Tempo, 625000
1, 30960, Tempo, 588235
1, 31200, Tempo, 606061
1, 31680, Tempo, 606061
1, 31920, Tempo, 582524
1, 32160, Tempo, 612182
1, 32400, Tempo, 634048
1, 32640, Tempo, 588235
1, 32880, Tempo, 615385
1, 32960, Tempo, 603015
1, 33120, Tempo, 603015
1, 33840, Tempo, 595061
1, 34080, Tempo, 585366
1, 34360, Tempo, 626566
1, 34560, Tempo, 597015
1, 35040, Tempo, 612245
1, 35760, Tempo, 601805
1, 36000, Tempo, 594059
1, 36240, Tempo, 622924
1, 36480, Tempo, 612182
1, 37680, Tempo, 601805
1, 38160, Tempo, 626566
1, 38400, Tempo, 612182
1, 39360, Tempo, 612182
1, 40120, Tempo, 630252
1, 40320, Tempo, 612182
1, 40560, Tempo, 601805
1, 40640, Tempo, 601805
1, 40800, Tempo, 618557
1, 40840, Tempo, 612245
1, 40960, Tempo, 615385
1, 41040, Tempo, 618557
1, 41120, Tempo, 621762
1, 41200, Tempo, 625000
1, 41280, Tempo, 648649
1, 41760, Tempo, 638298
1, 41840, Tempo, 634921
1, 41880, Tempo, 631579
1, 41920, Tempo, 628272
1, 41960, Tempo, 625000
1, 42040, Tempo, 621762
1, 42080, Tempo, 618557
1, 42120, Tempo, 615385
1, 42160, Tempo, 612245
1, 42200, Tempo, 609137
1, 42240, Tempo, 594059
1, 42480, Tempo, 609137
1, 42720, Tempo, 594059
1, 42920, Tempo, 609137
1, 43200, Tempo, 648649
1, 43440, Tempo, 579710
1, 43680, Tempo, 591133
1, 43920, Tempo, 652174
1, 44160, Tempo, 597015
1, 44640, Tempo, 612182
1, 45120, Tempo, 608704
1, 45360, Tempo, 615700
1, 45560, Tempo, 630252
1, 45840, Tempo, 641711
1, 46080, Tempo, 594059
1, 46320, Tempo, 616270
1, 46560, Tempo, 625652
1, 47040, Tempo, 619323
1, 47280, Tempo, 626566
1, 47320, Tempo, 626566
1, 47520, Tempo, 630252
1, 48000, Tempo, 597015
1, 48240, Tempo, 619451
1, 48480, Tempo, 632111
1, 49200, Tempo, 612182
1, 49920, Tempo, 618557
1, 50160, Tempo, 600000
