0, 0, Header, 1, 10, 480
1, 0, Start_track
1, 0, Title_t, "Die Jahreszeiten"
1, 0, Title_t, "Maerz"
1, 0, Copyright_t, "Copyright © 2004 by Bernd Krueger"
1, 0, Text_t, "Peter Tschaikowsky"
1, 0, Text_t, "Andantino expressivo"
1, 0, Text_t, "Fertiggestellt am 19.8.2000\012"
1, 0, Text_t, "Update am 21.8.2000\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 9.8.2004\012"
1, 0, Text_t, "Update am 10.9.2008\012"
1, 0, Text_t, "Dauer: 2:17 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, -2, "major"
1, 0, Tempo, 1622060
1, 240, Tempo, 1535705
1, 480, Tempo, 1622060
1, 720, Tempo, 1535705
1, 960, Tempo, 1622060
1, 1200, Tempo, 1495886
1, 1440, Tempo, 1577702
1, 1680, Tempo, 1495886
1, 2160, Tempo, 1404823
1, 2400, Tempo, 1535705
1, 2640, Tempo, 1371115
1, 2760, Tempo, 1421801
1, 2880, Tempo, 1439539
1, 3120, Tempo, 1458080
1, 3240, Tempo, 1535705
1, 3360, Tempo, 1556420
1, 3600, Tempo, 1458080
1, 3720, Tempo, 1535705
1, 3840, Tempo, 1600000
1, 4080, Tempo, 1404823
1, 4320, Tempo, 1515534
1, 4560, Tempo, 1387283
1, 4680, Tempo, 1458080
1, 4800, Tempo, 1421801
1, 5040, Tempo, 1458080
1, 5160, Tempo, 1535705
1, 5280, Tempo, 1556420
1, 5520, Tempo, 1515534
1, 5640, Tempo, 1458080
1, 5760, Tempo, 1495886
1, 6000, Tempo, 1404823
1, 6240, Tempo, 1535705
1, 6480, Tempo, 1371115
1, 6600, Tempo, 1421801
1, 6720, Tempo, 1439539
1, 6960, Tempo, 1458080
1, 7080, Tempo, 1535705
1, 7200, Tempo, 1556420
1, 7440, Tempo, 1458080
1, 7560, Tempo, 1600000
1, 7680, Tempo, 1495886
1, 7800, Tempo, 1421801
1, 7920, Tempo, 1515534
1, 8040, Tempo, 1535705
1, 8160, Tempo, 1556420
1, 8400, Tempo, 1515534
1, 8520, Tempo, 1600000
1, 8640, Tempo, 1476378
1, 8880, Tempo, 1515534
1, 9000, Tempo, 1535705
1, 9120, Tempo, 1556420
1, 9360, Tempo, 1458080
1, 9480, Tempo, 1600000
1, 9600, Tempo, 1476378
1, 9620, Tempo, 1495886
1, 9834, Tempo, 1421464
1, 10080, Tempo, 1385361
1, 10320, Tempo, 1379310
1, 10560, Tempo, 1363636
1, 10580, Tempo, 1379310
1, 10680, Tempo, 1363636
1, 10780, Tempo, 1348315
1, 10860, Tempo, 1333333
1, 10960, Tempo, 1318681
1, 11040, Tempo, 1304348
1, 11160, Tempo, 1395349
1, 11280, Tempo, 1304348
1, 11400, Tempo, 1395349
1, 11520, Tempo, 1263158
1, 11860, Tempo, 1318681
1, 12000, Tempo, 1250000
1, 12120, Tempo, 1318681
1, 12240, Tempo, 1263158
1, 12360, Tempo, 1318681
1, 12480, Tempo, 1263158
1, 12600, Tempo, 1333333
1, 12720, Tempo, 1290323
1, 12740, Tempo, 1263158
1, 12840, Tempo, 1385361
1, 12960, Tempo, 1250000
1, 13080, Tempo, 1402852
1, 13200, Tempo, 1263158
1, 13320, Tempo, 1385361
1, 13440, Tempo, 1290323
1, 13560, Tempo, 1421464
1, 13680, Tempo, 1351047
1, 13800, Tempo, 1440230
1, 13920, Tempo, 1333333
1, 14160, Tempo, 1276596
1, 14280, Tempo, 1302932
1, 14380, Tempo, 1263158
1, 14400, Tempo, 1276596
1, 14500, Tempo, 1333333
1, 14520, Tempo, 1333333
1, 14640, Tempo, 1263158
1, 14760, Tempo, 1318681
1, 14860, Tempo, 1276596
1, 15840, Tempo, 1258125
1, 15960, Tempo, 1333333
1, 16080, Tempo, 1258125
1, 16200, Tempo, 1367989
1, 16320, Tempo, 1290323
1, 16800, Tempo, 1250000
1, 16920, Tempo, 1333333
1, 17040, Tempo, 1250000
1, 17160, Tempo, 1367989
1, 17280, Tempo, 1334816
1, 17400, Tempo, 1421464
1, 17520, Tempo, 1351047
1, 17640, Tempo, 1440230
1, 17760, Tempo, 1367989
1, 18240, Tempo, 1276596
1, 18600, Tempo, 1276596
1, 18700, Tempo, 1263158
1, 18980, Tempo, 1263158
1, 19060, Tempo, 1276596
1, 19120, Tempo, 1290323
1, 19180, Tempo, 1304348
1, 19680, Tempo, 1224490
1, 19800, Tempo, 1402852
1, 19920, Tempo, 1224490
1, 20040, Tempo, 1367989
1, 20160, Tempo, 1304348
1, 20640, Tempo, 1250000
1, 20760, Tempo, 1421464
1, 20880, Tempo, 1290323
1, 21000, Tempo, 1499250
1, 21080, Tempo, 1385361
1, 21120, Tempo, 1411765
1, 21480, Tempo, 1609010
1, 21600, Tempo, 1367989
1, 21720, Tempo, 1263158
1, 21840, Tempo, 1440230
1, 22080, Tempo, 1237113
1, 22200, Tempo, 1304348
1, 22660, Tempo, 1237113
1, 22680, Tempo, 1250000
1, 22800, Tempo, 1333333
1, 23040, Tempo, 1263158
1, 23160, Tempo, 1459144
1, 23280, Tempo, 1367989
1, 23520, Tempo, 1318681
1, 23640, Tempo, 1250000
1, 23760, Tempo, 1440230
1, 24000, Tempo, 1237113
1, 24120, Tempo, 1290323
1, 24240, Tempo, 1348315
1, 24600, Tempo, 1287554
1, 24720, Tempo, 1402852
1, 24960, Tempo, 1250000
1, 25080, Tempo, 1459144
1, 25200, Tempo, 1367989
1, 25440, Tempo, 1367989
1, 25560, Tempo, 1318102
1, 25680, Tempo, 1440230
1, 25920, Tempo, 1250000
1, 26040, Tempo, 1459144
1, 26160, Tempo, 1367989
1, 27120, Tempo, 1318102
1, 27240, Tempo, 1440230
1, 27360, Tempo, 1428571
1, 27600, Tempo, 1333333
1, 27720, Tempo, 1421464
1, 27840, Tempo, 1402852
1, 28080, Tempo, 1334816
1, 28200, Tempo, 1440230
1, 28320, Tempo, 1500000
1, 28560, Tempo, 1666667
1, 28800, Tempo, 1495886
1, 29040, Tempo, 1404823
1, 29280, Tempo, 1535705
1, 29520, Tempo, 1371115
1, 29640, Tempo, 1421801
1, 29760, Tempo, 1439539
1, 30000, Tempo, 1458080
1, 30120, Tempo, 1535705
1, 30240, Tempo, 1556420
1, 30480, Tempo, 1458080
1, 30600, Tempo, 1535705
1, 30720, Tempo, 1600000
1, 30960, Tempo, 1404823
1, 31200, Tempo, 1515534
1, 31440, Tempo, 1387283
1, 31560, Tempo, 1458080
1, 31680, Tempo, 1421801
1, 31920, Tempo, 1458080
1, 32040, Tempo, 1535705
1, 32160, Tempo, 1556420
