0, 0, Header, 1, 10, 480
1, 0, Start_track
1, 0, Title_t, "Die Jahreszeiten"
1, 0, Title_t, "Mai"
1, 0, Copyright_t, "Copyright © 2004 by Bernd Krueger"
1, 0, Text_t, "Peter Tschaikowsky"
1, 0, Text_t, "Andantimo"
1, 0, Text_t, "Fertiggestellt am  5.9.2000\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 15.8.2004\012"
1, 0, Text_t, "Update am 14.9.2008\012"
1, 0, Text_t, "Dauer: 3:18 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 9, 3, 12, 8
1, 0, Key_signature, 1, "major"
1, 0, Tempo, 500000
1, 2040, Tempo, 1045478
1, 2052, Tempo, 1027573
1, 2064, Tempo, 1001837
1, 2080, Tempo, 985383
1, 2092, Tempo, 961693
1, 2104, Tempo, 939114
1, 2120, Tempo, 924642
1, 2132, Tempo, 903751
1, 2144, Tempo, 883783
1, 2160, Tempo, 697674
1, 2640, Tempo, 1111111
1, 2760, Tempo, 800000
1, 2772, Tempo, 789474
1, 2784, Tempo, 779221
1, 2800, Tempo, 769231
1, 2812, Tempo, 759494
1, 2824, Tempo, 750000
1, 2840, Tempo, 740741
1, 2852, Tempo, 731707
1, 2864, Tempo, 750000
1, 2880, Tempo, 736196
1, 3480, Tempo, 902256
1, 3492, Tempo, 882353
1, 3504, Tempo, 863309
1, 3520, Tempo, 845070
1, 3532, Tempo, 827586
1, 3544, Tempo, 810811
1, 3560, Tempo, 794702
1, 3572, Tempo, 779221
1, 3584, Tempo, 764331
1, 3600, Tempo, 701754
1, 4080, Tempo, 1090909
1, 4200, Tempo, 784314
1, 4212, Tempo, 779221
1, 4224, Tempo, 774194
1, 4240, Tempo, 769231
1, 4252, Tempo, 764331
1, 4264, Tempo, 759494
1, 4280, Tempo, 754717
1, 4292, Tempo, 750000
1, 4304, Tempo, 745342
1, 4320, Tempo, 693642
1, 5040, Tempo, 722892
1, 6480, Tempo, 701754
1, 6960, Tempo, 727273
1, 7920, Tempo, 727273
1, 8400, Tempo, 750000
1, 8640, Tempo, 727273
1, 9360, Tempo, 718563
1, 9840, Tempo, 736196
1, 10320, Tempo, 805369
1, 10676, Tempo, 1008403
1, 10688, Tempo, 1000000
1, 10704, Tempo, 983607
1, 10716, Tempo, 967742
1, 10728, Tempo, 952381
1, 10744, Tempo, 944882
1, 10756, Tempo, 930233
1, 10768, Tempo, 916031
1, 10784, Tempo, 902256
1, 10800, Tempo, 697674
1, 11280, Tempo, 1000000
1, 11400, Tempo, 875912
1, 11412, Tempo, 863309
1, 11424, Tempo, 845070
1, 11440, Tempo, 827586
1, 11452, Tempo, 810811
1, 11464, Tempo, 794702
1, 11480, Tempo, 779221
1, 11492, Tempo, 764331
1, 11504, Tempo, 750000
1, 11520, Tempo, 736196
1, 12120, Tempo, 902256
1, 12132, Tempo, 882353
1, 12144, Tempo, 863309
1, 12160, Tempo, 845070
1, 12172, Tempo, 827586
1, 12184, Tempo, 810811
1, 12200, Tempo, 794702
1, 12212, Tempo, 779221
1, 12224, Tempo, 764331
1, 12240, Tempo, 701754
1, 12720, Tempo, 975610
1, 12840, Tempo, 875912
1, 12852, Tempo, 863309
1, 12864, Tempo, 845070
1, 12880, Tempo, 827586
1, 12892, Tempo, 810811
1, 12904, Tempo, 794702
1, 12920, Tempo, 779221
1, 12932, Tempo, 764331
1, 12944, Tempo, 750000
1, 12960, Tempo, 693642
1, 13680, Tempo, 722892
1, 15120, Tempo, 701754
1, 15600, Tempo, 727273
1, 16560, Tempo, 705882
1, 17040, Tempo, 750000
1, 17280, Tempo, 727273
1, 18000, Tempo, 727273
1, 20160, Tempo, 727273
1, 20240, Tempo, 731707
1, 20320, Tempo, 736196
1, 20360, Tempo, 740741
1, 20440, Tempo, 745342
1, 20480, Tempo, 750000
1, 20560, Tempo, 754717
1, 20600, Tempo, 759494
1, 20680, Tempo, 764331
1, 20720, Tempo, 769231
1, 21600, Tempo, 689655
1, 21840, Tempo, 697674
1, 22080, Tempo, 710059
1, 22320, Tempo, 677966
1, 22560, Tempo, 697674
1, 22800, Tempo, 731707
1, 23040, Tempo, 710059
1, 23760, Tempo, 674157
1, 24240, Tempo, 674157
1, 24480, Tempo, 674157
1, 24960, Tempo, 670391
1, 25200, Tempo, 677966
1, 25260, Tempo, 681818
1, 25320, Tempo, 685714
1, 25380, Tempo, 689655
1, 25440, Tempo, 693642
1, 25500, Tempo, 697674
1, 25560, Tempo, 701754
1, 25620, Tempo, 705882
1, 25680, Tempo, 710059
1, 25800, Tempo, 722892
1, 25920, Tempo, 689655
1, 26160, Tempo, 697674
1, 26400, Tempo, 710059
1, 26640, Tempo, 677966
1, 26880, Tempo, 697674
1, 27120, Tempo, 731707
1, 27360, Tempo, 710059
1, 28080, Tempo, 670391
1, 29520, Tempo, 677966
1, 29580, Tempo, 681818
1, 29640, Tempo, 685714
1, 29700, Tempo, 689655
1, 29760, Tempo, 693642
1, 29820, Tempo, 697674
1, 29880, Tempo, 701754
1, 29940, Tempo, 705882
1, 30000, Tempo, 710059
1, 30120, Tempo, 800000
1, 30240, Tempo, 722892
1, 30720, Tempo, 731707
1, 30960, Tempo, 722892
1, 31680, Tempo, 722892
1, 32160, Tempo, 736196
1, 32400, Tempo, 693642
1, 33120, Tempo, 722892
1, 34560, Tempo, 701754
1, 35040, Tempo, 727273
1, 36000, Tempo, 727273
1, 36240, Tempo, 740741
1, 36480, Tempo, 774194
1, 36720, Tempo, 727273
1, 37200, Tempo, 750000
1, 38160, Tempo, 722892
1, 38880, Tempo, 727273
1, 39360, Tempo, 750000
1, 40320, Tempo, 727273
1, 41040, Tempo, 745342
1, 41520, Tempo, 784314
1, 41760, Tempo, 800000
1, 42240, Tempo, 851064
1, 42720, Tempo, 1200000
1, 43080, Tempo, 2000000
1, 43200, Time_signature, 2, 2, 24, 8
1, 43200, Key_signature, 2, "major"
1, 43200, Tempo, 615385
1, 43440, Tempo, 631579
1, 43680, Tempo, 594059
1, 43920, Tempo, 621762
1, 44160, Tempo, 555967
1, 44400, Tempo, 579710
1, 44640, Tempo, 583204
1, 44880, Tempo, 606919
1, 45120, Tempo, 574163
1, 45360, Tempo, 594589
1, 45600, Tempo, 568828
1, 45840, Tempo, 580552
1, 46080, Tempo, 558555
1, 46320, Tempo, 580776
1, 46560, Tempo, 569422
1, 46800, Tempo, 600841
1, 47040, Tempo, 577034
1, 47280, Tempo, 594589
1, 47520, Tempo, 568828
1, 47760, Tempo, 574768
1, 48000, Tempo, 555967
1, 48240, Tempo, 580552
1, 48960, Tempo, 568828
1, 49200, Tempo, 580552
1, 49440, Tempo, 558555
1, 49680, Tempo, 597848
1, 49920, Tempo, 577034
1, 50160, Tempo, 594589
1, 50400, Tempo, 577034
1, 50640, Tempo, 594589
1, 50880, Tempo, 564919
1, 51120, Tempo, 576590
1, 51360, Tempo, 572683
1, 51600, Tempo, 584624
1, 52800, Tempo, 564919
1, 53040, Tempo, 576590
1, 53280, Tempo, 572683
1, 53520, Tempo, 584624
1, 53760, Tempo, 591599
1, 54720, Tempo, 568613
1, 54960, Tempo, 579878
1, 55200, Tempo, 579878
1, 55440, Tempo, 584624
1, 56640, Tempo, 568828
1, 56880, Tempo, 580552
1, 57120, Tempo, 568828
1, 57360, Tempo, 580552
1, 57600, Tempo, 577034
1, 57840, Tempo, 580552
1, 58560, Tempo, 564919
1, 58800, Tempo, 576590
1, 59040, Tempo, 572683
1, 59280, Tempo, 584624
1, 60480, Tempo, 568828
1, 60720, Tempo, 580552
1, 60960, Tempo, 568828
1, 61200, Tempo, 580552
1, 61440, Tempo, 561167
1, 61680, Tempo, 580552
1, 62400, Tempo, 564919
1, 62640, Tempo, 576590
1, 62880, Tempo, 572683
1, 63120, Tempo, 584624
1, 63360, Tempo, 565771
1, 63600, Tempo, 584738
1, 63840, Tempo, 569422
1, 64080, Tempo, 592651
1, 64320, Tempo, 577034
1, 64560, Tempo, 596777
1, 64800, Tempo, 577034
1, 65040, Tempo, 596777
1, 65280, Tempo, 569260
1, 65520, Tempo, 596777
1, 65760, Tempo, 577034
1, 66000, Tempo, 613497
1, 66240, Tempo, 588697
1, 66480, Tempo, 617920
1, 66720, Tempo, 605022
1, 66960, Tempo, 645369
1, 67200, Tempo, 585938
1, 67440, Tempo, 598027
1, 67680, Tempo, 594001
1, 67920, Tempo, 606367
1, 68160, Tempo, 611933
1, 68640, Tempo, 605816
1, 69120, Tempo, 585938
1, 69360, Tempo, 598027
1, 69600, Tempo, 594001
1, 69840, Tempo, 606367
1, 70080, Tempo, 618302
1, 70560, Tempo, 605816
1, 71029, Tempo, 585938
1, 71269, Tempo, 598027
1, 71509, Tempo, 594001
1, 71749, Tempo, 606367
1, 72720, Tempo, 615827
1, 72960, Tempo, 589855
1, 73189, Tempo, 598027
1, 73429, Tempo, 594001
1, 73669, Tempo, 606367
1, 74640, Tempo, 629657
1, 74880, Tempo, 596184
1, 75109, Tempo, 598027
1, 75120, Tempo, 615827
1, 75349, Tempo, 594001
1, 75360, Tempo, 605816
1, 75589, Tempo, 606367
1, 75600, Tempo, 633179
1, 75840, Tempo, 609199
1, 76069, Tempo, 598027
1, 76080, Tempo, 633179
1, 76309, Tempo, 594001
1, 76320, Tempo, 615827
1, 76549, Tempo, 606367
1, 76560, Tempo, 640478
1, 76800, Tempo, 597015
1, 77040, Tempo, 618557
1, 77280, Tempo, 582524
1, 77520, Tempo, 606061
1, 77760, Tempo, 565771
1, 78000, Tempo, 584738
1, 78480, Tempo, 603804
1, 78720, Tempo, 568828
1, 78960, Tempo, 580552
1, 79200, Tempo, 568828
1, 79440, Tempo, 580552
1, 79680, Tempo, 577034
1, 79920, Tempo, 597610
1, 80160, Tempo, 569422
1, 80400, Tempo, 600841
1, 80640, Tempo, 564919
1, 80880, Tempo, 576590
1, 81120, Tempo, 572683
1, 81360, Tempo, 584624
1, 82560, Tempo, 564919
1, 82800, Tempo, 576590
1, 83040, Tempo, 572683
1, 83280, Tempo, 584624
1, 84720, Tempo, 597015
1, 84960, Tempo, 590493
1, 85200, Tempo, 617475
1, 85440, Tempo, 593707
1, 86160, Tempo, 613936
1, 86400, Tempo, 593707
1, 87120, Tempo, 621054
1, 87360, Tempo, 597015
1, 88280, Tempo, 593707
1, 88320, Time_signature, 3, 2, 24, 8
1, 88360, Tempo, 597015
1, 88440, Tempo, 600300
1, 88480, Tempo, 603743
1, 88560, Tempo, 607103
1, 88600, Tempo, 610563
1, 88680, Tempo, 613936
1, 88720, Tempo, 617475
1, 88800, Tempo, 616523
1, 88824, Tempo, 619771
1, 88840, Tempo, 623118
1, 88852, Tempo, 626370
1, 88864, Tempo, 629723
1, 88880, Tempo, 633179
1, 88892, Tempo, 636605
1, 88920, Tempo, 640068
1, 88932, Tempo, 643570
1, 88944, Tempo, 647179
1, 88960, Tempo, 650759
1, 88972, Tempo, 654450
1, 88984, Tempo, 658039
1, 89012, Tempo, 661740
1, 89024, Tempo, 665557
1, 89040, Tempo, 669344
1, 89052, Tempo, 673250
1, 89064, Tempo, 677048
1, 89080, Tempo, 681044
1, 89104, Tempo, 685010
1, 89120, Tempo, 689022
1, 89132, Tempo, 693161
1, 89144, Tempo, 697188
1, 89160, Tempo, 701426
1, 89172, Tempo, 705633
1, 89200, Tempo, 709975
1, 89212, Tempo, 714201
1, 89224, Tempo, 718649
1, 89240, Tempo, 723066
1, 89252, Tempo, 727537
1, 89264, Tempo, 732154
1, 89280, Tempo, 736648
1, 89281, Tempo, 718563
1, 89640, Tempo, 1071429
1, 89660, Tempo, 1034483
1, 89680, Tempo, 1000000
1, 89700, Tempo, 967742
1, 89720, Tempo, 937500
1, 89740, Tempo, 902256
1, 89744, Tempo, 764331
1, 89760, Time_signature, 9, 3, 12, 8
1, 89760, Key_signature, 1, "major"
1, 89760, Tempo, 697674
1, 90240, Tempo, 1111111
1, 90360, Tempo, 800000
1, 90372, Tempo, 789474
1, 90384, Tempo, 779221
1, 90400, Tempo, 769231
1, 90412, Tempo, 759494
1, 90424, Tempo, 750000
1, 90440, Tempo, 740741
1, 90452, Tempo, 731707
1, 90464, Tempo, 750000
1, 90480, Tempo, 736196
1, 91080, Tempo, 902256
1, 91092, Tempo, 882353
1, 91104, Tempo, 863309
1, 91120, Tempo, 845070
1, 91132, Tempo, 827586
1, 91144, Tempo, 810811
1, 91160, Tempo, 794702
1, 91172, Tempo, 779221
1, 91184, Tempo, 764331
1, 91200, Tempo, 701754
1, 91680, Tempo, 1090909
1, 91800, Tempo, 784314
1, 91812, Tempo, 779221
1, 91824, Tempo, 774194
1, 91840, Tempo, 769231
1, 91852, Tempo, 764331
