0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Die Jahreszeiten"
1, 0, Title_t, "Oktober"
1, 0, Copyright_t, "Copyright © 2004 by Bernd Krueger"
1, 0, Text_t, "Peter Tschaikowsky"
1, 0, Text_t, "Andante doloroso e molto cantabile"
1, 0, Text_t, "Fertiggestellt am 25.11.2000\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 6.9.2004\012"
1, 0, Text_t, "Update am 24.9.2008\012"
1, 0, Text_t, "Dauer: 3:12 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 827586
1, 480, Tempo, 805369
1, 960, Tempo, 833333
1, 1440, Tempo, 805369
1, 1920, Tempo, 816327
1, 4267, Tempo, 827586
1, 4320, Tempo, 805369
1, 4800, Tempo, 833333
1, 5280, Tempo, 805369
1, 5760, Tempo, 816327
1, 6000, Tempo, 800000
1, 6240, Tempo, 810811
1, 6720, Tempo, 821918
1, 7840, Tempo, 805369
1, 8160, Tempo, 800000
1, 8240, Tempo, 805369
1, 8320, Tempo, 810811
1, 8400, Tempo, 816327
1, 8440, Tempo, 821918
1, 8520, Tempo, 827586
1, 8600, Tempo, 833333
1, 8640, Tempo, 839161
1, 9120, Tempo, 821918
1, 9760, Tempo, 805369
1, 10080, Tempo, 800000
1, 10160, Tempo, 805369
1, 10240, Tempo, 810811
1, 10280, Tempo, 816327
1, 10360, Tempo, 821918
1, 10400, Tempo, 827586
1, 10440, Tempo, 833333
1, 10520, Tempo, 839161
1, 11520, Tempo, 821918
1, 11880, Tempo, 895522
1, 12000, Tempo, 821918
1, 12320, Tempo, 851064
1, 12480, Tempo, 821918
1, 13280, Tempo, 863309
1, 13440, Tempo, 816327
1, 13920, Tempo, 821918
1, 14880, Tempo, 805369
1, 15120, Tempo, 991736
1, 15200, Tempo, 833333
1, 15360, Tempo, 784314
1, 15840, Tempo, 759494
1, 16080, Tempo, 779221
1, 16320, Tempo, 769231
1, 16560, Tempo, 784314
1, 16800, Tempo, 794702
1, 17280, Tempo, 769231
1, 17520, Tempo, 779221
1, 17760, Tempo, 779221
1, 18000, Tempo, 769231
1, 18240, Tempo, 750000
1, 18480, Tempo, 755668
1, 18720, Tempo, 769231
1, 18960, Tempo, 784314
1, 19140, Tempo, 909091
1, 19200, Tempo, 774194
1, 19440, Tempo, 754717
1, 19680, Tempo, 750000
1, 19920, Tempo, 759494
1, 20160, Tempo, 759494
1, 20400, Tempo, 764331
1, 20640, Tempo, 774194
1, 20880, Tempo, 784314
1, 21120, Tempo, 800000
1, 21360, Tempo, 779221
1, 21600, Tempo, 805369
1, 22020, Tempo, 875912
1, 22080, Tempo, 800000
1, 22560, Tempo, 821918
1, 23040, Tempo, 821918
1, 23200, Tempo, 800000
1, 23360, Tempo, 851064
1, 23520, Tempo, 805369
1, 24000, Tempo, 821918
1, 24320, Tempo, 839161
1, 24480, Tempo, 816327
1, 24800, Tempo, 851064
1, 24960, Tempo, 821918
1, 25120, Tempo, 800000
1, 25280, Tempo, 833333
1, 25440, Tempo, 805369
1, 25920, Tempo, 821918
1, 26240, Tempo, 839161
1, 26400, Tempo, 816327
1, 27680, Tempo, 800000
1, 27840, Tempo, 816327
1, 28800, Tempo, 845070
1, 28960, Tempo, 816327
1, 29600, Tempo, 833333
1, 29760, Tempo, 839161
1, 30080, Tempo, 902256
1, 30240, Tempo, 923077
1, 30720, Tempo, 816549
1, 30880, Tempo, 795334
1, 31200, Tempo, 790097
1, 31320, Tempo, 795334
1, 31400, Tempo, 800427
1, 31680, Tempo, 816549
1, 32160, Tempo, 833449
1, 32800, Tempo, 805694
1, 33120, Tempo, 800427
1, 33440, Tempo, 833449
1, 33600, Tempo, 795334
1, 33920, Tempo, 816327
1, 34560, Tempo, 816549
1, 34720, Tempo, 795334
1, 35040, Tempo, 790097
1, 35160, Tempo, 795334
1, 35240, Tempo, 800427
1, 35520, Tempo, 816549
1, 36000, Tempo, 833449
1, 36640, Tempo, 805694
1, 36960, Tempo, 800427
1, 37280, Tempo, 833449
1, 37440, Tempo, 795334
1, 37760, Tempo, 816327
1, 38400, Tempo, 833449
1, 38560, Tempo, 805694
1, 38880, Tempo, 800427
1, 39200, Tempo, 833449
1, 39360, Tempo, 795334
1, 39520, Tempo, 833449
1, 39720, Tempo, 1142857
1, 39724, Tempo, 1153846
1, 39732, Tempo, 1165049
1, 39740, Tempo, 1176471
1, 39744, Tempo, 1188119
1, 39752, Tempo, 1200000
1, 39760, Tempo, 1224490
1, 39764, Tempo, 1237113
1, 39772, Tempo, 1250000
1, 39780, Tempo, 1263158
1, 39784, Tempo, 1276596
1, 39792, Tempo, 1290323
1, 39800, Tempo, 1318681
1, 39804, Tempo, 1333333
1, 39812, Tempo, 1348315
1, 39820, Tempo, 1363636
1, 39824, Tempo, 1379310
1, 39832, Tempo, 1411765
1, 39840, Tempo, 2028398
1, 40160, Tempo, 844951
1, 40480, Tempo, 816549
1, 40800, Tempo, 822143
1, 41120, Tempo, 844951
1, 41280, Tempo, 800427
1, 41600, Tempo, 822143
1, 42080, Tempo, 907990
1, 42180, Tempo, 822143
1, 42240, Tempo, 822143
1, 42400, Tempo, 816549
1, 42720, Tempo, 822143
1, 43040, Tempo, 844951
1, 43200, Tempo, 800427
1, 43520, Tempo, 822143
1, 44000, Tempo, 888099
1, 44100, Tempo, 822143
1, 44160, Tempo, 822143
1, 44320, Tempo, 816549
1, 44640, Tempo, 822143
1, 44960, Tempo, 844951
1, 45120, Tempo, 800427
1, 45440, Tempo, 822143
1, 46080, Tempo, 822143
1, 46240, Tempo, 816549
1, 46560, Tempo, 822143
1, 46880, Tempo, 844951
1, 47040, Tempo, 800427
1, 47360, Tempo, 805694
1, 47520, Tempo, 822143
1, 47760, Tempo, 851064
1, 48000, Tempo, 845070
1, 48160, Tempo, 816549
1, 48480, Tempo, 822143
1, 48800, Tempo, 844951
1, 48960, Tempo, 800427
1, 49280, Tempo, 822143
1, 49760, Tempo, 907990
1, 49860, Tempo, 822143
1, 49920, Tempo, 822143
1, 50080, Tempo, 816549
1, 50400, Tempo, 822143
1, 50720, Tempo, 844951
1, 50880, Tempo, 800427
1, 51200, Tempo, 822143
1, 51680, Tempo, 888099
1, 51780, Tempo, 822143
1, 51840, Tempo, 822143
1, 52000, Tempo, 816549
1, 52320, Tempo, 822143
1, 52640, Tempo, 844951
1, 52800, Tempo, 800427
1, 53120, Tempo, 822143
1, 53760, Tempo, 822143
1, 53920, Tempo, 816549
1, 54240, Tempo, 822143
1, 54560, Tempo, 844951
1, 54720, Tempo, 800427
1, 55040, Tempo, 805694
1, 55200, Tempo, 822143
1, 55440, Tempo, 845070
1, 55680, Tempo, 839161
1, 55840, Tempo, 805369
1, 56160, Tempo, 821918
1, 56800, Tempo, 805369
1, 56960, Tempo, 839161
1, 57600, Tempo, 839161
1, 57760, Tempo, 805369
1, 58080, Tempo, 821918
1, 58720, Tempo, 805369
1, 58880, Tempo, 839161
1, 59520, Tempo, 816327
1, 59840, Tempo, 851064
1, 60000, Tempo, 816327
1, 60320, Tempo, 794702
1, 60480, Tempo, 816327
1, 61120, Tempo, 833333
1, 61440, Tempo, 833333
1, 61560, Tempo, 839161
1, 61640, Tempo, 845070
1, 61760, Tempo, 851064
1, 61840, Tempo, 857143
1, 61920, Tempo, 863309
1, 62040, Tempo, 869565
1, 62120, Tempo, 875912
1, 62240, Tempo, 882353
1, 62320, Tempo, 888889
1, 62400, Tempo, 895522
1, 62520, Tempo, 902256
1, 62600, Tempo, 909091
1, 62720, Tempo, 916031
1, 62800, Tempo, 923077
1, 62880, Tempo, 930233
1, 63200, Tempo, 2448980
1, 63360, Tempo, 827586
1, 63840, Tempo, 805369
1, 64320, Tempo, 833333
1, 64800, Tempo, 805369
1, 65280, Tempo, 816327
1, 65520, Tempo, 800000
1, 65760, Tempo, 810811
1, 66240, Tempo, 805369
1, 66480, Tempo, 821918
1, 66720, Tempo, 810811
1, 67627, Tempo, 827586
1, 67680, Tempo, 805369
1, 68160, Tempo, 833333
1, 68640, Tempo, 805369
1, 69120, Tempo, 816327
1, 69360, Tempo, 800000
1, 69600, Tempo, 810811
1, 70080, Tempo, 821918
1, 71200, Tempo, 805369
1, 71520, Tempo, 800000
1, 71600, Tempo, 805369
