0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Die Jahreszeiten"
1, 0, Title_t, "September"
1, 0, Copyright_t, "Copyright © 2004 by Bernd Krueger"
1, 0, Text_t, "Peter Tschaikowsky"
1, 0, Text_t, "Allegro non troppo"
1, 0, Text_t, "Fertiggestellt am 13.11.2000\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 4.9.2004\012"
1, 0, Text_t, "Update am 22.9.2008\012"
1, 0, Text_t, "Dauer: 2:44 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 1, "major"
1, 0, Tempo, 477289
1, 3840, Tempo, 467581
1, 4320, Tempo, 416667
1, 4640, Tempo, 447494
1, 4800, Tempo, 444017
1, 5280, Tempo, 418118
1, 5760, Tempo, 447494
1, 6240, Tempo, 456378
1, 6480, Tempo, 469484
1, 7680, Tempo, 458225
1, 8160, Tempo, 419580
1, 8480, Tempo, 445732
1, 8640, Tempo, 444017
1, 9120, Tempo, 418118
1, 9360, Tempo, 449236
1, 9600, Tempo, 447494
1, 10080, Tempo, 456378
1, 10320, Tempo, 469484
1, 11520, Tempo, 467581
1, 12000, Tempo, 419580
1, 12320, Tempo, 447494
1, 12480, Tempo, 442282
1, 12960, Tempo, 419580
1, 13440, Tempo, 447494
1, 13920, Tempo, 452796
1, 14160, Tempo, 460052
1, 14400, Tempo, 452796
1, 14640, Tempo, 460052
1, 14880, Tempo, 452796
1, 15360, Tempo, 458225
1, 15840, Tempo, 419580
1, 16160, Tempo, 445732
1, 16320, Tempo, 437222
1, 16800, Tempo, 421053
1, 17040, Tempo, 449236
1, 17280, Tempo, 447494
1, 17760, Tempo, 456378
1, 18000, Tempo, 469484
1, 18240, Tempo, 463786
1, 18480, Tempo, 471439
1, 18720, Tempo, 465658
1, 18960, Tempo, 469484
1, 19200, Tempo, 448967
1, 19440, Tempo, 460017
1, 19680, Tempo, 452591
1, 19920, Tempo, 460017
1, 20160, Tempo, 456274
1, 20400, Tempo, 461965
1, 20640, Tempo, 456274
1, 20880, Tempo, 460017
1, 21120, Tempo, 444017
1, 21360, Tempo, 452796
1, 21600, Tempo, 447494
1, 21840, Tempo, 454580
1, 22080, Tempo, 445732
1, 22320, Tempo, 452796
1, 22560, Tempo, 450992
1, 22800, Tempo, 460017
1, 23040, Tempo, 445732
1, 23520, Tempo, 438917
1, 23760, Tempo, 435572
1, 24000, Tempo, 442282
1, 24480, Tempo, 437222
1, 24720, Tempo, 445732
1, 24960, Tempo, 435572
1, 25200, Tempo, 440593
1, 25680, Tempo, 447494
1, 25920, Tempo, 433934
1, 26160, Tempo, 440593
1, 26640, Tempo, 447494
1, 26880, Tempo, 432277
1, 27360, Tempo, 440593
1, 27600, Tempo, 449236
1, 27840, Tempo, 430663
1, 28320, Tempo, 435572
1, 28560, Tempo, 445732
1, 28800, Tempo, 429031
1, 29280, Tempo, 437222
1, 29520, Tempo, 430663
1, 29760, Tempo, 432277
1, 30000, Tempo, 437222
1, 30480, Tempo, 452796
1, 30720, Tempo, 467581
1, 31200, Tempo, 422535
1, 31520, Tempo, 447494
1, 31680, Tempo, 437222
1, 32160, Tempo, 425532
1, 32640, Tempo, 447494
1, 33120, Tempo, 427046
1, 33360, Tempo, 450992
1, 33600, Tempo, 442282
1, 33840, Tempo, 454580
1, 33880, Tempo, 449236
1, 34080, Tempo, 442282
1, 34320, Tempo, 454580
1, 34560, Tempo, 458225
1, 35040, Tempo, 422535
1, 35360, Tempo, 445732
1, 35520, Tempo, 437222
1, 36000, Tempo, 422535
1, 36240, Tempo, 449236
1, 36480, Tempo, 447494
1, 36960, Tempo, 456378
1, 37200, Tempo, 469484
1, 38400, Tempo, 467581
1, 38880, Tempo, 425532
1, 39200, Tempo, 447494
1, 39360, Tempo, 437222
1, 39840, Tempo, 424028
1, 40320, Tempo, 447494
1, 40800, Tempo, 433934
1, 41040, Tempo, 449236
1, 41280, Tempo, 437222
1, 41520, Tempo, 449236
1, 41760, Tempo, 438917
1, 42000, Tempo, 449236
1, 42240, Tempo, 447494
1, 42720, Tempo, 433934
1, 42960, Tempo, 444017
1, 43200, Tempo, 438917
1, 43440, Tempo, 447494
1, 43680, Tempo, 437222
1, 43920, Tempo, 447494
1, 44160, Tempo, 447494
1, 44640, Tempo, 437222
1, 44880, Tempo, 439754
1, 45120, Tempo, 431220
1, 45360, Tempo, 443230
1, 45600, Tempo, 431220
1, 45840, Tempo, 443230
1, 46080, Tempo, 436300
1, 46560, Tempo, 426318
1, 46800, Tempo, 439754
1, 47040, Tempo, 431220
1, 47280, Tempo, 443230
1, 47520, Tempo, 431220
1, 47760, Tempo, 443230
1, 48000, Tempo, 436300
1, 48480, Tempo, 426318
1, 48720, Tempo, 439754
1, 48960, Tempo, 431220
1, 49200, Tempo, 443230
1, 49440, Tempo, 431220
1, 49680, Tempo, 443230
1, 49920, Tempo, 467581
1, 50400, Tempo, 427046
1, 50720, Tempo, 447494
1, 50880, Tempo, 437222
1, 51360, Tempo, 422535
1, 51840, Tempo, 447494
1, 52320, Tempo, 433934
