0, 0, Header, 1, 9, 480
1, 0, Start_track
1, 0, Title_t, "Espana Op. 165"
1, 0, Title_t, "Zortcico"
1, 0, Copyright_t, "Copyright © 2001 by Bernd Krueger"
1, 0, Text_t, "Isaac Albeniz"
1, 0, Text_t, "Allegretto"
1, 0, Text_t, "Fertiggestellt am 17.02.2001\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 31.8.2010\012"
1, 0, Text_t, "Dauer: 2:35 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 5, 3, 12, 8
1, 0, Key_signature, 4, "major"
1, 0, Tempo, 526316
1, 1920, Tempo, 533333
1, 2400, Tempo, 526316
1, 3360, Tempo, 538117
1, 3600, Tempo, 526316
1, 4560, Tempo, 533333
1, 5280, Tempo, 526316
1, 5520, Tempo, 538117
1, 5760, Tempo, 555556
1, 6000, Tempo, 526316
1, 6480, Tempo, 542986
1, 6720, Tempo, 533333
1, 7200, Tempo, 540541
1, 7440, Tempo, 528634
1, 7680, Tempo, 550459
1, 7800, Tempo, 566038
1, 7920, Tempo, 524017
1, 8160, Tempo, 542986
1, 8400, Tempo, 526316
1, 9360, Tempo, 550459
1, 9600, Tempo, 526316
1, 10560, Tempo, 568720
1, 10800, Tempo, 542986
1, 11760, Tempo, 563380
1, 12000, Tempo, 526316
1, 12960, Tempo, 538117
1, 13200, Tempo, 526316
1, 14160, Tempo, 533333
1, 14400, Tempo, 526316
1, 14880, Tempo, 526316
1, 15120, Tempo, 538117
1, 15360, Tempo, 555556
1, 15600, Tempo, 526316
1, 16080, Tempo, 542986
1, 16320, Tempo, 533333
1, 16800, Tempo, 526316
1, 17760, Tempo, 550459
1, 18000, Tempo, 526316
1, 18480, Tempo, 535714
1, 18960, Tempo, 550459
1, 19200, Tempo, 540541
1, 19440, Tempo, 528634
1, 19680, Tempo, 550459
1, 19800, Tempo, 566038
1, 19920, Tempo, 524017
1, 20160, Tempo, 542986
1, 20400, Tempo, 526316
1, 21120, Tempo, 538117
1, 21360, Tempo, 550459
1, 21600, Tempo, 526316
1, 22560, Tempo, 538117
1, 22800, Tempo, 526316
1, 23760, Tempo, 533333
1, 24000, Tempo, 526316
1, 24480, Tempo, 526316
1, 24720, Tempo, 538117
1, 24960, Tempo, 555556
1, 25200, Tempo, 526316
1, 25680, Tempo, 542986
1, 25920, Tempo, 533333
1, 26400, Tempo, 540541
1, 26640, Tempo, 528634
1, 26880, Tempo, 550459
1, 27000, Tempo, 566038
1, 27120, Tempo, 524017
1, 27360, Tempo, 542986
1, 27600, Tempo, 526316
1, 28560, Tempo, 550459
1, 28800, Tempo, 526316
1, 29760, Tempo, 568720
1, 30000, Tempo, 542986
1, 30960, Tempo, 563380
1, 31200, Tempo, 526316
1, 32160, Tempo, 538117
1, 32400, Tempo, 526316
1, 33360, Tempo, 533333
1, 33600, Tempo, 526316
1, 34080, Tempo, 526316
1, 34320, Tempo, 538117
1, 34560, Tempo, 555556
1, 34800, Tempo, 526316
1, 35280, Tempo, 542986
1, 35520, Tempo, 533333
1, 36000, Tempo, 526316
1, 36960, Tempo, 550459
1, 37200, Tempo, 526316
1, 37680, Tempo, 535714
1, 38160, Tempo, 550459
1, 38400, Tempo, 540541
1, 38640, Tempo, 528634
1, 38880, Tempo, 550459
1, 39000, Tempo, 566038
1, 39120, Tempo, 524017
1, 39360, Tempo, 542986
1, 39600, Tempo, 526316
1, 40560, Tempo, 550459
1, 40800, Tempo, 512821
1, 41040, Tempo, 521739
1, 41520, Tempo, 542986
1, 41760, Tempo, 526316
1, 42000, Tempo, 512821
1, 42240, Tempo, 521739
1, 42720, Tempo, 540541
1, 42960, Tempo, 528634
1, 43200, Tempo, 517241
1, 43440, Tempo, 526316
1, 43920, Tempo, 540541
1, 44400, Tempo, 519481
1, 44640, Tempo, 526316
1, 45360, Tempo, 538117
1, 45600, Tempo, 521739
1, 45840, Tempo, 530973
1, 46200, Tempo, 560748
1, 46320, Tempo, 533333
1, 46560, Tempo, 542986
1, 46800, Tempo, 521739
1, 47040, Tempo, 530973
1, 47520, Tempo, 533333
1, 47760, Tempo, 558140
1, 48000, Tempo, 521739
1, 48240, Tempo, 530973
1, 48720, Tempo, 533333
1, 48960, Tempo, 542986
1, 49200, Tempo, 521739
1, 49440, Tempo, 530973
1, 49680, Tempo, 550459
1, 49800, Tempo, 574163
1, 49920, Tempo, 555556
1, 50160, Tempo, 579710
1, 50400, Tempo, 517241
1, 50640, Tempo, 526316
1, 51120, Tempo, 542986
1, 51360, Tempo, 547945
1, 51600, Tempo, 519481
1, 51840, Tempo, 526316
1, 52320, Tempo, 540541
1, 52800, Tempo, 517241
1, 53040, Tempo, 526316
1, 53280, Tempo, 535714
1, 53520, Tempo, 552995
1, 54000, Tempo, 533333
1, 54240, Tempo, 521739
1, 54480, Tempo, 528634
