0, 0, Header, 1, 9, 480
1, 0, Start_track
1, 0, Title_t, "Suite espagnole"
1, 0, Title_t, "Cataluna"
1, 0, Copyright_t, "Copyright © 2001 by Bernd Krueger"
1, 0, Text_t, "Isaac Albeniz"
1, 0, Text_t, "Curranda"
1, 0, Text_t, "Fertiggestellt am 24.3.2001\012"
1, 0, Text_t, "Update am 30.3.2001\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 6.9.2010\012"
1, 0, Text_t, "Dauer: 4:11 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 1, "major"
1, 0, Tempo, 535714
1, 1200, Tempo, 554324
1, 1440, Tempo, 535714
1, 2160, Tempo, 542937
1, 2400, Tempo, 551978
1, 2640, Tempo, 582524
1, 2880, Tempo, 555556
1, 3120, Tempo, 545455
1, 3360, Tempo, 555556
1, 3840, Tempo, 550459
1, 4200, Tempo, 596599
1, 4320, Tempo, 560748
1, 4560, Tempo, 542986
1, 4800, Tempo, 555556
1, 5280, Tempo, 566038
1, 5520, Tempo, 588928
1, 5760, Tempo, 572191
1, 6240, Tempo, 579822
1, 6480, Tempo, 566038
1, 6720, Tempo, 576590
1, 7200, Tempo, 591424
1, 7480, Tempo, 591424
1, 7600, Tempo, 588928
1, 7680, Tempo, 577256
1, 7920, Tempo, 593003
1, 8160, Tempo, 576590
1, 8240, Tempo, 578927
1, 8280, Tempo, 581452
1, 8320, Tempo, 583885
1, 8360, Tempo, 586396
1, 8400, Tempo, 612495
1, 8520, Tempo, 659341
1, 8640, Tempo, 557724
1, 8880, Tempo, 540541
1, 9120, Tempo, 555556
1, 9600, Tempo, 557724
1, 9640, Tempo, 547945
1, 9960, Tempo, 596599
1, 10080, Tempo, 557724
1, 10320, Tempo, 540541
1, 10560, Tempo, 555556
1, 11040, Tempo, 563380
1, 11280, Tempo, 579710
1, 11520, Tempo, 572191
1, 12000, Tempo, 579822
1, 12240, Tempo, 566038
1, 12480, Tempo, 576590
1, 12960, Tempo, 591424
1, 13240, Tempo, 591424
1, 13360, Tempo, 588928
1, 13440, Tempo, 577256
1, 13680, Tempo, 593003
1, 13920, Tempo, 576590
1, 14000, Tempo, 578927
1, 14040, Tempo, 581452
1, 14080, Tempo, 583885
1, 14120, Tempo, 586396
1, 14200, Tempo, 588928
1, 14280, Tempo, 612245
1, 14400, Tempo, 563380
1, 14640, Tempo, 542986
1, 14880, Tempo, 555556
1, 15360, Tempo, 547945
1, 15720, Tempo, 596599
1, 15840, Tempo, 557724
1, 16080, Tempo, 540541
1, 16320, Tempo, 552995
1, 16800, Tempo, 576590
1, 17040, Tempo, 588928
1, 17280, Tempo, 552995
1, 17760, Tempo, 545455
1, 17880, Tempo, 545455
1, 18000, Tempo, 535714
1, 18240, Tempo, 564228
1, 18600, Tempo, 569260
1, 18720, Tempo, 555556
1, 19080, Tempo, 566038
1, 19200, Tempo, 542986
