0, 0, Header, 1, 10, 480
1, 0, Start_track
1, 0, Title_t, "Das wohltemperierte Klavier I - Praeludium und Fuge 2 in c-Moll BWV 847"
1, 0, Copyright_t, "Copyright © 1997 von Bernd Krüger."
1, 0, Text_t, "Johann Sebastian Bach"
1, 0, Text_t, "Fertiggestellt am 5.11.97\012"
1, 0, Text_t, "Pan's auf Standard am 18.1.98\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 26.9.2004\012"
1, 0, Text_t, "Dauer: 3:09 Minuten\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 489796
1, 0, Marker_t, "Prelude"
1, 60, Tempo, 451128
1, 360, Tempo, 476190
1, 480, Tempo, 470588
1, 600, Tempo, 452830
1, 840, Tempo, 476190
1, 960, Tempo, 485830
1, 1080, Tempo, 449438
1, 1320, Tempo, 466926
1, 1440, Tempo, 470588
1, 1560, Tempo, 431655
1, 1680, Tempo, 431655
1, 1800, Tempo, 487805
1, 1920, Tempo, 476190
1, 2040, Tempo, 452830
1, 2280, Tempo, 466926
1, 2400, Tempo, 472441
1, 2520, Tempo, 451128
1, 2760, Tempo, 476190
1, 2880, Tempo, 472441
1, 3000, Tempo, 456274
1, 3240, Tempo, 481928
1, 3360, Tempo, 461538
1, 3480, Tempo, 451128
1, 3720, Tempo, 483871
1, 3840, Tempo, 472441
1, 3960, Tempo, 447761
1, 4200, Tempo, 472441
1, 4320, Tempo, 461538
1, 4440, Tempo, 449438
1, 4680, Tempo, 468750
1, 4800, Tempo, 474308
1, 4920, Tempo, 449438
1, 5160, Tempo, 476190
1, 5280, Tempo, 466926
1, 5400, Tempo, 451128
1, 5640, Tempo, 483871
1, 5760, Tempo, 502092
1, 5880, Tempo, 442804
1, 6120, Tempo, 468750
1, 6240, Tempo, 478088
1, 6360, Tempo, 428571
1, 6480, Tempo, 425532
1, 6600, Tempo, 468750
1, 6720, Tempo, 480000
1, 6840, Tempo, 444444
1, 7080, Tempo, 487805
1, 7200, Tempo, 478088
1, 7320, Tempo, 447761
1, 7440, Tempo, 430108
1, 7560, Tempo, 506329
1, 7680, Tempo, 515021
1, 7800, Tempo, 452830
1, 8040, Tempo, 485830
1, 8160, Tempo, 474308
1, 8280, Tempo, 449438
1, 8520, Tempo, 487805
1, 8620, Tempo, 476190
1, 8640, Tempo, 478088
