0, 0, Header, 1, 9, 480
1, 0, Start_track
1, 0, Title_t, "Petite Suite"
1, 0, Title_t, "3. Mazurka"
1, 0, Copyright_t, "Copyright © 2000 by Bernd Krueger"
1, 0, Text_t, "Alexander Borodin"
1, 0, Text_t, "Fertiggestellt am 21.6.2000\012"
1, 0, Text_t, "Update am 21.8.2000\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Dauer: 2:40 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 355030
1, 0, Marker_t, "Allegro"
1, 480, Tempo, 344828
1, 2880, Tempo, 339443
1, 3040, Tempo, 338409
1, 3200, Tempo, 337382
1, 3360, Tempo, 336379
1, 3520, Tempo, 335364
1, 3680, Tempo, 334355
1, 3840, Tempo, 333370
1, 4000, Tempo, 332373
1, 4160, Tempo, 331382
1, 4320, Tempo, 330396
1, 4480, Tempo, 329435
1, 4640, Tempo, 328461
1, 4800, Tempo, 327493
1, 4960, Tempo, 326531
1, 5120, Tempo, 325591
1, 5280, Tempo, 324640
1, 5320, Tempo, 324640
1, 5360, Tempo, 325591
1, 5400, Tempo, 327493
1, 5440, Tempo, 328461
1, 5480, Tempo, 330396
1, 5520, Tempo, 331382
1, 5560, Tempo, 333370
1, 5600, Tempo, 335364
1, 5640, Tempo, 336379
1, 5760, Tempo, 357931
1, 6240, Tempo, 333370
1, 6720, Tempo, 344689
1, 8160, Tempo, 351185
1, 8640, Tempo, 339443
1, 9000, Tempo, 338409
1, 9120, Tempo, 343623
1, 9600, Tempo, 360252
1, 10080, Tempo, 343623
1, 10560, Tempo, 347907
1, 11040, Tempo, 343623
1, 11760, Tempo, 353399
1, 12000, Tempo, 339443
1, 12480, Tempo, 345742
1, 12960, Tempo, 342564
1, 13320, Tempo, 353982
1, 13440, Tempo, 347907
1, 14400, Tempo, 342564
1, 14760, Tempo, 351906
1, 14880, Tempo, 346821
1, 16200, Tempo, 358209
1, 16320, Tempo, 346821
1, 17280, Tempo, 357931
1, 17760, Tempo, 333370
1, 18240, Tempo, 344689
1, 19680, Tempo, 351185
1, 20160, Tempo, 339443
1, 20520, Tempo, 338409
1, 20640, Tempo, 343623
1, 21120, Tempo, 360252
1, 21600, Tempo, 343623
1, 22080, Tempo, 347907
1, 22560, Tempo, 343623
1, 23040, Tempo, 357931
1, 23280, Tempo, 353399
1, 23520, Tempo, 339443
1, 24000, Tempo, 345742
1, 24480, Tempo, 342564
1, 24840, Tempo, 351906
1, 24960, Tempo, 347907
1, 25920, Tempo, 342564
1, 26320, Tempo, 351906
1, 26400, Tempo, 346821
1, 28080, Tempo, 352299
1, 28320, Tempo, 361424
1, 28800, Key_signature, 1, "major"
1, 28800, Tempo, 341511
1, 29040, Tempo, 347907
1, 29280, Tempo, 351185
1, 29760, Tempo, 355661
1, 30240, Tempo, 342564
1, 30480, Tempo, 349000
1, 30720, Tempo, 351185
1, 31200, Tempo, 354526
1, 31680, Tempo, 344689
1, 32160, Tempo, 345742
1, 32400, Tempo, 351185
1, 32640, Tempo, 345742
1, 32880, Tempo, 351185
1, 33560, Tempo, 351185
1, 33760, Tempo, 352299
1, 33960, Tempo, 353399
1, 34160, Tempo, 354526
1, 34360, Tempo, 355661
1, 34560, Tempo, 335364
1, 34800, Tempo, 340483
1, 35040, Tempo, 346821
1, 35520, Tempo, 355661
1, 36000, Tempo, 338409
1, 36240, Tempo, 343623
1, 36480, Tempo, 349000
1, 36960, Tempo, 354526
1, 37440, Tempo, 342564
1, 37920, Tempo, 345742
1, 38160, Tempo, 351185
1, 38400, Tempo, 345742
1, 38640, Tempo, 351185
1, 39320, Tempo, 351185
1, 39520, Tempo, 352299
1, 39720, Tempo, 353399
1, 39920, Tempo, 354526
1, 40120, Tempo, 355661
1, 40320, Tempo, 341511
1, 40560, Tempo, 347907
1, 40800, Tempo, 351185
1, 41280, Tempo, 355661
1, 41760, Tempo, 342564
1, 42000, Tempo, 349000
1, 42240, Tempo, 351185
1, 42720, Tempo, 354526
1, 43200, Tempo, 344689
1, 43680, Tempo, 345742
1, 43920, Tempo, 351185
1, 44160, Tempo, 345742
1, 44400, Tempo, 351185
1, 45080, Tempo, 351185
1, 45280, Tempo, 352299
1, 45480, Tempo, 353399
1, 45680, Tempo, 354526
1, 45880, Tempo, 355661
1, 46080, Tempo, 335364
1, 46320, Tempo, 340483
1, 46560, Tempo, 346821
1, 47040, Tempo, 355661
1, 47520, Tempo, 338409
1, 47760, Tempo, 343623
1, 48000, Tempo, 349000
1, 48480, Tempo, 354526
1, 48960, Tempo, 342564
1, 49440, Tempo, 345742
1, 49680, Tempo, 351185
1, 49920, Tempo, 345742
1, 50160, Tempo, 351185
1, 50640, Tempo, 356803
1, 50880, Tempo, 350079
1, 51360, Tempo, 346821
1, 52080, Tempo, 345742
1, 52800, Tempo, 349000
1, 53080, Tempo, 350079
