0, 0, Header, 1, 7, 480
1, 0, Start_track
1, 0, Title_t, "Rhapsodie Nr. 4 in Es-Dur, Op. 119"
1, 0, Copyright_t, "Copyright © 1997 by Krüger http://www.piano-midi.de"
1, 0, Text_t, "Brahms"
1, 0, Text_t, "Allegro risoluto"
1, 0, Text_t, "Pan's auf Standard am 18.1.98\012"
1, 0, Text_t, "Korrekturen am 22.8.98\012"
1, 0, Text_t, "Anpassungen an Digitalpiano am 31.12.98\012"
1, 0, Text_t, "Update am 19.9.99\012"
1, 0, Text_t, "Update am 5.7.2000\012"
1, 0, Text_t, "Update am 18.5.2002\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 4.11.2010\012"
1, 0, Text_t, "Dauer: 4:58 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 542986
1, 0, Marker_t, "Part 1"
1, 480, Tempo, 585366
1, 960, Tempo, 533333
1, 1440, Tempo, 576923
1, 1920, Tempo, 538117
1, 2400, Tempo, 571429
1, 2880, Tempo, 545455
1, 3120, Tempo, 579710
1, 3360, Tempo, 558140
1, 3840, Tempo, 542986
1, 4800, Tempo, 535714
1, 5280, Tempo, 566038
1, 5760, Tempo, 530973
1, 6240, Tempo, 552995
1, 6480, Tempo, 566038
1, 6720, Tempo, 530973
1, 7200, Tempo, 538117
1, 7920, Tempo, 568720
1, 8160, Tempo, 555556
1, 8640, Tempo, 568720
1, 9600, Tempo, 519706
1, 10080, Tempo, 576923
1, 10560, Tempo, 519706
1, 11040, Tempo, 576923
1, 11520, Tempo, 519706
1, 12000, Tempo, 560748
1, 12480, Tempo, 550459
1, 12720, Tempo, 579710
1, 12960, Tempo, 528541
1, 13080, Tempo, 530786
1, 13200, Tempo, 533049
1, 13320, Tempo, 535332
1, 13440, Tempo, 537634
1, 13560, Tempo, 539957
1, 13680, Tempo, 542348
1, 13800, Tempo, 544712
1, 13920, Tempo, 547096
1, 14040, Tempo, 549501
1, 14160, Tempo, 551927
1, 14280, Tempo, 554375
1, 14400, Tempo, 533049
1, 14880, Tempo, 524109
1, 15120, Tempo, 574823
1, 15360, Tempo, 533049
1, 15840, Tempo, 544712
1, 16800, Tempo, 574823
1, 17040, Tempo, 642949
1, 17760, Tempo, 512821
1, 19200, Tempo, 517241
1, 19680, Tempo, 547096
1, 21120, Tempo, 569584
1, 21140, Tempo, 569584
1, 21260, Tempo, 572191
1, 21360, Tempo, 574823
1, 21460, Tempo, 577478
1, 21580, Tempo, 580159
1, 21680, Tempo, 582864
1, 21780, Tempo, 585594
1, 21840, Tempo, 670616
1, 22080, Tempo, 519706
1, 22560, Tempo, 512821
1, 24000, Tempo, 519481
1, 24480, Tempo, 528541
1, 24960, Tempo, 539957
1, 26400, Tempo, 626828
1, 26880, Tempo, 519706
1, 27360, Tempo, 515021
1, 28800, Tempo, 535714
1, 29280, Tempo, 535714
1, 30720, Tempo, 555556
1, 31200, Tempo, 596837
1, 32160, Tempo, 512821
1, 33600, Tempo, 559336
1, 34080, Tempo, 537634
1, 34560, Tempo, 549501
1, 35520, Tempo, 567001
1, 36000, Tempo, 608458
1, 36480, Tempo, 519706
1, 38400, Tempo, 547096
1, 38880, Tempo, 596837
1, 39360, Tempo, 519706
1, 39840, Tempo, 588235
1, 40320, Tempo, 519706
1, 40800, Tempo, 579710
1, 41280, Tempo, 555556
1, 41520, Tempo, 576923
1, 41760, Tempo, 566038
1, 42240, Tempo, 547945
1, 43680, Tempo, 558140
1, 43920, Tempo, 588235
1, 44160, Tempo, 533333
1, 44640, Tempo, 547945
1, 44880, Tempo, 582524
1, 45120, Tempo, 530973
1, 45600, Tempo, 538117
1, 46080, Tempo, 552995
1, 46540, Tempo, 538117
1, 47040, Tempo, 552995
1, 47180, Tempo, 555556
1, 47320, Tempo, 558140
1, 47440, Tempo, 560748
1, 47580, Tempo, 563380
1, 47700, Tempo, 566038
1, 47840, Tempo, 568720
1, 47960, Tempo, 571429
1, 48000, Tempo, 521739
1, 48480, Tempo, 545455
1, 48720, Tempo, 563380
1, 48960, Tempo, 519706
1, 49440, Tempo, 545455
1, 49680, Tempo, 560748
1, 49920, Tempo, 519706
1, 50400, Tempo, 530786
1, 51360, Tempo, 551927
1, 51840, Tempo, 580159
1, 52320, Tempo, 620604
1, 52800, Tempo, 533049
1, 53280, Tempo, 524109
1, 53520, Tempo, 574823
1, 53760, Tempo, 533049
1, 54240, Tempo, 563380
1, 55200, Tempo, 600000
1, 55440, Tempo, 670616
1, 56160, Tempo, 521739
1, 56640, Tempo, 579710
1, 57120, Tempo, 641711
1, 57600, Tempo, 600000
1, 61440, Tempo, 564759
1, 61440, Marker_t, "Part 2"
1, 65040, Tempo, 585080
1, 65280, Tempo, 564759
1, 68880, Tempo, 587774
1, 69120, Tempo, 564759
1, 71040, Tempo, 557465
1, 72720, Tempo, 598623
1, 72960, Tempo, 547945
1, 73280, Tempo, 588235
